"JOSS","DURR","SWME","EWC","Spanish","English"
"NA",13,"NA",114,"mujer","woman"
"NA",14,6,44,"mecate","rope"
"NA",15,3,65,"camino","path, road"
"NA",18,"NA","NA","venir","to come"
"NA",19,"NA","NA","correr","to run"
"NA",20,"NA","NA","ser","to be"
"NA",21,"NA","NA","cantar","to sing"
"NA",22,"NA","NA","nascer","to be born"
"NA",23,"NA","NA","quemar","to burn"
"NA",24,"NA","NA","mirar","to look"
"NA",25,"NA","NA","beber","to drink"
"NA",26,"NA","NA","comprar","to buy"
"NA",30,"NA",176,"uno","one"
"NA",31,25,88,"papel","paper"
"NA",33,"NA",121,"limón","lime"
"NA",34,"NA",243,"tío","uncle"
"NA",35,"NA",244,"tía","aunt"
"NA",42,18,39,"flor","flower"
"NA",44,"NA","NA","dentro","inside"
"NA",45,85,59,"perro","dog"
"NA",46,"NA","NA","estómago","stomach"
"NA",52,"NA",236,"hermano/a (genero diferente del ego)","cross-sex sibling"
"NA",53,"NA","NA","adobe","adobe"
"NA",55,"NA","NA","cuñada","sister-in-law"
"NA",61,"NA","NA","medicina","medicine"
"NA",69,"NA","NA","cabeza","head"
"NA",71,"NA","NA","jabón","soap"
"NA",72,"NA",215,"cara","face"
"NA",75,27,4,"luna","moon"
"NA",76,"NA","NA","ir","to go"
"NA",77,"NA","NA","peinar","to comb"
"NA",78,"NA",238,"hermana de mujer","sister of female"
"NA",80,"NA","NA","hablar","to speak"
"NA",82,"NA","NA","sobrina","niece"
"NA",83,"NA","NA","sobrino","nephew"
"NA",88,"NA",184,"nueve","nine"
"NA",93,"NA","NA","(guajolote) gallina","turkey hen"
"NA",94,"NA",14,"pez, pescado","fish"
"NA",95,"NA",157,"negro","black"
"NA",96,81,"NA","cuñado","brother-in-law"
"NA",97,"NA",170,"largo, larga","long"
"NA",99,"NA",158,"blanco","white"
"NA",100,68,160,"verde","green"
"NA",105,"NA","NA","vender","to sell"
"NA",106,"NA","NA","metal precioso","precious metal"
"NA",107,"NA",270,"nuevo","new"
"NA",110,67,218,"lengua","tongue"
"NA","NA",1,49,"espina","thorn, spine"
"NA","NA",2,208,"cabello, pelo","hair"
"NA","NA",14,17,"rayo, relámpago","lightning"
"NA","NA",19,"NA","pasto","pasture"
"NA","NA",20,"NA","canción, música","song, music"
"NA","NA",21,91,"camote","tuber, sweet potato"
"NA","NA",24,"NA","quelite","quelite"
"NA","NA",53,"NA","granizo","hail"
"NA","NA",54,266,"crudo","raw, crude"
"NA","NA",55,174,"claro","clear"
"NA","NA",57,"NA","temazcal","sweat bath"
"NA","NA",60,78,"tlacuache","(o)possum"
"NA","NA",63,"NA","celoso","jealous"
"NA","NA",65,"NA","nixtamal","nixtamal"
"NA","NA",66,172,"alto","tall"
"NA","NA",70,"NA","frondoso","leafy, lush, dense"
"NA","NA",71,"NA","amplio","wide"
"NA","NA",73,330,"epazote","goosefoot"
"NA","NA",78,327,"sueño","dream"
"NA","NA",80,37,"metate","quern"
"NA","NA",82,"NA","pozole","pozole"
"NA","NA",83,"NA","nadar","swim"
"NA","NA",84,"NA","puerta","door"
"NA","NA",86,74,"chapulín","grasshopper"
"NA","NA","NA",3,"sol","sun"
"NA","NA","NA",9,"madera","wood"
"NA","NA","NA",11,"hormiga","ant"
"NA","NA","NA",15,"hoja de árbol","leaf"
"NA","NA","NA",16,"tierra","dirt"
"NA","NA","NA",20,"noche","night"
"NA","NA","NA",21,"ceniza","ash"
"NA","NA","NA",27,"piojo","louse"
"NA","NA","NA",32,"semilla","seed"
"NA","NA","NA",35,"estrella","star"
"NA","NA","NA",36,"raíz","root"
