"EWC","JOSS","DURR","SWME","Spanish","English"
285,163,"NA","NA","despacio","slowly"
128,165,"NA","NA","mamey","custard apple"
"NA",166,"NA","NA","moler","grind"
229,167,"NA","NA","ala","wing"
306,168,"NA","NA","banquito","stool, seat"
2,169,"NA","NA","milpa","cornfield"
82,172,"NA","NA","peine","comb"
"NA",173,"NA","NA","se nacio","be born"
316,174,"NA","NA","sabio","wise"
"NA",177,"NA","NA","yo","I"
296,180,"NA","NA","surco","planting row"
"NA",181,"NA","NA","calzon","trousers"
301,182,"NA","NA","sacerdote","priest"
"NA",184,"NA","NA","sabra","will know"
"NA",186,"NA","NA","floja","loose"
"NA",188,"NA","NA","tobaco","tobacco"
72,"NA","NA","NA","abeja","bee"
239,"NA","NA","NA","abuela","grandmother"
240,"NA","NA","NA","abuelo","grandfather"
169,"NA","NA","NA","agrio","sour"
81,"NA","NA","NA","aguacate","avocado"
322,"NA","NA","NA","águila","eagle"
144,"NA","NA","NA","aguja","needle"
41,"NA","NA","NA","aire","air"
338,"NA","NA","NA","alegre","happy"
164,"NA","NA","NA","ancho","wide"
162,"NA","NA","NA","anciano","old, elder"
133,"NA","NA","NA","antier, ante ayer","day before yesterday"
54,"NA","NA","NA","araña","spider"
38,"NA","NA","NA","arena","sand"
146,"NA","NA","NA","arma","weapon"
284,"NA","NA","NA","arriba","above"
328,"NA","NA","NA","arriera","leafcutter ant"
145,"NA","NA","NA","atole","corn gruel"
319,"NA","NA","NA","baúl, cajón","trunk, box"
48,"NA","NA","NA","bejuco, liana","vine"
268,"NA","NA","NA","blando","soft"
52,"NA","NA","NA","bolsa","bag"
279,"NA","NA","NA","bonito","pretty"
201,"NA","NA","NA","brazo","arm"
337,"NA","NA","NA","brillante","shiny"
335,"NA","NA","NA","caballo","horse"
56,"NA","NA","NA","cal","(quick)lime"
147,"NA","NA","NA","canasta","basket"
94,"NA","NA","NA","cangrejo","crab"
50,"NA","NA","NA","carbón","charcoal"
139,"NA","NA","NA","carrizo","reed"
189,"NA","NA","NA","catorce","fourteen"
21,"NA","NA","NA","ceniza","ash"
324,"NA","NA","NA","chango, mono","monkey"
129,"NA","NA","NA","chayote","chayote squash"
329,"NA","NA","NA","chicatana","queen leafcutter ant"
62,"NA","NA","NA","cielo","sky"
138,"NA","NA","NA","cigarro","cigarette"
225,"NA","NA","NA","codo","elbow"
250,"NA","NA","NA","comadre","co-mother"
249,"NA","NA","NA","compadre","co-father"
321,"NA","NA","NA","conejo","rabbit"
100,"NA","NA","NA","copal","incense"
223,"NA","NA","NA","corazón","heart, being"
171,"NA","NA","NA","corto","short"
196,"NA","NA","NA","cuarenta","forty"
199,"NA","NA","NA","cuatrocientos","four hundred"
253,"NA","NA","NA","débil","weak"
221,"NA","NA","NA","dedo","finger"
165,"NA","NA","NA","delgado","thin"
336,"NA","NA","NA","delicado","fussy"
194,"NA","NA","NA","diecinueve","nineteen"
193,"NA","NA","NA","dieciocho","eighteen"
191,"NA","NA","NA","dieciséis","sixteen"
192,"NA","NA","NA","diecisiete","seventeen"
97,"NA","NA","NA","dinero","money"
187,"NA","NA","NA","doce","twelve"
269,"NA","NA","NA","duro","hard"
57,"NA","NA","NA","elote","fresh ear of corn "
175,"NA","NA","NA","enfermo","sick"
80,"NA","NA","NA","escoba","broom"
203,"NA","NA","NA","espalda","back"
58,"NA","NA","NA","espejo","mirror"
310,"NA","NA","NA","esposa","wife "
281,"NA","NA","NA","está lejos","far"
251,"NA","NA","NA","está parejo","flat"
35,"NA","NA","NA","estrella","star"
63,"NA","NA","NA","fiesta","festival"
273,"NA","NA","NA","filoso","sharp"
325,"NA","NA","NA","flecha","arrow"
252,"NA","NA","NA","fuerte","strong"
103,"NA","NA","NA","grasa, manteca","fat, lard"
148,"NA","NA","NA","hamaca","hammock"
84,"NA","NA","NA","harina","flour"
236,"NA","NA","NA","hermana de hombre","sister of male"
238,"NA","NA","NA","hermana de mujer","sister of female"
237,"NA","NA","NA","hermano de mujer","brother of female"
220,"NA","NA","NA","hígado","liver"
15,"NA","NA","NA","hoja de árbol","leaf"
150,"NA","NA","NA","hongo","mushroom"
11,"NA","NA","NA","hormiga","ant"
134,"NA","NA","NA","hoy","today"
90,"NA","NA","NA","ixtle, fibra de maguey","maguey fiber"
163,"NA","NA","NA","joven","young"
149,"NA","NA","NA","ladrón","thief"
320,"NA","NA","NA","lagartija","lizard"
76,"NA","NA","NA","lagarto","cayman"
258,"NA","NA","NA","limpio","clean"
256,"NA","NA","NA","lleno","full"
98,"NA","NA","NA","luz","light"
9,"NA","NA","NA","madera","wood"
233,"NA","NA","NA","madre","mother"
156,"NA","NA","NA","malo","bad"
130,"NA","NA","NA","mañana","tomorrow"
112,"NA","NA","NA","mapache","raccoon"
334,"NA","NA","NA","marrano","pig"
37,"NA","NA",80,"metate","quern"
122,"NA","NA","NA","mezcal, aguardiente","mezcal, liquor"
265,"NA","NA","NA","mojado","wet"
70,"NA","NA","NA","murciélago","bat"
246,"NA","NA","NA","nieta","granddaughter"
245,"NA","NA","NA","nieto","grandson"
20,"NA","NA","NA","noche","night"
10,"NA","NA","NA","nombre de la lengua","endonym for language"
68,"NA","NA","NA","nube","cloud"
339,"NA","NA","NA","nuez","nut, pecan"
198,"NA","NA","NA","ochenta","eighty"
200,"NA","NA","NA","ocho mil","eight thousand"
340,"NA","NA","NA","ocote","pine torch"
204,"NA","NA","NA","ojo","eye"
69,"NA","NA","NA","olote","corncob"
186,"NA","NA","NA","once","eleven"
173,"NA","NA","NA","oscuro","dark"
234,"NA","NA","NA","padre","father"
110,"NA","NA","NA","pantalón","pants"
222,"NA","NA","NA","panza","belly"
211,"NA","NA","NA","pecho","chest"
323,"NA","NA","NA","pedernal","flint"
212,"NA","NA","NA","piel","skin"
217,"NA","NA","NA","pierna","leg"
27,"NA","NA","NA","piojo","louse"
120,"NA","NA","NA","plátano","banana"
124,"NA","NA","NA","polvo","dust, powder"
247,"NA","NA","NA","prima","female cousin"
248,"NA","NA","NA","primo","male cousin"
142,"NA","NA","NA","pulga","flea"
36,"NA","NA","NA","raíz","root"
286,"NA","NA","NA","rápido","quickly"
274,"NA","NA","NA","rasposo","rough"
53,"NA","NA","NA","ratón","mouse"
140,"NA","NA","NA","rebozo","shawl"
261,"NA","NA","NA","rico","rich"
224,"NA","NA","NA","rodilla","knee"
333,"NA","NA","NA","rooster","gallo"
60,"NA","NA","NA","sapo","toad"
