__PK,Language name,Language sub-family,AFFIX (Verb),AFFIX (Lg.),TONE (Verb),TONE (Lg.),STEM (Verb),STEM (Lg.),Citation form,English,Spanish,Transitivity,Stem phonology,Inflectional class by affixation,Stem alternation,Inflected form (IRR),Inflected form (CPL),Inflected form (INCPL),Prefix (IRR),Prefix (CPL),Prefix (INCPL),Tone (IRR),Tone (CPL),Tone (INCPL),Tone of IRR=CPL,Tone of CPL=INCPL
3954,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ku²bi²,be,ser,intr,Bimoraic,n/a,—,ku²bi²,ku²bi²,ku³bi³/ku³u³,—,—,—,22,22,33,True,False
3955,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ku²xa¹an¹,get angry,enojarse,intr,Trimoraic,n/a,—,ku²xa¹an¹,ku²xa¹an¹,ku³xa³an²,—,—,—,211,211,332,True,False
3956,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ku¹xi²,rust,enmohecerse,intr,Bimoraic,n/a,—,ku¹xi²,ku¹xi²,ku³xi²,—,—,—,12,12,32,True,False
3957,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ku²xi²ñi³,dine,cenar,intr,Trimoraic,n/a,—,ku²xi²ñi³,ku²xi²ñi³,ku³xi³ñi³,—,—,—,223,223,333,True,False
3958,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ku¹yaʔ¹bi²,sell,vender,intr,Trimoraic,n/a,—,ku¹yaʔ¹bi²,ku¹yaʔ¹bi²,ku³yaʔ³bi²,—,—,—,112,112,332,True,False
3959,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ku²ya¹tyi¹,have time,tener tiempo,intr,Trimoraic,n/a,—,ku²ya¹tyi¹,ku¹ya¹tyi¹,ku³ya³tyi²,—,—,—,211,111,332,False,False
3960,San Juan Colorado Mixtec,Amuzgo-Mixtecan,True,True,True,,False,True,kui¹ñi¹,be in,estar en,intr,Bimoraic,Class II,—,kui¹ñi¹,tsi¹ñi¹,i³ñi³,ku-,tsi-,—,11,11,33,True,False
3961,San Juan Colorado Mixtec,Amuzgo-Mixtecan,True,True,True,,False,True,ko²o²,be (there is),haber,intr,Bimoraic,Class I,—,ko²o²,tsi¹ko²o²,i²yo³,—,tsi-,tsi-,22,122,23,False,False
3962,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ja¹sɨ²kɨ²,play,jugar,intr,Trimoraic,n/a,—,ja¹sɨ²kɨ²,ja¹sɨ²kɨ²,ja³sɨ³kɨ³,—,—,—,122,122,333,True,False
3963,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,na¹a¹,disappear,desaparecer,intr,Bimoraic,n/a,—,na¹a¹,na¹a¹,na³a³,—,—,—,11,11,33,True,False
3964,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,na¹ka²nda¹,move,moverse,intr,Trimoraic,n/a,—,na¹ka²nda¹,na¹ka²nda¹,na³ka³nda²,—,—,—,121,121,332,True,False
3965,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,na¹kua²tu²,pray,rezar,intr,Trimoraic,n/a,—,na¹kua²tu²,na¹kua²tu²,na³kua³tu³,—,—,—,122,122,333,True,False
3966,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,na¹kuʔ²ba²,shake,sacudir,intr,Trimoraic,n/a,—,na¹kuʔ²ba²,na¹kuʔ²ba²,na²kuʔ³ba²,—,—,—,122,122,232,True,False
3967,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,na¹kuʔ¹bi²,rub,frotar,intr,Trimoraic,n/a,—,na¹kuʔ¹bi²,na¹kuʔ¹bi²,na³kuʔ³bi³,—,—,—,112,112,333,True,False
3968,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,na¹kuʔ²bi¹,get ill,enfermarse,intr,Trimoraic,n/a,—,na¹kuʔ²bi¹,na¹kuʔ²bi¹,na³kuʔ³bi¹,—,—,—,121,121,331,True,False
3969,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,na¹i²tyi¹,dry,secarse,intr,Bimoraic,n/a,—,na¹i²tyi¹,na¹i²tyi¹,na²i³tyi¹,—,—,—,1,1,2,True,False
3970,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,na¹ndi²ka¹,open,abrirse,intr,Trimoraic,n/a,—,na¹ndi²ka¹,na¹ndi²ka¹,na²ndi³ka¹,—,—,—,121,121,231,True,False
3971,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,na¹ndɨ¹yɨ²,shrink,encojerse,intr,Trimoraic,n/a,—,na¹ndɨ¹yɨ²,na¹ndɨ¹yɨ²,na³ndɨ³yɨ³,—,—,—,112,112,333,True,False
3972,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,na¹ndo²to²,revive,revivir,intr,Trimoraic,n/a,—,na¹ndo²to²,na¹ndo²to²,na²ndo³to³,—,—,—,122,122,233,True,False
3973,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,na¹ndu²tyi²,graze,despellejarse,intr,Trimoraic,n/a,—,na¹ndu²tyi²,na¹ndu²tyi²,na³ndu³tyi³,—,—,—,122,122,333,True,False
3974,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,na²ndu²bi²,become,convertirse,intr,Trimoraic,n/a,—,na²ndu²bi²,na²ndu²bi²,na³ndu³bi³,—,—,—,222,222,333,True,False
3975,San Juan Colorado Mixtec,Amuzgo-Mixtecan,True,True,True,,False,True,ku²na¹ñi¹,be called,llamarse,intr,Bimoraic,Class II,—,ku²na¹ñi¹,tsi¹na¹ñi¹,na³ñi³,ku-,tsi-,—,211,111,33,False,False
3976,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,na¹ta¹nɨ¹,uncoil,desenrollarse,intr,Trimoraic,n/a,—,na¹ta¹nɨ¹,na¹ta¹nɨ¹,na²ta³nɨ¹,—,—,—,111,111,231,True,False
3977,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,na¹tɨʔ²bɨ³,sweep,barrer,intr,Trimoraic,n/a,—,na¹tɨʔ²bɨ³,na¹tɨʔ²bɨ³,na²tɨʔ³bɨ³,—,—,—,123,123,233,True,False
3978,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,na²tuʔ²un²,chat,platicar,intr,Trimoraic,n/a,—,na²tuʔ²un²,na²tuʔ²un²,na³tuʔ³un¹,—,—,—,222,222,331,True,False
3979,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,na²tuʔ²ba²,get close,acercarse,intr,Trimoraic,n/a,—,na²tuʔ²ba²,na²tuʔ²ba²,na³tuʔ³ba³,—,—,—,222,222,333,True,False
3980,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,na²tu²bi²,appear,aparecer,intr,Trimoraic,n/a,—,na²tu²bi²,na²tu²bi²,na³tu³bi¹,—,—,—,222,222,331,True,False
3981,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,na¹bi¹ko²,whirl,dar vueltas,intr,Trimoraic,n/a,—,na¹bi¹ko²,na¹bi¹ko²,na³bi³ko³,—,—,—,112,112,333,True,False
3982,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,nu²ña²,open,abrirse,intr,Bimoraic,n/a,—,nu²ña²,nu²ña²,nu³ña³,—,—,—,22,22,33,True,False
3983,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,nda²a²,swell,hincharse,intr,Bimoraic,n/a,—,nda²a²,nda²a²,nda³a³,—,—,—,22,22,33,True,False
3984,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndaʔ²a¹,heal,sanarse,intr,Bimoraic,n/a,—,ndaʔ²a¹,ndaʔ²a¹,ndaaʔ²a³,—,—,—,21,21,23,True,False
3985,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,nda²ba²,jump,brincar,intr,Bimoraic,n/a,—,nda²ba²,nda²ba²,nda³ba³,—,—,—,22,22,33,True,False
3986,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,nda¹ta¹,split,rajarse,intr,Bimoraic,n/a,—,nda¹ta¹,nda¹ta¹,nda³ta¹,—,—,—,11,11,31,True,False
3987,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,nda²tsi²,fade,despintarse,intr,Bimoraic,n/a,—,nda²tsi²,nda²tsi²,nda³tsi³,—,—,—,22,22,33,True,False
3988,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,nda¹tsi¹,be untied,desatarse,intr,Bimoraic,n/a,—,nda¹tsi¹,nda¹tsi¹,nda³tsi¹,—,—,—,11,11,31,True,False
3989,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ku²ndɨʔ²ɨ²,finish,acabarse,intr,Trimoraic,n/a,ku+,ku²ndɨʔ²ɨ²,tsi²ndɨʔ²ɨ²,tsi²ndɨʔ³ɨ²,—,—,—,222,222,232,True,False
3990,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndɨ¹yɨ¹,scorch,chamuscarse,intr,Bimoraic,n/a,—,ndɨ¹yɨ¹,ndɨ¹yɨ¹,ndɨ³yɨ²,—,—,—,11,11,32,True,False
3991,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndo²ko²,dry,secarse,intr,Bimoraic,n/a,—,ndo²ko²,ndo²ko²,ndo³ko³,—,—,—,22,22,33,True,False
3992,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndoʔ¹o¹,be punished,estar castigado,intr,Bimoraic,n/a,—,ndoʔ¹o¹,ndoʔ¹o¹,ndoʔ³o³,—,—,—,11,11,33,True,False
3993,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndo¹o¹,wash,lavar,intr,Bimoraic,n/a,—,ndo¹o¹,ndo¹o¹,ndo³o³,—,—,—,11,11,33,True,False
3994,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndo¹o¹,fade,despintarse,intr,Bimoraic,n/a,—,ndo¹o¹,ndo¹o¹,ndo³o³,—,—,—,11,11,33,True,False
3995,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndo²o²,stay,quedar,intr,Bimoraic,n/a,—,ndo²o²,ndo²o²,ndo³o²,—,—,—,22,22,32,True,False
3996,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndo²to²,wake up,despertarse,intr,Bimoraic,n/a,—,ndo²to²,ndo²to²,ndo³to³,—,—,—,22,22,33,True,False
3997,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndo²yo²,get rid of,deshacerse,intr,Bimoraic,n/a,—,ndo²yo²,ndo²yo²,ndo³yo²,—,—,—,22,22,32,True,False
3998,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndu¹ntye¹e¹,fatten,engordarse,intr,Trimoraic,n/a,—,ndu¹ntye¹e¹,ndu¹ntye¹e¹,ndu²ntye³e³,—,—,—,111,111,233,True,False
3999,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndu²tu²mi¹,fray,deshilarcharse,intr,Trimoraic,n/a,—,ndu²tu²mi¹,ndu²tu²mi¹,ndu²tu³mi¹,—,—,—,221,221,231,True,False
4000,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndu¹tsan¹,vomit,vomitar,intr,Bimoraic,n/a,—,ndu¹tsan¹,ndu¹tsan¹,ndu³tsan³,—,—,—,11,11,33,True,False
4001,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndu²tya²,get crushed,machucarse,intr,Bimoraic,n/a,—,ndu²tya²,ndu²tya²,ndu³tya³,—,—,—,22,22,33,True,False
4002,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndu²ba¹,fall,caerse,intr,Bimoraic,n/a,—,ndu²ba¹,ndu²ba¹,ndu²ba³,—,—,—,21,21,23,True,False
4003,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndu¹baʔ²a¹,heal,sanarse,intr,Trimoraic,n/a,—,ndu¹baʔ²a¹,ndu¹baʔ²a¹,ndu²baʔ³a²,—,—,—,121,121,232,True,False
4004,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,nduʔ²ba¹,boil,hervirse,intr,Bimoraic,n/a,—,nduʔ²ba¹,nduʔ²ba¹,nduuʔ²ba³,—,—,—,21,21,23,True,False
4005,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndu²bi²ta²,get up,levantarse,intr,Trimoraic,n/a,—,ndu²bi²ta²,ndu²bi²ta²,ndu²bi³ta²,—,—,—,222,222,232,True,False
4006,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndu²xa¹an¹,get angry,enojarse,intr,Trimoraic,n/a,—,ndu²xa¹an¹,ndu²xa¹an¹,ndu²xa³an¹,—,—,—,211,211,231,True,False
4007,San Juan Colorado Mixtec,Amuzgo-Mixtecan,True,True,True,,False,True,ku¹ntya¹a¹,sit down,sentarse,intr,Bimoraic,Class II,—,ku¹ntya¹a¹,tsi¹ntya¹a¹,ntya²a³,ku-,tsi-,—,111,111,23,True,False
4008,San Juan Colorado Mixtec,Amuzgo-Mixtecan,True,True,True,,False,True,ku²ntye¹ku¹,be here already,ya estar aquí,intr,Bimoraic,Class II,—,ku²ntye¹ku¹,tsi²ntye¹ku¹,ntye³ku³,ku-,tsi-,—,211,211,33,True,False
4009,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ntye¹e¹,sink,hundirse,intr,Bimoraic,n/a,—,ntye¹e¹,ntye¹e¹,ntye³e²,—,—,—,11,11,32,True,False
4010,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ntyi²ko²,get cold,enfriarse,intr,Bimoraic,n/a,—,ntyi²ko²,ntyi²ko²,ntyi³ko²,—,—,—,22,22,32,True,False
4011,San Juan Colorado Mixtec,Amuzgo-Mixtecan,True,True,True,,False,True,ku²ntyi²i²,be (in a place),estar (en un lugar),intr,Bimoraic,Class II,—,ku²ntyi²i²,tsi²ntyi²i²,ntyi³i³,ku-,tsi-,—,222,222,33,True,False
4012,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ke²e²,come out (on purpose),salir (a propósito),intr,Bimoraic,n/a,—,ke²e²,ke²e²,ke³e³,—,—,—,22,22,33,True,False
4013,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ki²ta²,leave,salir,intr,Bimoraic,n/a,—,ki²ta²,ki²ta²,ki³ta³,—,—,—,22,22,33,True,False
4014,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ki¹ta²tu¹,rest,descansar,intr,Trimoraic,n/a,—,ki¹ta²tu¹,ki¹ta²tu¹,ki³ta³tu³,—,—,—,121,121,333,True,False
4015,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ki¹tu²bi²,appear,aparecer,intr,Trimoraic,n/a,—,ki¹tu²bi²,ki¹tu²bi²,ki³tu³bi²,—,—,—,122,122,332,True,False
4016,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ku¹su¹,sleep,dormir,intr,Bimoraic,n/a,Suppletive,ku¹su¹,ki¹xi¹,ki²xi³,—,—,—,11,11,23,True,False
4017,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,su¹tya²,swim,nadar,intr,Bimoraic,n/a,—,su¹tya²,su¹tya²,su³tya³,—,—,—,12,12,33,True,False
4018,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,taʔ¹an¹,pass,pasar,intr,Bimoraic,n/a,—,taʔ¹an¹,taʔ¹an¹,taaʔ²an³,—,—,—,11,11,23,True,False
4019,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,kaʔ¹nu¹,break,quebrarse,intr,Bimoraic,n/a,ka+,kaʔ¹nu¹,taʔ¹nu¹,taaʔ²nu³,—,—,—,11,11,23,True,False
4020,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ta²an²,tremble,temblar,intr,Bimoraic,n/a,—,ta²an²,ta²an²,ta³an²,—,—,—,22,22,32,True,False
4021,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,taʔ¹bi¹,break,quebrarse,intr,Bimoraic,n/a,—,taʔ¹bi¹,taʔ¹bi¹,taʔ³bi¹,—,—,—,11,11,31,True,False
4022,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ta²na²,moan,gemir,intr,Bimoraic,n/a,—,ta²na²,ta²na²,ta³na³,—,—,—,22,22,33,True,False
4023,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ta¹nɨ¹,be destroyed,estar destruido,intr,Bimoraic,n/a,—,ta¹nɨ¹,ta¹nɨ¹,ta²nɨ³,—,—,—,11,11,23,True,False
4024,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ta¹tsi¹,sow,sembrar,tr,Bimoraic,n/a,—,ta¹tsi¹,ta¹tsi¹,ta³tsi³,—,—,—,11,11,33,True,False
4025,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ta¹xin¹,flatten,achatarse,tr,Bimoraic,n/a,—,ta¹xin¹,ta¹xin¹,ta²xin³,—,—,—,11,11,23,True,False
4026,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ti²ka²a²,be hanging,estar colgado,intr,Trimoraic,n/a,—,ti²ka²a²,ti²ka²a²,ti³ka³a³,—,—,—,222,222,333,True,False
4027,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tɨ²ɨn²,hold onto,agarrarse,intr,Bimoraic,n/a,—,tɨ²ɨn²,tɨ²ɨn²,tɨ³ɨn²,—,—,—,22,22,32,True,False
4028,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,to²o²,drip,gotear,intr,Bimoraic,n/a,—,to²o²,to²o²,to³o²,—,—,—,22,22,32,True,False
4029,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tɨ¹bɨ²,throw out,echar a perder,intr,Bimoraic,n/a,—,tɨ¹bɨ²,tɨ¹bɨ²,tɨ³bɨ³,—,—,—,12,12,33,True,False
4030,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tu¹tu²,whistle,chiflar,intr,Bimoraic,n/a,—,tu¹tu²,tu¹tu²,tu³tu³,—,—,—,12,12,33,True,False
4031,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tu²bi²,get food poisoning,intoxicarse,intr,Bimoraic,n/a,—,tu²bi²,tu²bi²,tu³bi²,—,—,—,22,22,32,True,False
4032,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tsa²a²,flourish,florecer,intr,Bimoraic,n/a,—,tsa²a²,tsa²a²,tsa³a³,—,—,—,22,22,33,True,False
4033,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tsa¹a¹,arrive,llegar,intr,Bimoraic,n/a,—,tsa¹a¹,tsa¹a¹,tsa²a³,—,—,—,11,11,23,True,False
4034,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ba¹ku¹,cry,llorar,intr,Bimoraic,n/a,ba+,ba¹ku¹,tsa¹ku¹,tsa³ku³,—,—,—,11,11,33,True,False
4035,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,kuaʔ²nu²,grow,crecer,intr,Bimoraic,n/a,ku+,kuaʔ²nu²,tsaʔ²nu²,tsaʔ³nu³,—,—,—,22,22,33,True,False
4036,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,kua²ñi²,dance,bailar,intr,Bimoraic,n/a,ku+,kua²ñi²,tsa²ñi²,tsa²ñi³,—,—,—,22,22,23,True,False
4037,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ka²tɨ²,be intimidated,acobardarse,intr,Bimoraic,n/a,ka+,ka²tɨ²,tsa²tɨ²,tsa³tɨ³,—,—,—,22,22,33,True,False
4038,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ka²tsi²,hurt,doler,intr,Bimoraic,n/a,ka+,ka²tsi²,tsa²tsi²,tsa³tsi³,—,—,—,22,22,33,True,False
4039,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ka²ka²,walk,andar,intr,Bimoraic,n/a,ka+,ka²ka²,tsi²ka²,tsi³ka³,—,—,—,22,22,33,True,False
4040,San Juan Colorado Mixtec,Amuzgo-Mixtecan,True,True,True,,False,True,ka²ba²,lie down,acostarse,intr,Bimoraic,Class I,—,ka²ba²,tsi¹ka¹ba¹,tsi²ka³ba²,—,tsi-,tsi-,22,111,232,False,False
4041,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,bi¹ko¹,rock,mecer,tr,Bimoraic,n/a,ba+,bi¹ko¹,tsi¹ko¹,tsi³ko³,—,—,—,11,11,33,True,False
4042,San Juan Colorado Mixtec,Amuzgo-Mixtecan,True,True,True,,False,True,kui²ta²,bow,inclinarse,intr,Bimoraic,Class I,—,kui²ta²,tsi²kui²ta²,tsi²kui³ta²,—,tsi-,tsi-,22,222,232,False,False
4043,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ku²kuɨ¹ñɨ¹,stand up,pararse,intr,Trimoraic,n/a,ku+,ku²kuɨ¹ñɨ¹,tsi²kuɨ¹ñɨ¹,tsi²kuɨ³ñɨ²,—,—,—,211,211,232,True,False
4044,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,bi²kun²,get stuck,atorarse,intr,Bimoraic,n/a,ba+,bi²kun²,tsi²kun²,tsi²kun³,—,—,—,22,22,23,True,False
4045,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tsiʔ²in²,drip,gotear,intr,Bimoraic,n/a,—,tsiʔ²in²,tsiʔ²in²,tsiʔ³in²,—,—,—,22,22,32,True,False
4046,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,"ku¹bi¹, ku¹u¹",die,morir,intr,Bimoraic,n/a,ku+,"ku¹bi¹,  ku¹u¹",tsiʔ¹i¹,tsiiʔ²i³,—,—,—,11,11,23,True,False
4047,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ku²na²a²,lose,perderse,intr,Trimoraic,n/a,ku+,ku²na²a²,tsi²na²a²,tsi¹na²a²,—,—,—,222,222,122,True,False
4048,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ku²nu²,run,correr,intr,Bimoraic,n/a,ku+,ku²nu²,tsi²nu²,tsi³nu³,—,—,—,22,22,33,True,False
4049,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tsi²nu²,build,construir,tr,Bimoraic,n/a,—,tsi²nu²,tsi²nu²,tsi³nu²,—,—,—,22,22,32,True,False
4050,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ku¹nuʔ²ñi³,tie up,amarrarse,intr,Trimoraic,n/a,ku+,ku¹nuʔ²ñi³,tsi¹nuʔ²ñi¹,tsi²nuʔ³ñi¹,—,—,—,123,121,231,False,False
4051,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ku²nda²sɨ¹,close,cerrarse,intr,Trimoraic,n/a,ku+,ku²nda²sɨ¹,tsi¹nda²sɨ¹,tsi²nda³sɨ¹,—,—,—,221,121,231,False,False
4052,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ku¹ña¹,breed (animals),reproducir (animales),intr,Bimoraic,n/a,ku+,ku¹ña¹,tsi¹ña¹,tsi²ña³,—,—,—,11,11,23,True,False
4053,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ku¹ñi²,get drunk,emborracharse,intr,Bimoraic,n/a,ku+,ku¹ñi²,tsi¹ñi²,tsi³ñi²,—,—,—,12,12,32,True,False
4054,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,kui²ta²,bow,inclinarse,intr,Bimoraic,n/a,ku+,kui²ta²,tsi²ta²,tsi³ta²,—,—,—,22,22,32,True,False
4055,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ku¹tu²,be full,estar lleno,intr,Bimoraic,n/a,ku+,ku¹tu²,tsi¹tu²,tsi³tu³,—,—,—,12,12,33,True,False
4056,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ku²tsa²,get solid,macizarse,intr,Bimoraic,n/a,ku+,ku²tsa²,tsi¹tsa²,tsi³tsa³,—,—,—,22,12,33,False,False
4057,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ku¹tyi²,ripen,madurar,intr,Bimoraic,n/a,ku+,ku¹tyi²,tsi¹tyi²,tsi³tyi²,—,—,—,12,12,32,True,False
4058,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tsi¹yo²,have diarrhea,tener diarrea,intr,Bimoraic,n/a,—,tsi¹yo²,tsi¹yo²,tsi³yo²,—,—,—,12,12,32,True,False
4059,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tyaʔ²ntya¹,cut,cortarse,intr,Bimoraic,n/a,—,tyaʔ²ntya¹,tyaʔ²ntya¹,tyaaʔ²ntya³,—,—,—,21,21,23,True,False
4060,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tyaʔ²yu¹,rot,pudrirse,intr,Bimoraic,n/a,—,tyaʔ²yu¹,tyaʔ²yu¹,tyaaʔ²yu³,—,—,—,21,21,23,True,False
4061,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tya²ku¹,hear,oír,tr,Bimoraic,n/a,—,tya²ku¹,tya²ku¹,tya²ku³,—,—,—,21,21,23,True,False
4062,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tya¹tya²,urinate,orinar,intr,Bimoraic,n/a,—,tya¹tya²,tya¹tya²,tya³tya³,—,—,—,12,12,33,True,False
4063,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,kua²xin²,"go into, meddle",meterse,intr,Bimoraic,n/a,ku+,kua²xin²,tya²xin²,tya³xin²,—,—,—,22,22,32,True,False
4064,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tyiʔ¹yo¹,"cook, boil",cocer,tr,Bimoraic,n/a,—,tyiʔ¹yo¹,tyiʔ¹yo¹,tyiʔ³yo¹,—,—,—,11,11,31,True,False
