__PK,Language name,Language sub-family,AFFIX (Verb),AFFIX (Lg.),TONE (Verb),TONE (Lg.),STEM (Verb),STEM (Lg.),Citation form,English,Spanish,Transitivity,Stem phonology,Inflectional class by affixation,Stem alternation,Inflected form (IRR),Inflected form (CPL),Inflected form (INCPL),Prefix (IRR),Prefix (CPL),Prefix (INCPL),Tone (IRR),Tone (CPL),Tone (INCPL),Tone of IRR=CPL,Tone of CPL=INCPL
3898,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,nda¹kan¹,"ask, request",pedir,tr,Bimoraic,n/a,Irregular,nda¹kan¹,tsi¹kan¹,tsi²kan³,—,—,—,11,11,23,True,False
3899,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,koʔ¹o¹,take,tomar,tr,Bimoraic,n/a,ku+,koʔ¹o¹,tsiʔ¹i¹,tsiʔ³i³,—,—,—,11,11,33,True,False
3900,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ku¹ñi¹,understand,entender,tr,Bimoraic,n/a,ku+,ku¹ñi¹,tsi¹ñi¹,tsi³ñi³,—,—,—,11,11,33,True,False
3901,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ko²to²,know,conocer,tr,Bimoraic,n/a,ku+,ko²to²,tsi²to²,tsi³to³,—,—,—,22,22,33,True,False
3902,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ka²ta²,sing,cantar,tr,Bimoraic,n/a,ka+,ka²ta²,tsi²ta²,tsi³ta³,—,—,—,22,22,33,True,False
3903,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tya²a²,put,poner,tr,Bimoraic,n/a,—,tya²a²,tya²a²,tya³a³,—,—,—,22,22,33,True,False
3904,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tyaʔ²bi²,pay,pagar,tr,Bimoraic,n/a,—,tyaʔ²bi²,tyaʔ²bi²,tyaʔ³bi²,—,—,—,22,22,32,True,False
3905,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tya¹ndaʔ¹a²,push,empujar,tr,Trimoraic,n/a,—,tya¹ndaʔ¹a²,tya¹ndaʔ¹a²,tya³ndaʔ³a³,—,—,—,112,112,333,True,False
3906,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ka²sɨ¹,close,cerrar,tr,Bimoraic,n/a,ka+,ka²sɨ¹,tya²sɨ¹,tya²sɨ³,—,—,—,21,21,23,True,False
3907,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tya¹soʔ¹o¹,listen,escuchar,tr,Trimoraic,n/a,—,tya¹soʔ¹o¹,tya¹soʔ¹o¹,tya³soʔ³o²,—,—,—,111,111,332,True,False
3908,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ka²xin²,breastfeed,mamar,tr,Bimoraic,n/a,ka+,ka²xin²,tya²xin²,tya³xin³,—,—,—,22,22,33,True,False
3909,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,kua²xin²,put,meter,tr,Bimoraic,n/a,ku+,kua²xin²,tya²xin²,tya³xin²,—,—,—,22,22,32,True,False
3910,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ka²xin²,flatten,achatar,tr,Bimoraic,n/a,ka+,ka²xin²,tya²xin²,tya²xin³,—,—,—,22,22,23,True,False
3911,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tya¹ya¹a¹,lick,lamer,tr,Trimoraic,n/a,—,tya¹ya¹a¹,tya¹ya¹a¹,tya³ya³a³,—,—,—,111,111,333,True,False
3912,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tya¹yuʔ¹u²,kiss,besar,tr,Trimoraic,n/a,—,tya¹yuʔ¹u²,tya¹yuʔ¹u²,tya³yuʔ³u³,—,—,—,112,112,333,True,False
3913,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tyi¹kuʔ²ba¹,measure,medir,tr,Trimoraic,n/a,—,tyi¹kuʔ²ba¹,tyi¹kuʔ²ba¹,tyi³kuʔ³ba²,—,—,—,121,121,332,True,False
3914,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tyi¹kuʔ²ba¹,correct,corregir,tr,Trimoraic,n/a,—,tyi¹kuʔ²ba¹,tyi¹kuʔ²ba¹,tyi³kuʔ³ba²,—,—,—,121,121,332,True,False
3915,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tyiʔ²i²,put,meter,tr,Bimoraic,n/a,—,tyiʔ²i²,tyiʔ²i²,tyiʔ³i³,—,—,—,22,22,33,True,False
3916,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,kui²so²,sting,picar,tr,Bimoraic,n/a,ku+,kui²so²,tyi²so²,tyi³so²,—,—,—,22,22,32,True,False
3917,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tyi¹so²,put on,poner sobre,tr,Bimoraic,n/a,—,tyi¹so²,tyi¹so²,tyi²so³,—,—,—,12,12,23,True,False
3918,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tyi¹tu¹bi²,roll,enrollar,tr,Trimoraic,n/a,—,tyi¹tu¹bi²,tyi¹tu¹bi²,tyi³tu³bi³,—,—,—,112,112,333,True,False
3919,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tyi²tsaʔ¹a²,obey,obedecer,tr,Trimoraic,n/a,—,tyi²tsaʔ¹a²,tyi²tsaʔ¹a²,tyi³tsaʔ³a³,—,—,—,212,212,333,True,False
3920,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ko¹so¹,water,regar,tr,Bimoraic,n/a,ku+,ko¹so¹,tyo¹so¹,tyo²so³,—,—,—,11,11,23,True,False
3921,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,xa¹tya²,sharpen,sacar punta,tr,Bimoraic,n/a,—,xa¹tya²,xa¹tya²,xa³tya³,—,—,—,12,12,33,True,False
3922,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,xi²ko³,sell,vender,tr,Bimoraic,n/a,—,xi²ko³,xi¹ko³,xi³ko³,—,—,—,23,13,33,False,False
3923,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,yaʔ²a²,pass,pasar,tr,Bimoraic,n/a,—,yaʔ²a²,yaʔ²a²,yaʔ³a²,—,—,—,22,22,32,True,False
3924,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,kaʔ²ndɨ¹,burst,reventarse,intr,Bimoraic,n/a,—,kaʔ²ndɨ¹,kaʔ²ndɨ¹,kaaʔ²ndɨ³,—,—,—,21,21,23,True,False
3925,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ka¹an¹,get used to,acostumbrar,intr,Bimoraic,n/a,—,ka¹an¹,ka¹an¹,ka³an²,—,—,—,11,11,32,True,False
3926,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ka²ku²,be born,nacer,intr,Bimoraic,n/a,—,ka²ku²,ka¹ku¹,ka³ku³,—,—,—,22,11,33,False,False
3927,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ka¹ku¹,be saved,estar salvado,intr,Bimoraic,n/a,—,ka¹ku¹,ka¹ku¹,ka³ku²,—,—,—,11,11,32,True,False
3928,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,kaʔ²yɨ¹,put on make-up,pintarse,intr,Bimoraic,n/a,—,kaʔ²yɨ¹,kaʔ²yɨ¹,kaʔ³yɨ¹,—,—,—,21,21,31,True,False
3929,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ka²nda¹,move,moverse,intr,Bimoraic,n/a,—,ka²nda¹,ka²nda¹,ka²nda³,—,—,—,21,21,23,True,False
3930,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ka²na²,get out,salirse,intr,Bimoraic,n/a,—,ka²na²,ka²na²,ka³na³,—,—,—,22,22,33,True,False
3931,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ka¹tsaʔ²a²,start,empezar,intr,Trimoraic,n/a,—,ka¹tsaʔ²a²,ka¹tsaʔ²a²,ka³tsaʔ³a³,—,—,—,122,122,333,True,False
