IDlist,GLOSS,VALUE,FORM,ID,NOTES,DOCULECT,SOURCE
62,ardilla,ndigwáñu,,3227,,tlah11,oxnard2020
62,ardilla,tsìkuáñu,,3228,,pied12,oxnard2020
62,ardilla,ntsìkuáñu,,3229,,flor12,oxnard2020
62,ardilla,ndikuání,,3230,,mont12,oxnard2020
62,ardilla,ndikwáín,,3231,,bate11,oxnard2020
63,zorrillo,lílú,,3232,,tlah11,oxnard2020
63,zorrillo,léló,,3233,,pied12,oxnard2020
63,zorrillo,léló,,3234,,flor12,oxnard2020
63,zorrillo,tinìín,,3235,,mont12,oxnard2020
63,zorrillo,tí'inità,,3236,,bate11,oxnard2020
63,zorrillo,lírrú ka'a ye'è,,3237,,tlah11,oxnard2020
63,zorrillo,kòjo yuù,,3238,,mont12,oxnard2020
64,tlacuache,xàko,,3239,,tlah11,oxnard2020
64,tlacuache,xàko,,3240,,pied12,oxnard2020
64,tlacuache,xàjkó,,3241,,flor12,oxnard2020
64,tlacuache,sákua,,3242,,mont12,oxnard2020
64,tlacuache,tsóko,,3243,,bate11,oxnard2020
65,mapache,íin ,,3244,,tlah11,oxnard2020
65,mapache,má'a,,3245,,pied12,oxnard2020
65,mapache,má'à,,3246,,flor12,oxnard2020
65,mapache,maa,,3247,,mont12,oxnard2020
66,conejo,leso,,3248,,tlah11,oxnard2020
66,conejo,leso,,3249,,pied12,oxnard2020
66,conejo,lèso,,3250,,flor12,oxnard2020
66,conejo,isò,,3251,,mont12,oxnard2020
66,conejo,lésú,,3252,,bate11,oxnard2020
67,zopilote,pe'lo,,3253,,tlah11,oxnard2020
67,zopilote,tsìkǒxìjǐ,,3254,,pied12,oxnard2020
67,zopilote,tsìkòxìjǐ,,3255,,flor12,oxnard2020
67,zopilote,tì kàká,,3256,,mont12,oxnard2020
67,zopilote,lóchí,,3257,,bate11,oxnard2020
68,perro,tìna,,3258,,tlah11,oxnard2020
68,perro,tsìnâ,,3259,,pied12,oxnard2020
68,perro,tsǐnâ,,3260,,flor12,oxnard2020
68,perro,tìna,,3261,,mont12,oxnard2020
68,perro,tǐnà,,3262,,bate11,oxnard2020
69,gato,chítu,,3263,,tlah11,oxnard2020
69,gato,chújtu,,3264,,pied12,oxnard2020
69,gato,chútu,,3265,,flor12,oxnard2020
69,gato,chitó,,3266,,mont12,oxnard2020
69,gato,vílú,,3267,,bate11,oxnard2020
69,gato,vilú,,3268,,tlah11,oxnard2020
69,gato,{micho},,3269,,mont12,oxnard2020
70,gallo,chéle,,3270,,tlah11,oxnard2020
70,gallo,chéle,,3271,,pied12,oxnard2020
70,gallo,chéle,,3272,,flor12,oxnard2020
70,gallo,chéle,,3273,,mont12,oxnard2020
70,gallo,tó'lo,,3274,,bate11,oxnard2020
71,gallina,ndyuxí,,3275,,tlah11,oxnard2020
71,gallina,nchuxí,,3276,,pied12,oxnard2020
71,gallina,nchuxi,,3277,,flor12,oxnard2020
71,gallina,chùún,,3278,,bate11,oxnard2020
72,cerdo,kìnì,,3279,,tlah11,oxnard2020
72,cerdo,kinì,,3280,,pied12,oxnard2020
72,cerdo,kinì,,3281,,flor12,oxnard2020
72,cerdo,ndìkochí,,3282,,mont12,oxnard2020
72,cerdo,kinì,,3283,,bate11,oxnard2020
73,caballo,kwayì,,3284,,tlah11,oxnard2020
73,caballo,{kuayì},,3285,,pied12,oxnard2020
73,caballo,kuayì,,3286,,flor12,oxnard2020
73,caballo,kuáyì,,3287,,mont12,oxnard2020
73,caballo,kwa.ìì,,3288,,bate11,oxnard2020
74,borrego,levo,,3289,,tlah11,oxnard2020
74,borrego,lanchi,,3290,,pied12,oxnard2020
74,borrego,lanchi,,3291,,flor12,oxnard2020
74,borrego,lévo,,3292,,mont12,oxnard2020
74,borrego,ndikachi,,3293,,bate11,oxnard2020
