IDlist,GLOSS,ID,English,tlah11,pied12,flor12,mont12,bate11,asun11
28,uña,205,fingernail,chiǐ,chíjǐn,chíjǐn,chiín,chîín,NA
29,espalda,388,back,sàtá,sàjtǎ,sàtǎ,sàtà,sàta,NA
30,estómago,687,stomach (organ),tìxin,nchìxìn,xìtsivà,tìsi,NA,NA
31,tripa,216,tripe,siti,xitsîn,xitsi,sutì,tsitì,NA
32,pie,214,foot,xa'á,xà'ǎ,xa'ǎ,sà'à,tsa'á,NA
33,enfermedad,244,illness,kuè'è,kuè'è,kuè'è,kuè'è,kwè'è,NA
34,medicina,610,medicine,tàtán,tàjtǎn,tàjtǎn,,NA,NA
35,hinchazón,200,swelling,kwiñu,kuiñu,kuiñu,kuiñu,kwiñu,NA
36,grano ,232,pimple,ndì'i,ntsì'i,ntsi'í,ndì'i,ndì'in,NA
37,pus,181,pus,lakwá,ntajkuà,ndajkua,ndakuà,ndakwà,NA
38,orina,236,urine,láxa,lǎxa,láxa,tìlàlá,nché xàxà,NA
39,ropa,277,clothes,samá,tsiǎà,tsiǎà,jàmà,sa'mǎ,NA
40,huarache,219,sandal,ndìxán,nchìxǎn ,ntsìxǎn,ndìsà,ntsìtsǎ,NA
41,pantalón,331,pants,xatu,xajtû,xajtû,satì,tsatù,NA
42,huipil,124,woven blouse,sa'má ndá'vi,,,,sa'mǎ kwitsì,NA
43,pueblo,90,village,ñuun,ñuù,ñuù,ñoò,ñǔun,NA
44,casa,73,house,ve'e,ve'e,ve'e,ve'e,ve'e,ve'è
45,camino,147,path,ichí,ichǐ,ichǐ,ichì,ichǐ,NA
46,horcón,220,housepost,si'ìn,sì'ìn,si'ìn,tìjìn,,NA
47,petate,92,sleeping mat,yuví,yivǐ,yijvǐ,yivì,yuvǐ,NA
48,cama,105,bed,xìto,xìto,xìjto,sìto,tsìto,NA
49,silla,621,chair,taì,tsiáyi,tsiayì,tyáyì,chei,NA
50,animal,40,animal,kití,kitsǐ,kijtsǐ,kitì,kitǐ,kítyi
51,pájaro,62,bird,sàà,saà,saà,laà,saà,laa
52,pescado,64,fish,tyàká,tsiàká,tsiàká,tiyàká,chakǎ,tiyaka
53,culebra,173,snake,kòó,kòjǒ,kòjǒ,kòò,kòó,NA
54,rana,234,frog,lá'và,sá'và,sá'và,lavà,sa'và,NA
55,gavilán,201,hawk,xí'ña,xi'ña,xí'ña,ndixíñá,xí'an,NA
56,alacrán,34,scorpion,tísò'ma,tsìso'mà,so'mà,tìjimà,tìsu'mà,tyìní'mà
57,cucaracha,242,cockroach,tìtè'é,tsìtsie'é,tsìtse'é,,ndiché'é,NA
58,chapulín,158,grasshopper,tìka,tsikâ,tsikâ,ndìtíì,tìká,NA
59,abeja,154,bee,ñùñú,ñùñǔ,ñùjñǔ,tíñoñò,ñùñǔ,NA
60,ratón,286,mouse,ti'ín,tsìín,tsìín,titìín,tǐ'in,NA
61,venado,100,deer,isu,usû,usû,sìkuaà,isù,NA
62,ardilla,262,squirrel,ndigwáñu,tsìkuáñu,ntsìkuáñu,ndikuání,ndikwáín,NA
63,zorrillo,174,skunk,lílú,léló,léló,tinìín,tí'inità,NA
63,zorrillo,175,skunk,lírrú ka'a ye'è,,,kòjo yuù,,NA
64,tlacuache,157,possum,xàko,xàko,xàjkó,sákua,tsóko,NA
65,mapache,503,raccoon,íin ,má'a,má'à,maa,NA,NA
66,conejo,189,rabbit,leso,leso,lèso,isò,lésú,NA
67,zopilote,149,vulture,pe'lo,tsìkǒxìjǐ,tsìkòxìjǐ,tì kàká,lóchí,NA
68,perro,336,dog,tìna,tsìnâ,tsǐnâ,tìna,tǐnà,NA
69,gato,211,cat,chítu,chújtu,chútu,chitó,vílú,NA
69,gato,212,cat,vilú,,,{micho},,NA
70,gallo,313,rooster,chéle,chéle,chéle,chéle,tó'lo,NA
71,gallina,412,hen,ndyuxí,nchuxí,nchuxi,,chùún,NA
72,cerdo,268,pig,kìnì,kinì,kinì,ndìkochí,kinì,kochí
73,caballo,343,horse,kwayì,{kuayì},kuayì,kuáyì,kwa.ìì,NA
74,borrego,193,sheep,levo,lanchi,lanchi,lévo,ndikachi,NA
75,hormiga,61,ant,tyòkó,tsiòkó,tsiòkó,tìkù kuaá,chokǒ,tsiyo'ò kwáa
76,cuerno,172,horn,ndikí,ntsikǐn,ntsikǐ,ndikì,ndikǐ,NA
77,pluma,94,feather,tùmi,tǒmî,tǒmî,tòmi,tùmì,NA
78,ala,33,wing,ndìxin,nchìxǐn,nchìxǐn,ndìsì,ntsìtsǐ,ndyìsì
79,cola,95,tail,ndo'ó,nto'ǒ,nto'ǒ,ndo'ò,ndo'ó,NA
80,árbol,830,tree,itú,ijtǔ,ijtǔn,NA,NA,NA
81,hierba,256,grass,yùkù,yùjkù,yùjkù,yùkù,yùkù,NA
82,zacate/pasto,330,grass,ità,ijtsiâ,ijtsià,ityà,ichà,NA
83,flor,89,flower,ita,ijtâ,ita,ítà,ità,NA
84,maguey,70,maguey (century plant),yaví,yavǐ,yajvǐ,yavì,yávi,yávì
84,maguey,390,maguey,viìntyà' víxin,tsìkǔxin,yàjvǐ,,NA,NA
85,raíz,86,root,tyò'o,tsiò'o,tsiò'o,yò'ò,yo'ó,yo'ò
86,"espina, araña",361,NA,iñú,ijñǔ,ijñǔ,iñò,iñǔ,NA
87,maíz,42,corn (in grain),nùní,nùnǐ,nùjnǐ,nònì,nùnǐ,nùní
88,milpa,43,cornfield,itu,utû,ujtû,itì,itù,ityi
89,"elote (no crudo, para comer)",303,fresh corn on the cob,ndixín,nchixǐ,nchìxǐ,ndixì,ndixî,NA
90,nixtamal,595,cooked corn,xá'a,xá'a,xá'a,,tsa'á,NA
91,masa,153,dough,yùxán,ixǎn,ixǎn,yusà,yútsa,NA
92,tortilla,103,tortilla,xìtá,xìtǎ,xìtǎ,xìtà,stàá,NA
93,rastrojo,206,stubble field,xe'è nùú ñu'ú,xè'è,xè'è mii,ñàmà,tiàmá,NA
94,surco,257,planting row,chìchi,í'tsin,chìchi,chìchi,chìchi,NA
94,surco,258,planting row,,,,yikò,NA,NA
95,espiga de milpa (215? GRB),640,corn spike,yokó itu,yojkǒ,yojkǒ,,NA,NA
96,frijol,45,beans,nduchí,ntuchǐ,ntujchǐ,nduchì,nduchǐ,ndyúchì
97,ejote,194,green bean,ndìchi,nchìchî,nchǐchî,ndìchi,nchichî,NA
98,chile,72,chili pepper,ya'á,ya'ǎ,ya'ǎ,yá'à,ya'á,yá'à
99,sal,3,salt,ìín,ìjǐn,ììn,nìì,ìǐn,ñiì
100,calabaza,74,squash,ikín,ikǐn,ijkǐn,yikì,íki,yíkì
100,calabaza,366,squash,ikín,kiá'mǐ,ikǐn,yikì,ikǐ,NA
101,chayote,161,chayote squash,nañá,nañǎ,najñǎ,tináñà,nañǎ,NA
102,caña,126,(sugar)cane,ndòó,ntòjǒ,ntojǒ,ndòò,ndòó,NA
103,miel,198,honey,ñùñú,ntǔxi,ntǔxi,ñoñò,ndǔxì,NA
104,manteca,101,grease,xà'an,xǎ'ân,xǎ'ân,xà'án,xǎ'àn,NA
105,huevo,63,egg,ndìví,ntsìvǐ,ntsìjvǐ,ndìvì,ndìvǐ,ndìvì
106,tomate,79,tomato,tnàná,tsìnanǎ,tsìnanǎ,tìnanà,tinǎna,tinaná
107,camote,288,tuber,ndya'mí,ña'mǐ,ña'mì,ñamìì,ña'mǐ,NA
108,aguacate,291,avocado,tìchi,chìjchí,chìjchí,tìchí,tǐchi,NA
109,plátano,341,banana,ndiká,ntsijkǎ,ntsijkǎ,ndikà,nchikǎ,NA
110,nopal,213,nopal,vì'tá,vi'ntsiǎ,vi'ntsiǎ,mindyà,mì'nchǎ,NA
111,mamey,247,mamey,ndiká kwá'a,ntsiká kuá'a,ntsiká kuá'a,ndokò kuaá,,NA
111,zapote,678,zapote,ndokó,ntòkǒ,ntsìká kuá'a,ndokò,NA,NA
112,chirimoya,494,cherimoya,ndokó tyá'tàn,ntokǒ,ntojkǒ,,NA,NA
113,hongo,362,mushroom,xì'í,xi'ǐ,xi'ǐ,sì'ì,tsì'ǐ,NA
114,carne,83,meat,kùñu,koñû,koñô,kòño,kǔñù,kùñù
115,comal,106,griddle,xìyó,xìyǒ,xìjyǒ,,tsiòó,NA
116,olla,197,clay pot,kìsi,kìsi,kìsi,kìji,kìsi,NA
117,horno,130,oven,xitùn,xìtùn,,sìtò,tsìtù,NA
118,"fuego, lumbre",203,fire,ñu'ùn,ñu'ù,ñu'ù,ñoò,ñu'ù,NA
119,ceniza,71,ash,yàá,yàjǎ,yàjǎ,ya'à,yàá,yáà
120,carbón,8,charcoal,tùún,tùún,tòjǔn,tò'òn,tùǔn,ùùn
120,carbón,398,charcoal,tùún,tsìkàyì,tùjun,to'on,NA,NA
121,humo,78,smoke,yu'mà,i'màn,ì'mân,ñìmà,ñu'ma`,ni'mà
122,basura,210,waste,xe'è,xè'è,xè'è,sè'è,mǐ'in ,NA
123,plato,NA,NA,NA,NA,NA,NA,NA,NA
124,jícara,58,gourd,yaxín  te'é,yaxǐn tsié'é,yaxǐn,yasì,yátsǐ,yásì
125,tenate,59,tortilla basket,ndò'ó,ntò'ǒ,ntò'ǒ,ndò'ò,ndoò tsítí,ndo'ò
125,canasta,720,basket,tòká,kanàsta,tìká,,NA,NA
126,"caja, cajón",NA,NA,NA,NA,NA,NA,NA,NA
127,hilo,118,thread,yù'và,yi'và,yi'và,yìvà,yù'à,NA
128,peine,252,comb,kwikà,kuijkà,kuikà,kuìkà,kwìkà,NA
129,mecate,87,rope,yo'ó,yo'ǒ,yo'ǒ,yo'ò,yo'ó,NA
130,agujero,31,hole,yàvì,yavì,yavì,yavì,yavì,yavì
131,red,122,mesh,yáti,yujñǔ,,tiyivá,ñunǔ,NA
132,jabón,815,soap,nàma,NA,nǎjma,NA,NA,NA
133,anillo,855,ring,xé'é,NA,NA,NA,NA,NA
134,luna,44,moon,yóǒ,yòjǒ,yòjǒ,yòò,yòó,yóò
135,nube,150,cloud,vìkó,vìkǒ,vìjkǒ,vìkò,vìkǒ,vikò
136,relámpago,493,lightning,taxan sàví,taxa,kááni sàjvǐ / taxa,,ntsá nduchǎ,NA
136,rayo,67,lightning,kaxan,taxa,taxa,ndasa,tatsa,NA
137,agua,23,water,tìkwíi,tsìkuǐi,tsìkuǐi,tikuií,chukwíi,tsikwií
138,lluvia,68,rain,sàví,sàvǐ,sàjvǐ,jàvì,sàvǐ,jàvì
139,río,108,river,ìta,ìtsia,ìjtsia,yùtya,yùcha,NA
140,rocío,148,dew,kaxin,yúyú,yúyú es brisa / yìva cuando hace mucho frio como,yúyú,yúyú,NA
141,cerro,176,mountain,ko'nto,ko'nto,ko'nto,yukù,yùkǔ,NA
142,llano,241,plain,yosó,yosǒ ,yosǒ ,yojò,yosǒ,NA
143,piedra,254,stone,yùú,yùjǔ,yùjǔ,yùù,yùú,NA
144,algodón,35,cotton,kàchí,kàchǐ,kàjchǐ,kàchì,kàchǐ,kachì
145,fierro,261,metal,kàà,kǎà,kàa,kà'a,kàa,kàà
146,papel,332,paper,tutu,tujtû,tutu,tutì,NA,NA
147,cal,333,limestone,kaka,kajkâ,kajka,kakà,kakà,NA
148,cera,96,wax,yùmá,ìmǎ,ìjmǎ,nìmà,ñùmǎ,NA
149,lodo,109,mud,ndà'ì,ntsia'yì,ntsia'yì,ndyàyì,nchà'ì,NA
150,espuma,120,foam,ñùñùn,chìkìñù,chìkìñù,chi'ìñò,tiñun`,NA
150,espuma,881,foam,chiñùn,,NA,,,NA
151,polvo,295,dust,yáka,yájkǎ,yakǎ,yàká,yǎka,NA
152,rojo,116,red,kwá'a,kuá'a,kuá'a,kua'á,kwaá o kwá'à ,NA
153,verde,298,green,kwí'ǐ,kuijǐ,kuijǐ,kuíì,kwíìí  (o) kwíǐ,NA
154,amarillo,39,yellow,kwáan,kuáan,kuáan,kuaán,kwáan,kwaá
155,negro,308,black,ndáá/tùú,tùjǔn,tòjǒn,tòón,nché'ì,NA
155,negro,309,black,ndaá/tùú,ntsiayì,,,nché'ì,NA
156,blanco,284,white,yaa,yaa,yaa,yaa,yaa,NA
157,uno,1,one,iin,iin,iin,iin,iin,iin
158,dos,229,two,ùvì,ìvì,ìvì,ìvì,ùvì,NA
159,tres,111,three,ùnì,ònì,ònì,ònì,ùnì,NA
160,cuatro,93,four,kòmí,kòmǐ,kòjmǐ,kòmì,kùmǐ,NA
161,cinco,113,five,ù'ùn,ù'ùn,ù'ùn,ò'òn,ù'ùn,NA
162,seis,204,six,ìñù,ìñù,ìñù,ìñò,ìñù,NA
163,siete,117,seven,ùxà,ùxà,ùxà,ùsà,ùtsà,NA
164,ocho,192,eight,ùnà,ònà,ònà,ònà,ùnà,NA
165,nueve,2,nine,iìn,ììn,ììn,ììn,ììn,iìn
166,diez,217,ten,uxì,ùxì,ùxì,ùsì,ùtsì,NA
167,quince,215,fifteen,xa'ùn,xa'ùn,xa'ùn,sà'òn,tsà'ùn,NA
168,veinte,337,twenty,oko,òjkò,òkò,òkò,NA,NA
169,pobre,228,poor/humble,ndá'vi,ntá'vi,ntá'vi,ndaví,ndávì,NA
170,rico ,312,rich,kwíká,kuíjka,kuíka,kuíká,kwíka,NA
171,frío,218,cold,vìxin,vìxin,vìxin,vìsi,vìtsi,NA
172,caliente,125,hot,i'ní,i'ní,i'ní,iní,i'ní,NA
173,grande.SG,170,big (sg.),ká'nu,ká'nu,ka'nu,káno,ká'nu,ká'nu
174,grande.PL,NA,NA,NA,NA,NA,NA,NA,NA
175,pequeño.SG,239,small (sg.),lo'o,lo'o,lo'o,ló'ò,kwáchi,NA
176,pequeño.PL,138,small (pl.),válí,,lo'o,loò,kwáchi,NA
176,pequeño (en pedazos?),818,small,sava vali,NA,litsín,NA,kwáchi,NA
177,largo.SG,301,long,kâni,kajnǐ,kajnǐ,kánìì,kanǐ,NA
178,largo.PL,NA,NA,NA,NA,NA,NA,NA,NA
179,bueno,209,good,và'a,và'a,và'a,và'a,và'a,NA
180,dulce,227,sweet,vìxì,vìxì,vìxì,vìxì,vìxì,NA
181,salado,37,salty,u'và,ò'và,ò'vâ,ìvà,ù'và,í'à
182,amargo,36,bitter,ùvà,òvà,òvà,ìvà,ùvà,ívà
182,amargo,266,bitter,,ajtu,òvà,,NA,ìvà
183,sabroso,224,tasty,yàsí,àsǐn,àsǐn,ànjìn,àsǐ,NA
184,ancho,325,wide,ndìkà,ntsíjkà,ntsíjkà,ndika,NA,NA
185,nuevo,287,new,xàá,xàá,xàá,sàá,tsaa (MAM),NA
186,flojo,104,lazy,xúxan,xúxan,xúxan,júsá,kukuxà,NA
187,feo,84,ugly,kini,kini,kini,kini,kini,kini
188,celoso,570,jealous,kwiñu,kuíñun,kuíñû,,NA,NA
189,"cerca, próximo",98,close/near,yachi,yatsin,yajtsin,yati,yachi,NA
190,lejos,719,far,xíka,xìka,xíka,,NA,NA
191,pesado,264,heavy,vèe,vèje,vèje,vè'e,vèe,vèe
192,crudo,316,raw,ì'i,í'i,í'i,yíí,NA,NA
193,liso,238,smooth,kaní,kaní,kaní,vilá,ndiìí,NA
194,despacio,245,slowly,kwe,kuée,kuée,kueé,kwée,NA
194,despacio,922,slowly,kuee,yàà,kuée,NA,NA,NA
195,ayer,250,yesterday,kùni,kojni,koni,koni,kuni,NA
196,año,41,year,kwiyà,kuiyà,kuìyà,kuìyà,kwìyà,kwiyá
197,"ahora, hoy",32,now/today,viti,vitsin,vitsin,viti,vichi,vítyi
198,noche,18,night,ñuûn,ñǔu,ñǔu,ñoó,tsi kwaǎ,sakwàa
199,de noche,NA,NA,NA,NA,NA,NA,NA,NA
200,"día, fecha",240,date,kìví,kìjǐ,kìjǐ,kìvì,kìí,NA
201,de día,10,daytime,nduví,ntiví,ntiví,ndiví,nduú,ndiví
202,mitad,195,half,ña'ñu,mà'ñú,mà'ñú,java,mǎ'in,NA
203,dinero,292,money,xù'ún,xù'ún,xù'ún,xò'ón,xǔ'un,NA
204,trabajo,114,work,chiñu,chiñu,chiñu,chiño,chuun,NA
204,trabajo,115,work,,chuun,chuun,,,NA
205,palabra,69,word,tù'un,tù'un,tò'on,tò'on,tù'un,tu'ù
206,culpa,107,guilt,kwàchi,kuachi,kuàjchi,kuàchi,kwàchi,NA
207,sueño,739,dream,xàni,xànì,xànì,,NA,NA
208,cuándo,NA,NA,NA,NA,NA,NA,NA,NA
209,canción,724,song,yaa,yaà,yaà,,NA,NA
NA,piel,4,skin,iín,ijǐn,ijǐn,niì,iǐn,ñiì
NA,marido/esposo,5,husband,ií,ijǐ,ijǐ,yiì,iǐ,yiì
NA,delicado,6,fussy,ìí,ìjǐ,ìjǐ,ìì,ìǐ,ìí
NA,atole,7,atole,tuta,tutsiâ/tsiutsiâ,tsiutsiâ,tutyà,tuchà,tútya
NA,sol,9,sun,tkandìí,tsìkantsijǐ,tsìjkantsijǐ,ndikàndiì,nìkànchiǐ,ndíkandzií
NA,cielo,11,sky,ndiví,ìntsiví/àntsiví,àntsìví,nòò víkò,andiví,andzivi
NA,espacio exterior,12,NA,sàta ndivi,,sàtǎ antsívi,andiví,NA,NA
NA,bonito,13,pretty,nduvi,ntivi,ntivi,livi,viǐ,livi
NA,bonito,14,pretty,,,ndatǔ,ñóchí,NA,núchí
NA,bonito,15,pretty,,,ñuchi,,ché'é,NA
NA,media noche,16,middle of the night,sava ñuûn,sava ñǔu,sava  ñǔu,java ñòo,ñuû,java ñùú
NA,media noche,17,middle of the night,NA,NA,NA,,NA,NA
NA,mezcal,19,mezcal,ndixi xàtù,nchixî i'ní,nchixî i'ní,,nchá ùvà,NA
NA,champaña,20,champagne,ndixi và'a,,nchixî i'ní,,NA,NA
NA,aguardiente,21,liquor,ndixi xatù,nchixî i'ní,nchixî i'ní,ndutyà,varrénchè,NA
NA,mar,22,sea,tìnúmǐ,tsìkuǐi,tsìkuǐi kuà'ǎ,tiñò'on,tsió ndúcha,NA
NA,aguado/claro/transparente,24,watery,kwíi,kuíi,kuíi,kuii,kwíi,NA
NA,espíritu del sueño/pesadilla,25,"spirit of dreams, nightmare",nímà ndaa sàtá,ìxǎnì kini,ñà xíníí,ndiméndé,menche,NA
NA,aire,26,air,tàchí,tàchǐ,tàjchǐ,tàchì,tàchǐ,tachì
NA,brillante,27,shiny,xíñù,xíñù,xíñù,xíñò,xíñù,yé'è
NA,brillante/claro,28,bright/clear,ye'è,yé'è,yé'è,yé'è,NA,NA
NA,abajo,29,below,nìnù,nìnù,nìnù,nìnò,nìnù,vàa
NA,abierto (v.),30,open (v.),núná,núná,nóná,nóná,núná,núná
NA,espeso,38,thick,na'ma,o'va,ó'vá,iva,u'a,NA
NA,madera/árbol,46,wood/tree,itú,itǔn,ijtǔn,yitò,yutǔ,yíto
NA,leña,47,firewood,tutún,totǔn,tojtǔn,titò,tutǔ,tyíto
NA,puente,48,bridge,[puénte],[puentè],kuénte,[puenté],vìtǔ,
NA,bule,49,gourd jug,yoo,[vulù],vatayoò,[vulù],yoò,"vulì, yoo"
NA,arriba,50,above,nìnú,nìjnu,nìjnu,nìno,kǔchì,nìnò
NA,presumido,51,boastful,landò,lantò,lantò,mesè,lândù,lándò
NA,alegre,52,happy,vatá,kuátsia,kuátsia,,kwáchá,kújiì
NA,distanciado,53,reserved,uun,uun,kú úun,oon,úún inî,tyúku
NA,arrogante,54,arrogant,chí'ña,lantò,koò xá'jâ inì,ìchì,ichi inî,lándò
NA,muerto,55,dead,ndìì,ntsǐì,ntsìì,ndìi,ndiǐ,ndyìì
NA,principal,56,elder,ná xà'nú,rà kúná'nu,na xìkuà'a,na saví,chaà ntsá'nu,tyì sàkwa'à
NA,jicapextle,57,large gourd,xkó'ó,,xìkó'ó,yasì,,yasì
NA,Mixteco,60,Mixtec,tù'un sàví,Tù'un Ntá'vi,Tò'on Ntá'vi,tù'ùn nda'ví,tù'ùn ndá'vi,tù'ùn nda'vi
NA,hoja,65,leaf,yùku nda'á itú,nta'ǎ ijtǔ,nta'ǎ ijtǒn,ndaà to kuií,nda'á yǔtu,NA
NA,tierra,66,dirt,ñu'ú,ñu'ǔ,ñu'ǔ,ñoò,ñu'ú,ñu'ù
,,,,,,,,,
NA,piojo,75,louse,tìkú,tsiukǔ,tsiǔkǔ,tiyúkù,chukǔ,tiyuku
NA,sabio,76,wise,stu'va,,nà xku'á,tìsaví,ntsitsî inî,tisà'vi
NA,tomatillo,77,tomatillo,tnàná sòó,tsìnanǎ sóó,tsìnanǎ sóó,tìnanà jò'ó,tinana sòó,tinana kwií
NA,jitomate,80,red tomato,tnàná kwá'a,tsìnanǎ kuá'a,tsìnanǎ kua'a,tìnanà kuaá,tinâna sòo,tinaná ndyà'ì
NA,nuez,81,pecan,tìkí,tsìkí,tsìkí,tyájìn,tǐki,NA
NA,semilla,82,seed,si'và,si'và,si'và,tiyíkì,si'và (Abel);tikǐ (Yessica),tiyikí
NA,estrella,85,star,tkìmi,tsiujǔn,tsiùjǔn,tìtóòn,chuùn,NA
,,,,,,,,,
NA,arena,88,sand,yùti,yùtsí,yùtsí,ñòtí,yǔti,NA
NA,gente,91,people,yùví,nàyìvǐ,nàyìvǐ,nà yivì,nivǐ,NA
,,,,,,,,,
NA,tipo de madera,99,type of wood,ndàva,ntáva,víga,,ndàva,NA
,,,,,,,,,
NA,olor,102,smell,xikò,xikò,xá'àn,xikò,xikò,NA
,,,,,,,,,
NA,cangrejo,119,crab,kolo yòó,,tijéra,tìkulaskó,chò'o xîín,NA
NA,tejón,123,coati,,,,tìyìyì,iì,NA
,,,,,,,,,
NA,redondo,128,round,tìkwìta,tsìkàtsià,konto tsìduu,tìkàtyá,tikùcha,NA
NA,comida,129,food,ña'an xíxiná,,ña'an xixe,,ncheyǐ ,NA
NA,hormiga arriera,131,leafcutter ant,lasu'ú,,,tikùjùú,chokó súú,NA
NA,chicatana,132,queen leafcutter ant,xindòkò,,xìnto'ko,xindokò,,NA
NA,hormiga roja que pica,133,red ant that bites,tyòkó kwá'a,tsiòkó kuà'a,tsòko kuà'a,tikùñòó,cho᷄ko kwá'à,NA
NA,tigre/jaguar,134,jaguar,ndgá'a,ntsiká'á,ntsika'a,ndikuiìn,ndikáa,NA
NA,otro felino,135,other wild feline,,ntsi'ì,,ndikaa,,NA
NA,mentira,136,lie,vatá,tú'un,tú'un,toón,sùña ndàà,NA
NA,rama,137,branch,nda'á itú,ntukû,ntujku,ndaá yitò,nda'á yùtû,NA
,,,,,,,,,
NA,empinado,139,steep,ndichi,nchichî,nùún nchíchi,ndichì,nchichì,NA
NA,pulque,140,pulque,ndixi,,ra kuxìn,ndíxí,ndixì,NA
NA,sapo,141,toad,,karkakǎ,sapo,,,NA
NA,sapo,142,toad,lápó,síkui,síjkui,,likwì,NA
NA,agrio,143,sour,iyá,iyá,iyá,iyá,iyá,NA
NA,gato montes,144,wild cat,vilú ikú,chútu yukú,chújtu yujkǔ,chitó yukú,vílú yuk,NA
NA,comadre,145,co-mother,máli,{máli},máli,{malí},márî,NA
NA,duro,146,hard,te'é,tsié'é,tsie'é,kásí,kátsi,NA
NA,olote,151,corncob,sàñá,sanǐ,sanǐ,jàníì,sáyǐn,NA
NA,murciélago,152,bat,chínáká,chináká,chináka,chirrìì,tsikúchǐ,NA
NA,panal,155,beehive,yòkò,yokò,yokò,yókò,yòkǒ,NA
NA,viuda negra,156,black widow,xindòkò tùún,tsiu'ún,tsiù'ún,tì ñoón,tindǒǒ,NA
NA,temblor (v.),159,earthquake (v.),tâan,tájan,tájan,táan,tâan,NA
NA,lagartija,160,lizard,melá,milá,la'lò,míla,tsilikwákú,NA
NA,iguana,162,iguana,chichí níí,chíchín,chìchí,chìníi,tǐchí,NA
NA,víbora de cascabel,163,rattlesnake,kòó kàà,xàyo,xàyo,kòò kàá,kòó tsa'á,NA
NA,paloma,164,dove,sàtà,sàta,sàta,nakuàá,sáta,NA
NA,ataúd,165,coffin,xàtún,xàtǔn,xàtǔn ndǐi,sàtò,tsàtu,NA
NA,zancudo,166,mosquito,ndyáá,ntà'íxí  ,nta'ixì,tìkuiín,tikwàín,NA
NA,tendón/cable ,167,tendon,tùchi,tùchî,tùchi,tùchi,tùchi,NA
NA,cuarta de mano,168,handwidth measure,iin nda'á,iin ntá'ǎ,iin nta'a,iin ndaà,iin nda'á,NA
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
NA,armadillo,177,armadillo,yakwí,yajkuǐn,yajkuǐn,tìyákò,yákwǐ,NA
NA,esguince,178,sprain,ndìkàvà,nìkavà,NA,nii yàà,nikàvà ,NA
NA,monte,179,wilderness,yukú,yujkǔ,yujkǔ,vàá,yukǔ,NA
NA,ceja,180,eyebrow,ixí sikwá,ixǐsìkuǎ,ixǐ nùě,xìkuà nóò,ixí xìkwǎ,NA
,,,,,,,,,
NA,demonio,182,devil,tìmì'á,tsìjmiǎ,tsìjmiǎ,tí'ivì,tàchǐ,NA
NA,encima del cerro/de la montaña,183,mountain top,xìkí,sàjtǎ ko'nto,sajta ko'nto,nòò yúkù,tsìkǐ,NA
NA,encima del cerro/de la montaña,184,mountain top,,,,itò,,NA
NA,sobaco,185,armpit,che'lè,chixin xe'è,chixìn xe'e,xèè,tìxe'è,NA
NA,mecapal,186,tumpline,yáti,yájti,yati,jayatí,yutun ndò'ǒ,NA
NA,pedazo,187,piece,sava,sava,sava,táví,sava,NA
NA,toda la noche,188,all night,niñu ñuû,ninuyaa,nǐñûyáa,nii ñoó,níî niñû,NA
