NewID#,ID#,Español,English,Preguntas/Notas,TLHP,TLHP_toneless,TLHP_notas,SMP/PiedraAzul,IPA_SMP/Piedra Azul,SMP/PiedraAzul_toneless,SMP_notas,San Marco de la Flor (SMP),,SMP,SSM,SSM_toneless,SSM_notas,SMD/Carmen,SMD/Carmen_toneless,SMD_notas,SJM (La Batea),SJM_toneless,SJM_notas,UDC,UDC_toneless,SMA,SMA_toneless,SFH,SFH_toneless,SFH,SFH,GDM,GDM_toneless,SMP/SIR,SMP/SIR_toneless,SMC,SMC_toneless,SMP/P,SMP/P_toneless,SMD/Javier,SMD/Javier_toneless,TDV,TDV_toneless,TDV_notas,Joss_notes,Joss_Dur,Joss_Mix,Joss_Pera,Joss_Metl,pMx,Joss#,Dürr,Dürr tone,Dürr#,Camp#,Kauf#,SMD/Erika,SMD/Erika_toneless,,,
169,180,dueño,owner,,xto'o,xto'o,,xìto'ô,,xito'o,,nà xi'ìn ña'à,,,sìtoò,sitoo,,sito'o,sito'o,,sto'o,sto'o,,,,,,,,,,,,,,,,,,,,,,,,ʔes toʔo,stoʔo,stoʔo,---,xi toʔo,63,,,,,,,,,,
170,182,grande (sg.),big (sg.),,ká'nu,ka'nu,,ká'nu,,ka'nu,,ka'nu,,,káno,kano,,ká'nu,ka'nu,,ká'nu,ka'nu,,,,ká'nu,ka'nu,,,,,,,,,,,,,,,,,,,kaʔnũ,kaʔnũ,kaʔnũ,--,kaʔnuʔ,65,kaʔnuʔ,modified,98,,,,,,,
171,183,cuello ,neck,,sùkú,suku,,sokǔn,sohkũ,sokun,,sojkǔn,,,jìkò,jiko,,sùkùn,sukun,,sùkǔ,suku,,,,,,,,,,,,,,,,,,,,,,,,sukũ,suku,soo̥kõ,--,sukũʔ,66,,,,,,,,,,
172,185,cuerno,horn,,ndikí,ndiki,,ntsikǐn,,ntsikin,,ntsikǐ ,,,ndikì,ndiki,,ntxikìn,ntxikin,,ndikǐ,ndiki,,,,,,,,,,,,,,,,,,,,,,,,nčikĩ,ndiki,nč̢iki,--,ndɨkɨʔ,68,,,,,,,,,,
173,186,culebra,snake,,kòó,koo,,kòjǒ,,kojo,,kòjǒ,,,kòò,koo,,kòò,koo,,kòó,koo,,,,,,,,,,,,,,,,,,,,,,,,koo,koo,koo̥o,koo,kooʔ,69,kòòʔ,BBʔ,65,,,,,,,
174,187,zorrillo,skunk,,lílú,lilu,No hay diferencia entre las dos palabras solo que tiene dos nombres el zorrillo TLHP,léló,,lelo,,léló,,,tinìín,tiniin,tiñiin es más pequeño,txínì'í,txini'i,,tí'in-ità,ti'in-ita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
175,,zorrillo,skunk,,lírrú ka'a ye'è,lirru ka'a ye'e,,—,,—,,—,,,kòjo yuù,kojo yuu,,—,—,,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,188,cerro,mountain,,ko'nto,ko'nto,,ko'nto,,ko'nto,,ko'nto,,,yukù,yuku,,yikì,yiki,"montaña, monte",yùkǔ?,yuku?,ts,,,,,,,,,,,,,,,,,,,,,,,žiki,žuku,koʔdo,--,yukuʔ,71,yúkúʔ,A.Aʔ,8,,,,,,,
177,189,armadillo,armadillo,,yakwí,yakwi,,yajkuǐn,,yajkuin,,yajkuǐn,,,tìyákò,tiyako,,yakuìn,yakuin,,yákwǐ,yakwi,,,,,,,,,,,,,,,,,,,,,,,,žakwĩ,žakwi/yakwi,žakwĩ,yakwĩ,yakwĩʔ,72,,,,,,,,,,
178,190,esguince,sprain,"¿Que es falciar Griselda? (verbo)Respuesta por grb, desviar ligeramente un ligamiento de los tendones de los piez o musculo del cuerpo.",ndìkàvà,ndigava,(puede ser verbo también en TLHP),nìkavà,,nikava,"¿Que es falciar Griselda? Respuesta por grb, desviar ligeramente un ligamiento de los tendones de los piez o musculo del cuerpo.",,,,nii yàà,nii yaa,,—,—,,nikàvà ?,nikava ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,191,monte,wilderness,,yukú,yuku,,yujkǔ,,yujku,,yujkǔ,,,vàá,vaa,,yikì,yiki,"montaña, monte",yukǔ,yuku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,193,ceja,eyebrow,,ixí sikwá,ixi sikwa,,ixǐsìkuǎ,,ixisikua,,ixǐ nùě,,,xìkuà nóò,xikua noo,,shìkuà,shikua,,ixí xìkwǎ,ixi xikwa,,,,,,,,,,,,,,,,,,,,,,,,šikwa,š̢ikwa,sikwaa,šikwa,sɨkwaʔ,75,,,,,,,,,,
181,194,pus,pus,,lakwá,lakwa,,ntajkuà,,ntajkua,,ndajkua,,,ndakuà,ndakua,,lakuà,lakua,,ndakwà,ndakwa,,,,,,,,,,,,,,,,,,,,,,,,ndakwa,ndakwa,ndaḁkwa,--,lakwaʔ,76,,,,,,,,,,
182,195,demonio,devil,,tìmì'á,timi'a,,tsìjmiǎ,,tsijmia,,tsìjmiǎ,,,tí'ivì,ti'ivi,refiere a Lucifer,txìñá'á,txiña'a,,tàchǐ,tachi,,,,,,,,,,,,,,,,,,,,,,,,kwĩ ʔnã,ndi kwĩʔnã,ra kwĩʔnã,--,kwiʔna,77,,,,,,,,,,
183,196,encima del cerro/de la montaña,mountain top,,xìkí,xiki,,sàjtǎ ko'nto,,sajta ko'nto,,sajta ko'nto,,,nòò yúkù,noo yuku,,—,—,,tsìkǐ,tsiki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,encima del cerro/de la montaña,mountain top,,—,—,,—,,—,,—,,,itò,ito,,—,—,,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,197,sobaco,armpit,,che'lè,che'le,,chixin xe'è,,chixin xe'e,?,chixìn xe'e,,,xèè,xee,,shè'lè,she'le,,tìxe'è,tixe'e,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,leʔyiʔ,97,,,,,,,,,,
186,201,mecapal,tumpline,,yáti,yati,,yájti,,yajti,,yati,,,jayatí,jayati,,yátí,yati,,yutun ndò'ǒ,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,202,pedazo,piece,,sava,sava,,sava,,sava,?,sava,sava,,táví,tavi,,—,—,no hay palabra,sava,sava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
188,203,toda la noche,all night,,niñu ñuû,niñu ñuu,,ninuyaa,,ninuyaa,,nǐñûyáa,niñuyaa,,nii ñoó,nii ñoo,,niñu yaa,niñu yaa,,níî niñû,nii niñu,,,,,,,,,,,,,,,,,,,,,,,,nĩnũ žaa,nĩñũ,ncii ñũũ,--,niyũ,83,,,,,,,,,,
189,204,conejo,rabbit,,leso,"leso, leko",,leso,,leso,,lèso,leso,,isò,iso,,{leso},{leso},,lésú,lesu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
190,205,pared ,wall,,ndìka,ndika,,ntsìjkâ,,ntsijka,,ntsǐkâ,ntsika,,ndìkà,ndika,pecho',ntxìká,ntxika,,nchìka,nchika,,,,,,,,,,,,,,,,,,,,,,,,nãmã,nãmã,nãḁmã,nãmã,nawã,86,,,,,,,,,,
191,206,temprano,early,,na'a,na'a,,na'â,,na'a,,na'an,na'an,,naà,naa,,na'a,na'a,,na'à,na'a,,,,,,,,,,,,,,,,,,,,,,,,nãʔwã,nãʔã,naʔa,--,neʔe,87,,,,,,,,,,
192,207,ocho,eight,,ùnà,una,,ònà,,ona,,ònà,ona,,ònà,ona,,ùnà,una,,ùnà,una,,,,,,,,,,,,,,,,,,,,,,,,ʔũnã,ũnã,õnã,--,one,89,,,,,,,,,,
193,208,borrego,sheep,,levo,levo,,lanchi,,lanchi,,lanchi,lanchi,,lévo,levo,,lanchi,lanchi,,ndikachi,ndikachi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
194,209,ejote,green bean,,ndìchi,ndichi,,nchìchî,,nchichi,,nchǐchî,nchichi,,ndìchi,ndichi,,nchìchi,nchichi,,nchichî,nchichi,,,,,,nchìchì,,,,,,,,,,,,,,,,,,nčiči,ndyityi,nčiči,ndiči,nditi,91,,,,,,,,,,
195,210,mitad,half,,ña'ñu,ña'ñu,,mà'ñú,,ma'ñu,,mà'ñú,ma'ñu,,java,java,,sava,sava,,mǎ'in,ma'in,,,,,,,,,,,,,,,,,,,,,,,,sava/ñãʔnũ,saba,sava,--,sawa,92,,,,,,,,,,
196,211,guajolote,turkey,,kolo,kolo,,kolo,,kolo,,kolo,kolo,,kolo,kolo,,kolo,kolo,,kóló,kolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
197,212,olla,clay pot,,kìsi,kisi,,kìsi,,kisi,,kìsi,kisi,,kìji,kiji,,kìsi,kisi,,kìsi,kisi,,,,,,,,,,,,,,,,,,,,,,,,kisi,kisi,kisi,kisi,kɨsɨ,94,kɨ̀sɨ́,B.A,49,,,,,,,
198,213,miel,honey,,ñùñú,ñuñu,,ntǔxi,,ntuxi,,ntǔxi,ntuxi,,ñoñò,ñoño,,ntùshi,ntushi,,ndǔxì,nduxi,,,,,,,,,,,,,,,,,,,,,,,,nduši,nduš̢i,ñũu̥ñũ,--,ndusi,96,,,,,,,,,,
199,215,pelo de elote,corn silk,yoko probably 'espiga' not 'pelo de elote',yàtyá xìní ndixin ,yatya xini ndixin,,yojkǒ,,yojko,,yatsia,yatsia,,yokò,yoko,,yokò,yoko,,yokó,yoko,,,,,,,,,,,,,,,,,,,,,,,,žoko,yoko,žoko,--,yokoʔ,98,,,,,,,,,,
200,216,hinchazón,swelling,,kwiñu,kwiñu,,kuiñu,,kuiñu,,kuiñu,kuiñu,,kuiñu,kuiñu,,kuiñu,kuiñu,,kwiñu,kwiñu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
201,218,gavilán,hawk,,xí'ña,xi'ña,,xi'ña,,xi'ña,,xí'ña,xi'ña,,ndixíñá,ndixiña,,shá'án,sha'an,,xí'an,xi'an,,,,,,,,,,,,,,,,,,,,,,,,tasi/šʔ'a,š̢ĩʔã,tasi/šiʔñã,--,tasũʔ,103,,,,,,,,,,
202,219,verdad,truth,Haciendo pregunta,ndaà,ndaa,,mia ntàà,,mia ntaa,ña ntaa,ntàà,ndaa,,ndàà,ndaa,,ntàà,ntaa,,ndaà-ntsitsa,ndaa-ntsitsa,,,,,,,,,,,,,,,,,,,,,,,,nčisa,ndaa,ndaa,--,ndixe,104,,,,,,,,,,
203,220,fuego/lumbre,fire,,ñu'ùn,ñu'un,,ñu'ù,,ñu'u,,ñu'ù,ñu'u,,ñoò,ñoo,,ñu'u,ñu'u,,ñu'ù,ñu'u,,,,,,,,,,,,,,,,,,,,,,,,ñũʔũ,ñũʔũ,ñũʔũ,--,yuʔũ,105,,,,,,,,,,
204,221,seis,six,,ìñù,iñu,,ìñù,,iñu,,ìñù,iñu,,ìñò,iño,,ìñù ,iñu ,,ìñù,iñu,,,,,,,,,,,,,,,,,,,,,,,,ʔĩñũ,ĩñũ,ʔĩi̥ñũ,--,iyõ,106,,,,,,,,,,
205,222,uña,fingernail,,chiǐ,chii,ABA?,chíjǐn,,chijin,,chíjǐn,chijin,,chiín,chiin,,chíìn,chiin,,chîín,chiin,,,,,,,,,,,,,,,,,,,,,,,,čĩĩ,tyĩĩ,čĩi̥ĩ,čĩĩ,tiyĩʔ,107,tiyinʔ,modified,91,,,,,,,
206,223,rastrojo,stubble field,,xe'è nùú ñu'ú,xe'e nuu ñu'u,es descripción de la palabra,xè'è,,xe'e,temples?,xè'è mii,xe'e mii,,ñàmà,ñama,,takà,taka,,tiàmá,--,,,,,,,,,,,,,,,,,,takà,taka,,,,,--,ñãmã,ñãḁmã,--,yawãʔ,108,,,,,,,,,,
207,224,hijo/hija,offspring,,se'è,se'e,,sè'e,,se'e,,se'é,se'e,,jàya ,jaya ,,se'e,se'e,,sè'e,se'e,,,,,,,,,,,,,,,,,,se'e,se'e,,,,,seʔe,seʔe,seʔe,seʔe,saʔyi,110,sàʔyí,B.A,54,,,,,,,
208,225,catarro,,,katá nì'in sùkun,cata niin sukun,,kátá nì'i,,kata ni'i,loanword?,kátá sùkùn,kata sukun,,jàyi,jayi,néen ndívào jàyi yù,—,—,,kwè'è kaǐ,kwe'e kai,,,,,,,,,,,,,,,,,,,,,,,,sai,sai,saži,--,sayu,111,,,,,,,,,,
209,226,bueno,good,,và'a,va'a,,và'a,,va'a,,và'a,va'a,,và'a,va'a,,và'a,va'a,,và'a,va'a,,,,,,,,,,,,,,,,,,và'a,va'a,,,,,baʔa,baʔa,baʔa,baʔa,waʔa,112,wàʔá,B.A,60,,,,,,,
210,230,basura,waste,,xe'è,xe'e,,xè'è,,xe'e,,xè'è,xe'e,,sè'è,se'e,,chè'è,che'e,,mǐ'in ,mi'in ,,,,,,,,,,,,,,,,,,chè'è,che'e,,,,,(čeʔe),mĩʔĩ,(šeʔe),--,wiʔĩʔ,116,,,,,,,,,,
211,231,gato,cat,,chítu,chitu,No hay ninguna diferencia entre las dos palabras solo que el gato tiene dos nombres.,chújtu,,chujtu,,chútu,chutu,,chitó,chito,,chítí,chiti,,vílú ,vilu ,,,,,,,,,,,,,,,,,,chítí,chiti,,,,,(čiti),bilu,(č̢itu),bilu,wiluʔ,117,,,,,,,,,,
212,230,gato,cat,,vilú,vilu,,—,,—,,—,,,{micho},{micho},,—,—,,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,232,nopal,nopal,,vì'tá,vi'ta,,vi'ntsiǎ,,vi'ntsia,,vi'ntsiǎ,vi'ntsia,,mindyà,mindya,,tùvì'ntxá,tuvi'ntxa,,mì'nchǎ,mincha,,,,,,,,,,,,,,,,,,tùvì'ntxá,tuvi'ntxa,,,,,tũ bĩʔnča,mĩʔndya,bĩʔncya,--,wiʔndeʔ,118,,,,,,,,,,
214,233,pie,foot,,xa'á,xa'a,,xà'ǎ,,xa'a,,xa'ǎ,xa'a,,sà'à,sa'a,,xa'à,xa'a,,tsa'á,tsa'a,,,,,,,,,,,,,,,,,,xa'à,xa'a,,,,,šaʔa,čaʔa,šaʔa,šaʔa,xeʔe,119,xèʔè,B.B,84,,,,,,,
215,235,quince,fifteen,,xa'ùn,xa'un,,xa'ùn,,xa'un,L.L?,xa'ùn,xa'un,,sà'òn,sa'on,,xà'ùn,xa'un,,tsà'ùn,tsa'un,,,,,,,,,,,,,,,,,,xà'ùn,xa'un,,,,,šaʔũ,čãʔũ,šãʔũ,--,uxi oʔo / xeʔũ,121,,,,,,,,,,
216,236,tripa,tripe,,siti,siti,,xitsîn,,xitsin,,xitsi,xitsi,,sutì,suti,,xitxi,xitxi,,tsitì,tsiti,,,,,,,,,,,,,,,,,,xitxi,xitxi,,,,Metl=tiši=estómago,šici,čiti,šic̢i,siti,xɨtɨ,122,,,,,,,,,,
217,237,diez,ten,,uxì,uxi,,ùxì,,uxi,,ùxì,uxi,,ùsì,usi,,ìxì,ixi,,ùtsì,utsi,,,,,,,,,,,,,,,,,,ìxì,ixi,,,,,ʔiši,uči,ʔuši,--,uxi,123,,,,,,,,,,
218,238,frío,cold,,vìxin,vixin,,vìxin,,vixin,,vìxin,vixin,,vìsi,visi,,vìxin,vixin,,vìtsi,vitsi,,,,,,,,,,,,,,,,,,vìxin,vixin,,,,,biš ĩ,biči,bisĩ,--,wixĩ,124,wìxín,B.A,59,,,,,,,
219,239,huarache,sandal,,ndìxán,ndixan,,nchìxǎn ,,nchixan ,,ntsìxǎn,ntsixan,,ndìsà,ndisa,ndìsà ñií kuaá = huarache de piel/cuero (para hombre) [comprobar si escribimos <ñi> OR <ni>,íntxixàn,intxixan,,ntsìtsǎ,ntsitsa,,,,,,,,,,,,,,,,,,íntixàn,intixan,,,,,nčišã,ndyiča,nč̢iša,--,ndixẽʔ,125,ndìxènʔ,B.Bʔ,66,,,,,,,
220,240,horcón,housepost,,si'ìn,si'in,,sì'ìn,,si'in,,si'ìn,si'in,,tìjìn,tijin,,sì'ìn,si'in,,?,?,,,,,,,,,,,,,,,,,,sì'ìn ve'e,si'in ve'e,,,,,sĩʔĩ ,sĩʔĩ ,sĩʔĩ ,--,sɨʔɨ̃,126,,,,,,,,,,
221,241,nombre,name,,kìví,kivi,,kìjǐ,,kiji,,kìjǐ ,kiji,,kìvì,kivi,,kìì,kii,,kìí,kii,,,,,,,,,,,,,,,,,,kìì,kii,,,,,kivi,sibi,kivi,kibi,sɨwɨʔ,127,,,,,,,,,,
222,242,cacao,cacao,,si'và chocoláte,si'va chocolate,,—,,—,,si'và,si'va,,ti jìvà,ti jiva,,so'và,so'va,,---,---,,,,,,,,,,,,,,,,,,so'và chocolate,so'va chocolate,,,,,suʔba,siʔba,siʔba,--,sɨʔwa,128,,,,,,,,,,
223,243,oreja,ear,,sò'o,so'o,,sò'o,,so'o,,sò'o,so'o,,jò'o,jo'o,,sò'o,so'o,,só'o,so'o,,,,,,,,,,,,,,,,,,sò'o,so'o,,,,,suʔu,soʔo,soʔo,--,loʔo,129,lòʔó,B.A,56,,,,,,,
224,244,sabroso,tasty,,yàsí,yasi,,àsǐn,,asin,,àsǐn,asin,,ànjìn,anjin,,àsì,asi,,àsǐ,asi,,,,,,,,,,,,,,,,,,àsì,asi,,,,,ʔasi,asi,ʔasĩ,yasĩ,asɨ̃ʔ,130,,,,,,,,,,
225,245,cerrado (v.),closed (v.),,ndási,ndasi,,ntási,,ntasi,,ntási,ntasi,,ndyají,ndyaji,,ntásí,ntasi,,ndásì,ndasi,,,,,,,,,,,,,,,,,,ntásí,ntasi,,,,,ndasi,--,ndasi,--,ndesɨ,131,,,,,,,,,,
226,246,pasado mañana,day after tomorrow,,isá,isa,,isâ,,isa,,isâ,isa,,ijá,ija,,isá,isa,,isâ,isa,,,,,,,,,,,,,,,,,,isá,isa,,,,,ʔĩsa,isa,ʔĩsa,ĩsa,isa,132,,,,,,,,,,
227,247,dulce,sweet,,vìxì,vixin,,vìxì,,vixi,,vìxì,vixi,,vìxì,vixi,,vìshì,vishi,,vìxì,vixi,,,,,,,,,,,,,,,,,,vìshì,vishi,,,,,biši,bišĩ,biši,biši,wisĩ,133,wìsìn,B.B,87,,,,,,,
228,249,pobre,poor/humble,,ndá'vi,nda'vi,,ntá'vi,,nta'vi,,ntá'vi,nta'vi,,ndaví,ndavi,,ntá'ví,nta'vi,,ndávì,ndavi,,,,,,,,,,,,,,,,,,nté'í,nte'i,,,,,ndaʔvi,ndaʔbi,ndaʔvi,--,ndaʔwi,137,ndaʔwi,modified,104,,,,,,,
229,250,dos,two,,ùvì,uvi,,ìvì,,ivi,,ìvì,ivi,,ìvì,ivi,,ìvì,ivi,,ùvì,uvi,,,,,,,,,,,,,,,,,,ìvì,ivi,,,,,ʔivi,ubi,ʔivi,--,uwi,138,ùwì,B.B,89,,,,,,,
230,253,rata,rat,,tì'ín yotó,ti'in yoto,,tsiǒtǒ,,tsioto,compuesta,tsiǒtǒ,tsin,,tìyótò,tiyoto,,—,—,,--,--,,,,,,,,,,,,,,,,,,,,,,,,cĩĩ / čoko,tiʔĩ,c̢ĩĩ,tĩĩ,tɨyɨ̃ʔ,142,,,,,,,,,,
231,254,inflamación,,SSM: PFV verb (intr.),nàñu,nañu,,kuiñu,,kuiñu,,kuiñu,kuiñu,,náño,naño,,—,—,,nì kaa,ni kaa,,,,,,,,,,,,,,,,,,kuiñu,kuiñu,,,,,kwĩñũ,kwĩñũ,kwĩñũ,kwĩñũ,kwɨyɨ̃,143,,,,,,,,,,
232,255,grano ,pimple,,ndì'i,ndi'i,,ntsì'i,,ntsi'i,,ntsi'í,ntsi'i,,ndì'i,ndi'i,,ntxì'i,ntxi'i,,ndì'in,ndi'in,,,,,,,,,,,,,,,,,,ntxì'i ,ntxi'i ,,,,,nčiʔi,ndiʔi,nc̢iʔi,--,ndɨʔyɨ,144,,,,,,,,,,
233,257,arcoiris,rainbow,,tikolà'ntí,tikola'nti,,kòjǒ yáán kí,,kojo yaan ki,,kòjǒ yánkí,kojo yanki,,tìkùyàndí,tikuyandi,,koo yií,koo yii,,skoò nchà'nchá,skoo ncha'ncha,,,,,,,,,,,,,,,,,,koo yií,koo yii,,,,,ko žãʔnda,š̢koo ndyãʔndya,--,--,koo yeʔndiʔ,146,,,,,,,,,,
234,258,rana,frog,,lá'và,la'va,,sá'và,,sa'va,,sá'và,sa'va,,lavà,lava,,lá'và,la'va,,sa'và,sa'va,,,,,,,,,,,,,,,,,,lá'và,la'va,,,,,kũndu/laʔwa,saʔba,saʔva/sikwi,--,laʔwa,148,láʔwà,A.B,36,,,,,,,
235,259,ombligo,navel,,lalu,lalu,,lantu,,lantu,,lantu,lantu,,xandì,xandi,,shanti,shanti,,xandu,xandu,,,,,,,,,,,,,,,,,,shanti,shanti,,,,,šãnti,š̢ãndu,šãndu,--,lendu,149,,,,,,,,,,
236,260,orina,urine,,láxa,laxa,,lǎxa,,laxa,,láxa,laxa,,tìlàlá,tilala,,txìsháshá,txishasha,,nché xàxà,nche xaxa,,,,,,,,,,,,,,,,,,txìsháshá,txishasha,,,,,--,tyatya š̢aš̢a,--,--,lele,150,,,,,,,,,,
237,261,chachalaca,chachalaca,,laxán,laxan,,tsiùjǔ  yùjkù,,tsiuju  yujku,,kuvíyó,kuviyo,,ndása,ndasa,,—,—,,---,---,,,,,,,,,,,,,,,,,,,,,,,,taka,--,--,--,laxẽʔ,151,,,,,,,,,,
238,262,liso,smooth,,kaní,kani,,kaní,,kani,right def?,kaní,kani,,vilá,vila,,ntxi'ví,ntxi'vi,,ndiìí,ndiii,,,,,,,,,,,,,,,,,,ntxi'ví,ntxi'vi,,,,,nčiʔi,ndii/ndi?bi resbala,nc̢iʔi,--,lɨʔwɨʔ,152,,,,,,,,,,
239,263,pequeño (sg.),small (sg.),,lo'o,lo'o,,lo'o,,lo'o,,lo'o,lo'o,,ló'ò,lo'o,,lo'o,lo'o,,kwáchi,kwachi,,,,,,,,,,,,,,,,,,lo'o,lo'o,,,,,loʔo,ña luu,loʔo,bali/kwači,luʔu,153,luʔu,modified,108,,,,,,,
240,264,día/fecha,date,"TL, es día y nombre solamente.",kìví,kivi,,kìjǐ,,kiji,,kìjǐ,kiji,,kìvì,kivi,,kìì,kii,,kìí,kii,,,,,,,,,,,,,,,,,,kìì,kii,,,,,kivi,kii,kivi,--,kɨwɨʔ,154,kɨ̀wɨ̀ʔ,B.Bʔ,63,,,,,,,
241,266,llano (s.),plain,check with arriba del monte,yosó,yoso,,yosǒ ,,yoso ,,yosǒ ,yoso,,yojò,yojo,,yosò,yoso,"llanura, cerro donde hay una pastura",yosǒ,yoso,,,,,,,,,,,,,,,,,,yosò,yoso,,,,,žoso,nũ ndaa,žoso,--,yosoʔ,156,,,,,,,,,,
242,269,cucaracha,cockroach,,tìtè'é,tite'e,,tsìtsie'é,,tsitsie'e,,tsìtse'é,tsitse'e,,—,—,,txé'é,txe'e,,ndiché'é,ndiche'e,,,,,,,,,,,,,,,,,,txé'é,txe'e,,,,,c̢yeʔe,ndi tyeʔe,c̢i čeʔe,--,tɨ teʔyaʔ,159,,,,,,,,,,
243,270,pegamento,glue,,kixín,kixin,,tsíjin,,tsijin,,kixǐn,kixin,,ñà kixí,ña kixi,,ñà txitxìin,ña txitxiin,,kixǐ,kixi,,,,,,,,,,,,,,,,,,ñà txitxìin,ña txitxiin,,,,,nčaka,ndyaka,nč̢aka,--,ndeka,160,,,,,,,,,,
244,271,enfermedad,illness,,kuè'è,kwe'e,,kuè'è,,kue'e,homoph. w 'bravo',kuè'è,kue'e,,kuè'è,kue'e,,kuè'è,kue'e,,kwè'è,kwe'e,,,,,,,,,,,,,,,,,,kuè'è,kue'e,,,,,kweʔe,kweʔe,kweʔe,--,kweʔyi,161,,,,,,,,,,
245,273,despacio,slowly,,kwe,kwe,,kuée,,kuee,,kuée,kuee,,kueé,kuee,,kueé,kuee,,kwée,kwee,,,,,,,,,,,,,,,,,,kueé,kuee,,,,,kwee,kwee,kwee,--,kweye,163,,,,,,,,,,
246,274,tortilla gruesa/gordita,thick tortilla,,vila,vila,,vila,,vila,,vila,vila,,ndixání,ndixani,,—,—,,xà'nchǎ,xancha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
247,275,mamey,mamey,,ndiká kwá'a,ndika kwa'a,,ntsiká kuá'a,,,,ntsiká kuá'a,ntsika kua'a,,ndokò kuaá,ndoko kuaa,,ntxìká xa'à,ntxika xa'a,,----,----,,,,,,,,,,,,,,,,,,ntxìká xa'à,ntxika xa'a,,,,,nčika,ndyika čaʔa,--,--,ndikaʔ,165,,,,,,,,,,
248,277,arriba del monte donde se puede habitar,,check with llano,yosó,yoso,,yosǒ,,yoso,,yosǒ,yoso,,itò,ito,colina,yosò,yoso,"llanura, cerro donde hay una pastura",yohsǒ,yohso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
249,278,banquito,small seat,,taì lo'o,tai lo'o,,tsiáyi lo'o,,tsiayi lo'o,,tsiáyi lo'o,tsiayi lo'o,,tyáyì loò,tyayi loo,,—,—,,chéì lúú,chei luu,,,,,,,,,,,,,,,,,,txeì lo'o,txei lo'o,,,,,čei,tyai,c̢aži,tyãyu,teyu,168,téyù,A.B,32,,,,,,,
250,279,ayer,yesterday,,kùni ,kuni ,,kojni,,kojni,,koni,koni,,koni,koni,,kuni,kuni,,kuni,kuni,,,,,,,,,,,,,,,,,,kuni,kuni,,,,,kuni,ta kuni,koni,--,iku,170,íkú,A.A,29,,,,,,,
251,280,otro,another,,inka,inka,,inkâ,,inka,,iin ka,iin ka,,ínkà,inka,,inkà,inka,,ìnkaà,inkaa,,,,,,,,,,,,,,,,,,inkà,inka,,,,,tuku/inga,tuku,tuku,--,tuku,171,,,,,,,,,,
252,281,peine,comb,,kwikà,kwika,,kuijkà,,kuijka,,kuikà,kuika,,kuìkà,kuika,,kuìkà,kuika,,kwìkà,kwika,,,,,,,,,,,,,,,,,,kuìkà,kuika,,,,,kwika,ku ika,kwika,--,kuka,172,kùkà,B.B,77,,,,,,,
253,283,rudo/salvaje,rude,(peyor.),yuku,yuku,,yukú,,yuku,,yukǔ,yuku,,tìyukú,tiyuku,,—,—,,yukú,yuku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
254,284,piedra,stone,,yùú,yuu,,yùjǔ,,yuju,,yùjǔ,yuju,,yùù,yuu,,yìì,yii,,yùú,yuu,,,,,,,,,,,,,,,,,,yìì,yii,,,,,žii,yuu,žuku,yuu,yuuʔ,175,yùùʔ,BBʔ,74,,,,,,,
255,285,boca,mouth,,yu'ú,yu'u,,yu'ǔ,,yu'u,,yu'ǔ,yu'u,,yu'ù,yu'u,,yi'ì,yi'i,,yu'ú,yu'u,,,,,,,,,,,,,,,,,,yi'ì,yi'i,,,,,žuʔu,yuʔu,žuʔu,yuʔu,yuʔuʔ,176,yúʔúʔ,A.Aʔ,10,,,,,,,
256,287,hierba,grass,,yùkù,yuku,,yùjkù,,yujku,ins,yùjkù,yujku,,yùkù,yuku,,yìkì,yiki,,yùkù,yuku,,,,,,,,,,,,,,,,,,yìkì,yiki,,,,,žuku,yuku,žuku,--,yuku,179,yùkù,B.B,85,,,,,,,
257,288,surco,planting row,what is the difference to the other surco?,chìchi,chichi,,í'tsin,,i'tsin,,chìchi,chichi,,chìchi,chichi,,—,—,,chìchi,chichi,,,,,,,,,,,,,,,,,,,,,,,,žikũ,yuku/tyiki,čii̥či,--,yukũ,180,,,,,,,,,,
