NewID#,ID#,Español,English,Preguntas/Notas,TLHP,TLHP_toneless,TLHP_notas,SMP/PiedraAzul,IPA_SMP/Piedra Azul,SMP/PiedraAzul_toneless,SMP_notas,San Marco de la Flor (SMP),,SMP,SSM,SSM_toneless,SSM_notas,SMD/Carmen,SMD/Carmen_toneless,SMD_notas,SJM (La Batea),SJM_toneless,SJM_notas,UDC,UDC_toneless,SMA,SMA_toneless,SFH,SFH_toneless,SFH,SFH,GDM,GDM_toneless,SMP/SIR,SMP/SIR_toneless,SMC,SMC_toneless,SMP/P,SMP/P_toneless,SMD/Javier,SMD/Javier_toneless,TDV,TDV_toneless,TDV_notas,Joss_notes,Joss_Dur,Joss_Mix,Joss_Pera,Joss_Metl,pMx,Joss#,Dürr,Dürr tone,Dürr#,Camp#,Kauf#,SMD/Erika,SMD/Erika_toneless,,,
51,50,presumido,boastful,SMA làndò es mentiroso tambien,landò,lando,,lantò,,lanto,,lantò,lanto,,mesè,mese,,lantò,lanto,,lândù,landu,(the funny guy),,,lándò,lando,landù/landì,landu,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
52,51,alegre,happy,,vatá,vata,,kuátsia,,kuatsia,Verbo (GM),kuátsia,kuatsia,,—,—,,vikó,viko,,kwáchá,kwacha,,,,kújiì,kujii,vàchi,vachi,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
53,52,distanciado,reserved,VERB?,uun,uun,,uun,,uun,,kú úun,ku uun,,oon,oon,,—,—,,úún inî,uun ini,,,,tyúku,tyuku,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
54,53,arrogante,arrogant,,chí'ña,chi'ña,,lantò,,lanto,"same as for #50 'presumido'; cognate form with Griselda's word has different meaning and connotation, see #570",koò xá'jâ inì,,,ìchì,ichi,,—,—,,ichi inî,ichi ini,(picky-rude),,,lándò,lando,ìchì,ichi,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
55,54,muerto,dead,,ndìì,ndii,,ntsǐì,,ntsii,"muerte, dolor/pena",ntsìì,,,ndìi ,ndii ,,ntxìi,ntxii,,ndiǐ,ndii,,ndzii,ndzii,ndyìì,ndyii,ndxii,ndxii,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
56,55,principal,elder,,ná xà'nú,na xa'nu,,rà kúná'nu,,ra kuna'nu,"kú in isolation is A but in context sounds potentially M, may be example of gradient smoothing.",na xìkuà'a,,,na saví,na savi,,na kuká'anu,na kuka'anu,,chaà ntsá'nu,chaa ntsa'nu,,,,tyì sàkwa'à,tyi sakwa'a,tata xá'no,tata xa'no,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
57,56,jicapextle,large gourd,,xkó'ó,xko'o,,—,,—,,xìkó'ó,,,yasì,yasi,,yaxì ko'ò,yaxi ko'o,,  ----,  ----,,,,yasì,yasi,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
58,57,jícara,gourd,,yaxín  te'é,yaxin  te'e,,yaxǐn tsié'é,,yaxin tsie'e,,yaxǐn,,,yasì,yasi,,yaxì,yaxi,,yátsǐ,yatsi,,,,yásì,yasi,yásyì,,,,,,,,,,,,,,,,,,žaši,yači,ž̌aAšĩ,yašĩ,yexĩʔ,43,,,,,,,,,,
59,58,tenate,tortilla basket,,ndò'ó,te'e,,ntò'ǒ,,nto'o,,ntò'ǒ,,,ndò'ò,ndo'o,,ntò'ò,nto'o,,ndoò tsítí,ndoo tsiti,,,,ndo'ò,ndo'o,ndò'ò,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
60,59,Mixteco,Mixtec,,tù'un sàví,tu'un savi,,Tù'un Ntá'vi ,,Tu'un Nta'vi ,Tù'un Sàjvǐ,Tò'on Ntá'vi,,,tù'ùn nda'ví,tu'un nda'vi,,tù'un ntá'ví,tu'un nta'vi,,tù'ùn ndá'vi,tu'un nda'vi,,,,tù'ùn nda'vi,tu'un nda'vi,tù'un ndé'é,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
61,60,hormiga,ant,,tyòkó,tyoko,,tsiòkó,,tsioko,,tsiòkó,,,tìkù kuaá,tiku kuaa,,txokó,txoko,,chokǒ,choko,,,,tsiyo'ò kwáa,tsiyo'o kwaa,tyòko,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
62,61,pájaro,bird,,sàà,saa,,saà,,saa,,saà,,,laà,laa,ndìlaà,laa,laa,,saà,saa,,,,laa,laa,laa,,,,,,,,,,,,,,,,,,laa,saa,saa,saa,tɨ laa,147,láà,AB,37,,,,,,,
63,62,huevo,egg,,ndìví,ndivi,,ntsìvǐ,ntsihβi,ntsivi,,ntsìjvǐ,,,ndìvì,ndivi,,ntxìvì,ntxivi,,ndìvǐ,ndivi,,,,ndìvì,ndivi,ndyìvì,,,,,,,,,,,,,,,,,,nčibi,ndibi,ncibi,ndibi,ndɨwɨʔ,37,,,,,,,,,,
64,63,pescado,fish,,tyàká,tyaka,,tsiàká,,tsiaka,,tsiàká,,,tiyàká,tiyaka,,txaká,txaka,,chakǎ,chaka,,,,tiyaka,tiyaka,,,,,,,,,,,,,,,,,,,,,,,,-,tɨ-yakaʔ,modified,94,,,,,,,
65,64,hoja,leaf,,yùku nda'á itú,yuku nda'a itu,,nta'ǎ ijtǔ,ntaʔa ihtu,nta'a itu,,nta'ǎ ijtǒn,,,ndaà to kuií,ndaa to kuii,,nta'a itùn,nta'a itun,,nda'á yǔtu,nda'a yutu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
66,65,tierra,dirt,,ñu'ú,ñu'u,,ñu'ǔ,,ñu'u,,ñu'ǔ,,,ñoò,ñoo,,ñu'ùn,ñu'un,,ñu'ú,ñu'u,,,,ñu'ù,ñu'u,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
67,66,rayo,lightning,,kaxan,kaxan,,taxa,,taxa,,taxa,,,ndasa,ndasa,,xí'ì ntxìtxà,xi'i ntxitxa,,tatsa,tatsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
68,67,lluvia,rain,,sàví,savi,,sàvǐ,sahβi,savi,,sàjvǐ,,,jàvì,javi,,sàvì,savi,,sàvǐ,savi,,,,jàvì,javi,,,,,,,,,,,,,,,,,,,(kũũ) sabi,sabi,(kũũ),sabii,sawiʔ,1,,,,,,,,,,
69,68,palabra,word,,tù'un,tu'un,,tù'un,,tu'un,,tò'on,,,tò'on,to'on,,tù'un,tu'un,,tù'un,tu'un,,,,tu'ù,tu'u,,,,,,,,,,,,,,,,,,,tũʔũ,tũ̃ʔũ,tũ̃ʔũ,tũ̃ʔũ,toʔõ,9,tòʔón,B.A,48,,,,,,,
70,69,maguey,maguey (century plant),,yaví,yavi,,yavǐ,jahβi,yavi,,yajvǐ,,,yavì,yavi,,yavì,yavi,,yávi,yavi,,,,yávì,yavi,,,,,,,,,,,,,,,,,,,žabi,yabi,žaAbi,---,yawiʔ,2,,,,,,,,,,
71,70,ceniza,ash,,yàá,yaa,,yàjǎ,,yaja,,yàjǎ,,,ya'à,ya'a,,yàà,yaa,,yàá,yaa,,,,yáà,yaa,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
72,71,chile,chili pepper,,ya'á,ya'a,,ya'ǎ,,ya'a,,ya'ǎ,,,yá'à,ya'a,,ya'à,ya'a,,ya'á,ya'a,,,,yá'à,ya'a,,,,,,,,,,,,,,,,,,,,,,,,-,yáʔáʔ,A.Aʔ,12,,,,,,,
