ID	Name	Location	Subgroup	Latitude	Longitude	ISO639P3code
113	sila11	Silacayoapam	Mixtec	17.5541	-98.1163	mks
114	sind11	San Mateo Sindihui	Mixtec	17.02	-97.3036	xts
115	sini11	San José Sinicahua	Mixtec	17.2218	-97.5904	xti
116	soso11	San Jerónimo Sosola	Mixtec	17.36657	-97.03295	
117	soya11	San Bartolo Soyaltepec	Mixtec	17.5892	-97.1921	vmq
118	tama11	San Juan Tamazola	Mixtec	17.1258	-97.0998	vmx
119	tama12	Santiago Tamazola	Mixtec	17.67041	-98.2216	
120	tata11	Santa María Tataltepec	Mixtec	17.14222	-97.39407	
121	teco11	San Sebastián Tecomaxtlahuaca	Mixtec	17.34568	-98.0312	
122	teit11	San Juan Teita	Mixtec	17.1542	-97.3899	xtj
123	tejo11	Los Tejocotes	Mixtec	17.31342	-97.89609	
124	tepa11	Tepango	Mixtec	20.00242	-97.79622	miy
125	tepa12	San Mateo Tepantepec	Mixtec	17.00277	-97.03289	mil
126	tepe03	San Juan Tepeuxila 1900	Mixtec	18.72299	-95.84118	cux
127	tepe11	Tepejillo	Mixtec	18.05265	-97.83906	
128	tepe12	San Antonio Tepetlapa	Mixtec	16.54182	-98.06578	
129	tepe13	San Juan Tepeuxila	Cuicatec	17.72299	-96.84118	cux
130	tepo01	San Pedro y San Pablo Teposcolula 1600	Mixtec	17.51167	-97.48883	
131	tepo11	San Pedro y San Pablo Teposcolula	Mixtec	17.51167	-97.48883	
132	teut11	San Pedro Teutila	Cuicatec	17.97703	-96.705581	cut
133	tezo11	Tezoatlán de Segura y Luna	Mixtec	17.65084	-97.80972	mxb
134	ticu11	Santa Catarina Ticuá	Mixtec	17.07332	-97.53638	mig
135	tida11	San Pedro Tidaá	Mixtec	17.4142	-97.3333	mtx
136	tija11	San Pablo Tijaltepec	Mixtec	17.1539	-97.4578	xtl
137	tila11	Santiago Tilantongo	Mixtec	17.3596	-97.3861	xtd
138	tind11	Santa María Tindú	Mixtec	17.48954	-97.93558	
139	tlac11	San Agustín Tlacotepec	Mixtec	17.20365	-97.51853	xtm
140	tlac12	San Miguel Tlacotepec	Mixtec	17.45511	-98.00552	
141	tlah11	Tlahuapa	Mixtec	17.37553	-98.33826	xta
142	tlal11	Santa Catarina Tlaltempan	Mixtec	18.61485	-98.08867	
143	tlaz11	Santiago Tlazoyaltepec	Mixtec	17.0274	-96.99583	mqh
144	tlaz11	Santiago Tlazoyaltepec	Mixtec	17.02704	-96.9783	mqh
145	tona11	Santa María Tonahuixtla	Mixtec	18.20057	-97.89437	
146	toto11	Tototepec	Mixtec	17.43238	-98.58289	mim
147	toto12	Totoltepec de Guerrero	Mixtec	18.22581	-97.85526	xtb
148	tutu11	Villa de Tututepec de Melchor Ocampo	Mixtec	16.12968	-97.60452	mtu
149	tutu12	San Pedro Tututepec	Mixtec	16.12987	-97.6085	mtu
150	xaya11	San Jerónimo Xayacatlán	Mixtec	18.22159	-97.91563	mit
151	xaya12	Xayacatlán de Bravo	Mixtec	18.2353	-97.97435	mit
152	xoch11	Xochapa	Mixtec	17.38134	-98.44988	xta
153	yolo11	Santa María Yolotepec	Mixtec	16.9648	-97.4537	xtt
154	yolo12	Yoloxochitl	Mixtec	16.8059	-98.6293	xty
155	yoso11	Santiago Yosondúa	Mixtec	16.9042	-97.5018	mpm
156	yoso12	Santa María Yosoyúa	Mixtec	17.11985	-97.51553	
157	yoso13	Santa Catarina Yosonotú	Mixtec	17.02073	-97.66201	
158	yoso14	San Pedro Yosoñama	Mixtec	17.4272	-97.77267	xtn
159	yucu11	San Bartolomé Yucuañe	Mixtec	17.2832	-97.4285	mvg
160	yucu12	Santa María Yucuhiti	Mixtec	17.03036	-97.78237	meh
161	yucu13	Yucuñuti de Benito Juárez	Mixtec	17.63409	-97.89151	mxb
162	yucu14	San Pedro Yucunama	Mixtec	17.56221	-97.48291	
163	yucu15	Santa María Yucunicoco	Mixtec	17.2372	-97.91806	
164	yucu16	Yucuquimi de Ocampo	Mixtec	17.57853	-97.89014	
165	yucu17	Yucunany	Mixtec	17.300827	-97.893888	mix
166	yuta11	Yutanduchi de Guerrero	Mixtec	17.0311	-97.2293	mab
167	yuta12	San Juan Yuta	Mixtec	17.02228	-97.17054	
168	yuta13	San Andrés Yutatío	Mixtec	17.60626	-97.89428	
169	zaca11	Santa María Zacatepec	Mixtec	16.7003	-97.9484	mza
170	zahu11	San Simón Zahuatlán	Mixtec	17.8291	-98.00505	
171	zapo11	Zapotitlán Palmas	Mixtec	17.88959	-97.82406	
