IDlist	CATEGORY	GLOSS	CONCEPTICON_ID	CONCEPT	SIMILARITY
109	food	banana	868	BANANA	2
110	food	prickly pear cactus		PRICKLY PEAR CACTUS	
111	food	mamey		MAMEY	
112	food	custard apple		CUSTARD APPLE	
113	food	mushroom	641	MUSHROOM	2
114	food	meat	634	MEAT	2
115	cooking	griddle		GRIDDLE	
116	cooking	pot, cooking pot	3653	COOKING POT	4
117	cooking	oven	1143	OVEN	2
118	cooking	fire	221	FIRE	2
119	cooking	ash	646	ASH	2
120	cooking	charcoal	1188	CHARCOAL	2
121	cooking	smoke	778	SMOKE (EXHAUST)	2
122	cooking	garbage, trash	909	GARBAGE	4
123	cooking	plate	480	PLATE	2
124	container	gourd, gourd bowl		GOURD BOWL	4
125	container	basket	1539	BASKET	2
126	container	box, chest, trunk	3150	BOX OR CHEST	4
127	thing	thread	1161	THREAD	2
128	thing	comb	1475	COMB	2
129	thing	rope	1218	ROPE	2
130	thing	hole	1667	HOLE	2
131	thing	net	2963	NET	2
132	thing	soap	788	SOAP	2
133	thing	ring	1374	RING	2
134	nature	moon	1313	MOON	2
135	nature	cloud	1489	CLOUD	2
136	nature	lightning	1654	LIGHTNING	2
137	nature	water	948	WATER	2
138	nature	rain (precipitation)	658	RAIN (PRECIPITATION)	2
139	nature	river	666	RIVER	2
140	nature	dew	1977	DEW	2
141	nature	mountain, hill	2118	MOUNTAIN OR HILL	2
142	nature	plain, flatland, lowland	652	PLAIN	4
143	nature	stone, rock	2125	STONE OR ROCK	2
144	material	cotton	1850	COTTON	2
145	material	metal	2244	METAL	2
146	material	paper	648	PAPER	2
147	material	lime (material)	2540	LIME (MATERIAL)	4
148	material	beeswax, wax	1931	BEESWAX	4
149	material	mud	640	MUD	2
150	material	foam	1768	FOAM	2
151	material	dust	2	DUST	2
152	color	red	156	RED	2
153	color	green	1425	GREEN	2
154	color	yellow	1424	YELLOW	2
155	color	black	163	BLACK	2
156	color	white	1335	WHITE	2
157	number	one	1493	ONE	2
158	number	two	1498	TWO	2
159	number	three	492	THREE	2
160	number	four	1500	FOUR	2
161	number	five	493	FIVE	2
162	number	six	1703	SIX	2
163	number	seven	1704	SEVEN	2
164	number	eight	1705	EIGHT	2
165	number	nine	1483	NINE	2
166	number	ten	1515	TEN	2
167	number	fifteen	1709	FIFTEEN	2
168	number	twenty	1710	TWENTY	2
169	property	poor	1674	POOR	2
170	property	rich	712	RICH	2
171	property	cold	1287	COLD	2
172	property	hot	1286	HOT	2
173	property	big.SG		BIG (SINGULAR)	
174	property	big.PL		BIG (PLURAL)	
175	property	small.SG		SMALL (SINGULAR)	
176	property	small.PL		SMALL (PLURAL)	
177	property	long.SG		LONG (SINGULAR)	
178	property	long.PL		LONG (PLURAL)	
179	property	good	1035	GOOD	2
180	property	sweet	717	SWEET	2
181	property	salty	1091	SALTY	2
182	property	bitter	887	BITTER	2
183	property	tasty, delicious	1813	TASTY	4
184	property	wide	1243	WIDE	2
185	property	new	1231	NEW	2
186	property	lazy	1564	LAZY	2
187	property	ugly	1548	UGLY	2
188	property	jealous	2821	JEALOUS	2
189	property	near	1942	NEAR	2
190	property	far	1406	FAR	2
191	property	heavy	1210	HEAVY	2
192	property	raw	1959	RAW	2
193	property	smooth	1234	SMOOTH	2
194	property	slow	701	SLOW	2
195	time	yesterday	1174	YESTERDAY	2
196	time	year	1226	YEAR	2
197	time	now, today	2097	NOW OR TODAY	2
198	time	night	1233	NIGHT	2
199	time	night time		NIGHT TIME	
200	time	day	1260	DAY (24 HOURS)	2
201	time	day time	1225	DAY (NOT NIGHT)	2
202	abstract	half, middle	816	HALF	4
203	abstract	money	1559	MONEY	2
204	abstract	work	2281	WORKING OR WORK	2
205	abstract	word	1599	WORD	2
206	abstract	fault, blame, sin	381	BLAME	4
207	abstract	dream	2374	DREAM	2
208	abstract	when	1238	WHEN	2
209	abstract	song, music	642	MUSIC	4
