IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
192	raw	$					jami11	johnson1988syntactic
193	smooth	$					jami11	johnson1988syntactic
194	slow	kwēē					jami11	johnson1988syntactic
195	yesterday	íkú					jami11	johnson1988syntactic
196	year	kwiya					jami11	johnson1988syntactic
197	now, today	vītyīn					jami11	johnson1988syntactic
198	night	n̄ūú					jami11	johnson1988syntactic
199	night time	ñīyākā	ñī-yākā				jami11	johnson1988syntactic
200	day	kɨvɨ					jami11	johnson1988syntactic
200	day	kɨ					jami11	johnson1988syntactic
201	all day	ndī-yāká	ndī-yāká	all-? ; compound from ndɨ̄hɨ̄ ‘all'			jami11	johnson1988syntactic
202	half, middle	sāvā					jami11	johnson1988syntactic
203	money	shuhun					jami11	johnson1988syntactic
204	work	tyīñō					jami11	johnson1988syntactic
205	word	tūhun					jami11	johnson1988syntactic
206	fault, sin	kwātyi					jami11	johnson1988syntactic
207	dream	$					jami11	johnson1988syntactic
208	when	ámá					jami11	johnson1988syntactic
209	song	yaa					jami11	johnson1988syntactic
