IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
197	ahora, hoy	vityi					chay11	pensinger1974diccionario
198	noche	ñúú					chay11	pensinger1974diccionario
199	de noche	sa cuaa	sa-cuaa				chay11	pensinger1974diccionario
200	día	quɨvɨ					chay11	pensinger1974diccionario
201	de día	$					chay11	pensinger1974diccionario
202	mitad	zava					chay11	pensinger1974diccionario
203	dinero	xuhun					chay11	pensinger1974diccionario
204	trabajo	tyiño					chay11	pensinger1974diccionario
205	palabra	tùhūn					chay11	pensinger1974diccionario
206	culpa	cuatyi					chay11	pensinger1974diccionario
207	sueño	ñimahna	ñi-mahna				chay11	pensinger1974diccionario
208	cuándo	ama					chay11	pensinger1974diccionario
209	canción, baile	yaa					chay11	pensinger1974diccionario
