IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
97	ejote	na³tã³					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
98	chile	ja³ˀa³ʰ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
99	sal	ɲã³²					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
99	sal	j̃ã³²					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
100	calabaza	kã³					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
101	chayote	ni³tĩ³²					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
102	caña	jo³²					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
103	miel	ɡa³tsi¹ˀ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
104	grasa, manteca	nã³mĩ³²					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
105	blanquillo, huevo	ʈʂu³ʰ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
106	tomate	ri³nĩ³²ʰ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
107	camote	mːĩ³²					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
108	aguacate	ru⁴ne³					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
109	plátano	na³to³²					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
110	nopal	di³nĩ³²					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
111	mamey	na³to³² # ro²ʔo¹ʰ	na³to³²-ro²ʔo¹ʰ				chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
112	chirimoya	re³ko³²					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
113	hongo	rã³ˀã³					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
114	carne	ne³¹					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
115	comal	ʃo³²					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
116	olla	ru³ʰ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
117	horno	ɡu³ʈʂũ³⁵					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
118	lumbre, fuego	j̃ã³ˀã³²					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
119	ceniza	jːa³ʰ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
120	carbón	ru³ˀwi³ˀ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
121	humo	ɡa³tse¹ˀ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
122	basura	a³ko¹					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
123	plato	ɡo³ˀo³					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
124	jícara	a³ʈʂu³ˀ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
125	canasta, tenate	ʃu²ɡu⁴ti³					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
126	caja, cajón	ʈʂũ³⁵					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
127	hilo	ʔwe³²ʰ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
128	peine	ɡu³tsi³ˀ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
129	mecate, cuerda	ne³ˀ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
130	agujero, hoyo	ju³ˀu³²ʰ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
131	red	nːã³ʰ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
132	jabón	mːĩ³ˀ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
133	anillo	se³ˀe³²ʰ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
134	luna	a³wi³²					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
135	nube	ŋɡa³					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
136	rayo, relámpago	du³ˀwi³					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
137	agua	ne³²					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
