IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE																																																								
27	hand	ⁿdàʔáʔ					ayut11	durr1987preliminary																																																								
27	hand	ⁿdàʔā					alac11	durr1987preliminary																																																								
27	hand	ⁿdàʔā					metl11	durr1987preliminary																																																								
27	hand	ⁿdāʔā					cahu11	durr1987preliminary																																																								
27	hand	ⁿdāʔá					mixt11	durr1987preliminary																																																								
27	hand	ⁿdáʔà					prog12	durr1987preliminary																																																								
27	hand	ⁿdàʔà					jica11	durr1987preliminary																																																								
28	fingernail	ȼì̧ì̧					coat11	durr1987preliminary																																																								
28	fingernail	Ní̧í̧					atat11	durr1987preliminary																																																								
28	fingernail	tíñū					gran11	durr1987preliminary																																																								
28	fingernail	čí̧ì̧					caca11	durr1987preliminary																																																								
28	fingernail	čī̧ī̧					xaya11	durr1987preliminary																																																								
28	fingernail	číì					alac11	durr1987preliminary																																																								
28	fingernail	čí̧ì̧					metl11	durr1987preliminary																																																								
28	fingernail	čī̧ī̧					cahu11	durr1987preliminary																																																								
28	fingernail	čî̧í̧					mixt11	durr1987preliminary																																																								
28	fingernail	čí̧ì̧					prog12	durr1987preliminary																																																								
28	fingernail	tìñì					jica11	durr1987preliminary																																																								
30	stomach	šɨ̀tɨ́					peno11	durr1987preliminary																																																								
30	stomach	čìī					moli11	durr1987preliminary																																																								
30	stomach	čìhī					ocot11	durr1987preliminary																																																								
30	stomach	čìhī					atat11	durr1987preliminary																																																								
30	stomach	čìī					gran11	durr1987preliminary																																																								
30	stomach	tìšī					caca11	durr1987preliminary																																																								
30	stomach	tīšī					metl11	durr1987preliminary																																																								
30	stomach	tīšī					cahu11	durr1987preliminary																																																								
30	stomach	tīȼī					mixt11	durr1987preliminary																																																								
30	stomach	tìšī					prog12	durr1987preliminary																																																								
30	stomach	tíčí					jica11	durr1987preliminary																																																								
32	foot	šé'ʔé	šéʔé	deleted stress mark			diux11	durr1987preliminary																																																								
32	foot	sáʔá					peno11	durr1987preliminary																																																								
32	foot	xèʔè					ocot11	durr1987preliminary																																																								
32	foot	xēʔè					atat11	durr1987preliminary																																																								
32	foot	xāʔà					gran11	durr1987preliminary																																																								
32	foot	sàʔà					caca11	durr1987preliminary																																																								
32	foot	šàʔà					alac11	durr1987preliminary																																																								
32	foot	šàʔā					metl11	durr1987preliminary																																																								
32	foot	šāʔā					cahu11	durr1987preliminary																																																								
32	foot	šàʔà					prog12	durr1987preliminary																																																								
32	foot	šàʔà					chay11	durr1987preliminary																																																								
34	medicine	tá'tná̧	tátná̧	deleted stress mark			diux11	durr1987preliminary																																																								
34	medicine	tàtà̧					moli11	durr1987preliminary																																																								
34	medicine	tà̧tà̧					ocot11	durr1987preliminary																																																								
34	medicine	tāNà					atat11	durr1987preliminary																																																								
34	medicine	tānà					gran11	durr1987preliminary																																																								
34	medicine	tàtà 					caca11	durr1987preliminary																																																								
34	medicine	tàtà̧ 					metl11	durr1987preliminary																																																								
34	medicine	tàtǎ					mixt11	durr1987preliminary																																																								
34	medicine	tàtà					prog12	durr1987preliminary																																																								
34	medicine	tàtà					chay11	durr1987preliminary																																																								
34	medicine	tàtā̧ 					metl11	durr1987preliminary																																																								
39	clothes	đàʔmà̧					coat11	durr1987preliminary																																																								
39	clothes	sāʔmā 					moli11	durr1987preliminary																																																								
39	clothes	sāʔmā					ocot11	durr1987preliminary																																																								
39	clothes	sāʔmā					atat11	durr1987preliminary																																																								
39	clothes	sāʔmā 					gran11	durr1987preliminary																																																								
39	clothes	đāʔmà̧ 					caca11	durr1987preliminary																																																								
39	clothes	đāʔmà̧ 					xaya11	durr1987preliminary																																																								
39	clothes	sàʔmáʔ					ayut11	durr1987preliminary																																																								
39	clothes	sàʔmǎ					mixt11	durr1987preliminary																																																								
39	clothes	háʔmà					prog12	durr1987preliminary																																																								
39	clothes	sàʔmà					jica11	durr1987preliminary																																																								
40	sandal	ⁿdíʔšȩ̌					coat11	durr1987preliminary																																																								
40	sandal	ⁿdīxȩ̀					atat11	durr1987preliminary																																																								
40	sandal	ⁿdīxà̧ 					gran11	durr1987preliminary																																																								
