IDlist,GLOSS,VALUE,FORM,ID,NOTES,LOAN,LOAN_SOURCE,DOCULECT,SOURCE
130,hoyo,ya³bi²,,293,,,,yolo11,amith2020yoloxochitl
131,red,yu³nu⁴,,294,,,,yolo11,amith2020yoloxochitl
132,jabón,na¹ma⁴,,295,,,,yolo11,amith2020yoloxochitl
133,anillo,xe'³e⁴,,296,,,,yolo11,amith2020yoloxochitl
134,luna,yo¹o⁴,,297,,,,yolo11,amith2020yoloxochitl
135,nube,bi¹ko⁴,,298,,,,yolo11,amith2020yoloxochitl
136,"rayo, relámpago",ñu'³u² sa¹bi⁴,ñu'³u²-sa¹bi⁴,299,fire-rain,,,yolo11,amith2020yoloxochitl
137,agua,ta¹kwi⁴²,,300,,,,yolo11,amith2020yoloxochitl
138,lluvia,sa¹bi⁴,,301,,,,yolo11,amith2020yoloxochitl
139,río,i¹ta³,,302,,,,yolo11,amith2020yoloxochitl
140,rocío,yu⁴yu⁴,,303,,,,yolo11,amith2020yoloxochitl
141,cerro,yu³ku⁴,,304,,,,yolo11,amith2020yoloxochitl
142,llanura,i¹⁴ni³,,305,,,,yolo11,amith2020yoloxochitl
142,llano,yo³so⁴,,306,,,,yolo11,amith2020yoloxochitl
143,piedra,yu¹u⁴,,307,,,,yolo11,amith2020yoloxochitl
144,algodón,ka¹chi⁴,,308,,,,yolo11,amith2020yoloxochitl
145,metal,ka³a²,,309,,,,yolo11,amith2020yoloxochitl
146,papel,tu³tu²,,310,,,,yolo11,amith2020yoloxochitl
147,cal,ka³ka²,,311,,,,yolo11,amith2020yoloxochitl
148,cera,yu¹ma⁴,,312,,,,yolo11,amith2020yoloxochitl
149,lodo,nda'¹yu¹,,313,,,,yolo11,amith2020yoloxochitl
150,espuma,ñu¹ñu¹,,314,"de jabón, de cacao",,,yolo11,amith2020yoloxochitl
150,espuma,pe¹le¹,,315,de agua etc.,,,yolo11,amith2020yoloxochitl
151,polvo,yu³chi⁴,,316,,,,yolo11,amith2020yoloxochitl
152,rojo,kwa'⁴a¹,,317,,,,yolo11,amith2020yoloxochitl
153,verde,kwi⁴i²⁴,,318,,,,yolo11,amith2020yoloxochitl
154,amarillo,kwa⁴an²,,319,,,,yolo11,amith2020yoloxochitl
155,negro,nda⁴a⁴,,320,,,,yolo11,amith2020yoloxochitl
156,blanco,ya³a³,,321,also: limpio,,,yolo11,amith2020yoloxochitl
157,uno,i³in³,,322,,,,yolo11,amith2020yoloxochitl
158,dos,u¹bi¹,,323,,,,yolo11,amith2020yoloxochitl
159,tres,u¹ni¹,,324,,,,yolo11,amith2020yoloxochitl
160,cuatro,ku¹mi⁴,,325,,,,yolo11,amith2020yoloxochitl
161,cinco,u'¹un¹,,326,,,,yolo11,amith2020yoloxochitl
162,seis,i¹ñu¹,,327,,,,yolo11,amith2020yoloxochitl
163,siete,u¹xa¹,,328,,,,yolo11,amith2020yoloxochitl
164,ocho,u¹na¹,,329,,,,yolo11,amith2020yoloxochitl
165,nueve,i¹in¹,,330,,,,yolo11,amith2020yoloxochitl
166,diez,u¹xi¹,,331,,,,yolo11,amith2020yoloxochitl
167,quince,xa'¹un¹,,332,,,,yolo11,amith2020yoloxochitl
168,veinte,o¹ko¹,,333,,,,yolo11,amith2020yoloxochitl
169,pobre,nda'⁴bi²,,334,,,,yolo11,amith2020yoloxochitl
170,rico,bi⁴ka³,,335,,,,yolo11,amith2020yoloxochitl
171,frío,bi¹xin³,,336,,,,yolo11,amith2020yoloxochitl
172,caliente,ni'³ni⁴,,337,,,,yolo11,amith2020yoloxochitl
173,grande.SG,ka'⁴nu³,,338,,,,yolo11,amith2020yoloxochitl
