IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
153	color verde	sayadza	yadza				tepo01	alvarado1593vocabulario
153	color verde	sacuii ~ yadza cuii yadzavuisi	cuii				tepo01	alvarado1593vocabulario
154	color amarillo	saquaa	quaa				tepo01	alvarado1593vocabulario
155	color negro	sandayu satnoo ~ tnoo naa	tnoo				tepo01	alvarado1593vocabulario
156	color blanco	sacuisi	cuisi				tepo01	alvarado1593vocabulario
157	uno	ee					tepo01	alvarado1593vocabulario
158	dos	vvui					tepo01	alvarado1593vocabulario
159	tres	vni					tepo01	alvarado1593vocabulario
160	cuatro	qmi					tepo01	alvarado1593vocabulario
161	cinco	hoho					tepo01	alvarado1593vocabulario
162	seis	iño					tepo01	alvarado1593vocabulario
163	siete	vsa					tepo01	alvarado1593vocabulario
164	ocho	vna					tepo01	alvarado1593vocabulario
165	nueve	ee					tepo01	alvarado1593vocabulario
166	diez	visi					tepo01	alvarado1593vocabulario
167	quince	saho					tepo01	alvarado1593vocabulario
168	veinte	oco					tepo01	alvarado1593vocabulario
169	pobre	tayndahui	ndahui				tepo01	alvarado1593vocabulario
169	pobre	taicai	cai				tepo01	alvarado1593vocabulario
170	rico	tay ñacutu ~ tay yyocutu ini	cutu	second entry probably a verbal construction			tepo01	alvarado1593vocabulario
170	rico	tai yyondai ini	ndai				tepo01	alvarado1593vocabulario
171	frío	huisi casi ~ huisi ñeñe coyo	huisi				tepo01	alvarado1593vocabulario
172	caliente	saini	ini				tepo01	alvarado1593vocabulario
172	caliente	saidzaa	idzaa				tepo01	alvarado1593vocabulario
173	grande cosa	sacanu	canu				tepo01	alvarado1593vocabulario
173	grande cosa	saquaha	quaha				tepo01	alvarado1593vocabulario
173	grande cosa	sananu	nanu	should be the pl form			tepo01	alvarado1593vocabulario
174	grande.PL	$					tepo01	alvarado1593vocabulario
175	pequeña cosa	saquachi	quachi				tepo01	alvarado1593vocabulario
175	pequeña cosa	sadzuchi	dzuchi				tepo01	alvarado1593vocabulario
175	pequeña cosa	sahuatu	huatu				tepo01	alvarado1593vocabulario
176	pequeño.PL, chico.PL	$					tepo01	alvarado1593vocabulario
177	largo como cordel o palo	cani					tepo01	alvarado1593vocabulario
178	largo.PL	$					tepo01	alvarado1593vocabulario
179	buena cosa	sahuaha	huaha				tepo01	alvarado1593vocabulario
179	buena cosa	sadzico	dzico				tepo01	alvarado1593vocabulario
180	dulce cosa	huidzi ~ sahuidzi ~ saadzi	huidzi				tepo01	alvarado1593vocabulario
