IDlist	GLOSS	VALUE	FORM	ID	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
138	lluvia	ku³man¹		21693				itun12	ChristianDiCanio
139	río	chi³nej⁵ nne³²		21694	surco-agua			itun12	ChristianDiCanio
140	rocío	$						itun12	ChristianDiCanio
141	cerro, monte	kkij²		21695	only in compounds			itun12	ChristianDiCanio
142	llano, loma	ta³kanj³		21696				itun12	ChristianDiCanio
143	piedra	yyej¹		21697				itun12	ChristianDiCanio
144	algodón, esponja	ka³chij²		21698				itun12	ChristianDiCanio
145	fierro, botella	ka³gah³		21699				itun12	ChristianDiCanio
146	papel	yanj⁴		21700				itun12	ChristianDiCanio
147	cal	na³hanj³		21701				itun12	ChristianDiCanio
148	cera	yanj⁴		21702				itun12	ChristianDiCanio
149	lodo	si³keh³		21703				itun12	ChristianDiCanio
150	espuma	ya³tanh³		21704				itun12	ChristianDiCanio
151	polvo (de cualquiera sustancia)	ni³nanj³		21705				itun12	ChristianDiCanio
152	rojo	ma²re³		21706				itun12	ChristianDiCanio
153	verde	ma²re³¹		21707				itun12	ChristianDiCanio
154	amarillo	ma²yaj³²		21708				itun12	ChristianDiCanio
155	negro	ma²ru³¹		21709				itun12	ChristianDiCanio
156	blanco	ka¹si¹		21710				itun12	ChristianDiCanio
157	uno	ngo²		21711				itun12	ChristianDiCanio
158	dos	bbij¹		21712				itun12	ChristianDiCanio
159	tres	ba¹hninj¹		21713				itun12	ChristianDiCanio
160	cuatro	ka¹hanj³		21714				itun12	ChristianDiCanio
161	cinco	u²hunh²		21715				itun12	ChristianDiCanio
162	seis	ba¹tanh¹		21716				itun12	ChristianDiCanio
163	siete	cchij²		21717				itun12	ChristianDiCanio
164	ocho	ttunj²		21718				itun12	ChristianDiCanio
165	nueve	un²		21719				itun12	ChristianDiCanio
166	diez	cchih²		21720				itun12	ChristianDiCanio
167	quince	chi²nunh²		21721				itun12	ChristianDiCanio
168	veinte	ko²		21722				itun12	ChristianDiCanio
169	pobre	la³hbi³		21723				itun12	ChristianDiCanio
169	pobre	ni²ki³		21724				itun12	ChristianDiCanio
169	pobre (al respecto de su carácter o su vestida)	ya¹ko³		21725				itun12	ChristianDiCanio
170	rico	chu²ru³hbe³²		21726				itun12	ChristianDiCanio
171	tener frío	nu²bij³		21727	verb?			itun12	ChristianDiCanio
172	estar caliente	ya²han³		21728	verb?			itun12	ChristianDiCanio
173	grande	xi³		21729				itun12	ChristianDiCanio
174	grande.PL	$						itun12	ChristianDiCanio
175	pequeño, chiquito	li⁴³		21730				itun12	ChristianDiCanio
176	pequeño.PL, chico.PL	$						itun12	ChristianDiCanio
177	ser largo	che¹che¹		21731	verb?			itun12	ChristianDiCanio
178	largo.PL	$						itun12	ChristianDiCanio
179	bueno, limpio	sah¹		21732				itun12	ChristianDiCanio
180	dulce	tsih¹		21733				itun12	ChristianDiCanio
181	ser salado	hnih¹		21734	adjective			itun12	ChristianDiCanio
182	amargo	ya¹ih¹		21735				itun12	ChristianDiCanio
183	sabroso	taj²		21736				itun12	ChristianDiCanio
184	ancho	ka¹ra¹		21737				itun12	ChristianDiCanio
185	nuevo	na¹ka¹		21738				itun12	ChristianDiCanio
186	ser flojo	ru¹mi¹		21739	verb?			itun12	ChristianDiCanio
187	feo, mal hecho	tu²kwe³nta³²		21740				itun12	ChristianDiCanio
188	celoso	chi²ko³koj²		21741				itun12	ChristianDiCanio
189	cerca (de eventos, no de cosas)	ni³chunh³		21742				itun12	ChristianDiCanio
189	cerca	ni¹chrunh¹		21743				itun12	ChristianDiCanio
190	lejos	kanh²³		21744				itun12	ChristianDiCanio
190	lejado, lejos	a⁴nej⁴		21745				itun12	ChristianDiCanio
191	ser pesado	ya¹hyi¹		21746	adjective			itun12	ChristianDiCanio
192	crudo (de verduras)	hbi¹		21747				itun12	ChristianDiCanio
193	liso, pulido	nu²hbi³		21748				itun12	ChristianDiCanio
194	despacio	nnaj²		21749				itun12	ChristianDiCanio
195	ayer	ku³ki³		21750				itun12	ChristianDiCanio
196	año	$						itun12	ChristianDiCanio
197	ahora	a³kwa⁴hni⁴³		21751				itun12	ChristianDiCanio
198	noche	ni³¹		21752				itun12	ChristianDiCanio
199	toda la noche	ni²kanh²		21753				itun12	ChristianDiCanio
200	día, sol	kwi³		21754				itun12	ChristianDiCanio
201	de día	ku³ni³hyanj⁴		21755				itun12	ChristianDiCanio
201	de día	kwi³ni³hyanj²		21756				itun12	ChristianDiCanio
202	mitad	ta²haj²		21757				itun12	ChristianDiCanio
203	dinero	sa³hanj²		21758				itun12	ChristianDiCanio
204	trabajo	sun³²		21759				itun12	ChristianDiCanio
205	idioma	sna⁴hanj⁴		21760				itun12	ChristianDiCanio
206	pecado	si³sah¹		21761				itun12	ChristianDiCanio
207	sueño	nnej³		21762				itun12	ChristianDiCanio
208	cuándo	a²man²		21763				itun12	ChristianDiCanio
209	música	chah³		21764				itun12	ChristianDiCanio
