IDjoss,IDlist,GLOSS_E,GLOSS_S,GLOSS_1,GLOSS
62,NA,handspan,cuarta,NA,NA
63,15,owner,dueño,"owner, boss",NA
64,NA,lay (egg),poner (huevo),NA,NA
65,NA,big (sg.),grande (sg.),NA,NA
66,26,neck,cuello,neck,cuello
67,NA,will come,va a venir,NA,NA
68,76,horn,cuerno,horn (anatomy),NA
69,53,snake,culebra,NA,"culebra, serpiente"
70,187,ugly,feo,ugly,feo
71,141,hill,cerro,"mountain, hill",NA
72,NA,armadillo,armadillo,NA,NA
73,NA,crooked,chueco,NA,NA
74,196,year,año,year,año
75,NA,eyebrow,ceja,NA,NA
76,37,pus,pus,NA,"pus, materia"
77,NA,demon,demonio,NA,NA
78,154,yellow,amarillo,yellow,amarillo
79,NA,sew,coser,NA,NA
80,NA,will carry,va a cargar,NA,NA
81,NA,that,aquel,NA,NA
82,NA,below,abajo,NA,NA
83,NA,all night,toda la noche,NA,NA
84,172,hot,caliente,NA,"está caliente, caliente"
85,87,grain of corn,maíz,NA,maíz en grano
86,NA,wall,pared,NA,NA
87,NA,early,temprano,NA,NA
88,NA,open,abierto,NA,NA
89,164,eight,ocho,eight,ocho
90,106,tomato,jitomate,NA,tomate
91,97,green bean,ejote,green bean,ejote
92,202,half,mitad,"half, middle",NA
93,102,cane,caña,sugar cane,NA
94,116,clay pot,olla,"pot, cooking pot",NA
95,NA,liquor,aguardiente,NA,NA
96,103,honey,miel,honey,miel
97,NA,armpit,sobaco,NA,NA
98,95,tassel,espiga,"tassel, maize spike",NA
99,NA,people,gente,NA,NA
100,43,town,pueblo,"village, town",NA
101,121,smoke,humo,smoke,humo
102,NA,eat,comer,NA,NA
103,55,hawk,gavilán,NA,gavilán
104,NA,truth,verdad,NA,NA
105,118,fire,lumbre,NA,"lumbre, fuego"
106,162,six,seis,six,seis
107,28,fingernail,uņa,NA,uña
108,93,cornstalk,rastrojo,"cleared field, cornstalk",NA
109,91,cornmeal,masa,"cornmeal, corn dough",NA
110,6,child,hijo,son,NA
111,NA,"cold, phlegm",catarro,NA,NA
112,179,good,bueno,good,bueno
113,NA,because,porque,NA,NA
114,NA,this one,este mismo,NA,NA
115,NA,is coming,ya viene,NA,NA
116,122,trash,basura,"garbage, trash",NA
117,69,cat,gato,cat,gato
118,110,prickly pear,nopal,prickly pear cactus,NA
119,32,foot,pie,foot,pie
120,NA,cut,cortar,NA,NA
121,167,fifteen,quince,fifteen,quince
122,NA,guts,tripas,NA,NA
123,166,ten,diez,ten,diez
124,171,cold,frío,NA,frío
125,40,sandal,huarache,"sandal, sandals",NA
126,NA,housepot,horcón,NA,NA
127,NA,name,nombre,NA,NA
128,NA,cacao,cacao,NA,NA
129,24,ear,oreja,ear,oreja
130,183,tasty,sabroso,"tasty, delicious",NA
131,NA,closed,cerrado,NA,NA
132,NA,day after tomorrow,pasado mañana,NA,NA
133,180,sweet,dulce,sweet,dulce
134,NA,now,ahora,NA,NA
135,130,hole,agujero,NA,"agujero, hoyo"
136,NA,afraid,tiene miedo,NA,NA
137,169,poor,pobre,poor,pobre
138,158,two,dos,two,dos
139,56,scorpion,alacrán,NA,alacrán
140,NA,go out,salir,NA,NA
141,NA,paint,pintar,NA,NA
142,NA,rat,rata,NA,NA
143,35,swelling,hinchazón,NA,hinchazón
144,36,pimple,grano,pimple,grano
145,NA,it thunders,truena,NA,NA
146,NA,rainbow,arco iris,NA,NA
147,51,bird,pájaro,NA,pájaro
148,54,frog,rana,frog,rana
149,NA,navel,ombligo,NA,NA
150,38,urine,orina,urine,orina
151,NA,chachalaca,chachalaca,NA,NA
152,193,smooth,lisa,NA,liso
153,NA,little,chico,NA,NA
154,200,day,día,day,día
155,208,when,cuándo,NA,cuándo
156,NA,plain,llano,NA,NA
157,NA,how,cómo,NA,NA
158,NA,carry,cargar,NA,NA
159,57,cockroach,cucaracha,cockroach,cucaracha
160,NA,glue,pegamento,NA,NA
161,33,sickness,enfermedad,"disease, illness, sickness",NA
162,NA,see,ver,NA,NA
163,194,slow,despacio,slow,despacio
164,44,house,casa,house,casa
165,111,mamey,mamey,NA,"mamey, zapote"
166,NA,grind,moler,NA,NA
167,78,wing,ala,wing,ala
168,NA,stool,banquito,NA,NA
169,88,cornfield,milpa,cornfield,milpa
170,195,yesterday,ayer,yesterday,ayer
171,NA,other,otro,NA,NA
172,128,comb,peine,comb,peine
173,NA,be born,se nació,NA,NA
174,NA,smart,sabio,NA,NA
175,143,stone,piedra,"stone, rock",NA
176,23,mouth,boca,mouth,boca
177,NA,I,yo,NA,NA
178,140,dew,rocío,NA,rocío
179,81,brush,hierba,herb,NA
180,94,furrow,surco,"furrow, planting row",NA
181,NA,trousers,calzón,NA,NA
182,16,priest,sacerdote,priest,sacerdote
183,145,brand,fierro,metal,NA
184,NA,will know,sabrá,NA,NA
185,62,squirrel,ardilla,squirrel,ardilla
186,NA,loose,floja,NA,NA
187,191,heavy,pesado,heavy,pesado
188,NA,tobacco,tobaco,NA,NA
