IDjoss,CODEjoss,GLOSSenglish,GLOSSspanish,VALUE
146,ixtl,rainbow,arco iris,koo ža̧ʔⁿju
147,ixtl,bird,pájaro,ti đaa
148,ixtl,frog,rana,[ⁿdi đekʷe]
149,ixtl,navel,ombligo,ti leȼa
150,ixtl,urine,orina,ⁿduȼa đađa
151,ixtl,chachalaca,chachalaca,NA
152,ixtl,smooth,lisa,ⁿdiʔi
153,ixtl,little,chico,(sa) luči
154,ixtl,day,día,kii
155,ixtl,when,cuándo,a̧ma̧
156,ixtl,plain,llano,ž̩ođo
157,ixtl,how,cómo,ⁿǰaa
158,ixtl,carry,cargar,ⁿǰiđo
159,ixtl,cockroach,cucaracha,[ⁿdi đi̧ñu̧]
160,ixtl,glue,pegamento,ti ⁿzaka
161,ixtl,sickness,enfermedad,kʷeʔe
162,ixtl,see,ver,ⁿzaʔa
163,ixtl,slow,despacio,kʷee
164,ixtl,house,casa,weʔe
165,ixtl,mamey,mamey,ⁿǰika
166,ixtl,grind,moler,ⁿǰiko
167,ixtl,wing,ala,ⁿǰiši
168,ixtl,stool,banquito,(ti) ȼayu
169,ixtl,cornfield,milpa,itu
170,ixtl,yesterday,ayer,iku
171,ixtl,other,otro,tuku
172,ixtl,comb,peine,kukʷa
173,ixtl,be born,se nació,kaku
174,ixtl,smart,sabio,NA
175,ixtl,stone,piedra,ž̩uu
176,ixtl,mouth,boca,žuʔu
177,ixtl,I,yo,[-ⁿzu]
178,ixtl,dew,rocío,žužu
179,ixtl,brush,hierba,žuku
180,ixtl,furrow,surco,[šiči]
181,ixtl,trousers,calzón,satu
182,ixtl,priest,sacerdote,đutu
183,ixtl,brand,fierro,[maⁿča]
184,ixtl,will know,sabrá,ši̧ni̧
185,ixtl,squirrel,ardilla,kʷa̧ñu̧
186,ixtl,loose,floja,taya
187,ixtl,heavy,pesado,wee
188,ixtl,tobacco,tobaco,i̧nu̧=cigarro
1,apas,rain,lluvia,(ku̧u̧
1,apas,rain,lluvia,ko̧o̧) đawi
2,apas,agave,maguey,žawi
3,apas,straw mat,petate,žuu
3,apas,straw mat,petate,žuwi
4,apas,four,cuatro,ku̧mi̧
5,apas,feather,pluma,tu̧mi̧
6,apas,tail,cola,đu̧ʔma̧
7,apas,wax,cera,ñu̧ma̧
8,apas,nose,nariz,šiči
9,apas,word,palabra,tu̧ʔu̧
10,apas,near,está cerca,žači
11,apas,tree,árbol,žutu
12,apas,deer,venado,iđu
13,apas,lard,manteca,đa̧ʔa̧
14,apas,smell,olor,điko
15,apas,tortilla,tortilla,ita
16,apas,vomits,vomita,ⁿdusa
17,apas,lazy,flojo,đusa
18,apas,bed,cama,šito
19,apas,griddle,comal,šiyo
20,apas,sin,culpa,kʷači
21,apas,bean,frijol,ⁿduči
22,apas,water,agua,ⁿduȼa
23,apas,river,río,žuȼa
24,apas,mud,lodo,ⁿzaʔyu
25,apas,man's brother,hermano de h.,ña̧ni̧
26,apas,three,tres,u̧ni̧
27,apas,tooth,diente,nu̧ʔu̧
28,apas,five,cinco,u̧ʔu̧
28,apas,five,cinco,o̧ʔo̧
29,apas,bitter,amargo,uwa
30,apas,meat,carne,ku̧ñu̧
30,apas,meat,carne,ku̧ỹu̧
30,apas,meat,carne,ko̧ño̧
31,apas,red,rojo,kʷaʔa
32,apas,(he) went,se fue,kʷa̧ʔa̧
33,apas,seven,siete,usa
34,apas,thread,hilo,žuʔwa
35,apas,animal,animal,kiti
36,apas,it finishes,se acaba,(sa)ⁿdeʔe
37,apas,egg,blanquillo,ⁿdiwi
38,apas,foam,espuma,ti i̧ñu̧
39,apas,blood,sangre,ni̧ñi̧
40,apas,husband,marido,žee
41,apas,salt,sal,ñi̧i̧
42,apas,net bag,red,ño̧no̧
42,apas,net bag,red,ñu̧nu̧
43,apas,gourd,jícara,žaši
44,apas,squash,calabaza,NA
45,apas,coati,tejón coatí,žiži
46,apas,food,comida,ⁿzayu
47,apas,salty,salado,[ađa]
48,apas,blouse,huipil,[đu̧ʔnu̧]
49,apas,work,trabajo,či̧u̧
50,apas,cotton,algodón,kači
51,apas,wind,viento,tači
52,apas,man,hombre,čee
52,apas,man,hombre,tʸee
53,apas,round,redondon,ti kuȼa
54,apas,oven,horno,šitu
55,apas,box / drawer,cajón,satu
56,apas,mosquito,zancudo,ti kʷañu̧
57,apas,wait for,esperar,ⁿzatu
58,apas,rotten,podrido,(sa) ȼaʔyu
59,apas,grab,agarrar,tȩȩ
60,apas,tendon,tendón,tuči
61,apas,blow,soplar,tiwi ⁿzaa
62,apas,handspan,cuarta,too
63,apas,owner,dueño,(s)toʔo
64,apas,lay (egg),poner (huevo),saki
65,apas,big (sg.),grande (sg.),kaʔnu̧
66,apas,neck,cuello,đuku
67,apas,will come,va a venir,[ⁿdisa]
68,apas,horn,cuerno,ⁿdiki
69,apas,snake,culebra,koo
70,apas,ugly,feo,kini̧ kaa
71,apas,hill,cerro,žuku
72,apas,armadillo,armadillo,(koo) žaku̧
73,apas,crooked,chueco,žakʷa
74,apas,year,año,kʷiya
75,apas,eyebrow,ceja,đukʷa
76,apas,pus,pus,ⁿdakʷa
77,apas,demon,demonio,sa ka kʷiʔya
78,apas,yellow,amarillo,kʷa̧a̧
79,apas,sew,coser,kiku
80,apas,will carry,va a cargar,kʷiđo
81,apas,that,aquel,sukʷa
82,apas,below,abajo,ni̧nu̧
83,apas,all night,toda la noche,ni̧ñu̧
84,apas,hot,caliente,i̧ʔni̧
85,apas,grain of corn,maíz,nu̧ni̧
86,apas,wall,pared,či na̧mi̧
87,apas,early,temprano,[đaȼa]
88,apas,open,abierto,nu̧na̧
89,apas,eight,ocho,u̧na̧
90,apas,tomato,jitomate,ti na̧na̧
91,apas,green bean,ejote,ⁿǰiči
92,apas,half,mitad,đawa
93,apas,cane,caña,ⁿdoo
94,apas,clay pot,olla,kiđi
95,apas,liquor,aguardiente,ⁿdiđi=pulque
96,apas,honey,miel,ⁿduđi
97,apas,armpit,sobaco,tika đaʔwi
98,apas,tassel,espiga,žoko
99,apas,people,gente,ña̧ žii
100,apas,town,pueblo,ñu̧u̧
101,apas,smoke,humo,ñu̧ʔma̧
102,apas,eat,comer,sa(ȼa)
103,apas,hawk,gavilán,[đi̧ʔña̧]
103,apas,hawk,gavilán,tađu̧
104,apas,truth,verdad,ⁿjisa
104,apas,truth,verdad,[sa ⁿdaa]
105,apas,fire,lumbre,ñu̧ʔu̧
106,apas,six,seis,i̧ñu̧
107,apas,fingernail,uņa,či̧i̧
108,apas,cornstalk,rastrojo,ña̧ma̧=cañuela
109,apas,cornmeal,masa,žusa
110,apas,child,hijo,đaʔa
111,apas,"cold, phlegm",catarro,kʷe đayu
112,apas,good,bueno,waʔa
113,apas,because,porque,ȼi
114,apas,this one,este mismo,mȩȩ
115,apas,is coming,ya viene,[ⁿdiši]
116,apas,trash,basura,mi̧ʔi̧
117,apas,cat,gato,wilu
118,apas,prickly pear,nopal,mi̧ʔⁿza
119,apas,foot,pie,saʔa
120,apas,cut,cortar,sa̧ʔⁿza
121,apas,fifteen,quince,sa̧ʔa̧
122,apas,guts,tripas,šiti
123,apas,ten,diez,uši
124,apas,cold,frío,wiši
125,apas,sandal,huarache,ⁿǰisa
126,apas,housepot,horcón,ti đȩʔȩ
127,apas,name,nombre,NA
128,apas,cacao,cacao,θeʔwa=chocolate
129,apas,ear,oreja,đoʔo
130,apas,tasty,sabroso,ađi
131,apas,closed,cerrado,ⁿzađi
132,apas,day after tomorrow,pasado mañana,yuȼa iđa
133,apas,sweet,dulce,wiđi
134,apas,now,ahora,wita
135,apas,hole,agujero,žawi
136,apas,afraid,tiene miedo,žuʔu
137,apas,poor,pobre,ⁿdaʔwi
138,apas,two,dos,uwi
139,apas,scorpion,alacrán,ⁿdi đu̧ʔma̧
140,apas,go out,salir,kee
141,apas,paint,pintar,đa kaʔyu
142,apas,rat,rata,ti̧ñi̧
143,apas,swelling,hinchazón,kʷi̧ñu̧
144,apas,pimple,grano,ⁿdiʔi
145,apas,it thunders,truena,[katu]
145,apas,it thunders,truena,ka̧ʔⁿdi
146,apas,rainbow,arco iris,koo ya̧ʔⁿǰi
147,apas,bird,pájaro,ti đaa
148,apas,frog,rana,ⁿdi laʔwa
149,apas,navel,ombligo,[ti kuyu]
150,apas,urine,orina,ⁿduȼa đađa
151,apas,chachalaca,chachalaca,NA
152,apas,smooth,lisa,[ⁿdee]
152,apas,smooth,lisa,ⁿdiʔwi
153,apas,little,chico,luči
154,apas,day,día,kiwi
155,apas,when,cuándo,a̧ma̧
155,apas,when,cuándo,[na̧a̧ kii]
156,apas,plain,llano,žođo
157,apas,how,cómo,na̧sa
158,apas,carry,cargar,ⁿǰiđo
159,apas,cockroach,cucaracha,[ⁿdi đi̧ñu̧]
160,apas,glue,pegamento,NA
161,apas,sickness,enfermedad,kʷeʔe
162,apas,see,ver,ⁿzaʔa
163,apas,slow,despacio,kʷee (ni̧)
164,apas,house,casa,weʔe
165,apas,mamey,mamey,ⁿǰika
166,apas,grind,moler,ⁿǰiko
167,apas,wing,ala,ⁿǰiši
168,apas,stool,banquito,ȼayu
169,apas,cornfield,milpa,itu
169,apas,cornfield,milpa,[wižu]=planted field
170,apas,yesterday,ayer,iku
171,apas,other,otro,[ȩᵑɡa]
172,apas,comb,peine,kuka
173,apas,be born,se nació,kaku
174,apas,smart,sabio,NA
175,apas,stone,piedra,žuu
176,apas,mouth,boca,žuʔu
177,apas,I,yo,[-ⁿzu]
177,apas,I,yo,[-đa]
178,apas,dew,rocío,žužu
179,apas,brush,hierba,žuku
180,apas,furrow,surco,[šiči]
181,apas,trousers,calzón,NA
182,apas,priest,sacerdote,đutu
183,apas,brand,fierro,NA
184,apas,will know,sabrá,đi̧ni̧ ki̧ni̧
185,apas,squirrel,ardilla,la kʷa̧ñu̧
186,apas,loose,floja,taya
187,apas,heavy,pesado,wee
188,apas,tobacco,tobaco,i̧nu̧
1,apoa,rain,lluvia,đaƀi
2,apoa,agave,maguey,žaƀi
3,apoa,straw mat,petate,žuu
4,apoa,four,cuatro,ku̧mi̧
5,apoa,feather,pluma,tu̧mi̧
6,apoa,tail,cola,đu̧ʔma̧
7,apoa,wax,cera,ỹu̧ma̧
8,apoa,nose,nariz,šiči
9,apoa,word,palabra,to̧ʔo̧
10,apoa,near,está cerca,yači̧
11,apoa,tree,árbol,žutu
12,apoa,deer,venado,iđu
13,apoa,lard,manteca,đa̧ʔa̧
14,apoa,smell,olor,điko
15,apoa,tortilla,tortilla,ita
16,apoa,vomits,vomita,ⁿdusa
17,apoa,lazy,flojo,đusa
18,apoa,bed,cama,šito
19,apoa,griddle,comal,šiyo
20,apoa,sin,culpa,kʷači
21,apoa,bean,frijol,ⁿduči
22,apoa,water,agua,ⁿduȼa
23,apoa,river,río,žuȼa
24,apoa,mud,lodo,ⁿzaʔyu
25,apoa,man's brother,hermano de h.,ša̧ni̧
25,apoa,man's brother,hermano de h.,ⁿdi ya̧ni̧
26,apoa,three,tres,u̧ni̧
27,apoa,tooth,diente,nu̧ʔu̧
28,apoa,five,cinco,o̧ʔo̧
29,apoa,bitter,amargo,uƀa
30,apoa,meat,carne,ko̧ỹo̧
31,apoa,red,rojo,kʷaʔa
32,apoa,(he) went,se fue,kʷa̧ʔa̧
33,apoa,seven,siete,usa
34,apoa,thread,hilo,žuʔwa
35,apoa,animal,animal,kiti(tata)
36,apoa,it finishes,se acaba,ⁿdeʔe
37,apoa,egg,blanquillo,ⁿdiƀi
38,apoa,foam,espuma,ti i̧ñu̧
39,apoa,blood,sangre,ni̧ỹi̧
39,apoa,blood,sangre,ni̧ñi̧
40,apoa,husband,marido,NA
41,apoa,salt,sal,ñȩȩ
42,apoa,net bag,red,yu̧nu̧
42,apoa,net bag,red,ñu̧nu̧
43,apoa,gourd,jícara,yaši̧
44,apoa,squash,calabaza,žiki̧
45,apoa,coati,tejón coatí,ti žiži
46,apoa,food,comida,ⁿd̩ayu
47,apoa,salty,salado,[sa ñi̧i̧]
48,apoa,blouse,huipil,[đo̧ʔno̧]
49,apoa,work,trabajo,čo̧o̧
50,apoa,cotton,algodón,kači
51,apoa,wind,viento,tači
52,apoa,man,hombre,čee
53,apoa,round,redondon,ti kuȼa
54,apoa,oven,horno,šitu
55,apoa,box / drawer,cajón,satu
56,apoa,mosquito,zancudo,ti kʷa̧ỹu̧
57,apoa,wait for,esperar,ⁿzatu
58,apoa,rotten,podrido,ȼaʔyu
59,apoa,grab,agarrar,tȩȩ
60,apoa,tendon,tendón,tuči
61,apoa,blow,soplar,tiƀi
62,apoa,handspan,cuarta,[ɡeme]
63,apoa,owner,dueño,toʔo
64,apoa,lay (egg),poner (huevo),saki
65,apoa,big (sg.),grande (sg.),kaʔnu̧
66,apoa,neck,cuello,đuku
67,apoa,will come,va a venir,kii
68,apoa,horn,cuerno,ⁿdiki
69,apoa,snake,culebra,koo
70,apoa,ugly,feo,[kʷiʔya]
71,apoa,hill,cerro,žuku
72,apoa,armadillo,armadillo,yakʷi
72,apoa,armadillo,armadillo,žakʷi
73,apoa,crooked,chueco,žakʷa
74,apoa,year,año,kʷia
75,apoa,eyebrow,ceja,đukʷa
76,apoa,pus,pus,ⁿdakʷa
77,apoa,demon,demonio,kʷiʔya
78,apoa,yellow,amarillo,kʷa̧a̧
79,apoa,sew,coser,kiku
80,apoa,will carry,va a cargar,kʷiđo
81,apoa,that,aquel,xukʷa̧
82,apoa,below,abajo,[nu̧ʔu̧
82,apoa,below,abajo,ti koʔo]
83,apoa,all night,toda la noche,ni̧ñu̧
84,apoa,hot,caliente,i̧ʔni̧
85,apoa,grain of corn,maíz,nu̧ni̧
86,apoa,wall,pared,[saʔa]
87,apoa,early,temprano,na̧ʔa̧
88,apoa,open,abierto,nu̧na̧
89,apoa,eight,ocho,u̧na̧
90,apoa,tomato,jitomate,ti na̧na̧
91,apoa,green bean,ejote,čiči
92,apoa,half,mitad,đawa
93,apoa,cane,caña,ⁿdoo
94,apoa,clay pot,olla,kiđi
95,apoa,liquor,aguardiente,ⁿdiđi
96,apoa,honey,miel,ⁿduđi
97,apoa,armpit,sobaco,tika đaʔƀi
98,apoa,tassel,espiga,žoko
99,apoa,people,gente,ña̧ žii
100,apoa,town,pueblo,ñu̧u̧
101,apoa,smoke,humo,ñu̧ʔma̧
101,apoa,smoke,humo,ỹu̧ʔma̧
102,apoa,eat,comer,šaši
103,apoa,hawk,gavilán,[đi̧ʔa̧]
103,apoa,hawk,gavilán,[žaʔa]
103,apoa,hawk,gavilán,tađu̧
104,apoa,truth,verdad,ⁿžisa
105,apoa,fire,lumbre,ñu̧ʔu̧
106,apoa,six,seis,i̧ñu̧
106,apoa,six,seis,i̧ỹu̧
107,apoa,fingernail,uņa,či̧i̧
108,apoa,cornstalk,rastrojo,ña̧ma̧
108,apoa,cornstalk,rastrojo,ỹa̧ma̧
109,apoa,cornmeal,masa,žusa
110,apoa,child,hijo,đaʔa
111,apoa,"cold, phlegm",catarro,đayu=tos
112,apoa,good,bueno,waʔa
113,apoa,because,porque,ti
114,apoa,this one,este mismo,mȩȩ
115,apoa,is coming,ya viene,waši
116,apoa,trash,basura,mi̧ʔi̧
117,apoa,cat,gato,ƀilu
118,apoa,prickly pear,nopal,mi̧ʔⁿȼa
119,apoa,foot,pie,saʔa
120,apoa,cut,cortar,sa̧ʔⁿȼa
121,apoa,fifteen,quince,sa̧ʔu̧
122,apoa,guts,tripas,šiti
123,apoa,ten,diez,uši
124,apoa,cold,frío,ƀiši
125,apoa,sandal,huarache,ⁿžisa
126,apoa,housepot,horcón,đȩʔȩ
127,apoa,name,nombre,điƀi
128,apoa,cacao,cacao,đeʔƀa
129,apoa,ear,oreja,đoʔo
130,apoa,tasty,sabroso,ađi
131,apoa,closed,cerrado,NA
132,apoa,day after tomorrow,pasado mañana,[ȩᵑɡa kii]
132,apoa,day after tomorrow,pasado mañana,iđa
133,apoa,sweet,dulce,wiđi
134,apoa,now,ahora,ƀita
135,apoa,hole,agujero,yaƀi
136,apoa,afraid,tiene miedo,žuʔu
137,apoa,poor,pobre,ⁿdaʔƀi
138,apoa,two,dos,uƀi
139,apoa,scorpion,alacrán,ⁿdi đu̧ʔma̧
140,apoa,go out,salir,kee
141,apoa,paint,pintar,(đa) kaʔyu
142,apoa,rat,rata,ti̧ñi̧
143,apoa,swelling,hinchazón,[ši̧o̧]
143,apoa,swelling,hinchazón,kʷi̧ño̧
144,apoa,pimple,grano,ⁿdiʔi=viruela
145,apoa,it thunders,truena,[katu]
146,apoa,rainbow,arco iris,koo ƀia̧ʔⁿči
147,apoa,bird,pájaro,ti đaa
148,apoa,frog,rana,(lika) laʔwa
149,apoa,navel,ombligo,[ti kuyu]
150,apoa,urine,orina,[ⁿduȼa tata]
151,apoa,chachalaca,chachalaca,leka
152,apoa,smooth,lisa,NA
153,apoa,little,chico,[žiki]
153,apoa,little,chico,luči
154,apoa,day,día,kii
155,apoa,when,cuándo,a̧ma̧
156,apoa,plain,llano,žođo
156,apoa,plain,llano,yođo
157,apoa,how,cómo,[na̧ mu̧đu-ku]
158,apoa,carry,cargar,ⁿžiđo
159,apoa,cockroach,cucaracha,[ⁿdi đi̧ñu̧]
160,apoa,glue,pegamento,NA
161,apoa,sickness,enfermedad,kʷeʔe
162,apoa,see,ver,ⁿzaʔa
163,apoa,slow,despacio,kʷee
164,apoa,house,casa,weʔe
165,apoa,mamey,mamey,[mamey]
166,apoa,grind,moler,ⁿžiko
167,apoa,wing,ala,ⁿžiši̧
168,apoa,stool,banquito,ȼayu=banco
169,apoa,cornfield,milpa,[ƀiyu]
169,apoa,cornfield,milpa,itu
170,apoa,yesterday,ayer,iku
171,apoa,other,otro,NA
172,apoa,comb,peine,kukʷa
173,apoa,be born,se nació,kaku
174,apoa,smart,sabio,NA
175,apoa,stone,piedra,žuu
176,apoa,mouth,boca,žuʔu
177,apoa,I,yo,ⁿžuʔu
178,apoa,dew,rocío,žužu
179,apoa,brush,hierba,[kuʔu]
179,apoa,brush,hierba,žuku
180,apoa,furrow,surco,[šiči]
181,apoa,trousers,calzón,[đo̧ʔno̧ kʷiši̧]
182,apoa,priest,sacerdote,đutu
183,apoa,brand,fierro,[fier̃u]
184,apoa,will know,sabrá,ki̧ni̧
185,apoa,squirrel,ardilla,kʷa̧ñu̧
186,apoa,loose,floja,taya
187,apoa,heavy,pesado,ƀee
188,apoa,tobacco,tobaco,i̧nu̧
1,ndua,rain,lluvia,đaƀi
2,ndua,agave,maguey,žaƀi
3,ndua,straw mat,petate,žuu
4,ndua,four,cuatro,ku̧mi̧
5,ndua,feather,pluma,(s)tu̧mi̧
6,ndua,tail,cola,θu̧ʔma̧
7,ndua,wax,cera,ñu̧ma̧
8,ndua,nose,nariz,šiči
9,ndua,word,palabra,to̧ʔo̧
10,ndua,near,está cerca,[ⁿǰa-xaʔa]
11,ndua,tree,árbol,žutu
12,ndua,deer,venado,iđu
13,ndua,lard,manteca,đa̧ʔa̧
14,ndua,smell,olor,điko(ša̧a̧)
15,ndua,tortilla,tortilla,ita
16,ndua,vomits,vomita,NA
17,ndua,lazy,flojo,NA
18,ndua,bed,cama,šito
19,ndua,griddle,comal,šio
19,ndua,griddle,comal,šoo
20,ndua,sin,culpa,NA
21,ndua,bean,frijol,ⁿduči
22,ndua,water,agua,ⁿduȼa
23,ndua,river,río,žuȼa
24,ndua,mud,lodo,ⁿzaʔyu
25,ndua,man's brother,hermano de h.,ša̧ni̧
26,ndua,three,tres,u̧ni̧
27,ndua,tooth,diente,NA
28,ndua,five,cinco,o̧ʔo̧
29,ndua,bitter,amargo,NA
30,ndua,meat,carne,ko̧ñu̧
31,ndua,red,rojo,kʷaʔa
32,ndua,(he) went,se fue,[sa̧ʔa̧]
33,ndua,seven,siete,usa
34,ndua,thread,hilo,žuʔwa
35,ndua,animal,animal,kiti
36,ndua,it finishes,se acaba,NA
37,ndua,egg,blanquillo,ⁿdiƀi
38,ndua,foam,espuma,ti ʔi̧ñu̧
39,ndua,blood,sangre,ni̧i̧
40,ndua,husband,marido,šee
41,ndua,salt,sal,ñȩȩ
42,ndua,net bag,red,NA
43,ndua,gourd,jícara,žaši
44,ndua,squash,calabaza,žiki
45,ndua,coati,tejón coatí,[ti ma̧ʔa̧]
46,ndua,food,comida,NA
47,ndua,salty,salado,NA
48,ndua,blouse,huipil,NA
49,ndua,work,trabajo,čʸo̧o̧
50,ndua,cotton,algodón,kači
51,ndua,wind,viento,tači
52,ndua,man,hombre,čie
52,ndua,man,hombre,tʸie
53,ndua,round,redondon,ti kuȼa
54,ndua,oven,horno,šitu
55,ndua,box / drawer,cajón,[đita]
56,ndua,mosquito,zancudo,ti kʷa̧ñu̧
57,ndua,wait for,esperar,ⁿzatu
58,ndua,rotten,podrido,ȼaʔyu
59,ndua,grab,agarrar,tȩȩ
60,ndua,tendon,tendón,NA
61,ndua,blow,soplar,tiƀi
62,ndua,handspan,cuarta,NA
63,ndua,owner,dueño,NA
64,ndua,lay (egg),poner (huevo),NA
65,ndua,big (sg.),grande (sg.),kaʔnu̧
66,ndua,neck,cuello,θuku
67,ndua,will come,va a venir,kiši
68,ndua,horn,cuerno,ⁿdiki
69,ndua,snake,culebra,NA
70,ndua,ugly,feo,NA
71,ndua,hill,cerro,žuku
72,ndua,armadillo,armadillo,NA
73,ndua,crooked,chueco,NA
74,ndua,year,año,kʷiya
75,ndua,eyebrow,ceja,NA
76,ndua,pus,pus,ⁿdakʷa
77,ndua,demon,demonio,NA
78,ndua,yellow,amarillo,kʷa̧a̧
79,ndua,sew,coser,kiku
80,ndua,will carry,va a cargar,kʷiđo
81,ndua,that,aquel,(xu)kʷa̧
82,ndua,below,abajo,NA
83,ndua,all night,toda la noche,NA
84,ndua,hot,caliente,NA
85,ndua,grain of corn,maíz,nu̧ni̧
86,ndua,wall,pared,[paređ]
87,ndua,early,temprano,[đaƀ sa]
88,ndua,open,abierto,[ka̧a̧]
89,ndua,eight,ocho,u̧na̧
90,ndua,tomato,jitomate,NA
91,ndua,green bean,ejote,NA
92,ndua,half,mitad,đawa
93,ndua,cane,caña,ⁿdoo
94,ndua,clay pot,olla,NA
95,ndua,liquor,aguardiente,[awarđyente]
96,ndua,honey,miel,ⁿduđi
97,ndua,armpit,sobaco,stika đa
98,ndua,tassel,espiga,NA
99,ndua,people,gente,ña̧ žii
100,ndua,town,pueblo,ñu̧u̧
101,ndua,smoke,humo,ñu̧ʔma̧
101,ndua,smoke,humo,ỹu̧ʔma̧
102,ndua,eat,comer,sas
102,ndua,eat,comer,saši
103,ndua,hawk,gavilán,NA
104,ndua,truth,verdad,NA
105,ndua,fire,lumbre,ñu̧ʔu̧
106,ndua,six,seis,i̧ñu̧
107,ndua,fingernail,uņa,či̧i̧
108,ndua,cornstalk,rastrojo,NA
109,ndua,cornmeal,masa,yusa
109,ndua,cornmeal,masa,žusa
110,ndua,child,hijo,saʔa
110,ndua,child,hijo,đaʔa=male
110,ndua,child,hijo,female speaking
111,ndua,"cold, phlegm",catarro,NA
112,ndua,good,bueno,NA
113,ndua,because,porque,NA
114,ndua,this one,este mismo,mȩȩ
115,ndua,is coming,ya viene,ƀaši
116,ndua,trash,basura,NA
117,ndua,cat,gato,ƀilu
118,ndua,prickly pear,nopal,NA
119,ndua,foot,pie,saʔa
120,ndua,cut,cortar,sa̧ʔⁿda
120,ndua,cut,cortar,sa̧ʔⁿsa
121,ndua,fifteen,quince,sa̧ʔu̧
122,ndua,guts,tripas,šiti
123,ndua,ten,diez,uši
124,ndua,cold,frío,ƀiši
125,ndua,sandal,huarache,ⁿčisa
125,ndua,sandal,huarache,ⁿǰisa
126,ndua,housepot,horcón,NA
127,ndua,name,nombre,θiƀi
128,ndua,cacao,cacao,[kakau]
129,ndua,ear,oreja,soʔo
129,ndua,ear,oreja,đoʔo
130,ndua,tasty,sabroso,NA
131,ndua,closed,cerrado,[kađi]
132,ndua,day after tomorrow,pasado mañana,NA
133,ndua,sweet,dulce,ƀiđi
134,ndua,now,ahora,NA
135,ndua,hole,agujero,NA
136,ndua,afraid,tiene miedo,žuʔu
137,ndua,poor,pobre,ⁿdaʔƀi
138,ndua,two,dos,uu
139,ndua,scorpion,alacrán,NA
140,ndua,go out,salir,NA
141,ndua,paint,pintar,NA
142,ndua,rat,rata,ti̧i̧
143,ndua,swelling,hinchazón,NA
144,ndua,pimple,grano,[co̧ʔo̧]
145,ndua,it thunders,truena,[katu]
145,ndua,it thunders,truena,ka̧ʔⁿdi
146,ndua,rainbow,arco iris,NA
147,ndua,bird,pájaro,ti đaa
148,ndua,frog,rana,laʔwa
149,ndua,navel,ombligo,NA
150,ndua,urine,orina,NA
151,ndua,chachalaca,chachalaca,NA
152,ndua,smooth,lisa,NA
153,ndua,little,chico,luči
154,ndua,day,día,[ⁿduu]
155,ndua,when,cuándo,[na̧ kii]
156,ndua,plain,llano,žođo
157,ndua,how,cómo,[na̧ mo̧đo]
158,ndua,carry,cargar,kʷiđo
159,ndua,cockroach,cucaracha,NA
160,ndua,glue,pegamento,NA
161,ndua,sickness,enfermedad,kʷeʔe
162,ndua,see,ver,NA
163,ndua,slow,despacio,kʷee
164,ndua,house,casa,ƀeʔe
165,ndua,mamey,mamey,NA
166,ndua,grind,moler,NA
167,ndua,wing,ala,NA
168,ndua,stool,banquito,[ƀanku]
169,ndua,cornfield,milpa,itu
170,ndua,yesterday,ayer,iku
171,ndua,other,otro,tuku
172,ndua,comb,peine,NA
173,ndua,be born,se nació,NA
174,ndua,smart,sabio,NA
175,ndua,stone,piedra,žuu
176,ndua,mouth,boca,NA
177,ndua,I,yo,ⁿǰuʔu
177,ndua,I,yo,ⁿžuʔu
178,ndua,dew,rocío,NA
179,ndua,brush,hierba,NA
180,ndua,furrow,surco,NA
181,ndua,trousers,calzón,NA
182,ndua,priest,sacerdote,NA
183,ndua,brand,fierro,NA
184,ndua,will know,sabrá,ki̧ni̧
185,ndua,squirrel,ardilla,kʷa̧ñu̧
186,ndua,loose,floja,NA
187,ndua,heavy,pesado,ƀee
188,ndua,tobacco,tobaco,NA
1,joco,rain,lluvia,(ko̧o̧) đawi
2,joco,agave,maguey,yawi
3,joco,straw mat,petate,yuu
4,joco,four,cuatro,ku̧mi̧
5,joco,feather,pluma,tu̧mi̧
6,joco,tail,cola,đu̧ʔma̧
7,joco,wax,cera,ñu̧ma̧
8,joco,nose,nariz,iči
9,joco,word,palabra,to̧ʔo̧
10,joco,near,está cerca,yači
11,joco,tree,árbol,yutu
12,joco,deer,venado,iđu
13,joco,lard,manteca,đa̧ʔa̧
14,joco,smell,olor,NA
15,joco,tortilla,tortilla,ita
16,joco,vomits,vomita,ⁿdusa
17,joco,lazy,flojo,đusa
18,joco,bed,cama,ṣ̌ito
19,joco,griddle,comal,ṣ̌iyo
20,joco,sin,culpa,kʷači
21,joco,bean,frijol,ⁿduči
22,joco,water,agua,ⁿduȼa
23,joco,river,río,yuȼa
24,joco,mud,lodo,ⁿzaʔyu
25,joco,man's brother,hermano de h.,ša̧ni̧-đa
26,joco,three,tres,u̧ni̧
27,joco,tooth,diente,nu̧ʔu̧
28,joco,five,cinco,o̧ʔo̧
29,joco,bitter,amargo,uwa
30,joco,meat,carne,ko̧ño̧
31,joco,red,rojo,kʷaʔa
32,joco,(he) went,se fue,kʷa̧ʔa̧
33,joco,seven,siete,usa
34,joco,thread,hilo,yuʔwa
35,joco,animal,animal,kiti
36,joco,it finishes,se acaba,ⁿdeʔe
37,joco,egg,blanquillo,ⁿdiwi
38,joco,foam,espuma,i̧ỹu̧
39,joco,blood,sangre,ni̧ñi̧
40,joco,husband,marido,šee
41,joco,salt,sal,ñi̧i̧
42,joco,net bag,red,ño̧no̧
43,joco,gourd,jícara,yaṣ̌i
