IDjoss,CODEjoss,GLOSSenglish,GLOSSspanish,VALUE
135,p-mixtec,hole,agujero,yawi
136,p-mixtec,afraid,tiene miedo,yuʔwi
137,p-mixtec,poor,pobre,ⁿdaʔwi
138,p-mixtec,two,dos,uwi
139,p-mixtec,scorpion,alacrán,tɨ luʔwȩʔ
140,p-mixtec,go out,salir,keyiʔ
141,p-mixtec,paint,pintar,kaʔyu
142,p-mixtec,rat,rata,tɨyɨ̧ʔ
143,p-mixtec,swelling,hinchazón,kʷɨyɨ̧
144,p-mixtec,pimple,grano,ⁿdɨʔyɨ
145,p-mixtec,it thunders,truena,kaʔⁿdɨ
146,p-mixtec,rainbow,arco iris,koo yeʔⁿdiʔ
147,p-mixtec,bird,pájaro,tɨ laa
148,p-mixtec,frog,rana,laʔwa
149,p-mixtec,navel,ombligo,leⁿdu
150,p-mixtec,urine,orina,lele
151,p-mixtec,chachalaca,chachalaca,laxȩʔ
152,p-mixtec,smooth,lisa,lɨʔwɨʔ
153,p-mixtec,little,chico,luʔu
154,p-mixtec,day,día,kɨwɨʔ
155,p-mixtec,when,cuándo,awa̧
156,p-mixtec,plain,llano,yosoʔ
157,p-mixtec,how,cómo,ⁿdese
158,p-mixtec,carry,cargar,ⁿdisoʔ
159,p-mixtec,cockroach,cucaracha,tɨ teʔyaʔ
160,p-mixtec,glue,pegamento,ⁿdeka
161,p-mixtec,sickness,enfermedad,kʷeʔyi
162,p-mixtec,see,ver,ⁿdeyʔa
163,p-mixtec,slow,despacio,kʷeye
164,p-mixtec,house,casa,weʔyi
165,p-mixtec,mamey,mamey,ⁿdikaʔ
166,p-mixtec,grind,moler,ⁿdikoʔ
167,p-mixtec,wing,ala,ⁿdixi̧
168,p-mixtec,stool,banquito,teyu
169,p-mixtec,cornfield,milpa,itu
170,p-mixtec,yesterday,ayer,iku
171,p-mixtec,other,otro,tuku
172,p-mixtec,comb,peine,kuka
173,p-mixtec,be born,se nació,ni kaku
174,p-mixtec,smart,sabio,tuʔwe
175,p-mixtec,stone,piedra,yuuʔ
176,p-mixtec,mouth,boca,yuʔuʔ
177,p-mixtec,I,yo,yuʔu
178,p-mixtec,dew,rocío,yuyu
179,p-mixtec,brush,hierba,yuku
180,p-mixtec,furrow,surco,yuku̧
181,p-mixtec,trousers,calzón,xetu
182,p-mixtec,priest,sacerdote,sutu
183,p-mixtec,brand,fierro,tuni
184,p-mixtec,will know,sabrá,kuni
185,p-mixtec,squirrel,ardilla,kʷeyu̧ʔ
186,p-mixtec,loose,floja,taya
187,p-mixtec,heavy,pesado,weyi
188,p-mixtec,tobacco,tobaco,ino
1,ñumi,rain,lluvia,sau
2,ñumi,agave,maguey,žau
3,ñumi,straw mat,petate,žuu
4,ñumi,four,cuatro,ku̧u̧
5,ñumi,feather,pluma,tnu̧u̧
6,ñumi,tail,cola,[ⁿdoʔo]
7,ñumi,wax,cera,yu̧ma̧
8,ñumi,nose,nariz,stni̧i̧
9,ñumi,word,palabra,tno̧ʔo̧
10,ñumi,near,está cerca,žatni̧
11,ñumi,tree,árbol,žutnu̧
12,ñumi,deer,venado,isu
13,ñumi,lard,manteca,šȩʔȩ
14,ñumi,smell,olor,šiko
15,ñumi,tortilla,tortilla,staa
16,ñumi,vomits,vomita,ⁿduxa̧
17,ñumi,lazy,flojo,[ku kuši]
18,ñumi,bed,cama,xito
19,ñumi,griddle,comal,xiyo
20,ñumi,sin,culpa,kʷeči
21,ñumi,bean,frijol,ⁿduči
22,ñumi,water,agua,ⁿdute
23,ñumi,river,río,žute
24,ñumi,mud,lodo,ⁿdeʔi
25,ñumi,man's brother,hermano de h.,y̧a̧ni̧
26,ñumi,three,tres,u̧ni̧
27,ñumi,tooth,diente,no̧ʔo̧
28,ñumi,five,cinco,u̧ʔu̧
29,ñumi,bitter,amargo,uwa
30,ñumi,meat,carne,ku̧y̧u̧
30,ñumi,meat,carne,ku̧ņu̧
31,ñumi,red,rojo,kʷaʔa
32,ñumi,(he) went,se fue,kʷa̧ʔa̧
33,ñumi,seven,siete,uxa
34,ñumi,thread,hilo,žuʔa
35,ñumi,animal,animal,kiti
36,ñumi,it finishes,se acaba,ⁿdiʔi
37,ñumi,egg,blanquillo,ⁿdiƀi
38,ñumi,foam,espuma,ti i̧ņu̧
39,ñumi,blood,sangre,ni̧ņi̧
40,ñumi,husband,marido,NA
41,ñumi,salt,sal,y̧i̧i̧
42,ñumi,net bag,red,y̧u̧nu̧
43,ñumi,gourd,jícara,žaxi̧
44,ñumi,squash,calabaza,žiki̧
45,ñumi,coati,tejón coatí,žiži=mapache
46,ñumi,food,comida,NA
47,ñumi,salty,salado,[aše]
48,ñumi,blouse,huipil,[su̧ʔnu̧]
49,ñumi,work,trabajo,tnu̧u̧
50,ñumi,cotton,algodón,kači
51,ñumi,wind,viento,tači
52,ñumi,man,hombre,te žii
53,ñumi,round,redondon,(ti) kute
54,ñumi,oven,horno,xitnu̧
55,ñumi,box / drawer,cajón,xatnu̧
56,ñumi,mosquito,zancudo,ti kʷaņi̧
56,ñumi,mosquito,zancudo,ti kʷayi̧
57,ñumi,wait for,esperar,ⁿdetu
58,ñumi,rotten,podrido,teʔi
59,ñumi,grab,agarrar,tni̧i̧
60,ñumi,tendon,tendón,tuči
61,ñumi,blow,soplar,[tʸu tači]
62,ñumi,handspan,cuarta,too
63,ñumi,owner,dueño,[lamo]
64,ñumi,lay (egg),poner (huevo),xaki̧
65,ñumi,big (sg.),grande (sg.),kaʔnu̧
66,ñumi,neck,cuello,suku̧
67,ñumi,will come,va a venir,kii
68,ñumi,horn,cuerno,ⁿdiki
69,ñumi,snake,culebra,koo
70,ñumi,ugly,feo,[ⁿdeʔe kaa]
71,ñumi,hill,cerro,žuku
72,ñumi,armadillo,armadillo,NA
73,ñumi,crooked,chueco,žakʷa
74,ñumi,year,año,kʷia
75,ñumi,eyebrow,ceja,sukʷa
76,ñumi,pus,pus,ⁿdakʷa
77,ñumi,demon,demonio,[tači]
77,ñumi,demon,demonio,kʷi̧ʔņa=lađrón
78,ñumi,yellow,amarillo,(xa) kʷa̧a̧
79,ñumi,sew,coser,kiku
80,ñumi,will carry,va a cargar,kʷiso
81,ñumi,that,aquel,žuu
82,ñumi,below,abajo,[ⁿde ƀee]
83,ñumi,all night,toda la noche,ņu̧nȩ
84,ñumi,hot,caliente,i̧ʔni̧
85,ñumi,grain of corn,maíz,nu̧ni̧
86,ñumi,wall,pared,[žika]
87,ñumi,early,temprano,nȩʔȩ
88,ñumi,open,abierto,nu̧nȩ
89,ñumi,eight,ocho,u̧na̧
90,ñumi,tomato,jitomate,ti na̧na̧
91,ñumi,green bean,ejote,ⁿdiči
92,ñumi,half,mitad,sawa
93,ñumi,cane,caña,ⁿdoo
94,ñumi,clay pot,olla,kisi
95,ñumi,liquor,aguardiente,[te šeʔe]
