IDlist,GLOSS,VALUE,DOCULECT,IDjoss,CODEjoss
13,hombre,ra-yɨɨ,acat11,52,acat
13,hombre,te-žii,achi11,52,achi
13,hombre,ȼee,adeq11,52,adeq
13,hombre,tàā,ahue11,52,ahue
13,hombre,taa,alac11,52,alac
13,hombre,taa,alco11,52,alco
13,hombre,ta-čaa,amat11,52,amat
13,hombre,čee,apas11,52,apas
13,hombre,tʸee,apas11,52,apas
13,hombre,čee,apoa11,52,apoa
13,hombre,tēe,atat11,52,atat
13,hombre,tʸaa,aten11,52,aten
13,hombre,rai,atoy11,52,atoy
13,hombre,tʸāa,ayut11,52,ayut
13,hombre,taa,brav11,52,cruz
13,hombre,te-ʔii,caca11,52,cac
13,hombre,taa,cahu11,52,cah
13,hombre,čaa,chal11,52,chal
13,hombre,ra-yɨɨ,chay11,52,chay
13,hombre,tʸaa,chay12,52,chap
13,hombre,tʸaa,chaz11,52,chaz
13,hombre,tʸee,chic11,52,chic
13,hombre,ti-ii,chig11,52,chig
13,hombre,ña-tii,coat11,52,coat
13,hombre,tʸàa,coic11,52,coi
13,hombre,ra-yɨɨ,colo11,52,colo
13,hombre,tʸaa,coso11,52,cos
13,hombre,ȼee,coxc11,52,cant
13,hombre,see,coxc11,52,cant
13,hombre,ra-yɨɨ,cris11,52,cris
13,hombre,taa,cuat11,52,cuat
13,hombre,tii,cuau11,52,cuau
13,hombre,ȼee,cuil11,52,cui
13,hombre,tii,cuya11,52,cuya
13,hombre,se-yɨɨ,diux11,52,diux
13,hombre,čàā,dura11,52,durz
13,hombre,taa,esta11,52,silm
13,hombre,tee,este11,52,este
13,hombre,čaa,flor11,52,flor
13,hombre,čāa,gran11,52,mig
13,hombre,ȼ̣ʸàa,guad11,52,guad
13,hombre,ra-yɨɨ,huaz11,52,huaz
13,hombre,tee,huit11,52,huit
13,hombre,tee,itun11,52,itun
13,hombre,čaa,ixpa11,52,ixpn
13,hombre,ra-yɨɨ,ixta11,52,ixty
13,hombre,tʸee,ixta12,52,ixtl
13,hombre,tee,ixta13,52,ixtp
13,hombre,tʸaa,ixta13,52,ixtp
13,hombre,ra-yɨɨ,jami11,52,jam
13,hombre,sa-žɨɨ,jate11,52,jalt
13,hombre,se-žɨɨ,jate11,52,jalt
13,hombre,rai,jica11,52,jict
13,hombre,rai,jica12,52,jicy
13,hombre,ȼie,joco11,52,joco
13,hombre,ȼʸee,joco11,52,joco
13,hombre,tʸaa,juxt11,52,juxt
