ID,village_name,latitude,longitude,glottolog_name,glottocode,glottolog_level,gl_super,gl_macroarea,gl_latitude,gl_longitude,glottolog_group,isocode,josserand_group,josserand_subgroup,josserand_code,egland_name,egland_perc,egland_level,egland_super,mtree_name,mtree_code,mtree_codealt,mtree_latitude,mtree_longitude,mtree_comments,coordinate comparison
chal11,Chalcatongo de Hidalgo,17.03226,-97.57074,San Miguel Chalcatongo ,sanm1296,dialect,sanm1295,South America,NA,NA,Western Alta,,Western Alta,,chal,Chalcatongo,85,dialect,Yosondúa,Chalcatongo,mib,mxc,17.05,-97.58,it is a dialect of Mixteco (San Miguel el Grande) in Ethnologue,gl lat and long better
tepa12,San Mateo Tepantepec,17.002769,-97.032893,San Mateo Tepantepec ,sanm1297,dialect,peno1244,South America,NA,NA,Eastern Alta,,,,,,,,,,,,,,,
moli11,San Pedro Molinos,17.10495,-97.54152,San Pedro Molinos ,sanp1259,dialect,sanm1295,South America,NA,NA,Western Alta,,Western Alta,,moli,Molinos,75,dialect,Atatlahuca,Molinos,mxt,mxm,17,-97.58,it is a dialect of Mixteco (San Miguel el Grande) in Ethnologue,gl lat and long better
zahu11,San Simón Zahuatlán,17.8291,-98.00505,San Simón Zahuatlán ,sans1274,dialect,sila1250,South America,NA,NA,Central Baja Mixtec ,,Central Baja,,,S. Simón Zahuatlán,81,dialect,Silacayoapan,,,,,,,
zaca11,Santa María Zacatepec,16.7003,-97.9484,Santa María Zacatepec Mixtec ,sant1436,language,,North America,16.7003,-97.9484,Coast (West),mza,Coast,West,zac,Zacatepec,64,language,,,,,,,,
yoso13,Santa Catarina Yosonotú,17.020729,-97.66201,Santa Catarina Yosonotu ,sant1438,dialect,ocot1243,South America,NA,NA,Western Alta,,,,,,,,,,,,,,,
mont13,Santa Lucía Monteverde,16.9969,-97.6277,Santa Lucía Monteverde Mixtec ,sant1439,language,,North America,16.9969,-97.6277,Western Alta,mdv,Western Alta,,verd,Sta. Lucía Monteverde,83,dialect,Atatlahuca,,,,,,,
heun11,Santo Domingo Huendío,17.252957,-97.505399,Santo Domingo Heundío Mixtec ,sant1440,dialect,magd1235,South America,NA,NA,Western Alta,,,,,,,,,,,,,,,
acat11,Santa María Acatepec,16.76337,-97.98945,Santa María Acatepec ,sant1441,dialect,tutu1243,South America,NA,NA,,,Coast,Acatepec,acat,Acatepec,87,dialect,Tututepec,,,,,,,
yoso12,Santa María Yosoyúa ,17.11985,-97.51553,Santa María Yosoyúa ,sant1442,dialect,sanm1295,South America,NA,NA,Western Alta,,,,,,,,,,,,,,,
ticu11,Santa Catarina Ticuá,17.073317,-97.536385,Santa Catarina Ticuá,sant1443,dialect,sanm1295,South America,NA,NA,Western Alta,,,,,,,,,,,,,,,
tata11,Santa María Tataltepec,17.142215,-97.394068,Santa Maria Tataltepec ,sant1444,dialect,sanj1282,South America,NA,NA,Western Alta,,Western Alta,,tata,,,,,,,,,,,
peno11,Santa María Peñoles,17.07959,-97.00272,Santa María Peñoles ,sant1445,dialect,peno1244,South America,NA,NA,Eastern Alta,,,,peño,Peñoles,100,dialect,Estetla,Peñoles,mig-mol,mxp,17.8,-96.92,,gl lat and long better
tlaz11,Santiago Tlazoyaltepec,17.027396,-96.995835,Santiago Tlazoyaltepec ,sant1446,dialect,peno1244,South America,NA,NA,Eastern Alta,,Eastern Alta,,tlaz,Tlazoyaltepec,76,dialect,Estetla,,,,,,,
sila11,Silacayoapam,17.5541,-98.1163,Silacayoapan Mixtec ,sila1250,language,,North America,17.5541,-98.1163,Central Baja Mixtec ,mks,Central Baja,,,Silacayoapan,68,language,,Silacayoapan,mjc,mxs,17.5,-98.17,,gl lat and long better
sind11,San Mateo Sindihui,17.02,-97.3036,Sindihui Mixtec ,sind1277,language,,North America,17.02,-97.3036,Eastern Alta,xts,Eastern Alta,Teozacoalco,sind,S. M. Sindihui,19,language,,,,,,,,
sini11,San José Sinicahua,17.2218,-97.5904,Sinicahua Mixtec ,sini1243,language,,North America,17.2218,-97.5904,Western Alta,xti,Western Alta,,sinc,,,,,,,,,,,
,GROUP,16.9887,-97.7974,Southwestern Tlaxiaco Mixtec,sout3000,language,,North America,16.9887,-97.7974,Western Alta,meh,,,,,,,,,,,,,,
,GROUP,18.2123,-97.9572,Southern Puebla Mixtec ,sout3001,language,,North America,18.2123,-97.9572,Northern Baja,mit,,,,,,,,,,,,,,
,GROUP,17.21219,-97.01454,Southeastern Nochixtlán Mixtec ,sout3002,language,,North America,17.21219,-97.01454,Northeastern Alta,mxy,,,,,,,,,,,,,,
soya11,San Bartolo Soyaltepec,17.5892,-97.1921,Soyaltepec Mixtec ,soya1236,language,,North America,17.556,-97.1921,Northeastern Alta,vmq,Northeastern Alta,,soy,S. B. Soyaltepec,28,language,,,,,,,,
yolo11,Santa María Yolotepec,16.9648,-97.4537,Tacahua-Yolotepec Mixtec ,taca1257,language,,North America,16.9648,-97.4537,Western Alta,xtt,Western Alta,,yolt,Yolotepec,76,dialect,Yosondúa,,,,,,,
tama11,San Juan Tamazola,17.1258,-97.0998,Tamazola Mixtec ,tama1339,language,,North America,17.1258,-97.0998,Eastern Alta,vmx,Eastern Alta,Teozacoalco,tamj,S. J. Tamazola,74,dialect,Estetla,,,,,,,
