IDlist,GLOSS,VALUE,FORM,ID,NOTES,DOCULECT,SOURCE
45,camino,ichǐ,,3151,,pied12,josserand1983mixtec
45,camino,ichǐ,,3152,,flor12,josserand1983mixtec
45,camino,ichì,,3153,,mont12,josserand1983mixtec
45,camino,ichǐ,,3154,,mixt11,josserand1983mixtec
46,horcón,si'ìn,,3155,,tlah11,josserand1983mixtec
46,horcón,sì'ìn,,3156,,pied12,josserand1983mixtec
46,horcón,si'ìn,,3157,,flor12,josserand1983mixtec
46,horcón,tìjìn,,3158,,mont12,josserand1983mixtec
46,horcón,,,3159,,mixt11,josserand1983mixtec
47,petate,yuví,,3160,,tlah11,josserand1983mixtec
47,petate,yivǐ,,3161,,pied12,josserand1983mixtec
47,petate,yijvǐ,,3162,,flor12,josserand1983mixtec
47,petate,yivì,,3163,,mont12,josserand1983mixtec
47,petate,yuvǐ,,3164,,mixt11,josserand1983mixtec
48,cama,xìto,,3165,,tlah11,josserand1983mixtec
48,cama,xìto,,3166,,pied12,josserand1983mixtec
48,cama,xìjto,,3167,,flor12,josserand1983mixtec
48,cama,sìto,,3168,,mont12,josserand1983mixtec
48,cama,tsìto,,3169,,mixt11,josserand1983mixtec
49,silla,taì,,3170,,tlah11,josserand1983mixtec
49,silla,tsiáyi,,3171,,pied12,josserand1983mixtec
49,silla,tsiayì,,3172,,flor12,josserand1983mixtec
49,silla,tyáyì,,3173,,mont12,josserand1983mixtec
49,silla,chei,,3174,,mixt11,josserand1983mixtec
50,animal,kití,,3175,,tlah11,josserand1983mixtec
50,animal,kitsǐ,,3176,,pied12,josserand1983mixtec
50,animal,kijtsǐ,,3177,,flor12,josserand1983mixtec
50,animal,kitì,,3178,,mont12,josserand1983mixtec
50,animal,kitǐ,,3179,,mixt11,josserand1983mixtec
51,pájaro,sàà,,3180,,tlah11,josserand1983mixtec
51,pájaro,saà,,3181,,pied12,josserand1983mixtec
51,pájaro,saà,,3182,,flor12,josserand1983mixtec
51,pájaro,laà,,3183,,mont12,josserand1983mixtec
51,pájaro,saà,,3184,,mixt11,josserand1983mixtec
52,pescado,tyàká,,3185,,tlah11,josserand1983mixtec
52,pescado,tsiàká,,3186,,pied12,josserand1983mixtec
52,pescado,tsiàká,,3187,,flor12,josserand1983mixtec
52,pescado,tiyàká,,3188,,mont12,josserand1983mixtec
52,pescado,chakǎ,,3189,,mixt11,josserand1983mixtec
53,culebra,kòó,,3190,,tlah11,josserand1983mixtec
53,culebra,kòjǒ,,3191,,pied12,josserand1983mixtec
53,culebra,kòjǒ,,3192,,flor12,josserand1983mixtec
53,culebra,kòò,,3193,,mont12,josserand1983mixtec
53,culebra,kòó,,3194,,mixt11,josserand1983mixtec
54,rana,lá'và,,3195,,tlah11,josserand1983mixtec
54,rana,sá'và,,3196,,pied12,josserand1983mixtec
54,rana,sá'và,,3197,,flor12,josserand1983mixtec
54,rana,lavà,,3198,,mont12,josserand1983mixtec
54,rana,sa'và,,3199,,mixt11,josserand1983mixtec
55,gavilán,xí'ña,,3200,,tlah11,josserand1983mixtec
55,gavilán,xi'ña,,3201,,pied12,josserand1983mixtec
55,gavilán,xí'ña,,3202,,flor12,josserand1983mixtec
55,gavilán,ndixíñá,,3203,,mont12,josserand1983mixtec
55,gavilán,xí'an,,3204,,mixt11,josserand1983mixtec
56,alacrán,tísò'ma,,3205,,tlah11,josserand1983mixtec
56,alacrán,tsìso'mà,,3206,,pied12,josserand1983mixtec
56,alacrán,so'mà,,3207,,flor12,josserand1983mixtec
56,alacrán,tìjimà,,3208,,mont12,josserand1983mixtec
56,alacrán,tìsu'mà,,3209,,mixt11,josserand1983mixtec
57,cucaracha,tìtè'é,,3210,,tlah11,josserand1983mixtec
57,cucaracha,tsìtsie'é,,3211,,pied12,josserand1983mixtec
57,cucaracha,tsìtse'é,,3212,,flor12,josserand1983mixtec
57,cucaracha,,,3213,,mont12,josserand1983mixtec
57,cucaracha,ndiché'é,,3214,,mixt11,josserand1983mixtec
58,chapulín,tìka,,3215,,tlah11,josserand1983mixtec
58,chapulín,tsikâ,,3216,,pied12,josserand1983mixtec
58,chapulín,tsikâ,,3217,,flor12,josserand1983mixtec
58,chapulín,ndìtíì,,3218,,mont12,josserand1983mixtec
58,chapulín,tìká,,3219,,mixt11,josserand1983mixtec
59,abeja,ñùñú,,3220,,tlah11,josserand1983mixtec
59,abeja,ñùñǔ,,3221,,pied12,josserand1983mixtec
59,abeja,ñùjñǔ,,3222,,flor12,josserand1983mixtec
59,abeja,tíñoñò,,3223,,mont12,josserand1983mixtec
59,abeja,ñùñǔ,,3224,,mixt11,josserand1983mixtec
60,ratón,ti'ín,,3225,,tlah11,josserand1983mixtec
60,ratón,tsìín,,3226,,pied12,josserand1983mixtec
60,ratón,tsìín,,3227,,flor12,josserand1983mixtec
60,ratón,titìín,,3228,,mont12,josserand1983mixtec
60,ratón,tǐ'in,,3229,,mixt11,josserand1983mixtec
61,venado,isu,,3230,,tlah11,josserand1983mixtec
61,venado,usû,,3231,,pied12,josserand1983mixtec
61,venado,usû,,3232,,flor12,josserand1983mixtec
61,venado,sìkuaà,,3233,,mont12,josserand1983mixtec
61,venado,isù,,3234,,mixt11,josserand1983mixtec
62,ardilla,ndigwáñu,,3235,,tlah11,josserand1983mixtec
62,ardilla,tsìkuáñu,,3236,,pied12,josserand1983mixtec
62,ardilla,ntsìkuáñu,,3237,,flor12,josserand1983mixtec
62,ardilla,ndikuání,,3238,,mont12,josserand1983mixtec
62,ardilla,ndikwáín,,3239,,mixt11,josserand1983mixtec
63,zorrillo,lílú,,3240,,tlah11,josserand1983mixtec
63,zorrillo,léló,,3241,,pied12,josserand1983mixtec
63,zorrillo,léló,,3242,,flor12,josserand1983mixtec
63,zorrillo,tinìín,,3243,,mont12,josserand1983mixtec
63,zorrillo,tí'inità,,3244,,mixt11,josserand1983mixtec
