ID	DOCULECT	CONCEPT	OTHER_CONCEPT	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6163	jica13	ANIMAL	animal	kití	kití	50	619	NA	NA	Emily John-Martin	NA
9372	joco11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
9373	juxt11	ANIMAL	animal	kitʸi	kitʸi	50	619	NA	NA	josserand1983mixtec	NA
9374	lore11	ANIMAL	animal	kɨtɨ	kɨtɨ	50	619	NA	NA	josserand1983mixtec	NA
9375	mech11	ANIMAL	animal	kɨtɨ	kɨtɨ	50	619	NA	NA	josserand1983mixtec	NA
2350	metl11	ANIMAL	animal	kītí	kītí	50	619	NA	NA	durr1987preliminary	NA
9376	metl11	ANIMAL	animal	kītí	kītí	50	619	NA	NA	josserand1983mixtec	NA
9377	mica11	ANIMAL	animal	kisi	kisi	50	619	NA	NA	josserand1983mixtec	NA
9378	mixt11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
3172	mixt11	ANIMAL	animal	kitǐ	kitǐ	50	619	NA	NA	oxnard2020	NA
2344	moli11	ANIMAL	animal	kītī	kītī	50	619	NA	NA	durr1987preliminary	NA
9379	moli11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
9380	mont12	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
3171	mont12	ANIMAL	animal	kitì	kitì	50	619	NA	NA	oxnard2020	NA
9381	mont13	ANIMAL	animal	kɨtɨ	kɨtɨ	50	619	NA	NA	josserand1983mixtec	NA
9382	more11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
9383	ndua11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
9384	nuch11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
9385	nund11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
9386	nund12	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
9387	nund13	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
9388	nuti11	ANIMAL	animal	kɨtɨ	kɨtɨ	50	619	NA	NA	josserand1983mixtec	NA
9389	nuxa11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
9390	nuxi11	ANIMAL	animal	ti(kʷi̧ʔna̧)	tikʷi̧ʔna̧	50	619	NA	NA	josserand1983mixtec	NA
9391	nuyo11	ANIMAL	animal	kitɨ	kitɨ	50	619	NA	NA	josserand1983mixtec	NA
525	ocot11	ANIMAL	animal	kītī	kītī	50	619	NA	NA	alexander1988syntactic	NA
2345	ocot11	ANIMAL	animal	kītī	kītī	50	619	NA	NA	durr1987preliminary	NA
9392	ocot11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
