"ID"	"DOCULECT"	"CONCEPT"	"GLOSS"	"VALUE"	"FORM"	"IDlist"	"CONCEPTICON_ID"	"LOAN"	"LOAN_SOURCE"	"SOURCE"	"FLOATTONE"	"VARIETY_CODE"
8975	"AyutlalosLibresMixtec"		"alacrán"	"ti-sūʔma̧"	"ti-sūʔma̧"	56		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
9063	"AyutlalosLibresMixtec"	"COCKROACH"	"cucaracha"	"ti-tīʔɛʔ"	"ti-tīʔɛʔ"	57	1575	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
9155	"AyutlalosLibresMixtec"	"RAT"	"rata"	"ti̧i̧ʔ"	"ti̧i̧ʔ"	60	1490	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
462	"AyutlalosLibresMixtec"	"DEER"	"deer"	"isu"	"isu"	61	1936	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
9296	"AyutlalosLibresMixtec"	"DEER"	"venado"	"isu"	"isu"	61	1936	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
9415	"AyutlalosLibresMixtec"	"SQUIRREL"	"ardilla"	"ⁿdi-kʷēī"	"ⁿdi-kʷēī"	62	1628	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
463	"AyutlalosLibresMixtec"	"RACCOON"	"raccoon"	"ti-māhá"	"ti-māhá"	65	828	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
464	"AyutlalosLibresMixtec"	"RABBIT"	"rabbit"	"iso"	"iso"	66	1136	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
465	"AyutlalosLibresMixtec"	"DOG"	"dog"	"nāyah"	"nāyah"	68	2009	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
466	"AyutlalosLibresMixtec"	"CAT"	"cat"	"mīshtūn"	"mīshtūn"	69	1208	"yes"	"Colonial Spanish"	"hills1990syntactic"	"NA"	"ayut11"
9535	"AyutlalosLibresMixtec"	"CAT"	"gato"	"(mī̧šty)"	"mī̧šty"	69	1208	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
467	"AyutlalosLibresMixtec"	"HEN"	"hen"	"ndushīh"	"ndushīh"	71	1514	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
5308	"AyutlalosLibresMixtec"		"(turkey) hen"	"tʸù̧ù̧ʔ"	"tʸù̧ù̧ʔ"	71		"NA"	"NA"	"durr1987preliminary"	"NA"	"ayut11"
468	"AyutlalosLibresMixtec"	"PIG"	"pig"	"kīni"	"kīni"	72	1337	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
469	"AyutlalosLibresMixtec"	"HORSE"	"horse"	"kwēī"	"kwēī"	73	615	"yes"	"Spanish"	"hills1990syntactic"	"NA"	"ayut11"
470	"AyutlalosLibresMixtec"		"black ant"	"si-ndōkoh"	"si-ndōkoh"	75		"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
471	"AyutlalosLibresMixtec"	"HORN (ANATOMY)"	"horn (anatomy)"	"ndikīh"	"ndikīh"	76	1393	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
9660	"AyutlalosLibresMixtec"	"HORN (ANATOMY)"	"cuerno"	"ⁿdiʰkīʔ"	"ⁿdiʰkīʔ"	76	1393	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
9776	"AyutlalosLibresMixtec"		"pluma"	"tu̧mi̧"	"tu̧mi̧"	77		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
9896	"AyutlalosLibresMixtec"	"WING"	"ala"	"ⁿdiši̧"	"ⁿdiši̧"	78	1257	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
472	"AyutlalosLibresMixtec"	"TAIL"	"tail"	"sūhmah"	"sūhmah"	79	1220	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
9987	"AyutlalosLibresMixtec"	"TAIL"	"cola"	"su̧ʔma̧ʔ"	"su̧ʔma̧ʔ"	79	1220	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
473	"AyutlalosLibresMixtec"	"TREE"	"tree"	"itūnh"	"itūnh"	80	906	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
4686	"AyutlalosLibresMixtec"	"TREE"	"tree"	"ìtú̧ʔ"	"ìtú̧ʔ"	80	906	"NA"	"NA"	"durr1987preliminary"	"NA"	"ayut11"
10109	"AyutlalosLibresMixtec"		"árbol"	"itu̧ʔ"	"itu̧ʔ"	80		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
4698	"AyutlalosLibresMixtec"	"LEAF"	"leaf"	"yūkù"	"yūkù"	81	2250	"NA"	"NA"	"durr1987preliminary"	"NA"	"ayut11"
10227	"AyutlalosLibresMixtec"	"HERB"	"hierba"	"yuƀa"	"yuƀa"	81		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
474	"AyutlalosLibresMixtec"	"GRASS"	"grass"	"itya"	"itya"	82	606	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
4706	"AyutlalosLibresMixtec"	"FLOWER"	"flower"	"ìtà"	"ìtà"	83	239	"NA"	"NA"	"durr1987preliminary"	"NA"	"ayut11"
10333	"AyutlalosLibresMixtec"	"MAGUEYMAGUEY"	"maguey"	"yawiʔ"	"yawiʔ"	84		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
