Grapheme	IPA	FREQUENCY	CODEPOINTS
o̠	o̠	108	U+006f U+0320
N	<?>	104	U+004e
à̧	à̧	100	U+00e0 U+0327
ⁿǰ	ⁿǰ	99	U+207f U+01f0
ʔⁿ	ʔⁿ	95	U+0294 U+207f
b	b	90	U+0062
g	g	87	U+0067
ü	ü	86	U+00fc
u̠	u̠	85	U+0075 U+0320
ṣ̌	ṣ̌	84	U+1e63 U+030c
z	z	80	U+007a
ú̧	ú̧	79	U+00fa U+0327
ɨ̄	ɨ̄	78	U+0268 U+0304
ǎ	ǎ	78	U+01ce
í̧	í̧	72	U+00ed U+0327
³²	³²	69	U+00b3 U+00b2
ⁿdʸ	ⁿdʲ	67	U+207f U+0064 U+02b8
_	_	66	U+005f
θ	θ	60	U+03b8
ʃ	ʃ	58	U+0283
ɨ̀	ɨ̀	58	U+0268 U+0300
nn	nn	58	U+006e U+006e
òò	òò	58	U+00f2 U+00f2
ɨ́	ɨ́	56	U+0268 U+0301
ā̧	ā̧	54	U+0101 U+0327
q	q	53	U+0071
³ˀ	³ˀ	53	U+00b3 U+02c0
ã	ã	53	U+00e3
ɨɨ	ɨː	53	U+0268 U+0268
ǔ	ǔ	48	U+01d4
āh	āh	48	U+0101 U+0068
nh	nh	45	U+006e U+0068
â	â	41	U+00e2
á̧	á̧	40	U+00e1 U+0327
ⁿč	ⁿč	40	U+207f U+010d
ǒ	ǒ	39	U+01d2
ì̧ì̧	ì̧ì̧	39	U+00ec U+0327 U+00ec U+0327
ỹ	ỹ	38	U+1ef9
ìs	ìs	36	U+00ec U+0073
'a	a	36	U+0027 U+0061
ɲ	ɲ	35	U+0272
ĩ	ĩ	35	U+0129
ùù	ùù	35	U+00f9 U+00f9
⁵	⁵	34	U+2075
'v	v	34	U+0027 U+0076
ⁿs	ⁿs	34	U+207f U+0073
ɨ̧ɨ̧	ɨ̧ɨ̧	33	U+0268 U+0327 U+0268 U+0327
ï	ï	30	U+00ef
'o	o	30	U+0027 U+006f
'n	n	29	U+0027 U+006e
î	î	27	U+00ee
'¹	'¹	27	U+0027 U+00b9
ò̧	ò̧	27	U+00f2 U+0327
'm	m	27	U+0027 U+006d
'i	i	27	U+0027 U+0069
ʧ	tʃ	27	U+02a7
àà	àà	26	U+00e0 U+00e0
ɡ	g	26	U+0261
ũ	ũ	26	U+0169
³ʰ	³ʰ	25	U+00b3 U+02b0
o̧o̧	o̧o̧	25	U+006f U+0327 U+006f U+0327
ìì	ìì	24	U+00ec U+00ec
ð	ð	24	U+00f0
áá	áá	24	U+00e1 U+00e1
úú	úú	24	U+00fa U+00fa
ɨ̧̀	ɨ̧̀	24	U+0268 U+0327 U+0300
²¹	²¹	24	U+00b2 U+00b9
īh	īh	23	U+012b U+0068
³⁵	³⁵	23	U+00b3 U+2075
û	û	23	U+00fb
p	p	23	U+0070
'u	u	22	U+0027 U+0075
³²ʰ	³²ʰ	21	U+00b3 U+00b2 U+02b0
r̃	r̃	21	U+0072 U+0303
xʸ	xʲ	21	U+0078 U+02b8
āā	āā	20	U+0101 U+0101
'ù	ù	20	U+0027 U+00f9
īs	īs	19	U+012b U+0073
gh	gh	18	U+0067 U+0068
às	às	18	U+00e0 U+0073
'ì	ì	18	U+0027 U+00ec
'³	'³	18	U+0027 U+00b3
'è	è	18	U+0027 U+00e8
dʸ	dʲ	18	U+0064 U+02b8
'à	à	17	U+0027 U+00e0
iʰ	iʰ	17	U+0069 U+02b0
e̠	e̠	17	U+0065 U+0320
'á	á	17	U+0027 U+00e1
³⁴	³⁴	17	U+00b3 U+2074
¹⁴	¹⁴	16	U+00b9 U+2074
óh	óh	16	U+00f3 U+0068
ʈʂ	ʈʂ	15	U+0288 U+0282
ēh	ēh	15	U+0113 U+0068
'e	e	15	U+0027 U+0065
sʸ	sʲ	15	U+0073 U+02b8
'ó	ó	14	U+0027 U+00f3
ṣ	ṣ	14	U+1e63
²⁴	²⁴	14	U+00b2 U+2074
ō̧	ō̧	14	U+014d U+0327
í̧í̧	í̧í̧	14	U+00ed U+0327 U+00ed U+0327
n̄	n̄	13	U+006e U+0304
¹ˀ	¹ˀ	13	U+00b9 U+02c0
³¹	³¹	13	U+00b3 U+00b9
ɨ̧̄	ɨ̧̄	13	U+0268 U+0327 U+0304
'é	é	13	U+0027 U+00e9
ī̧ī̧	ī̧ī̧	13	U+012b U+0327 U+012b U+0327
ūū	ūū	13	U+016b U+016b
á̧á̧	á̧á̧	13	U+00e1 U+0327 U+00e1 U+0327
xʷ	xʷ	12	U+0078 U+02b7
'ò	ò	12	U+0027 U+00f2
ǜ	<?>	12	U+01dc
rr	rr	12	U+0072 U+0072
⁵³	⁵³	12	U+2075 U+00b3
ɨ̧́	ɨ̧́	12	U+0268 U+0327 U+0301
īsh	īsh	11	U+012b U+0073 U+0068
ōh	ōh	11	U+014d U+0068
ǖ	<?>	11	U+01d6
ⁿz	ⁿz	11	U+207f U+007a
⁴³	⁴³	10	U+2074 U+00b3
'ú	ú	10	U+0027 U+00fa
üü	üü	10	U+00fc U+00fc
¹³	¹³	10	U+00b9 U+00b3
'⁴	'⁴	9	U+0027 U+2074
ô	ô	9	U+00f4
ꞌ	<?>	9	U+a78c
ɨ̃	ɨ̃	9	U+0268 U+0303
ȼ̣	<?>	9	U+023c U+0323
óó	óó	9	U+00f3 U+00f3
ùh	ùh	9	U+00f9 U+0068
hw	hw	8	U+0068 U+0077
ìh	ìh	8	U+00ec U+0068
'ǒ	ǒ	8	U+0027 U+01d2
⁴⁵	⁴⁵	8	U+2074 U+2075
ū̧ū̧	ū̧ū̧	8	U+016b U+0327 U+016b U+0327
 	NULL	8	U+00a0
'ñ	ɲ	8	U+0027 U+00f1
'ǎ	ǎ	8	U+0027 U+01ce
ž̩	ž̩	8	U+017e U+0329
ⁿt	ⁿt	8	U+207f U+0074
īī	īī	8	U+012b U+012b
ùs	ùs	8	U+00f9 U+0073
ɨ̄ɨ̄	ɨ̄ɨ̄	8	U+0268 U+0304 U+0268 U+0304
ɨ̧̀ɨ̧̀	ɨ̧̀ɨ̧̀	8	U+0268 U+0327 U+0300 U+0268 U+0327 U+0300
ó̧	ó̧	7	U+00f3 U+0327
ú̧ú̧	ú̧ú̧	7	U+00fa U+0327 U+00fa U+0327
ɛ	ɛ	7	U+025b
ȩ̄	<?>	7	U+0229 U+0304
ȩȩ	<?>	7	U+0229 U+0229
ās	ās	7	U+0101 U+0073
'í	í	7	U+0027 U+00ed
éé	éé	7	U+00e9 U+00e9
’h	<?>	6	U+2019 U+0068
tʃ	tʃ	6	U+0074 U+0283
¹ʰ	¹ʰ	6	U+00b9 U+02b0
ǐ̧	ǐ̧	6	U+01d0 U+0327
ȩ̀	<?>	6	U+0229 U+0300
hsh	hsh	6	U+0068 U+0073 U+0068
üs	üs	6	U+00fc U+0073
Ñ	<?>	6	U+00d1
ê	ê	6	U+00ea
o̠o̠	o̠o̠	6	U+006f U+0320 U+006f U+0320
éh	éh	6	U+00e9 U+0068
íí	íí	6	U+00ed U+00ed
ǰ	ǰ	6	U+01f0
ǘ	<?>	5	U+01d8
ù̧ù̧	ù̧ù̧	5	U+00f9 U+0327 U+00f9 U+0327
õ̀	õ̀	5	U+00f5 U+0300
?	<?>	5	U+003f
ᵐb	ⁿb	5	U+1d50 U+0062
šʸ	šʲ	5	U+0161 U+02b8
ᴮ	<?>	5	U+1d2e
i̧ⁿ	i̧ⁿ	5	U+0069 U+0327 U+207f
j̃	j̃	5	U+006a U+0303
u̧ⁿ	u̧ⁿ	5	U+0075 U+0327 U+207f
'l	l	5	U+0027 U+006c
ōs	ōs	5	U+014d U+0073
ùw	ùw	4	U+00f9 U+0077
ōō	ōō	4	U+014d U+014d
yy	yː	4	U+0079 U+0079
o̧ⁿ	o̧ⁿ	4	U+006f U+0327 U+207f
i̧̧	i̧̧	4	U+0069 U+0327 U+0327
ȼʸ	<?>	4	U+023c U+02b8
ĩ́	ĩ́	4	U+0129 U+0301
gᵂ	gᵂ	4	U+0067 U+1d42
th	tʰ	4	U+0074 U+0068
àh	àh	4	U+00e0 U+0068
'ǐ	ǐ	4	U+0027 U+01d0
ɥ	ɥ	4	U+0265
wː	wː	4	U+0077 U+02d0
ⁿr̃	ⁿr̃	4	U+207f U+0072 U+0303
f	f	4	U+0066
i̠i̠	i̠i̠	4	U+0069 U+0320 U+0069 U+0320
Ɂw	Ɂw	4	U+0241 U+0077
mm	mm	4	U+006d U+006d
ȩ́	<?>	4	U+0229 U+0301
ṍ	ṍ	4	U+1e4d
ls	ls	4	U+006c U+0073
a̠a̠	a̠a̠	3	U+0061 U+0320 U+0061 U+0320
òh	òh	3	U+00f2 U+0068
ⁿř	ⁿř	3	U+207f U+0159
·	·	3	U+00b7
īʰ	īʰ	3	U+012b U+02b0
u̧ᵑ	u̧ᵑ	3	U+0075 U+0327 U+1d51
lʸ	lʲ	3	U+006c U+02b8
ʒ	ʒ	3	U+0292
't	t	3	U+0027 U+0074
ìw	ìw	3	U+00ec U+0077
īw	īw	3	U+012b U+0077
uʰ	uʰ	3	U+0075 U+02b0
ⁿy	ⁿy	3	U+207f U+0079
ò̧ò̧	ò̧ò̧	3	U+00f2 U+0327 U+00f2 U+0327
ẽ̀	ẽ̀	3	U+1ebd U+0300
⁴¹	⁴¹	3	U+2074 U+00b9
õ	õ	3	U+00f5
ⁿr	ⁿr	3	U+207f U+0072
ř	ř	3	U+0159
I	<?>	3	U+0049
²ʰ	²ʰ	3	U+00b2 U+02b0
ǚ	<?>	3	U+01da
ë	ë	3	U+00eb
'y	y	3	U+0027 U+0079
kᵑ	kⁿ	3	U+006b U+1d51
nː	nː	3	U+006e U+02d0
ɨ̧́ɨ̧́	ɨ̧́ɨ̧́	3	U+0268 U+0327 U+0301 U+0268 U+0327 U+0301
ⁿž	ⁿž	3	U+207f U+017e
i̧ᵑ	i̧ᵑ	3	U+0069 U+0327 U+1d51
ⁿsʸ	ⁿsʲ	3	U+207f U+0073 U+02b8
èè	èè	3	U+00e8 U+00e8
ēē	ēē	3	U+0113 U+0113
a̧ᵑ	a̧ᵑ	3	U+0061 U+0327 U+1d51
jː	jː	2	U+006a U+02d0
'đ	'đ	2	U+0027 U+0111
chh	chh	2	U+0063 U+0068 U+0068
āʰ	āʰ	2	U+0101 U+02b0
a̧̧	a̧̧	2	U+0061 U+0327 U+0327
⁴ʰ	⁴ʰ	2	U+2074 U+02b0
ŋ	ŋ	2	U+014b
š̯	š̯	2	U+0161 U+032f
ɨ̂	ɨ̂	2	U+0268 U+0302
š̩	š̩	2	U+0161 U+0329
w̃	w̃	2	U+0077 U+0303
kʸ	kʲ	2	U+006b U+02b8
gw	gw	2	U+0067 U+0077
ⁿd̩	ⁿd̩	2	U+207f U+0064 U+0329
ì̧w	ì̧w	2	U+00ec U+0327 U+0077
ǔ̧	ǔ̧	2	U+01d4 U+0327
'â	â	2	U+0027 U+00e2
ě	ě	2	U+011b
³⁴²	³⁴²	2	U+00b3 U+2074 U+00b2
ô̧	ô̧	2	U+00f4 U+0327
ĩ̀	ĩ̀	2	U+0129 U+0300
`	<?>	2	U+0060
ôô	ôô	2	U+00f4 U+00f4
'u̠	u̠	2	U+0027 U+0075 U+0320
î̧	î̧	2	U+00ee U+0327
ûh	ûh	2	U+00fb U+0068
oⁿ	oⁿ	2	U+006f U+207f
s̯	s̯	2	U+0073 U+032f
θʸ	θʲ	2	U+03b8 U+02b8
.	NULL	2	U+002e
š̭	š̭	2	U+0161 U+032d
'ǔ	ǔ	2	U+0027 U+01d4
ⁿȼ	<?>	2	U+207f U+023c
iᵑ	iᵑ	2	U+0069 U+1d51
u̧ʰ	u̧ʰ	2	U+0075 U+0327 U+02b0
⁴²	⁴²	2	U+2074 U+00b2
¹³ʰ	¹³ʰ	2	U+00b9 U+00b3 U+02b0
ũ̀̀	ũ̀	2	U+0169 U+0300 U+0300
ẽ	ẽ	2	U+1ebd
°	<?>	2	U+00b0
ɨ̀ɨ̀	ɨ̀ɨ̀	2	U+0268 U+0300 U+0268 U+0300
ǜs	<?>	2	U+01dc U+0073
mh	mh	2	U+006d U+0068
mː	mː	2	U+006d U+02d0
â̧	â̧	2	U+00e2 U+0327
=	<?>	2	U+003d
ûû	ûû	2	U+00fb U+00fb
čʸ	čʲ	2	U+010d U+02b8
ō̧ō̧	ō̧ō̧	2	U+014d U+0327 U+014d U+0327
yaaha, yaa	<???>	1	U+0079 U+0061 U+0061 U+0068 U+0061 U+002c U+0020 U+0079 U+0061 U+0061
šʰ	šʰ	1	U+0161 U+02b0
_ⁿ	_ⁿ	1	U+005f U+207f
ȩʰ	<?>	1	U+0229 U+02b0
dh	dh	1	U+0064 U+0068
êh	êh	1	U+00ea U+0068
ññ	ññ	1	U+00f1 U+00f1
ǖs	<?>	1	U+01d6 U+0073
ǖh	<?>	1	U+01d6 U+0068
A	<?>	1	U+0041
üh	üh	1	U+00fc U+0068
'e̠	e̠	1	U+0027 U+0065 U+0320
i᷅	i᷅	1	U+0069 U+1dc5
nʸ	nʲ	1	U+006e U+02b8
ów	ów	1	U+00f3 U+0077
ş	<?>	1	U+015f
ĩː	ĩː	1	U+0129 U+02d0
'ts	ts	1	U+0027 U+0074 U+0073
hh	hh	1	U+0068 U+0068
č̯	č̯	1	U+010d U+032f
ṣʸ	ṣʲ	1	U+1e63 U+02b8
ṣ̌ʳ	ṣ̌ʳ	1	U+1e63 U+030c U+02b3
čč	čč	1	U+010d U+010d
gʷ	gʷ	1	U+0067 U+02b7
āw	āw	1	U+0101 U+0077
ùsh	ùsh	1	U+00f9 U+0073 U+0068
ɨʰ	ɨʰ	1	U+0268 U+02b0
vʸ	vʲ	1	U+0076 U+02b8
ẽ́	ẽ́	1	U+1ebd U+0301
aᵍ	aᵍ	1	U+0061 U+1d4d
cc	cc	1	U+0063 U+0063
iii	iːi	1	U+0069 U+0069 U+0069
ȼ̣ʸ	<?>	1	U+023c U+0323 U+02b8
̠	<?>	1	U+0320
fʸ	fʲ	1	U+0066 U+02b8
aⁿ	aⁿ	1	U+0061 U+207f
i̭	i̭	1	U+0069 U+032d
ōhsh	ōhsh	1	U+014d U+0068 U+0073 U+0068
í:	íː	1	U+00ed U+003a
ââ	ââ	1	U+00e2 U+00e2
̀n	̀n	1	U+0300 U+006e
'ï	ï	1	U+0027 U+00ef
i̧ʰ	i̧ʰ	1	U+0069 U+0327 U+02b0
tw	tw	1	U+0074 U+0077
⁵⁴	⁵⁴	1	U+2075 U+2074
ˀᵑ	<?>	1	U+02c0 U+1d51
'ô	ô	1	U+0027 U+00f4
tay dzi ~ si yahui	<???>	1	U+0074 U+0061 U+0079 U+0020 U+0064 U+007a U+0069 U+0020 U+007e U+0020 U+0073 U+0069 U+0020 U+0079 U+0061 U+0068 U+0075 U+0069
ŵ	<?>	1	U+0175
'i̠	i̠	1	U+0027 U+0069 U+0320
ɨ̧ᵑ	ɨ̧ᵑ	1	U+0268 U+0327 U+1d51
aʳ	aʳ	1	U+0061 U+02b3
hʷ	hʷ	1	U+0068 U+02b7
ž̯	ž̯	1	U+017e U+032f
kⁿ	kⁿ	1	U+006b U+207f
ès	ès	1	U+00e8 U+0073
és	és	1	U+00e9 U+0073
ēs	ēs	1	U+0113 U+0073
ēsh	ēsh	1	U+0113 U+0073 U+0068
'a̠	a̠	1	U+0027 U+0061 U+0320
àw	àw	1	U+00e0 U+0077
ẓ̌	ẓ̌	1	U+1e93 U+030c
vh	vh	1	U+0076 U+0068
ɨ́ɨ́	ɨ́ɨ́	1	U+0268 U+0301 U+0268 U+0301
ʔʸ	ʔʲ	1	U+0294 U+02b8
’w	<?>	1	U+2019 U+0077
ìsʸ	ìsʲ	1	U+00ec U+0073 U+02b8
ȩ̌	<?>	1	U+0229 U+030c
hʸ	hʲ	1	U+0068 U+02b8
vs	vs	1	U+0076 U+0073
ùsʸ	ùsʲ	1	U+00f9 U+0073 U+02b8
a̠̠	a̠	1	U+0061 U+0320 U+0320
ȩ́ȩ́	<?>	1	U+0229 U+0301 U+0229 U+0301
lh	lh	1	U+006c U+0068
u̠u̠	u̠u̠	1	U+0075 U+0320 U+0075 U+0320
ǜǜ	<?>	1	U+01dc U+01dc
²³⁴	²³⁴	1	U+00b2 U+00b3 U+2074
tʸʰ	tʲʰ	1	U+0074 U+02b8 U+02b0
ll	ll	1	U+006c U+006c
nᵗ	nᵗ	1	U+006e U+1d57
ìsh	ìsh	1	U+00ec U+0073 U+0068
º	<?>	1	U+00ba
ōʰ	ōʰ	1	U+014d U+02b0
à̧s	à̧s	1	U+00e0 U+0327 U+0073
̧ⁿ	<?>	1	U+0327 U+207f
_̀	_̀	1	U+005f U+0300
ṹ	ṹ	1	U+1e79
aʰ	aʰ	1	U+0061 U+02b0
rs	rs	1	U+0072 U+0073
vv	vv	1	U+0076 U+0076
ōw	ōw	1	U+014d U+0077
ã́	ã́	1	U+00e3 U+0301
kʷʸ	kʲʷ	1	U+006b U+02b7 U+02b8
ā̧ā̧	ā̧ā̧	1	U+0101 U+0327 U+0101 U+0327
a̧ⁿ	a̧ⁿ	1	U+0061 U+0327 U+207f
ã̀	ã̀	1	U+00e3 U+0300
'kʷ	kʷ	1	U+0027 U+006b U+02b7
à̧à̧	à̧à̧	1	U+00e0 U+0327 U+00e0 U+0327
