Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^u	u	uvi, una	zaca11, pena11, yolo11, prog12, atat11, colo11, coat11, abas11, jami11, ocot11, chay11, alac11, alco11, flor12, tlah11, chal11, pied12, brav11, tepe03, apoa11, chic12, esta11, tlal11, apas11, acat11, conc11, papa11, xoch11, nuti11, copa11, amat11	100	U+005e U+0075
ɨ	ɨ	čɨtɨ, yɨquɨ	chay11, colo11, atat11, chal11, prom01, coat11, jami11, yoso11, cuya11, acat11, chay12, cuau11, diux11, huit11, tlaz11, pino12, tama11, itun11, gran11, pied11, ixta11, yolo11, lore11, mont13, yucu11, tutu11, mech11, huaz11, cuil11	100	U+0268
^x	x	xito, xixi	yolo11, prog12, tlah11, pied12, flor12, abas11, conc11, ocot11, yoso11, chic02, atat11, gran11, mont12, mixt11	100	U+005e U+0078
á	á	kwáhá, nánī	diux11, prog12, alac11, ocot11, yoso11, chic02, conc11, ayut11, gran11, abas11, coat11, peno11, caca11, jami11	100	U+00e1
đ	đ	te-đeđe, či-đaa	caca11, chig11, apas11, chaz11, ixta12, chic11, coat11, xaya11, joco11, tama11, tlal11, pied11, peno11, soya11, sind11, tila11, tlaz11, tona11, apoa11, tepe11, cuya11, tida11, este11, zapo11, coso11, tepo11, teit11, cuau11, diux11, huit11, cuil11, jate11, nuxi11, nuxa11, coxc11, adeq11, ndua11, xaya12, guad11, yuta12, yuta11	100	U+0111
w	w	yawi, yuwi	prom01, ayut11, copa11, tepe12, chig11, cahu11, alco11, apas11, coso11, chay11, cuat11, chaz11, brav11, cuau11, atoy11, tona11, itun11, tepe11, yolo12, chic11, cuya11, zapo11, acat11, huit11, lore11, sayu11, tepo11, mech11, huaz11, cris11, toto12, caca11, tama11, ixta12, nuxa11, pied11, colo11, tida11, alac11, yucu11, teit11, soya11, tutu11, xaya12, mica11, pino11, joco11, pena11, cuil11	100	U+0077
à$	à	šàʔà, ītà	prog12, gran11, caca11, mixt11, ayut11, mont12, chay11, peno11, atat11, ocot11, alac11, xaya11, moli11, jica11, flor12, abas11, pied12, cahu11, coat11, metl11, diux11	100	U+00e0 U+0024
v	v	ndivi, uvi	coat11, alac11, tepo01, ayut11, prog12, abas11, jami11, tlah11, mont12, ocot11, flor12, pied12, conc11, yoso11, mixt11, diux11	100	U+0076
ì$	ì	kìƀì, kàčì	mont12, prog12, caca11, gran11, moli11, jica11, mixt11, alac11, xaya11, flor12, ayut11, ocot11, peno11, metl11, cahu11, tlah11, coat11, chay11, atat11, abas11, diux11, pied12	100	U+00ec U+0024
à	à	ƀàʔā, kàā	coat11, metl11, mixt11, ayut11, prog12, peno11, caca11, abas11, moli11, xaya11, chay11, atat11, gran11, ocot11, jica11, alac11, diux11, cahu11	100	U+00e0
