Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
ü	ü	žüžü, žükü	caca11, tlac12, ahue11, tama12, chic12, more11, prog12, papa11, nuch11, esta11, mont12, yucu16, guad11, ixpa11, flor11, teco11	45	U+00fc
^o	o	oko, owi	prom01, yuta13, alac11, caca11, jami11, esta11, chay11, prog12, more11, atat11, zaca11, cahu11, tlah11, yucu16, colo11, yolo11, ocot11, chay12, prog11, yoso14, cuat11, abas11, tepo01, brav11, pena11	44	U+005e U+006f
^uu$	uu	uu	chay11, tila11, yucu14, jate11, tlac11, tlaz11, tata11, nuxi11, atat11, tama11, nund12, nuxa11, ixta12, nund13, pied11, chal11, yoso11, tida11, este11, zapo11, yolo11, coxc11, ocot11, lore11, pena12, mont13, achi11, yoso14, adeq11, ndua11, yucu11, teit11, moli11, soya11, mech11, yuta12, huaz11, yuta11, joco11, diux11, sini11, nund11, huit11	44	U+005e U+0075 U+0075 U+0024
é$	é	kueé, kʷéʔé	atat11, coat11, peno11, yucu12, yucu15, tepe03, ocot11, alac11, prom01, yuta13, diux11, pena11, jica11, huen11, gran11, tlah11, mont12, colo11, nuyo11, dura11, chic02, conc11, xoch11, xaya12	44	U+00e9 U+0024
^g	g	gu³vi³, gui⁴'yo⁵	chic12, papa11, chic02, copa11, tepe03	44	U+005e U+0067
ú̧$	ú̧	ñú̧ʔú̧, káʔnú̧	peno11, yucu15, coic11, coat11, jica11, yucu12, metl11, prog12, tepe11, nuyo11, coso11, ahue11, ocot11, tlaz11, xaya12, tama12, tona11, atat11	44	U+00fa U+0327 U+0024
^o̧	o̧	o̧ʔo̧, o̧na̧	caca11, cahu11, zapo11, alac11, soya11, mont12, coxc11, cuat11, tila11, jate11, nuxi11, apoa11, tama11, jami11, esta11, pied11, chic11, apas11, acat11, chay11, ndua11, tepo11, nuti11, sind11, tutu11, mech11, brav11, huaz11, yuta11, joco11, cuil11	44	U+005e U+006f U+0327
^b	b	banku, banka	yolo11, tepe03, zaca11, yucu16, chal11, alco11, mont14, more11, jate11, nund12, mont12, coxc11, pena12, prog11, adeq11, ndua11, nuti11, amat11, mica11, ixta13, sini11, nund11	43	U+005e U+0062
sh	sh	vishi, ūshi	ayut11, alac11, dura11, diux11, ocot11, yoso11, prog12, coat11, jami11, copa11, flor11	43	U+0073 U+0068
g	g	ba̧ᵑgu, xutu⁴-güi³⁵	chic12, tepe03, chic02, copa11, papa11, pena12, moli11, cuat11, atat11, zaca11, sini11	43	U+0067
^ṣ̌	ṣ̌	ṣ̌a̧ʔu̧, ṣ̌uu	teit11, tila11, chig11, joco11, chal11, yucu11, nuti11, tama11, cuau11, itun11, cuya11	43	U+005e U+1e63 U+030c
è$	è	kʷèʔè, ƀèʔè	peno11, ocot11, prom01, yucu15, huen11, pena11, nuyo11, ayut11, prog12, coat11, jica11, xaya12, colo11, ixpa11, yucu12, atat11, tlac12	41	U+00e8 U+0024
ṣ̌	ṣ̌	uṣ̌i, ti-ṣ̌eṣ̌e	tila11, chal11, tama11, chig11, yoso11, yucu11, itun11, cuya11, cuau11, tlac11, nund12, tlal11, prog11, teco11, teit11, moli11, sind11, joco11, sini11, nund11	41	U+1e63 U+030c
^ù	ù	ù'ùn, ùvà	mixt11, yucu17, tlah11, dura11, pied12, xaya12, flor12, abas11, colo11, chig11, xaya11	40	U+005e U+00f9
aa	aa	kuaan, saa-xí'ña	copa11, chic02, colo11, tepe03, nuxa11, huen11, brav11, chay11, yoso14, cuat11, zaca11, jica13	40	U+0061 U+0061
āh	āh	ndāha, sāhmā	jami11, conc11, yoso11, ayut11, ocot11, alac11, coat11, atat11, prog12, diux11	39	U+0101 U+0068
ii	ii	nii³, mii⁵	copa11, chic02, tepe03, ayut11, tlal11, mont14, coat11, acat11, more11, yolo11, chay11, colo11, alac11, mica11, zaca11	39	U+0069 U+0069
u̠	u̠	su̠tu̠, ku̠'vi̠	jica13, xoch11, alac11, yuta13	39	U+0075 U+0320
^ⁿč	ⁿč	ⁿčiʔi, ⁿčaʔi	dura11, reye11, teco11, tejo11, xaya12, ixpa11, adeq11, tlal11, tepe11, coxc11, aten11, ndua11, tlac12	39	U+005e U+207f U+010d
ee	ee	kʷee-ni, kʷeeni̧	copa11, chic02, tlal11, toto12, tona11, flor11, nuxa11, mont12, nund13, pied11, ixta11, apas11, yoso11, chay11, xaya11, yucu11, teit11, amat11, mica11, pino11, yuta11, diux11, huit11, cuil11	38	U+0065 U+0065
à̧	à̧	ñà̧mà̧, kʷà̧á̧	ocot11, xaya12, nuyo11, peno11, yucu12, yucu15, jica11, aten11, nuch11, prog12, caca11, ayut11, tama12, dura11, coat11, xaya11, teco11, ahue11, guad11, diux11	37	U+00e0 U+0327
ǐ	ǐ	tǐchi, ikǐn	flor12, pied12, jica13, yucu17, mixt11	37	U+01d0
'e$	'e	ve'e, se'e	zaca11, abas11, huen11, yoso14, yuta13, dura11, mixt11, mont12, pied12, alac11, pena11, yucu17, xoch11, jica13, tlah11, flor12	36	U+0027 U+0065 U+0024
ìs	ìs	kìsī, kìsi	mont12, yucu15, tlac12, mixt11, alac11, yucu13, metl11, caca11, flor12, ayut11, tlah11, aten11, nuyo11, dura11, ocot11, coic11, xaya11, reye11, teco11, abas11, moli11, pied12, xaya12, guad11, yucu12, yucu17, pena11	36	U+00ec U+0073
nh	nh	tônha, shánhûn	chic02, copa11, diux11	36	U+006e U+0068
^θ	θ	θiko, θütü	esta11, tama12, ahue11, yucu16, chal11, ndua11, prog12, tila11, chay11, cuau11	36	U+005e U+03b8
ü$	ü	žüžü, žükü	esta11, caca11, tlac12, ahue11, more11, tama12, prog12, nuch11, yucu16, guad11, teco11	36	U+00fc U+0024
'i	'i	tǐ'in, mǐ'in	papa11, mixt11, chic12, yucu17, abas11, huen11, tepe03, yoso14	34	U+0027 U+0069
o̠$	o̠	o̠ko̠, yódo̠	yuta13, alac11, xoch11, jica13	34	U+006f U+0320 U+0024
ĩ	ĩ	ʔnĩ³⁵, ʔĩ²	chic12, zaca11, alco11, yucu16, chal11	34	U+0129
^ⁿs	ⁿs	ⁿsiki, ⁿsiʔwi	zapo11, tepe11, coso11, tona11, xaya12, chig11, xaya11, chaz11, mica11, mont14, toto12, ixta13	34	U+005e U+207f U+0073
'³	'³	siguë'³ë, ni'³ni⁴	yolo11, chic12	33	U+0027 U+00b3
ɨ́	ɨ́	kɨ́đɨ̀, lɨ́ʔvɨ́	diux11, peno11, coat11, atat11, prom01, colo11, yoso11, teco11, gran11	33	U+0268 U+0301
ùù$	ùù	yùù, nùù	colo11, ocot11, peno11, chay11, alac11, xaya11, reye11, abas11, moli11, prog12, huen11, caca11, ayut11, mont12, nuyo11, dura11, xoch11, xaya12, guad11, yucu12	32	U+00f9 U+00f9 U+0024
ɨ̄$	ɨ̄	kɨ̄tɨ̄, ⁿde-kɨƀɨ̄	atat11, gran11, yucu12, yoso11, nuyo11, coat11, chay11, diux11, jami11	32	U+0268 U+0304 U+0024
ǒ$	ǒ	yosǒ, vìkǒ	pied12, flor12, yucu17, coat11, mixt11, tlah11, more11, tama12, pena11, coic11	32	U+01d2 U+0024
'á$	'á	ya'á, kuá'á	mixt11, xoch11, tlah11, yucu17, jica13, abas11, dura11, alac11, yuta13, diux11, pena11, mont12, zaca11	31	U+0027 U+00e1 U+0024
ɨ̀	ɨ̀	kɨ̀tɨ̀, ndɨ̀vɨ̀	peno11, colo11, prom01, chay11, diux11, coat11, atat11, gran11	31	U+0268 U+0300
ú̧	ú̧	ñú̧ʔú̧, ñú̧ʔù̧	peno11, ayut11, nuyo11, yucu15, jica11, tlaz11, tona11, tlac12, tepe11, dura11, coso11, acat11, ocot11, coat11, coic11, teco11, yucu13, reye11, metl11, yucu12	31	U+00fa U+0327
³ˀ	³ˀ	du³ˀwi³, da³ˀnĩ³²-ta³ˀu³²	chic12	31	U+00b3 U+02c0
h$	h	yuhūh, ndeih	ayut11, chic02	30	U+0068 U+0024
ā̧$	ā̧	ƀītā̧, ñā̧ʔā̧	gran11, nuyo11, ocot11, atat11, moli11, xaya12, yucu12, metl11, jica11, tama12, alac11, caca11, teco11	30	U+0101 U+0327 U+0024
ɨ̧ɨ̧$	ɨ̧ɨ̧	ñɨ̧ɨ̧, ñȩ-ñɨ̧ɨ̧	tlaz11, cuya11, coat11, cuau11, yuta11, cris11, tila11, pino12, tata11, tama11, itun11, jami11, pied11, ixta11, colo11, yoso11, este11, yolo11, lore11, mont13, sind11, yuta12, diux11, huit11	29	U+0268 U+0327 U+0268 U+0327 U+0024
^q	q	quɨtɨ, quachi	tepo01, chay11, colo11, atat11, chic12	28	U+005e U+0071
'i$	'i	í'i, si'i	pena11, jica13, abas11, tlah11, pied12, yoso14, yucu17, flor12, dura11, mont12, huen11, zaca11, chic12	27	U+0027 U+0069 U+0024
'¹	'¹	ndo'¹o⁴, ku'¹ba³	yolo11	27	U+0027 U+00b9
ɨ̀$	ɨ̀	kɨ̀tɨ̀, kɨ́đɨ̀	peno11, colo11, chay11, nuyo11, diux11, yucu12, atat11, teco11, gran11	27	U+0268 U+0300 U+0024
ï	ï	gaquïn'⁴ïn, quïnj³ïn	chic12	27	U+00ef
⁵$	⁵	chruun⁵, mii⁵	copa11, chic12	26	U+2075 U+0024
àà$	àà	kàà, sàà	prog12, ayut11, tlah11, colo11, xoch11, yucu15, jica11, caca11, cahu11, nuyo11, dura11, ocot11, coat11, peno11, metl11, abas11, moli11, pied12, guad11	25	U+00e0 U+00e0 U+0024
ǔ$	ǔ	ñùñǔ, yùjǔ	yucu17, pied12, mixt11, flor12, ahue11, more11, coat11	25	U+01d4 U+0024
ũ	ũ	tu¹ʔũ², ʃi¹tũ¹	chic12, zaca11, alco11, chal11, yucu16	25	U+0169
³ʰ$	³ʰ	kʷe³ʰ, a³ko³ʰ	chic12	25	U+00b3 U+02b0 U+0024
q	q	yɨquɨ, ndɨquɨ	chic12, tepo01, chay11, colo11, atat11, papa11	24	U+0071
ā̧	ā̧	ñā̧nī̧, ñā̧ʔā̧	ocot11, nuyo11, yucu12, yucu15, xaya12, moli11, mixt11, xaya11, atat11, teco11, gran11, nuch11, ayut11	24	U+0101 U+0327
á̧$	á̧	kʷà̧á̧, ñù̧má̧	peno11, yucu15, coat11, nuch11, ocot11, mixt11, xaya12, alac11, caca11, coic11, xaya11, diux11, metl11	24	U+00e1 U+0327 U+0024
ì̧ì̧$	ì̧ì̧	nì̧ì̧, ñì̧ì̧	tlac12, cahu11, reye11, ixpa11, tona11, chig11, ixta12, aten11, chic11, tama12, nuch11, zapo11, ocot11, coat11, cuat11, teco11, soya11, xaya12, guad11, cuil11	24	U+00ec U+0327 U+00ec U+0327 U+0024
ǎ	ǎ	tàjtǎn, tsiǎà	pied12, mixt11, flor12, yucu17, jica13	24	U+01ce
θ	θ	ƀiθi, ku̧u̧-θaƀi	ahue11, tama12, esta11, coat11, yucu16, reye11	24	U+03b8
oo	oo	ⁿdooʔ, toon	chic02, copa11, yuta13, chay11, prom01, zaca11, sind11, colo11, jami11, ayut11	23	U+006f U+006f
í̧	í̧	čí̧ì̧, ʔīkí̧-ʔí̧ñú̧	peno11, yucu15, alac11, teco11, gran11, metl11, prog12, soya11, coat11, xaya12, ixpa11, caca11, yucu12, yucu13, atat11	23	U+00ed U+0327
ǔ	ǔ	ñǔu, xǔ'un	flor12, mixt11, pied12, yucu17, jica13, xoch11	23	U+01d4
³⁵$	³⁵	xutu⁴-güi³⁵, da³ki³⁵	chic12	23	U+00b3 U+2075 U+0024
u̧u̧	u̧u̧	ku̧u̧-sawi, ku̧u̧-đawi	aten11, yucu13, more11, mont14, tepe12, tlac11, tona11, tepe11, ixta12, tama12, dura11, zapo11, yolo11, lore11, chay11, ahue11, soya11, mech11, brav11, guad11, alco11	23	U+0075 U+0327 U+0075 U+0327
'à$	'à	ma'à, xa'à	dura11, huen11, mont12, mixt11, yucu17, flor12, pena11, abas11	22	U+0027 U+00e0 U+0024
'í$	'í	yí'í, si'í	yuta13, abas11, huen11, alac11, pena11, xoch11, jica13, dura11, tlah11, flor12	22	U+0027 U+00ed U+0024
kw	kw	xākwāā, lakwá	mixt11, yolo11, copa11, tlah11, prog12, ocot11, coat11, alac11, conc11, yoso11, ayut11	22	U+006b U+0077
'⁴	'⁴	ta¹su'⁴u⁴, ni'⁴⁵-huaj³	chic12, yolo11	22	U+0027 U+2074
ỹ	ỹ	i̧ỹu̧, ku̧ỹu̧	chic11, apoa11, joco11, yolo12, ixta12, tila11, tama11, tida11, mont13, diux11, apas11, caca11	22	U+1ef9
³ˀ$	³ˀ	ʃi³ʈʂi³ˀ, ʃi³nũ³ˀ	chic12	22	U+00b3 U+02c0 U+0024
^ū	ū	ūù, ūvi	ayut11, yoso11, prog12, ocot11, coat11, atat11, gran11	21	U+005e U+016b
ɨ́$	ɨ́	lɨ́ʔvɨ́, līʔwɨ́	colo11, prom01, atat11, coat11, gran11, nuyo11, peno11, jica11, chay11, yucu12, diux11, yoso11	21	U+0268 U+0301 U+0024
â	â	kâní, yâá	chic02, peno11, xoch11, jica13, tlah11, mixt11, yucu15, flor12	21	U+00e2
³²ʰ$	³²ʰ	ma³tsi³²ʰ, mã²ja³²ʰ	chic12	21	U+00b3 U+00b2 U+02b0 U+0024
â$	â	tsaâ, tsikâ	diux11, pied12, flor12, coat11, nuyo11, mixt11, yucu17	20	U+00e2 U+0024
^ò	ò	òkò, òvà	flor12, pied12, mont12, dura11, yucu17, prom01	20	U+005e U+00f2
u̠$	u̠	su̠tu̠, yuku̠	jica13, yuta13, alac11, xoch11	20	U+0075 U+0320 U+0024
āā$	āā	sāā, yāā	prog12, alac11, xaya12, yoso11, metl11, nuyo11, moli11, ayut11, jica11, tlac11, yucu12, atat11	19	U+0101 U+0101 U+0024
^ú	ú	úshî, úƀí	coat11, diux11, peno11, huen11, jica11	19	U+005e U+00fa
úú$	úú	žúú, ñúú	peno11, diux11, yoso11, soya11, chic02, ixta12, jica11, chay11, colo11, achi11, atat11, pena11	19	U+00fa U+00fa U+0024
ò̧	ò̧	tò̧mī̧, kò̧mì̧	alac11, aten11, ixpa11, caca11, yucu13, cahu11, guad11	19	U+00f2 U+0327
ɲ	ɲ	ku²ɲu², i¹ɲo¹	zaca11, chal11, alco11, yucu16	19	U+0272
ʧ	ʧ	kʷa¹ʧi², i³ʧi¹	zaca11, chal11, alco11, yucu16	19	U+02a7
o̧o̧$	o̧o̧	ño̧o̧, čo̧o̧	soya11, caca11, cuat11, esta11, zapo11, cahu11, tila11, chic11, brav11, alac11, apoa11, ndua11, cuil11	19	U+006f U+0327 U+006f U+0327 U+0024
r̃	r̃	žer̃u, fier̃u	chic11, tlaz11, este11, teit11, nuti11, nuxa11, sind11, ixta12, pied11, prog11, cuau11, apoa11, joco11, chal11, cuya11, yucu11, huit11	19	U+0072 U+0303
'ó$	'ó	yo'ó, nto'ó	jica13, tlah11, mixt11, yucu17, xoch11, abas11, diux11	18	U+0027 U+00f3 U+0024
û$	û	xajtû, usû	diux11, pied12, flor12, chic02, yucu17	18	U+00fb U+0024
^u̠	u̠	u̠ni̠, u̠xa̠	jica13, xoch11, alac11	18	U+005e U+0075 U+0320
dʸ	dʸ	wi̧ʔⁿdʸa, ƀi̧ʔⁿdʸa	juxt11, tepe11, coso11, tutu11, yolo11, lore11, mixt11, mech11, ixta11, chay11, ixpa11, xaya12, huaz11, tona11, chaz11, jami11, nuch11, ayut11	18	U+0064 U+02b8
'u$	'u	yu'u, nù'u	abas11, yoso14, jica13, pena11, dura11, pied12, huen11, yucu17, xoch11, zaca11	17	U+0027 U+0075 U+0024
'é$	'é	ki-ché'é, nti-ché'é	tlah11, mixt11, pied12, yucu17, xoch11, jica13, flor12, abas11, dura11	17	U+0027 U+00e9 U+0024
'è$	'è	kuè'è, xè'è	tlah11, dura11, pied12, mont12, flor12, mixt11, pena11, yucu17	17	U+0027 U+00e8 U+0024
^ii	ii	iin, ii-đaƀa	yuta13, tlal11, dura11, tlah11, ocot11, mont12, mixt11, pied12, yoso14, colo11, yucu17, xoch11, jica13, flor12, ayut11	16	U+005e U+0069 U+0069
î$	î	tǒmî, únî	diux11, mixt11, pied12, flor12	16	U+00ee U+0024
á̧	á̧	ná̧ʔví, kʷá̧ñù̧	yucu15, nuyo11, peno11, prog12, mixt11, tama12, yucu12, coic11, atat11	16	U+00e1 U+0327
'ù	'ù	ù'ùn, xa'ùn	tlah11, dura11, mixt11, pied12, yucu17, flor12, pena11, huen11	16	U+0027 U+00f9
'y	'y	ntsia'yì, ndì'yi	pena11, chic12, huen11, alac11, pied12, jica13, flor12	16	U+0027 U+0079
²¹$	²¹	ju²ku²¹, u²bi²¹	zaca11	16	U+00b2 U+00b9 U+0024
^ɲ	ɲ	ɲa²ʔmi², ɲa³ni²	yucu16, chal11, zaca11, alco11, chic12	16	U+005e U+0272
^ỹ	ỹ	ỹu̧ʔma̧, ỹa̧ma̧	mont13, apoa11, tila11, alac11, nuxa11, yolo12, ixta12, ndua11, huit11, itun11	16	U+005e U+1ef9
áá$	áá	žáá, xáá	cahu11, yucu17, abas11, ahue11, ocot11, huen11, jica13, atat11, xoch11, diux11, nuch11, gran11, yoso11	15	U+00e1 U+00e1 U+0024
ēh	ēh	vēhē, sēhe	coat11, yoso11, atat11, jami11, prog12, ocot11, alac11, diux11, ayut11	15	U+0113 U+0068
óh	óh	yóho, chóhō	diux11, prog12, chic02, coat11, alac11, colo11, atat11, jami11	15	U+00f3 U+0068
^ð	ð	ðá'ú, ðichí	diux11	15	U+005e U+00f0
^ì̧ì̧$	ì̧ì̧	ì̧ì̧	prog12, tepe11, moli11, cahu11, zapo11, mixt11, jica11, brav11, xaya12, caca11, tona11, chig11, xaya11, ixta13, ayut11	15	U+005e U+00ec U+0327 U+00ec U+0327 U+0024
ɨ̧̀$	ɨ̧̀	nɨ̧̀ñɨ̧̀, nɨ̧ñɨ̧̀	nuyo11, peno11, yucu12, nuti11, tutu11, mech11, tlaz11, chay11, pino12, huaz11, atat11, gran11	15	U+0268 U+0327 U+0300 U+0024
'o	'o	to̠'on, tò'on	chic12, mont12, alac11, papa11, yuta13, flor12	15	U+0027 U+006f
'ò$	'ò	yo'ò, ndo'ò	mont12, dura11, pena11, huen11, yucu17	15	U+0027 U+00f2 U+0024
'²$	'²	yun'², daquïn'²	chic12	15	U+0027 U+00b2 U+0024
xʸ	xʸ	uxʸa, nì̧xʸà̧	itun11, huit11, prog11, yucu12, nuyo11, pied11, mont13, cuau11, yuta11	15	U+0078 U+02b8
^ɡ	ɡ	ɡa³tsi¹ˀ, ɡo³no³ˀo⁴	chic12	15	U+005e U+0261
^p	p	palabra, pele	yolo11, papa11, abas11, nund12, yolo12, tlah11, chay11, toto12, yucu17, chig11, yoso11, ayut11	14	U+005e U+0070
²⁴$	²⁴	y'en²⁴, yu⁴quien²⁴	papa11, yolo11	14	U+00b2 U+2074 U+0024
īh$	īh	nduvīh, tichīh	ayut11	14	U+012b U+0068 U+0024
īs	īs	sīsī, ʔīsù	cahu11, yucu15, xaya12, alac11, nuyo11, moli11, ocot11, yucu12, xaya11, atat11	14	U+012b U+0073
^z	z	zutu, zavi	chay11, copa11	14	U+005e U+007a
gh	gh	chughueha, tughuiiha	chic02	14	U+0067 U+0068
'ì$	'ì	nché'ì, tí'ì	dura11, mixt11, pena11, yucu17, tlah11, mont12, flor12	14	U+0027 U+00ec U+0024
'e	'e	y'en²⁴, nu⁴nv'e⁴de³	papa11, chic12, yoso14, pena11	14	U+0027 U+0065
'ì	'ì	si'ìn, sì'ìn	dura11, tlah11, pena11, flor12, abas11, mont12, pied12, huen11, yucu17	13	U+0027 U+00ec
'ñ	'ñ	xí'ña, mà'ñú	diux11, tlah11, pied12, flor12, huen11, alac11, pena11, jica13	13	U+0027 U+00f1
³¹$	³¹	nːĩ³¹, nii³¹	copa11, chic12	13	U+00b3 U+00b9 U+0024
ìì$	ìì	nìì, kʷìì	dura11, mont12, coat11, mixt11, jica11, colo11, yucu12, teco11	13	U+00ec U+00ec U+0024
á̧á̧$	á̧á̧	kʷá̧á̧	atat11, metl11, prog12, nuyo11, ayut11, cahu11, chay11, ixpa11, alac11, yucu12, gran11	13	U+00e1 U+0327 U+00e1 U+0327 U+0024
³⁴$	³⁴	ca³⁴, gu'man³⁴	chic12	13	U+00b3 U+2074 U+0024
iʰ	iʰ	điʰku̧, ka-ȼiʰtu	cuya11, cuau11, ayut11	13	U+0069 U+02b0
'ù$	'ù	ñu'ù, ku'ù	pied12, huen11, pena11, yucu17, abas11, mont12, mixt11, flor12	12	U+0027 U+00f9 U+0024
^e	e	eđe, etu̧	coat11, tida11, copa11, ixta12, tila11, flor11	12	U+005e U+0065
às	às	tàsú̧, tàsù̧	coic11, nuyo11, tlah11, ocot11, yucu15, pied12, colo11, yucu12, alac11, pena11, metl11	12	U+00e0 U+0073
e̠	e̠	ve̠e, kue̠'e̠	jica13, yuta13, xoch11, alac11	12	U+0065 U+0320
ʃ	ʃ	ja³ʃi¹, i²ʃi²	alco11, yucu16, chal11, zaca11, chic12	12	U+0283
⁵³$	⁵³	nia⁵³, gui'yo⁵³	chic12	12	U+2075 U+00b3 U+0024
ūū$	ūū	ñūū, žūū	prog12, ocot11, chay11, atat11, mixt11, caca11, gran11	11	U+016b U+016b U+0024
î	î	chîín, xitsîn	jica13, chic02, peno11, mixt11, pied12, diux11	11	U+00ee
^ⁿz	ⁿz	ⁿzaʔyu, ⁿzaʔžu	cuil11, tlal11, soya11, ixta12, mixt11, chic11, apas11, apoa11, joco11, ndua11	11	U+005e U+207f U+007a
'a̠$	'a̠	má'a̠, ñá'a̠	yuta13, alac11, jica13, xoch11	11	U+0027 U+0061 U+0320 U+0024
ɡ	ɡ	re³ɡa³ˀ, maɡei̧	chic12, cris11, yucu14, toto12, xaya11	11	U+0261
'l	'l	tó'lo, lí'li	xoch11, pena11, abas11, dura11, tlah11, mixt11, yucu17, chic12	10	U+0027 U+006c
ōh	ōh	yōhō, lōhō	ocot11, alac11, yoso11, prog12, coat11, chay11, jami11	10	U+014d U+0068
í̧í̧$	í̧í̧	ní̧í̧, tí̧í̧	tlal11, nuyo11, ocot11, tepe12, yucu15, sayu11, yucu12, coic11, atat11, teco11	10	U+00ed U+0327 U+00ed U+0327 U+0024
'o̠$	'o̠	ló'o̠, ndó'o̠	yuta13, alac11	10	U+0027 U+006f U+0320 U+0024
^i̧i̧$	i̧i̧	i̧i̧	cuil11, yolo12, amat11, mixt11, tejo11, mica11, toto12, caca11, chaz11	10	U+005e U+0069 U+0327 U+0069 U+0327 U+0024
¹ˀ$	¹ˀ	ɡa³tsi¹ˀ, a³nĩ¹ˀ	chic12	10	U+00b9 U+02c0 U+0024
¹³$	¹³	nuhwe¹³, ri³kix¹³	copa11, chic12, yolo11	9	U+00b9 U+00b3 U+0024
áá	áá	kwáán, kuáán	alac11, prog12, dura11, chic02, pena11, atat11, yoso11, flor12	9	U+00e1 U+00e1
āh$	āh	yahāh, t-yakāh	ayut11	9	U+0101 U+0068 U+0024
nh$	nh	sūshānh, īīnh	ayut11	9	U+006e U+0068 U+0024
'ú$	'ú	yu'ú, ñu'ú	tlah11, yucu17, mixt11, xoch11, jica13, zaca11, diux11	9	U+0027 U+00fa U+0024
p	p	sapu, sapo	flor11, tlal11, ocot11, pena12, nund11, adeq11, yucu13, yoso11	9	U+0070
ɨ̃	ɨ̃	tna⁴kɨ̃¹ʰ, ndɨ̃vɨ	chic12, yoso11	9	U+0268 U+0303
y$	y	mamey, huay	tepo01, ayut11, apoa11, prom01, chal11, esta11	9	U+0079 U+0024
ō̧$	ō̧	nò̧ʔō̧, tnō̧ʔō̧	cahu11, alac11, caca11, nuch11	9	U+014d U+0327 U+0024
óó$	óó	kóó, ⁿdóó	peno11, jica11, diux11	9	U+00f3 U+00f3 U+0024
'$	<?>	xu'un', yo'ó'	zaca11, metl11	9	U+0027 U+0024
^ī̧ī̧$	ī̧ī̧	ī̧ī̧	prog12, moli11, mixt11, chay11, caca11, xaya11, atat11, gran11, metl11	9	U+005e U+012b U+0327 U+012b U+0327 U+0024
'a̠	'a̠	tia²c-cua̠³'a̠³, ca̠³'a̠³	papa11, alac11	9	U+0027 U+0061 U+0320
'o̠	'o̠	ti̠-dó'o̠ma̠, ño'o̠n	yuta13, alac11	9	U+0027 U+006f U+0320
¹⁴$	¹⁴	cua¹⁴, da²cu¹⁴	papa11	9	U+00b9 U+2074 U+0024
a̧a̧	a̧a̧	na̧-a̧ma̧, ma̧a̧-ⁿdi	tida11, teit11, nuxa11, pied11, tata11, achi11, apas11, chal11, yucu11	9	U+0061 U+0327 U+0061 U+0327
ɨ̧̄$	ɨ̧̄	kʷī̧nɨ̧̄, nɨ̧ñɨ̧̄	yucu12, nuyo11, atat11	9	U+0268 U+0327 U+0304 U+0024
ɨ̧̀	ɨ̧̀	nɨ̧̀ñɨ̧̀, tnɨ̧̀ñɨ̧̀	nuyo11, tlaz11, tutu11, peno11, mech11, chay11, huaz11	9	U+0268 U+0327 U+0300
üü$	üü	žüü, yüü	caca11, yucu16, ahue11, tlac12, nuch11, esta11	9	U+00fc U+00fc U+0024
^sʸ	sʸ	sʸoo, sʸà̧ʔù̧	tlac12, yucu15, juxt11, aten11, chay12, teco11	9	U+005e U+0073 U+02b8
^xʷ	xʷ	xʷa̧a̧, xʷi̧ñi̧	huit11, pied11, tama11, yuta11, cuil11	9	U+005e U+0078 U+02b7
^ìì	ìì	ììn	flor12, abas11, dura11, mont12, mixt11, pied12, yucu17	8	U+005e U+00ec U+00ec
^n̄	n̄	n̄īhín, n̄ūú	ocot11, yoso11, alac11, jami11, ayut11	8	U+005e U+006e U+0304
īsh	īsh	vīshi, mīshtūn	ocot11, yoso11, ayut11, coat11, alac11	8	U+012b U+0073 U+0068
ð	ð	víðî, kúðí	diux11	8	U+00f0
hw	hw	nuhwe¹³, tuhwa³	copa11	8	U+0068 U+0077
^rr	rr	rrumii, rrikii	chic02	8	U+005e U+0072 U+0072
ìh	ìh	čìhī, kìhì	prog12, aten11, ocot11, colo11, ixpa11, atat11, nuch11	8	U+00ec U+0068
ò̧$	ò̧	şā̧ʔò̧, ʔītò̧	alac11, caca11, reye11, ocot11	8	U+00f2 U+0327 U+0024
ū̧ū̧$	ū̧ū̧	ñū̧ū̧, čū̧ū̧	prog12, nuyo11, moli11, jica11, xaya12, yucu12, xaya11, gran11	8	U+016b U+0327 U+016b U+0327 U+0024
^ù̧	ù̧	ù̧ʔù̧, ù̧nì̧	xaya12, prog12, dura11, moli11, mixt11, coic11	8	U+005e U+00f9 U+0327
'ǎ$	'ǎ	nta'ǎ, ya'ǎ	pied12, flor12, yucu17	8	U+0027 U+01ce U+0024
'ǒ$	'ǒ	ntò'ǒ, nto'ǒ	pied12, flor12, yucu17	8	U+0027 U+01d2 U+0024
 	<?>	đo̧ʔno̧ kʷiši, ⁿdi ñu̧u̧	zaca11, tlah11, chic11, chay11, colo11, pino11, jami11	8	U+00a0
⁴³$	⁴³	ga⁴³, xiquïn⁴³	papa11, chic12	8	U+2074 U+00b3 U+0024
²¹	²¹	ka²ti²¹ʔ, ⁿdi²ʧã²¹ʔ	zaca11	8	U+00b2 U+00b9
^ʧ	ʧ	ʧi⁴¹ĩ⁴, ʧi³ɲu³	zaca11, yucu16, alco11	8	U+005e U+02a7
^ⁿt	ⁿt	ⁿtìčī, ⁿtīʔvi	ocot11, mica11	8	U+005e U+207f U+0074
^ȼ̣	<?>	ȼ̣i-đi̧ʔi̧, ȼ̣eye	guad11	8	U+005e U+023c U+0323
^ž̩	ž̩	ž̩úú, ž̩utu	ixta12	8	U+005e U+017e U+0329
