Grapheme	IPA	CLASS	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
ɥ	ɥ	?	kɥi³õ³, kɥi³i¹	yucu16	4	U+0265
^chh	?	C	chhenu, chhātā	conc11	2	U+005e U+0063 U+0068 U+0068
^dh	?	C	dhīn	conc11	1	U+005e U+0064 U+0068
^g	?	C	gu³vi³, gui⁴'yo⁵	chic12, papa11, chic02, copa11, tepe03	44	U+005e U+0067
^gh	?	C	ghueheha, ghuiiha	chic02	4	U+005e U+0067 U+0068
^gw	?	C	gwii³	copa11	1	U+005e U+0067 U+0077
^lh	?	C	lhín	conc11	1	U+005e U+006c U+0068
^ř	?	C	řekʷe	mont13	1	U+005e U+0159
mh	?	C	yhāmhī, hīímha	conc11	2	U+006d U+0068
n̄	?	C	yan̄i, tí:n̄í	jami11, prog12, ayut11, ocot11	5	U+006e U+0304
ⁿr	?	C	ti-ⁿruu	chic11	1	U+207f U+0072
q$	?	C	dzuq	tepo01	1	U+0071 U+0024
u̧ᵑ$	?	C	satu̧ᵑ, đu̧u̧ᵑ	coso11, sind11	3	U+0075 U+0327 U+1d51 U+0024
^n̄	?	C	n̄īhín, n̄ūú	ocot11, yoso11, alac11, jami11, ayut11	8	U+005e U+006e U+0304
^rr	?	C	rrumii, rrikii	chic02	8	U+005e U+0072 U+0072
rr	?	C	nurrnúú, lírrú-ka'a-ye'è	chic02, yucu13, tlah11	4	U+0072 U+0072
^b	*/b/β	C	banku, banka	yolo11, tepe03, zaca11, yucu16, chal11, alco11, mont14, more11, jate11, nund12, mont12, coxc11, pena12, prog11, adeq11, ndua11, nuti11, amat11, mica11, ixta13, sini11, nund11	43	U+005e U+0062
^j	*/h/?	C	jùtù, java	prom01, zaca11, pena11, chal11, yucu16, mont12, colo11, atat11, alco11	100	U+005e U+006a
^h	*/h/ʔ	C	hoʔo, hita	prog12, tepo01, yucu13, chic12, nuch11, chic02, aten11, mont12, conc11, ixpa11, colo11, copa11, more11, tepe03, chay12, papa11, flor11, zaca11, tama12, jica12, atoy11, sini11	95	U+005e U+0068
^x	*/ʃ/x/ɕ	C	xito, xixi	yolo11, prog12, tlah11, pied12, flor12, abas11, conc11, ocot11, yoso11, chic02, atat11, gran11, mont12, mixt11	100	U+005e U+0078
x	*/ʃ/x/ɕ	C	xixi, vixi	copa11, yolo11, prog12, ocot11, abas11, yoso11, atat11, gran11, flor12, chic02, tlah11, pied12, moli11, mont12, mixt11, alac11, conc11, diux11	100	U+0078
ỹ	*/j/ʒ	C	i̧ỹu̧, ku̧ỹu̧	chic11, apoa11, joco11, yolo12, ixta12, tila11, tama11, tida11, mont13, diux11, apas11, caca11	22	U+1ef9
^y	*/j/ʒ	C	yaa, yoo	yolo11, abas11, jami11, prog12, ayut11, ocot11, alac11	100	U+005e U+0079
h	*/ʔ/ɦ/?	C	kwehe, kuhu	prog12, ocot11, jami11, ayut11, coat11	100	U+0068
h$	*/ʔ/ɦ/?	C	yuhūh, ndeih	ayut11, chic02	30	U+0068 U+0024
^d	*d/ð/ⁿd	C	doo, dzutu	tepo01, papa11, coat11, tepe03, chic12, chic02, conc11	100	U+005e U+0064
s̯	ɕ	C	žas̯i, yas̯i	juxt11	2	U+0073 U+032f
š̯	ɕ	C	wiš̯i, uš̯i	joco11	2	U+0161 U+032f
š̭	ɕ	C	đuš̭a̧, uš̭a	juxt11, chig11	2	U+0161 U+032d
d$	d	C	red	mont12	1	U+0064 U+0024
đ	ð	C	te-đeđe, či-đaa	caca11, chig11, apas11, chaz11, ixta12, chic11, coat11, xaya11, joco11, tama11, tlal11, pied11, peno11, soya11, sind11, tila11, tlaz11, tona11, apoa11, tepe11, cuya11, tida11, este11, zapo11, coso11, tepo11, teit11, cuau11, diux11, huit11, cuil11, jate11, nuxi11, nuxa11, coxc11, adeq11, ndua11, xaya12, guad11, yuta12, yuta11	100	U+0111
^đ	ð	C	đutu, đaʔa	caca11, peno11, xaya11, diux11, coat11, tlaz11, nuxi11, tona11, chig11, apoa11, tama11, tepe11, nuxa11, ixta12, pied11, chic11, apas11, tida11, este11, zapo11, coso11, adeq11, chaz11, tepo11, teit11, soya11, amat11, sind11, xaya12, guad11, ixta13, huit11, tila11, jate11, tata11, toto12, flor11, tlal11, yucu16, cuya11, joco11, coxc11, ndua11, mica11, yuta12, cuau11, yuta11, cuil11	100	U+005e U+0111
^ð	ð	C	ðá'ú, ðichí	diux11	15	U+005e U+00f0
ð	ð	C	víðî, kúðí	diux11	8	U+00f0
^dz	dz	C				U+005e U+0064 U+007A
dz	dz	C				
^ǰ	dʒ	C	ǰuƀi, ǰa-ni̧yu̧	cris11, huit11	2	U+005e U+01f0
^f	f	C	fier̃u	sind11, chal11, apoa11, joco11	4	U+005e U+0066
^fʸ	fʲ	C	fʸer̃u	chic11	1	U+005e U+0066 U+02b8
g	g	C	ba̧ᵑgu, xutu⁴-güi³⁵	chic12, tepe03, chic02, copa11, papa11, pena12, moli11, cuat11, atat11, zaca11, sini11	43	U+0067
gh	gh	C	chughueha, tughuiiha	chic02	14	U+0067 U+0068
^gʷ	gʷ	C	gʷee	brav11	1	U+005e U+0067 U+02b7
ᵍw	gʷ	C	yaᵍwi	toto12	1	U+0061 U+1d4d
gw	gʷ	C	ndi-gwáñu	tlah11	1	U+0067 U+0077
gʷ	gʷ	C	du³gᵂã³ˀã⁴ʰ, nu³gᵂã³ˀ	chic12	2	U+0067 U+1d42
^ɡ	ɡ	C	ɡa³tsi¹ˀ, ɡo³no³ˀo⁴	chic12	15	U+005e U+0261
ɡ	ɡ	C	re³ɡa³ˀ, maɡei̧	chic12, cris11, yucu14, toto12, xaya11	11	U+0261
j	h?	C	chíjǐn, yòjǒ	flor12, pied12, mont12, yolo11	100	U+006a
hh	hh	C	chukuahha	chic02	1	U+0068 U+0068
^hʷ	hʷ	C	hʷiti	yucu13	1	U+005e U+0068 U+02b7
j$	ɦ	C	gatsi'⁴ij, gutsï'⁴ïj	chic12	3	U+006a U+0024
i̭	j	C	ⁿdei̭ʔi	caca11	1	U+0069 U+032d
ll	j	C	sillá	yuta13	1	U+006c U+006c
ǰ	ǰ	C	ƀi̧ʔⁿǰā, mi̧ʔⁿǰa	gran11, yoso11, acat11, coso11	4	U+01f0
^j̃	j̃	C	j̃ã³ʰ, j̃ã²ʔã³	chic12	5	U+005e U+006a U+0303
^ỹ	j̃	C	ỹu̧ʔma̧, ỹa̧ma̧	mont13, apoa11, tila11, alac11, nuxa11, yolo12, ixta12, ndua11, huit11, itun11	16	U+005e U+1ef9
y$	j?	C	mamey, huay	tepo01, ayut11, apoa11, prom01, chal11, esta11	9	U+0079 U+0024
^jː	jː	C	jːa³ʰ, jːe³ʰ	chic12	2	U+005e U+006a U+02d0
^c	k	C	cañi, coho	chay11, colo11, tepo01, atat11, papa11	100	U+005e U+0063
^k	k	C	kaka, kuhu	abas11, yolo11, prog12, ocot11, coat11, jami11, ayut11	100	U+005e U+006b
^qu	k	C	quɨtɨ, quachi	tepo01, chay11, colo11, atat11, chic12	28	U+005e U+0071
c	k	C	yucu, oco	colo11, chay11, tepo01, papa11, atat11	100	U+0063
k	k	C	oko, kaka	yolo11, abas11, ayut11, ocot11, prog12, coat11, jami11	100	U+006b
k$	k	C	yek	tepo11	1	U+006b U+0024
qu	k	C	yɨquɨ, ndɨquɨ	chic12, tepo01, chay11, colo11, atat11, papa11	24	U+0071
cc	kː	C	tia²c-cua̠³'a̠³	papa11	1	U+0063 U+0063
^kʸ	kʲ	C	kʸàʔƀà, kʸutu-čaʔa	prog12, tutu11	2	U+005e U+006b U+02b8
kⁿ$	kⁿ	C	žikⁿ	yucu11	1	U+006b U+207f U+0024
kᵑ	kᵑ	C	đukᵑu̧	tida11	1	U+006b U+1d51
kᵑ$	kᵑ	C	đúkᵑ, ikᵑ	chig11	2	U+006b U+1d51 U+0024
^kw	kʷ	C	kwehe, kwáhá	diux11, mixt11, yolo11, alac11, yoso11, ayut11, tlah11, prog12, ocot11, jami11, coat11, copa11, conc11	100	U+005e U+006b U+0077
^kʷ	kʷ	C	kʷeʔe, kʷá̧á̧	zaca11, gran11, chal11, alco11, coat11, ayut11, cahu11, mixt11, prog12, atat11, peno11, jica11, caca11, yucu16, alac11, xaya11, metl11, moli11, ocot11, adeq11, atoy11, apoa11, aten11, chic11, apas11, acat11, chay11, achi11, prom01, ahue11, amat11, brav11, diux11, nund11	100	U+005e U+006b U+02b7
kw	kʷ	C	xākwāā, lakwá	mixt11, yolo11, copa11, tlah11, prog12, ocot11, coat11, alac11, conc11, yoso11, ayut11	22	U+006b U+0077
kʷ	kʷ	C	ⁿdakʷa, lakʷa	prom01, esta11, peno11, soya11, ixpa11, cahu11, ixta12, alco11, chic11, ayut11, tepe12, tejo11, tata11, caca11, chig11, atat11, nund12, aten11, mont12, nund13, ixta11, tama12, este11, coso11, chay11, mont13, achi11, tepo11, brav11, mica11, atoy11, nund11, huit11, juxt11, mont14, jate11, jami11, pied11, yucu16, apas11, acat11, coxc11, ocot11, coat11, sayu11, coic11, jica12, cuat11, chaz11, teit11, nuti11, cuau11, pino11, apoa11, tama11, gran11, tepe11, colo11, chal11, dura11, nuyo11, ndua11, reye11, teco11, ahue11, joco11, cuil11, cris11, more11, jica11, pino12, nuxi11, itun11, nuxa11, cuya11, lore11, mixt11, pena12, adeq11, moli11, amat11, mech11, ixta13, diux11	100	U+006b U+02b7
^kʷʸ	kʷʲ	C	kʷʸàà	guad11	1	U+005e U+006b U+02b7 U+02b8
^l	l	C	lo'o, láxa	pena11, tlah11, flor12, prog12, mont12, alac11, jica13, coat11, pied12, atat11, xoch11, colo11, ocot11, mixt11, diux11, jami11, ayut11, yoso11, peno11, chay11, jica11, tepe03, caca11, zaca11, gran11, chic12, cahu11, yolo11, papa11, abas11, moli11	100	U+005e U+006c
l	l	C	válí, chéle	tlah11, mont12, peno11, alac11, atat11, yolo11, chic02, chay11, caca11, ayut11, jica13, ocot11, papa11, xoch11, diux11, pena11, juxt11, flor11, zaca11, flor12, nuyo11, prom01, pied12, prog12, tila11, more11, tlaz11, apoa11, tama11, gran11, jami11, chic12, tlal11, esta11, pied11, nund13, tama12, colo11, apas11, yoso11, este11, zapo11, mixt11, xaya11, abas11, moli11, copa11, mica11, yuta11	100	U+006c
^lʸ	lʲ	C	lʸoo	nuch11	1	U+005e U+006c U+02b8
lʸ	lʲ	C	silʸa, ƀilʸu	ixta11, chay12	2	U+006c U+02b8
^m	m	C	mu̧tu, mi̧stu	colo11, copa11, chic12, alac11, papa11, abas11, chay11, tepe03, zaca11, ayut11, mont12, yolo11, chic02, mixt11, xoch11, tepo01, atoy11, flor12, jica13, coat11, pied12, pena11, cris11, jica11, chig11, flor11, atat11, cahu11, nuch11, este11, ocot11, lore11, peno11, achi11, conc11, coic11, cuat11, jica12, cuil11, ahue11, nuti11, amat11, brav11, guad11, pino11, diux11, alco11	100	U+005e U+006d
m	m	C	nama, ñuma	jami11, yolo11, coat11, ayut11, chic02, tepo01, prog12, ocot11, yoso11, alac11, abas11, copa11, conc11, caca11, atat11, gran11, mixt11, xaya11, moli11, diux11	100	U+006d
^mː	mː	C	mːĩ³ˀ, mːĩ³²	chic12	2	U+005e U+006d U+02d0
^mm	mː	C	mme, mmistila	chic12, chic02	4	U+005e U+006d U+006d
^ᵐb	ᵐb	C	ᵐbaʔa, ᵐbiči	cris11, more11, ixta13	5	U+005e U+1d50 U+0062
^n	n	C	nuu, nuni	yolo11, abas11, ocot11, jami11, prog12	100	U+005e U+006e
n	n	C	nuni, una	yolo11, prog12, ocot11, abas11, jami11, ayut11	100	U+006e
n$	n	C	īīn, uhun	ocot11, coat11, abas11, jami11, ayut11, prog12	100	U+006e U+0024
N	n̥	C	đi̧Nni̧, žatNi̧	yoso11, tlac11, atat11, yolo11, achi11, teit11, moli11, tama11, huit11, adeq11, tata11, nuxi11, yuta12, cuil11, coxc11, yucu11, mont14, jate11, tida11, peno11, cuau11	100	U+004e
̀n	̀n	C	ñū̧-̀nú̧	coic11	1	U+0300 U+006e
^ⁿy	ⁿ?	C	ⁿyiƀi, ⁿyaʔi	toto12, adeq11, amat11	3	U+005e U+207f U+0079
^nː	nː	C	nːĩ³¹, nːu³ʰ	chic12	3	U+005e U+006e U+02d0
^nn	nː	C	nnu̧ʔu̧, nnu̧u̧	chic12, yoso11, chic02, tama11, yuta12, atat11, teit11, tata11, adeq11, mont14, flor11, huit11, cuil11	57	U+005e U+006e U+006e
nn	nː	C	trunnatoo	chic02	1	U+006e U+006e
^ⁿǰ	ⁿdʒ	C	ⁿǰika, ⁿǰiči	cris11, nuxi11, tlal11, nuxa11, chig11, ixta12, pied11, apas11, joco11, tida11, amat11, sind11, tlaz11, tona11, chic11, acat11, peno11, chaz11, soya11, tlac11, tepe11, coso11, ndua11, teco11, ixta13, jate11, toto12, flor11, nund13, este11, zapo11, chay12, xaya12, yuta11, huit11, cuil11	96	U+005e U+207f U+01f0
ⁿǰ	ⁿdʒ	C	na̧-ⁿǰii-đi, ⁿǰu-ⁿǰuča	tlal11, cris11, flor11	3	U+207f U+01f0
ⁿg	ⁿg	C	đu̧ⁿɡu, ku̧ⁿdu	dura11, yucu14	2	U+0075 U+0327 U+207f
nh	nh	C	tônha, shánhûn	chic02, copa11, diux11	36	U+006e U+0068
nʸ	nʲ	C	u̧nʸa̧	ayut11	1	U+006e U+02b8
^ⁿr	ⁿr	C	ⁿraka, ⁿreke	diux11, chic11	2	U+005e U+207f U+0072
^ⁿř	ⁿř	C	ⁿřuȼa, ⁿřakʷa	chic11	3	U+005e U+207f U+0159
^ⁿr̃	ⁿr̃	C	ⁿr̃iʔi, ⁿr̃uđi	chic11	4	U+005e U+207f U+0072 U+0303
^ⁿs	ⁿs	C	ⁿsiki, ⁿsiʔwi	zapo11, tepe11, coso11, tona11, xaya12, chig11, xaya11, chaz11, mica11, mont14, toto12, ixta13	34	U+005e U+207f U+0073
^ⁿsʸ	ⁿsʲ	C	ⁿsʸiši, ⁿsʸisa̧	zapo11	3	U+005e U+207f U+0073 U+02b8
^ⁿd	ⁿt	C	ⁿdiʔi, ⁿdaa	atat11, gran11, cahu11, coat11, alco11, ayut11, chal11, prog12, caca11, zaca11, yucu16, peno11, prom01, moli11, jica11, ocot11, chay11, alac11, xaya11, atoy11, apoa11, mixt11, aten11, apas11, acat11, chay12, metl11, ahue11, mech11, brav11, pino11, diux11	100	U+005e U+207f U+0064
^ⁿd̩	ⁿt	C	ⁿd̩iƀi, ⁿd̩iša	nuxi11	2	U+005e U+207f U+0064 U+0329
^nᵗ	ⁿt	C	nᵗòò	ocot11	1	U+005e U+006e U+1d57
^ⁿt	ⁿt	C	ⁿtìčī, ⁿtīʔvi	ocot11, mica11	8	U+005e U+207f U+0074
ⁿd	ⁿt	C	ndivi, ndāha	yolo11, coat11, prog12, ayut11, ocot11, jami11, alac11	100	U+0064
ⁿd	ⁿt	C	ko̧ⁿdo, la-ko̧ⁿdo	ahue11, teco11, coic11	3	U+006f U+0327 U+207f
ⁿd	ⁿt	C	nu̧-ⁿdaa, ku-ⁿdaʔvi	yucu15, sind11, yuta12, more11, ayut11, pied11, mont13, reye11, tepo11, yuta11, juxt11, yucu14, tejo11, tlac12, zaca11, tama11, itun11, ixta12, nund13, tama12, yoso11, nuyo11, yolo11, mixt11, peno11, achi11, prom01, xaya11, yucu13, yucu11, ahue11, soya11, nuti11, ixpa11, sini11, huit11, alco11	50	U+207f U+0064
ⁿt	ⁿt	C	ši̧ⁿti	yucu16	1	U+0069 U+0327 U+207f
nt	ⁿt	C	nthāī, ntīthíyūn	conc11	4	U+0074 U+0068
^ⁿdʸ	ⁿtʲ	C	ⁿdʸaʔyu, ⁿdʸitʸi	juxt11, mixt11, colo11, zapo11, lore11, nuxa11, jami11, ixta11, chay11, mech11, huaz11, nuxi11, coat11, nuti11, tutu11, caca11, tlac12, tama11, aten11, mont12, sayu11, alac11, coic11, metl11, soya11, ixpa11	67	U+005e U+207f U+0064 U+02b8
ⁿdʸ	ⁿtʲ	C	wi̧ʔⁿdʸa, ƀi̧ʔⁿdʸa	juxt11, tepe11, coso11, tutu11, yolo11, lore11, mixt11, mech11, ixta11, chay11, ixpa11, xaya12, huaz11, tona11, chaz11, jami11, nuch11, ayut11	18	U+0064 U+02b8
^ⁿȼ	ⁿts	C	ⁿȼuʔƀa, ⁿȼeʔye	moli11, guad11	2	U+005e U+207f U+023c
^ⁿč	ⁿtʃ	C	ⁿčiʔi, ⁿčaʔi	dura11, reye11, teco11, tejo11, xaya12, ixpa11, adeq11, tlal11, tepe11, coxc11, aten11, ndua11, tlac12	39	U+005e U+207f U+010d
ⁿč	ⁿtʃ	C	maⁿča	ixta12	1	U+0061 U+207f
ⁿč	ⁿtʃ	C	či-na̧na̧-ⁿčaʔža, či-na̧na̧-ⁿčiʔe	reye11, ixpa11	2	U+207f U+010d
^ⁿz	ⁿz	C	ⁿzaʔyu, ⁿzaʔžu	cuil11, tlal11, soya11, ixta12, mixt11, chic11, apas11, apoa11, joco11, ndua11	11	U+005e U+207f U+007a
ⁿz	ⁿz	C	mi̧ʔⁿza, dzidzi	tepo01, chay11, guad11, soya11, ixta12, chic11, tlac11, apas11, joco11, yoso11, cuil11	66	U+007a
^ⁿž	ⁿʒ	C	ⁿžiši̧, ⁿžisa	apoa11, pino11	3	U+005e U+207f U+017e
ññ	ññ	C	šuñña̧	teit11	1	U+00f1 U+00f1
ñ	ɲ	C	iñu, kùñū	tepo01, yolo11, jami11, coat11, alac11, abas11, diux11, yoso11, chic02, ocot11, prog12, jica11, caca11, atat11, gran11, ayut11, peno11, cahu11, chay11, metl11	100	U+00f1
^ñ	ɲ	C	ñānī, ñuu	tepo01, diux11, ocot11, alac11, prog12, jami11, yolo11, abas11, yoso11, ayut11, coat11, caca11, atat11, gran11, cahu11, chic02, peno11, xaya11, moli11	100	U+005e U+00f1
^ɲ	ɲ	C	ɲa²ʔmi², ɲa³ni²	yucu16, chal11, zaca11, alco11, chic12	16	U+005e U+0272
ɲ	ɲ	C	ku²ɲu², i¹ɲo¹	zaca11, chal11, alco11, yucu16	19	U+0272
Ñ	ɲ̥	C	ñu̧Ñnȩ, ⁿdakʷa-ta-Ña̧ʔa̧	cuau11, cuya11, yoso11, esta11	6	U+00d1
^ŋ	ŋ	C	ŋɡa³	chic12	1	U+005e U+014b
ᵑ$	ᵑ	C	ⁿǰi̧i̧ᵑ	sind11, yuta11	3	U+0069 U+0327 U+1d51 U+0024
ŋ$	ŋ	C	žɨɨŋ	sind11	1	U+014b U+0024
ᵑg	ᵑg	C	ba̧ᵑgu, ti-na̧na̧-ča̧ᵑgi	pena12, cuat11, sini11	3	U+0061 U+0327 U+1d51
^p	p	C	palabra, pele	yolo11, papa11, abas11, nund12, yolo12, tlah11, chay11, toto12, yucu17, chig11, yoso11, ayut11	14	U+005e U+0070
p	p	C	sapu, sapo	flor11, tlal11, ocot11, pena12, nund11, adeq11, yucu13, yoso11	9	U+0070
^r̃	r	C	r̃aki, r̃a̧na̧	tlac11, yuta11	2	U+005e U+0072 U+0303
r̃	r	C	žer̃u, fier̃u	chic11, tlaz11, este11, teit11, nuti11, nuxa11, sind11, ixta12, pied11, prog11, cuau11, apoa11, joco11, chal11, cuya11, yucu11, huit11	19	U+0072 U+0303
ř	r	C	žeřu, uřnu	tlal11, tila11	2	U+0159
ʳk	r k	C	aʳku	tlal11	1	U+005e U+0061 U+02b3
^r	ɾ	C	ra-yɨɨ, rai	chic12, copa11, zaca11, jami11, colo11, chay11, papa11, cris11, tepe12, jica11, pino12, toto12, mont12, ixta11, yoso11, acat11, lore11, coat11, sayu11, jica12, nuti11, moli11, tutu11, amat11, mech11, huaz11, pino11, ixta13, atoy11	78	U+005e U+0072
r	ɾ	C	ardiya, tra̧na̧	chic02, chic12, copa11, caca11, zaca11, colo11, papa11, cris11, mont14, tejo11, toto12, chig11, tlal11, tepe11, aten11, jica13, cuya11, zapo11, coat11, chay11, chay12, amat11, mica11, cuau11, yuta11, ixta13, nund11, cuil11	100	U+0072
^s	s	C	sutu, saa	abas11, yolo11, alac11, ayut11, ocot11, tepo01, jami11, yoso11, prog12, copa11, chic02, coat11, conc11, diux11	100	U+005e U+0073
s	s	C	isu, yosǒ	tepo01, yolo11, chay11, mont12, tlah11, prog12, jami11, ayut11, yoso11, chic02, alac11, pied12, flor12, ocot11, mixt11, abas11, jica11, atat11, gran11	100	U+0073
^sʸ	sʲ	C	sʸoo, sʸà̧ʔù̧	tlac12, yucu15, juxt11, aten11, chay12, teco11	9	U+005e U+0073 U+02b8
sʸ	sʲ	C	ⁿdika-sʸaʔa, žúsʸà	juxt11, sind11, yucu15, tlac12, teco11	6	U+0073 U+02b8
šʸ	šʸ	C	ƀišʸi, žušʸà	teco11, chay12	2	U+0161 U+02b8
š̩	ʂ	C	ñu̧š̩a̧	chig11	1	U+0161 U+0329
^š̩	ʂ	C	š̩itnu̧	chig11	1	U+005e U+0161 U+0329
^ṣ	ʂ	C	ṣaʔa, ṣa̧ʔu̧	juxt11, yolo12, tlac12	7	U+005e U+1e63
^ṣ̌	ʂ	C	ṣ̌a̧ʔu̧, ṣ̌uu	teit11, tila11, chig11, joco11, chal11, yucu11, nuti11, tama11, cuau11, itun11, cuya11	43	U+005e U+1e63 U+030c
ṣ	ʂ	C	ⁿdiṣa, uṣi	juxt11, yolo12, teit11, tila11	7	U+1e63
ṣ̌	ʂ	C	uṣ̌i, ti-ṣ̌eṣ̌e	tila11, chal11, tama11, chig11, yoso11, yucu11, itun11, cuya11, cuau11, tlac11, nund12, tlal11, prog11, teco11, teit11, moli11, sind11, joco11, sini11, nund11	41	U+1e63 U+030c
^ṣ̌ʳ	ʂ?	C	ṣ̌ʳoo	tlal11	1	U+005e U+1e63 U+030c U+02b3
^ṣʸ	ʂʲ	C	ṣʸoo	tlac12	1	U+005e U+1e63 U+02b8
š	ʃ	C	čaša, tiši	ayut11, coat11, metl11, yucu15, cahu11, caca11, gran11, alco11, prog12, jica11, nuxi11, chig11, itun11, colo11, acat11, ocot11, peno11, mixt11, chay12, alac11, xaya11, huaz11, cris11, more11, tepe12, tlac11, pino12, apoa11, atat11, tama11, jami11, tlal11, nuxa11, chic11, ixta11, tama12, yoso11, nuch11, dura11, yolo11, chay11, coic11, jica12, cuat11, reye11, teco11, teit11, ahue11, moli11, amat11, tutu11, mech11, brav11, diux11, mica11, yuta12, pino11, ixta13, atoy11	100	U+0161
šʰ	ʃ	C	išʰto	alco11	1	U+0161 U+02b0
^š	ʃ	C	šiči, šiti	coat11, ayut11, ocot11, alac11, jica11, cahu11, peno11, chay11, metl11, prog12, apoa11, chic11, nuch11, yolo11, mixt11, cuat11, ndua11, reye11, brav11, juxt11, atoy11, cris11, tepe12, tejo11, tlaz11, pino12, caca11, chig11, atat11, flor11, tlac12, gran11, jami11, esta11, aten11, mont12, nund13, ixta11, colo11, apas11, este11, dura11, nuyo11, lore11, pena12, prog11, achi11, coic11, jica12, sayu11, teco11, nuti11, tutu11, mech11, guad11, ixpa11, huaz11, pino11, joco11, diux11, sini11, nund11	100	U+005e U+0161
^sh	ʃ	C	shíká, shīto	copa11, ayut11, coat11, dura11, diux11, yoso11, ocot11, alac11, jami11, prog12, tepe03	85	U+005e U+0073 U+0068
^ʃ	ʃ	C	ʃa²ʔã², ʃu³tʃe³²	chic12, alco11, yucu16, zaca11, chal11	46	U+005e U+0283
sh	ʃ	C	vishi, ūshi	ayut11, alac11, dura11, diux11, ocot11, yoso11, prog12, coat11, jami11, copa11, flor11	43	U+0073 U+0068
ʃ	ʃ	C	ja³ʃi¹, i²ʃi²	alco11, yucu16, chal11, zaca11, chic12	12	U+0283
^šʸ	ʃʲ	C	šʸoo	tepe11, dura11, nuxi11	3	U+005e U+0161 U+02b8
^t	t	C	tutu, tichí	yolo11, jami11, prog12, ocot11, ayut11, coat11, abas11	100	U+005e U+0074
t	t	C	sutu, kwātyi	abas11, yolo11, jami11, ocot11, prog12	100	U+0074
^č̯	tɕ	C	č̯iyo	nuti11	1	U+005e U+010d U+032f
^tʸ	tʲ	C	tʸaa, tʸi̧i̧	mixt11, metl11, huaz11, juxt11, jami11, ayut11, colo11, lore11, tutu11, mech11, ixta11, chay11, coic11, nuxa11, ixta12, acat11, sayu11, xaya11, nuti11, yucu15, nuxi11, toto12, tona11, tama11, tepe11, cahu11, aten11, chic11, tama12, apas11, nuch11, joco11, nuyo11, coso11, chay12, cuat11, chaz11, ndua11, teco11, soya11, xaya12, brav11, mica11, ixta13, cuil11	92	U+005e U+0074 U+02b8
tʸ	tʲ	C	ⁿdutʸi, ⁿdutʸa	chay11, ixta11, huaz11, jami11, nuxa11, colo11, lore11, mixt11, tutu11, mech11, juxt11, zapo11, sayu11, nuti11, nuxi11, metl11, cris11, ayut11, aten11, mont12, nuch11, yolo11, acat11, chay12, coic11, teco11, ixpa11	100	U+0074 U+02b8
ty	tʲ	C	kwātyi, tyayu	jami11, tepo01, ayut11, prog12, conc11, yolo11, alac11, ocot11, yoso11, diux11, copa11, coat11, chic02	100	U+0079
^tʸʰ	tʲʰ	C	tʸʰai	juxt11	1	U+005e U+0074 U+02b8 U+02b0
^ȼ	ts	C	ȼi-na̧na̧, ȼee	zapo11, coat11, chaz11, chig11, tlac11, cuau11, guad11, tejo11, tlac12, apoa11, tlal11, chic11, apas11, dura11, soso11, coxc11, mixt11, adeq11, joco11, cuil11	45	U+005e U+023c
^ts	ts	C	tsìtù, tsóko	pied12, colo11, yucu17, flor12, mixt11, abas11, chic02, coat11, copa11, tepe03, chic12	100	U+005e U+0074 U+0073
ȼ	ts	C	žuȼa, ⁿduȼa	cuau11, coat11, guad11, tejo11, apoa11, ixta12, mixt11, cuil11, mont14, apas11, joco11, chig11, chic11, dura11, zapo11, chaz11, ndua11, tlac11, tlac12, tlal11, adeq11, soya11, ixpa11	71	U+023c
ts	ts	C	vitsin, ntsiká-kuá'a	flor12, pied12, colo11, mixt11, chic02, coat11, abas11, copa11, chic12, tepe03	100	U+0074 U+0073
^ȼʸ	tsʲ	C	ȼʸee, ȼʸeʔe	dura11, tlac12, joco11	3	U+005e U+023c U+02b8
ȼʸ	tsʲ	C	ⁿdi-ȼʸeʔe	teco11	1	U+023c U+02b8
č	tʃ	C	šiči, ⁿdiča̧ʔ	gran11, tejo11, caca11, cahu11, chic11, moli11, prog12, ayut11, colo11, mixt11, atoy11, cris11, jica11, pino12, chig11, atat11, cuya11, peno11, chay11, reye11, metl11, soya11, amat11, tutu11, huaz11, mont14, tepe12, apoa11, zaca11, jami11, tepe11, nuxa11, ixta12, ixta11, apas11, joco11, dura11, zapo11, coso11, acat11, ocot11, coat11, lore11, sayu11, alac11, jica12, xaya11, chaz11, ndua11, teco11, nuti11, mech11, mica11, pino11, ixta13, diux11, huit11	100	U+010d
^č	tʃ	C	či̧i̧, či-toʔo	gran11, mont14, jica11, caca11, cahu11, mixt11, alac11, prog12, cris11, more11, apoa11, atat11, flor11, ayut11, apas11, dura11, acat11, peno11, xaya11, ndua11, metl11, moli11, tutu11, ixpa11, juxt11, atoy11, tepe12, pino12, chig11, zaca11, jami11, esta11, ixta12, aten11, mont12, ixta11, colo11, chal11, yoso11, joco11, tida11, coso11, coxc11, ocot11, lore11, sayu11, coat11, chay11, chay12, coic11, jica12, adeq11, cuat11, chaz11, reye11, teco11, ahue11, soya11, amat11, mech11, brav11, guad11, mica11, huaz11, pino11, ixta13, diux11, alco11	100	U+005e U+010d
^ch	tʃ	C	chuun, chíjǐn	chic02, copa11, jami11, abas11, yoso11, mixt11, conc11, diux11, prog12, ayut11, yolo11, ocot11, coat11, tepo01, flor12, tlah11, mont12, alac11, pied12	100	U+005e U+0063 U+0068
