Grapheme	IPA	CLASS	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
û	û	V	shánhûn, trûn	chic02, diux11, tlah11	5	U+00fb
û$	û	V	xajtû, usû	diux11, pied12, flor12, chic02, yucu17	18	U+00fb U+0024
ǔ	ǔ	V	ñǔu, xǔ'un	flor12, mixt11, pied12, yucu17, jica13, xoch11	23	U+01d4
ǔ$	ǔ	V	ñùñǔ, yùjǔ	yucu17, pied12, mixt11, flor12, ahue11, more11, coat11	25	U+01d4 U+0024
ǔ̧$	ǔ̧	V	ú̧ʔǔ̧, nú̧ǔ̧	coat11	2	U+01d4 U+0327 U+0024
ü	ü	V	žüžü, žükü	caca11, tlac12, ahue11, tama12, chic12, more11, prog12, papa11, nuch11, esta11, mont12, yucu16, guad11, ixpa11, flor11, teco11	45	U+00fc
ü$	ü	V	žüžü, žükü	esta11, caca11, tlac12, ahue11, more11, tama12, prog12, nuch11, yucu16, guad11, teco11	36	U+00fc U+0024
^ũ	ũ	V	ũ²ʔũ³ʰ	chic12	1	U+005e U+0169
ũ	ũ	V	tu¹ʔũ², ʃi¹tũ¹	chic12, zaca11, alco11, chal11, yucu16	25	U+0169
ṹ	ṹ	V	jútṹʔ	prom01	1	U+1e79
ũ̀̀$	ũ̀̀	V	júũ̀̀, xìtũ̀̀	prom01	2	U+0169 U+0300 U+0300 U+0024
