ID	DOCULECT	CONCEPT	SPANISH_GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE	VARIETY_CODE
19880	SantiagoYosonduaMixtec	WORD	palabra	Nnu̧ʔu̧	Nnu̧ʔu̧	205	1599			josserand1983mixtec		yoso11
19887	SanJuanYutaMixtec	WORD	palabra	Nnu̧ʔu̧	Nnu̧ʔu̧	205	1599			josserand1983mixtec		yuta12
19784	SanEstebanAtatlahucaMixtec	WORD	palabra	Nnū̧ʔú̧	Nnū̧ʔú̧	205	1599			josserand1983mixtec		atat11
15601	SanFranciscolasFloresMixtec	BEESWAX	cera	Ññi̧ma̧	Ññi̧ma̧	148	1931			josserand1983mixtec		flor11
20051	SanAndresNuxinoMixtec	WHEN	cuándo	no̧-ore	no̧-ore	208	1238			josserand1983mixtec		nuxi11
20802	SanAndresYutatioMixtec	TOOTH	diente	no̠'o	no̠'o	22	1380			williams2017diccionario		yuta13
4511	AlacatlatzalaMixtec	TOOTH	diente	no'o̠n	no'o̠n	22	1380			zylstra2012gramatica		alac11
3038	SanSebastianMonteMixtec	TOOTH	diente	nò'on	nò'on	22	1380			oxnard2020		mont12
5693	YucuquimiOcampoMixtec	CORN	maíz	no¹ni¹	no¹ni¹	87	506			swanton2020observaciones		yucu16
1848	SanPedroySanPabloTeposcolula1600Mixtec	TOOTH	diente	noho	noho	22	1380			alvarado1593vocabulario		tepo01
3965	SanAgustinChayucoMixtec	TOOTH	diente	noho yo	noho	22	1380			pensinger1974diccionario		chay11
1052	AlacatlatzalaMixtec	CORN	corn	noni	noni	87	506			zylstra1991syntactic		alac11
20873	SanAndresYutatioMixtec	CORN	maíz en grano	noni̠	noni̠	87	506			williams2017diccionario		yuta13
2468	CahuatacheMixtec	CORN	corn	nònì	nònì	87	506			durr1987preliminary		cahu11
3358	SanSebastianMonteMixtec	CORN	maíz	nònì	nònì	87	506			oxnard2020		mont12
11361	AlacatlatzalaMixtec	CORN	maíz	no̧ni̧	no̧ni̧	87	506			josserand1983mixtec		alac11
11367	SanAgustinAtenangoMixtec	CORN	maíz	no̧ni̧	no̧ni̧	87	506			josserand1983mixtec		aten11
11371	SantiagoCacaloxtepecMixtec	CORN	maíz	no̧ni̧	no̧ni̧	87	506			josserand1983mixtec		caca11
11372	CahuatacheMixtec	CORN	maíz	no̧ni̧	no̧ni̧	87	506			josserand1983mixtec		cahu11
