Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^k	k	kiti, kɨtɨ	ocot11, diux11, alac11, cahu11, coat11, peno11, atat11, dura11, jami11, caca11, gran11, jica11, chay11, alco11, mixt11, ayut11, chal11, metl11, moli11, mont12, ixta12, cuya11, ixta11, ndua11, amat11, cuau11, nuxa11, jica12, huaz11, nund12, huit11, aten11, nuch11, adeq11, itun11, chaz11, esta11, flor11, mech11, cris11, flor12, brav11, coxc11, nuti11, pied11, joco11, cuat11, ixta13, abas11, guad11, mica11, coso11, colo11, lore11, cuil11, nuyo11, pena11, huen11, mont13, chay12, nund11, pena12, nund13, jica13, jate11, este11, achi11, ixpa11, chig11, more11, apas11, apoa11, atoy11, acat11, ahue11, juxt11, coic11	100	U+005e U+006b
^t	t	tɨ-đaa, tichi	alac11, chay11, jica13, yuta13, tlah11, xoch11, colo11, tepo01, mont12, prog12, jami11, caca11, yolo11, dura11, yucu17, chic02, pena11, huen11, diux11, mixt11, ayut11, jate11, ixta12, cahu11, peno11, coat11, atat11, tepe03, adeq11, flor11, flor12, papa11, jica11, coxc11, gran11, zaca11, ocot11, nuxi11, abas11, cuil11, copa11, metl11, soya11, este11, achi11, yucu12, apas11, chic11, apoa11	100	U+005e U+0074
k	k	šiku̧, šiku	pena11, prom01, chic02, jica13, dura11, tlah11, yucu17, jami11, chic12, flor12, coat11, tepe03, ocot11, yolo11, alco11, cuat11, abas11, diux11, copa11, mixt11, ayut11, yuta13, pied12, mont12, alac11, cahu11, cuya11, ixta11, peno11, sayu11, cuau11, tama12, prog12, jica12, pino12, yoso14, huaz11, yolo12, teco11, mech11, xoch11, jica11, brav11, zaca11, yoso11, coso11, colo11, lore11, nuyo11, tutu11, chal11, este11, tepo11, acat11, pino11, atoy11, tepe12, juxt11, coic11	100	U+006b
^y	y	yu̧ma̧, ya̧ñi̧	papa11, alac11, tepe03, colo11, atat11, chic12, chay11, pena11, copa11, tlah11, cahu11, jica12, pino12, yoso14, huaz11, itun11, jami11, jica11, prom01, yolo11, chic02, tepo01, lore11, huen11, diux11, yuta13, pino11, atoy11, cuya11, sayu11, prog12, yolo12, nuch11, yucu17, mech11, xoch11, flor12, nuti11, cris11, ocot11, yoso11, cuat11, abas11, guad11, mixt11, metl11, jica13, pied12, yucu12, mont12, dura11	100	U+005e U+0079
-	+	či-đaa, ti-đaa	yuta13, mont12, xaya11, yucu17, flor11, caca11, chay11, apoa11, peno11, gran11, teit11, pied11, prom01, yolo11, alco11, nuxi11, pena11, diux11, mixt11, sind11, apas11, alac11, jate11, ixta12, tlah11, ndua11, coat11, tama12, nuxa11, yuta11, atat11, nund12, tepe03, tlac11, yucu13, aten11, adeq11, jami11, xoch11, chic12, coxc11, ocot11, yucu11, joco11, tama11, cuil11, tlal11, nund13, copa11, ayut11, tlaz11, zapo11, jica13, este11, tepo11, yucu15, achi11, chig11, more11, pino11, chic11, tida11, acat11, yuta12, dura11, tepe12, ahue11	100	U+002d
^ⁿd	ⁿd	ⁿduči, ⁿdutʸi	ayut11, moli11, atat11, prog12, peno11, gran11, chay11, cahu11, cuya11, coat11, cuau11, tlac11, aten11, reye11, itun11, esta11, jami11, caca11, teit11, ixta13, guad11, nuxi11, mica11, lore11, sind11, acat11, juxt11, coic11, tepo11, ixta11, huaz11, nuch11, brav11, pied11, prog11, coso11, diux11, tejo11, chal11, achi11, more11, apas11, tata11, pino11, tida11, ahue11, sayu11, jica12, nund12, cris11, coxc11, ocot11, alco11, cuat11, mont13, pena12, chay12, tlal11, soya11, este11, apoa11, mont12, atoy11, dura11, colo11, tepe12, ixta12, ndua11, tama12, tepe11, tila11, pino12, huit11, teco11, adeq11, chaz11, mech11, tlac12, jica11, nuti11, sini11, prom01, joco11, tama11, cuil11, nund11, nund13, mixt11, ixpa11, chig11, alac11, jate11	100	U+005e U+207f U+0064
^n	n	nahnu, ndo’o	colo11, prog12, ocot11, yoso11, pena11, jica13, pied12, mont12, alac11, dura11, tlah11, coat11, atat11, yoso14, yucu17, jami11, chic12, xoch11, flor12, zaca11, chay11, yolo11, abas11, mixt11, yuta13, papa11, huen11, diux11, ayut11, yolo12, flor11, nuyo11, chic02, copa11, yucu12	100	U+005e U+006e
u$	u	satu, ƀilu	chay11, tepo01, colo11, diux11, coat11, atat11, yoso14, tepe03, abas11, atoy11, amat11, flor12, cris11, zaca11, chic02, mixt11, jica13, pied12, apas11, apoa11, pino11, chic11, dura11, juxt11, ixta12, cahu11, tlah11, tepe11, prog12, jica12, yucu13, yolo12, nuch11, yucu16, huit11, adeq11, coic11, flor11, chaz11, esta11, jica11, brav11, coxc11, gran11, prom01, alco11, yucu11, guad11, coso11, huen11, chay12, sind11, chal11, achi11, ixpa11, chig11, alac11, tepo11	100	U+0075 U+0024
u̧$	u̧	kaʔnu̧, xa̧ʔnu̧	achi11, gran11, soya11, xaya11, cuya11, coat11, cuau11, yuta11, tlac11, aten11, reye11, itun11, esta11, jami11, caca11, teit11, yoso11, ixta13, guad11, nuxi11, mica11, lore11, sind11, moli11, acat11, juxt11, ixta11, atat11, prog12, huaz11, yucu13, nuch11, pied11, tona11, prog11, yolo11, yucu11, coso11, diux11, tejo11, chal11, more11, apas11, tata11, pino11, tida11, ahue11, sayu11, peno11, jica12, nund12, flor11, cris11, coxc11, chay11, alco11, tutu11, mont13, pena12, chay12, tlal11, tlaz11, este11, apoa11, mont12, atoy11, dura11, colo11, tepe12, ixta12, ndua11, amat11, tama12, nuxa11, tepe11, tila11, pino12, yolo12, huit11, yucu16, adeq11, chaz11, mech11, jica11, nuti11, sini11, joco11, tama11, nund11, nund13, mixt11, toto12, ixpa11, chig11, chic11, yuta12, jate11	100	U+0075 U+0327 U+0024
i̧$	i̧	ña̧ni̧, ni̧ñi̧	apoa11, nuxa11, jica12, nund12, huit11, jica11, coxc11, sini11, prog11, nuxi11, pena12, nund13, chal11, moli11, achi11, apas11, pino11, atoy11, alac11, ixta12, cahu11, cuya11, ixta11, ndua11, coat11, sayu11, amat11, cuau11, tama12, mont14, atat11, dura11, prog12, pino12, huaz11, tlac11, aten11, nuch11, reye11, adeq11, coic11, itun11, chaz11, esta11, flor11, jami11, mech11, caca11, teit11, brav11, pied11, chay11, alco11, joco11, yucu11, cuat11, ixta13, guad11, tama11, mica11, coso11, colo11, lore11, cuil11, mont13, nund11, chay12, mixt11, ayut11, sind11, soya11, este11, chig11, more11, chic11, acat11, ahue11, juxt11, jate11	100	U+0069 U+0327 U+0024
ñ	ɲ	ni̧ñi̧, nɨ̧ñɨ̧	chay11, alac11, xoch11, colo11, diux11, yuta13, jami11, yolo11, tepo01, pena11, huen11, jica13, acat11, mont12, ixta12, tlah11, cuya11, ixta11, peno11, coat11, cuau11, nuxa11, yuta11, atat11, jica12, pino12, huaz11, nund12, tlac11, huit11, yucu17, itun11, flor11, mech11, flor12, cris11, gran11, coxc11, jica11, nuti11, pied11, ocot11, teit11, sini11, yoso11, joco11, yucu11, caca11, tama11, abas11, nuxi11, nuyo11, lore11, tutu11, mont13, nund11, pena12, nund13, mixt11, chal11, sind11, tlaz11, soya11, yucu12, este11, tepo11, moli11, achi11, pied12, apas11, apoa11, atoy11, chic11, pino11, tata11, dura11, yuta12, jate11	100	U+00f1
^s	s	saa, sito	alac11, atat11, chay11, ayut11, cahu11, chic12, ocot11, mixt11, mont12, tlah11, yucu17, xoch11, flor12, jica11, yolo11, abas11, colo11, tepo01, metl11, jica13, moli11, pied12, acat11, xaya11, ixta11, sayu11, nuxa11, dura11, jica12, pino12, huaz11, yolo12, aten11, coic11, itun11, jami11, mech11, gran11, brav11, nuti11, yoso11, sini11, prom01, alco11, prog11, cuat11, guad11, mica11, nuyo11, lore11, tutu11, mont13, pena12, nund11, tejo11, chal11, yuta13, pino11, atoy11, tepe12, tepo11	100	U+005e U+0073
^ñ	ɲ	ñu̧ma̧, ñi̧ma̧	chay11, dura11, mixt11, mont14, yucu17, coxc11, abas11, tepo01, pena11, huen11, diux11, ayut11, alac11, ixta12, tlah11, cahu11, cuya11, ixta11, ndua11, coat11, peno11, amat11, sayu11, nuxa11, tama12, atat11, tepe11, nund12, huit11, aten11, teco11, reye11, adeq11, itun11, chaz11, esta11, xoch11, jami11, mech11, flor12, caca11, cris11, gran11, pied11, teit11, ocot11, sini11, yolo11, joco11, ixta13, tama11, nuxi11, mica11, coso11, colo11, cuil11, nuyo11, pena12, chay12, nund11, nund13, tejo11, chal11, sind11, soya11, jica13, este11, yuta13, moli11, achi11, ixpa11, chig11, more11, pied12, apas11, chic11, mont12, tata11, acat11, tepe12, ahue11, juxt11, coic11	100	U+005e U+00f1
u̧	u̧	ñu̧ma̧, yu̧ma̧	nuxi11, ixta12, coat11, nuxa11, mont14, tila11, gran11, zaca11, mont13, ayut11, moli11, achi11, apas11, tida11, juxt11, xaya11, cuya11, ixta11, ndua11, sayu11, cuau11, tepe11, atat11, dura11, jica12, pino12, huaz11, nund12, tlac11, huit11, yolo12, yucu13, adeq11, itun11, chaz11, jami11, mech11, tlac12, jica11, cris11, coxc11, nuti11, pied11, teit11, chay11, tona11, yoso11, sini11, yolo11, joco11, yucu11, ixta13, tama11, mica11, coso11, colo11, lore11, cuil11, tutu11, diux11, pena12, chay12, nund11, tlal11, nund13, tejo11, mixt11, chal11, sind11, tlaz11, soya11, toto12, este11, chig11, apoa11, chic11, pino11, tata11, atoy11, yuta11, yuta12, acat11, tepe12, tepo11	100	U+0075 U+0327
e	e	seʔe, đeʔe	tepo01, papa11, chic12, alco11, chal11, tepo11, dura11, yucu16, itun11, zaca11, chay11, sini11, prom01, colo11, mont13, copa11, yuta13, tlah11, cahu11, xaya11, ixta11, sayu11, amat11, tama12, nuxa11, atat11, jica12, pino12, yoso14, huaz11, nund12, huit11, nuch11, teco11, reye11, chaz11, flor11, xoch11, jami11, flor12, cris11, brav11, teit11, pied11, jica11, nuti11, ocot11, ixta13, nuxi11, guad11, mech11, coso11, chic02, cuil11, lore11, pena12, chay12, nund13, mixt11, sind11, tlaz11, achi11, chig11, more11, pino11, atoy11, alac11, acat11, ahue11, juxt11	100	U+0065
^ž	ž	žužu, žusa	cuau11, peno11, huit11, gran11, cuya11, nuxa11, atat11, prog12, aten11, nuch11, reye11, cris11, pied11, yucu11, nuxi11, diux11, sind11, chal11, tlaz11, soya11, este11, moli11, achi11, ixpa11, apas11, apoa11, chic11, dura11, ahue11, juxt11, ixta12, xaya11, ndua11, tama12, mont14, tila11, nund12, yucu13, tlac11, teco11, itun11, tlac12, caca11, coxc11, ocot11, yoso11, sini11, prog11, yolo11, ixta13, tama11, mica11, cuil11, chay12, nund13, yucu15, mont12, pino11, tata11, tida11, yuta12, jate11	100	U+005e U+017e
m	m	ñu̧ma̧, ñi̧ma̧	coat11, papa11, ayut11, nund12, cris11, chay11, mont12, dura11, colo11, mixt11, alac11, xaya11, cuya11, cuau11, yuta11, aten11, reye11, itun11, esta11, jami11, caca11, flor12, yoso11, ixta13, guad11, nuxi11, mica11, nuyo11, lore11, huen11, moli11, acat11, juxt11, coic11, ixta11, atat11, prog12, huaz11, nuch11, brav11, pied11, prog11, coso11, chal11, jica13, achi11, more11, apas11, pino11, ahue11, peno11, mont14, jica12, yucu17, flor11, gran11, ocot11, alco11, cuat11, mont13, pena12, chay12, este11, apoa11, atoy11, ixta12, cahu11, ndua11, amat11, nuxa11, pino12, huit11, chaz11, mech11, jica11, nuti11, sini11, joco11, abas11, cuil11, pena11, nund11, toto12, ixpa11, chig11, pied12, chic11, jate11	100	U+006d
o$	o	šito, čito	alac11, chay11, coat11, jami11, ayut11, alco11, mont12, prom01, tepo01, mixt11, cuya11, cuau11, yoso14, tlac11, aten11, itun11, esta11, caca11, flor12, teit11, yoso11, ixta13, guad11, mica11, lore11, huen11, sind11, moli11, acat11, juxt11, tepo11, tlah11, ixta11, atat11, prog12, huaz11, nuch11, brav11, pied11, prog11, coso11, diux11, tejo11, chal11, achi11, more11, apas11, tata11, pino11, tida11, sayu11, jica12, yucu17, zaca11, ocot11, cuat11, mont13, pena12, chay12, este11, apoa11, atoy11, dura11, colo11, tepe12, cahu11, ndua11, tama12, nuxa11, tepe11, tila11, pino12, huit11, teco11, mech11, jica11, nuti11, joco11, tama11, abas11, cuil11, pena11, nund11, nund13, chig11, pied12, chic11	100	U+006f U+0024
o	o	ʔoƀa, ndo’o	chic12, yolo11, copa11, yuta13, alac11, colo11, yucu16, chay11, ayut11, dura11, xaya11, atat11, itun11, abas11, pena11, mixt11, chal11, sind11, jica13, mont12, cahu11, tlah11, tama12, prog12, pino12, yoso14, teco11, reye11, yucu17, jami11, esta11, tlac12, flor12, papa11, gran11, zaca11, ocot11, yoso11, prom01, cuat11, tepo01, chic02, huen11, pied12, ahue11	100	U+006f
^kʷ	kʷ	kʷeʔe, kʷika	cahu11, atat11, aten11, nuch11, chaz11, esta11, gran11, brav11, ocot11, cuat11, guad11, coso11, cuil11, nund11, moli11, ixpa11, chig11, alac11, dura11, ahue11, juxt11, coic11, ixta12, cuya11, ixta11, ndua11, coat11, amat11, tama12, tepe11, cuau11, nuxa11, jica12, yucu13, huaz11, nund12, huit11, teco11, adeq11, itun11, tlac12, flor11, jami11, jica11, cris11, coxc11, mech11, tona11, zaca11, chay11, nuti11, alco11, joco11, ixta13, nuxi11, mica11, colo11, lore11, nuyo11, mont13, diux11, chay12, nund13, mixt11, ayut11, chal11, xaya12, zapo11, jate11, este11, achi11, more11, acat11, apas11, apoa11, chic11, mont12, atoy11	100	U+005e U+006b U+02b7
a̧$	a̧	ñu̧ma̧, ñi̧ma̧	nuxi11, tida11, mont14, nuxa11, tila11, tama11, xaya11, tlac11, aten11, reye11, esta11, jami11, caca11, teit11, yoso11, ixta13, guad11, mica11, lore11, moli11, acat11, juxt11, tepo11, ixta11, atat11, prog12, huaz11, yucu13, nuch11, brav11, tona11, yolo11, yucu11, coso11, diux11, tejo11, chal11, achi11, more11, apas11, tata11, pino11, ahue11, sayu11, jica12, nund12, flor11, cris11, gran11, coxc11, chay11, alco11, cuat11, tutu11, mont13, pena12, chay12, tlal11, tlaz11, soya11, apoa11, mont12, atoy11, dura11, colo11, tepe12, zapo11, ixta12, cahu11, ndua11, amat11, tama12, tepe11, pino12, yolo12, huit11, yucu16, adeq11, chaz11, mech11, tlac12, jica11, nuti11, sini11, joco11, cuil11, nund11, nund13, mixt11, toto12, ixpa11, chig11, chic11, alac11	100	U+0061 U+0327 U+0024
y	y	nɨyi̧ʔ, ƀiyu	chay11, colo11, jami11, prom01, tepe03, papa11, pena11, tepo01, yuta13, alac11, cuya11, itun11, teit11, nuyo11, diux11, pied12, apoa11, mont12, yucu12, tepo11, tlah11, cahu11, tila11, yuta11, prog12, atat11, jica12, aten11, yucu17, esta11, chic12, gran11, zaca11, ocot11, yucu11, conc11, mont13, ayut11, chal11, jica13, yucu15, chig11, tida11, tepe12	100	U+0079
č	č	ⁿduči, ⁿdūčī	reye11, caca11, ayut11, moli11, atat11, prog12, peno11, gran11, cahu11, amat11, alac11, xaya11, cuya11, tlac11, aten11, itun11, esta11, teit11, yoso11, ixta13, guad11, nuxi11, mica11, nuyo11, sind11, xaya12, acat11, juxt11, tepo11, coic11, nuch11, brav11, pied11, tona11, prog11, yolo11, yucu11, coso11, diux11, tejo11, chal11, achi11, more11, apas11, tata11, tida11, ahue11, mont14, nund12, flor11, cris11, coxc11, ocot11, alco11, cuat11, mont13, pena12, chay12, tlal11, tlaz11, soya11, este11, apoa11, yucu12, mont12, dura11, ixta12, ndua11, tama12, nuxa11, tepe11, tila11, yolo12, huit11, teco11, adeq11, chaz11, tlac12, sini11, joco11, tama11, cuil11, nund11, nund13, toto12, ixpa11, chig11, chic11, jate11	100	U+010d
i̧	i̧	ni̧ñi̧, ñi̧ma̧	jica12, jica11, prom01, joco11, nuxi11, moli11, apoa11, atoy11, jate11, cahu11, coat11, nuxa11, pino12, tlac11, nuch11, reye11, caca11, zaca11, prog11, guad11, nund11, apas11, pino11, chic11, colo11, ahue11, ixta12, sayu11, tama12, cuau11, yuta11, prog12, mont14, nund12, yolo12, yucu16, aten11, huit11, esta11, flor11, nuti11, coxc11, teit11, brav11, chay11, sini11, yucu11, cuat11, tama11, mica11, lore11, cuil11, pena12, tlal11, nund13, tlaz11, este11, tepo11, achi11, ixpa11, chig11, more11, mont12, alac11, tepe12	100	U+0069 U+0327
e$	e	seʔe, đeʔe	chay11, tepo01, cahu11, xaya11, cuya11, coat11, cuau11, coic11, jami11, xoch11, zaca11, sini11, alco11, colo11, ayut11, chal11, alac11, acat11, ixta11, sayu11, amat11, tepe11, atat11, dura11, jica12, pino12, huaz11, nund12, yolo12, huit11, teco11, yoso14, yucu16, reye11, tepe03, itun11, chaz11, mech11, jica11, cris11, gran11, brav11, nuti11, teit11, tona11, yoso11, prom01, yolo11, yucu11, cuat11, guad11, coso11, chic02, cuil11, lore11, tutu11, huen11, mont13, pena12, chay12, tlal11, nund13, tejo11, mixt11, zapo11, toto12, yuta13, moli11, achi11, chig11, more11, pino11, atoy11, tepe12, ahue11, juxt11, tepo11	100	U+0065 U+0024
n$	n	tùún, vìxin	alac11, coat11, dura11, tlah11, colo11, jica13, pied12, flor12, tepe03, zaca11, mont12, jami11, xoch11, chic02, pena11, huen11, ayut11, yuta13, chic12, ocot11, chay11, mixt11, yoso14, yucu17, yoso11, conc11	100	U+006e U+0024
^i	i	itu, ito	tepe03, coat11, ayut11, papa11, alco11, cuya11, amat11, cuau11, atat11, huit11, itun11, jami11, flor12, chay11, yolo11, colo11, cuil11, mont13, mixt11, chig11, mont12, ixta12, ixta11, ndua11, mont14, dura11, jica12, huaz11, yucu17, adeq11, chaz11, flor11, mech11, caca11, coxc11, teit11, pied11, zaca11, cris11, gran11, joco11, ixta13, tama11, abas11, mica11, coso11, lore11, jica11, diux11, chay12, sind11, chal11, jica13, este11, moli11, achi11, tata11, pied12, apas11, apoa11, chic11, atoy11, yuta12, acat11, juxt11, jate11	100	U+005e U+0069
s	s	kisi, kɨsɨ	colo11, yolo11, tepo01, atat11, jica11, gran11, chay11, pino12, yolo12, tlac11, alco11, prom01, cuat11, huen11, ayut11, chal11, yuta13, achi11, acat11, mont12, alac11, tepo11, cahu11, xaya11, ixta11, sayu11, coat11, tepe11, dura11, jica12, nund12, yoso14, aten11, huaz11, itun11, chaz11, jami11, mech11, xoch11, brav11, tona11, ocot11, yucu11, ixta13, guad11, mica11, coso11, lore11, pena11, tutu11, mont13, tlal11, mixt11, tlaz11, jica13, toto12, moli11, ixpa11, more11, pino11, atoy11, tepe12, juxt11	100	U+0073
a̧	a̧	ña̧ni̧, ya̧ni̧	huit11, tama11, ayut11, pied11, cris11, alco11, apoa11, tepe12, tila11, alac11, cuya11, cuau11, yuta11, tlac11, aten11, reye11, esta11, jami11, caca11, teit11, ixta13, guad11, nuxi11, mica11, lore11, sind11, moli11, acat11, juxt11, tepo11, coic11, ixta11, atat11, prog12, huaz11, nuch11, brav11, tona11, prog11, coso11, chal11, achi11, more11, apas11, tata11, pino11, tida11, ahue11, sayu11, mont14, jica12, nund12, flor11, gran11, coxc11, zaca11, chay11, cuat11, mont13, pena12, chay12, tlal11, tlaz11, soya11, este11, atoy11, dura11, colo11, ixta12, cahu11, ndua11, amat11, tama12, nuxa11, tepe11, pino12, adeq11, chaz11, mech11, tlac12, jica11, sini11, joco11, cuil11, nund13, mixt11, chig11, chic11	100	U+0061 U+0327
d	d	ndo’o, ndika	yuta13, tlah11, papa11, ocot11, tepo01, coat11, prog12, tepe03, jami11, xoch11, yoso11, chay11, yolo11, pena11, mixt11, mont12, alac11, yoso14, zaca11, diux11, ayut11, colo11, atat11, huen11, chic12, conc11	100	U+0064
ƀ	v	kiƀi, uƀa	metl11, alac11, ixta11, coat11, atat11, prog12, jica12, esta11, jami11, jica11, colo11, juxt11, amat11, teco11, flor11, gran11, coxc11, zaca11, chay11, yolo11, chay12, jate11, achi11, ixpa11, more11, apoa11, ahue11, coic11, xaya11, tama12, dura11, nund12, nuch11, aten11, reye11, adeq11, itun11, tlac12, cris11, nuti11, caca11, ocot11, prog11, yucu11, ixta13, guad11, nuyo11, cuil11, mont13, pena12, nund11, tlal11, mixt11, ayut11, moli11, yucu12, mont12, pino11	100	U+0180
’	<?>	ya’a, ka’nu	chic12, papa11, yuta13, pena11, diux11, xoch11, yoso14, abas11, zaca11, alac11, huen11	100	U+2019
^š	š	šito, šiku̧	cuat11, ayut11, teco11, brav11, alco11, coic11, cahu11, peno11, tama12, reye11, ocot11, nuxi11, este11, more11, apoa11, chic11, dura11, ahue11, juxt11, ndua11, ixta11, coat11, sayu11, amat11, tepe11, nuxa11, mont14, prog12, jica12, pino12, yucu13, huaz11, tlac11, yucu16, nuch11, adeq11, esta11, flor11, jami11, mech11, caca11, jica11, gran11, coxc11, tona11, zaca11, yolo11, yucu11, ixta13, mica11, coso11, colo11, lore11, cuil11, nuyo11, tutu11, diux11, chay12, nund11, tlal11, metl11, tlaz11, xaya12, zapo11, yucu15, ixpa11, apas11, acat11, yucu12, tida11, alac11, atoy11, tepe12	100	U+005e U+0161
š	š	ƀiši, wiši̧	ayut11, cahu11, alac11, coat11, prog12, caca11, brav11, alco11, metl11, xaya12, zapo11, xaya11, peno11, yucu16, nuxi11, coso11, tlaz11, soya11, yucu15, chig11, ahue11, ixta12, ndua11, amat11, tama12, nuxa11, tepe11, huaz11, yolo12, yucu13, nuch11, reye11, adeq11, coic11, chaz11, mech11, esta11, flor11, jica11, nuti11, coxc11, tona11, ocot11, yolo11, yucu11, cuat11, ixta13, tama11, mica11, cuil11, diux11, chay12, chal11, jate11, toto12, este11, more11, apas11, apoa11, chic11, tida11, yuta12, dura11	100	U+0161
ì	ì	vìxin, vìkǒ	pied12, flor12, pena11, dura11, tlah11, yucu17, mixt11, mont12, caca11, nuyo11, colo11, ayut11, yucu12, tama12, xoch11, gran11, ocot11, prom01, huen11, xaya12, moli11, coic11, cahu11, xaya11, peno11, prog12, atat11, nuch11, reye11, jica11, chay11, diux11, metl11, yucu15, ixpa11, alac11	100	U+00ec
