NUMBER	ENGLISH	SPANISH	ENGLISH_NEW	CONCEPTICON_ID	CONCEPTICON_GLOSS
132	EAR OF CORN (FRESH)	elote	fresh ear of corn		
133	BLAME	culpa	blame, sin, fault	381	BLAME
134	FIRE	lumbre, fuego	fire	221	FIRE
135	GOURD BOWL	jícara	gourd bowl		
136	HAIR	pelo, cabello	hair	1040	HAIR
137	HALF	medio	half	816	HALF
138	HORSE	caballo	horse	615	HORSE
139	LAZY	flojo	lazy 	1564	LAZY
140	MOON	luna	moon	1313	MOON
141	NECK	neck	neck	1333	NECK
142	NETBAG	bolsa de red	bag made of net	293	NETBAG
143	NIGHT	noche	night	1233	NIGHT
144	OWNER	dueño	owner	1036	OWNER
145	RAW	crudo	raw	1959	RAW
146	RIVER	río	river	666	RIVER
147	SANDAL	huarache	sandal		
148	SISTER (OF WOMAN)	hermana de mujer	sister of a woman		
150	TAIL	cola	tail	1220	TAIL
151	UNCLE	tío	uncle	1327	UNCLE
152	ANT	hormiga	ant (cover term)	587	ANT
153	ASH	ceniza	ash	646	ASH
154	BED	cama, lecho	bed	1663	BED
155	BEE	abeja	bee	665	BEE
156	BIG	grande cosa	big	1202	BIG
157	BITTER	amarga cosa	bitter	887	BITTER
158	BLOOD	sangre	blood	946	BLOOD
159	BLOUSE (WOVEN)	huipil	woven, traditional blouse		
160	COLD	frío	cold (sensation)	1287	COLD
161	COMB	peine	comb (instrument for combing hair)	1475	COMB
162	DREAM	sueño	dream, dreaming	2455	DREAMING OR DREAM
163	DUST	polvo	dust	2	DUST
164	FEATHER	pluma de aue pequeña	feather	1201	FEATHER
165	FOAM	espuma	foam	1768	FOAM
166	FROG	rana	frog	503	FROG
167	FURROW	surco de arado	furrow	1794	FURROW
168	GARBAGE	basura	garbage, trash	909	GARBAGE
169	GREEN	color verde	green (color)	1425	GREEN
170	GRIDDLE	comal	griddle		
171	HONEY	miel	honey	942	HONEY
172	INTESTINES	tripa, tripas	intestines, tripes	1991	INTESTINES
173	JEALOUS	celoso	jealous	2821	JEALOUS
174	LONG	largo como cordel o palo	long	1203	LONG
175	LIGHTNING	rayo del cielo	lightning	1654	LIGHTNING
176	MAMEY OR ZAPOTE	mamey, zapote	mamey or zapote		
177	MAT	petate	sleeping mat	195	MAT
178	IRON	hierro, metal	iron, metal	3324	IRON OR METAL
179	NET	red	net	2963	NET
180	NEW	nuevo	new	1231	NEW
181	OVEN	horno	oven	1143	OVEN
182	PIMPLE	grano	pimple	1809	PIMPLE
183	PLAIN	llanura de campo	plain	652	PLAIN
184	PUS	materia, podre	pus	1808	PUS
185	RING	anillo	ring	1374	RING
186	ROOT	raíz	root	670	ROOT
187	SKUNK	zorrillo	skunk		
188	SMOKE (EXHAUST)	humo	smoke (from the fire)	778	SMOKE (EXHAUST)
189	SMOOTH	lisa cosa	smooth	1234	SMOOTH
190	SOAP	jabón	soap	788	SOAP
191	SON	hijo	son	1620	SON
192	STOOL	silla	chair	1476	CHAIR
193	SWELLING	hinchazón	swelling	1903	SWELLING
194	TASSEL	espiga de trigo	tassel		
195	THORN	espina	thorn	124	THORN
196	TONGUE	lengua	tongue	1205	TONGUE
197	TOOTH	diente	tooth	1380	TOOTH
198	URINE	orina	urine	1142	URINE
199	WIDE	ancha cosa como estera	wide	1243	WIDE
200	BOX OR CHEST	cajón	box, chest	1592	CHEST
201	TORTILLA CLOTH	servilleta	cloth for wrapping tortillas		
202	COCKROACH	cucaracha	cockroach	1575	COCKROACH
203	CORN DOUGH	masa	corn dough		
204	CORN STALK	rastrojo	corn stalk		
205	FINGERNAIL	uña	fingernail	1258	FINGERNAIL
206	GREEN BEAN	ejote, vaina	green bean		
207	HAWK	gavilán	hawk	3258	FALCON
208	MUROID (MOUSE OR RAT)	ratón, rata	mouse or rat	2139	MUROID (MOUSE OR RAT)
209	NIXTAMAL	nixtamal	nixtamal		
210	POST	horcón	post, housepost	281	POST
211	RACCOON	mapache	raccoon	828	RACCOON
212	SMALL (PLURAL)	pequeño.PL	small of plural referents	1246	SMALL
213	SQUIRREL	ardilla	squirrel	1628	SQUIRREL
214	SWEET POTATO	camote	sweet potato, edible tuber	159	SWEET POTATO
215	VULTURE	zopilote	vulture	1185	VULTURE
216	BROTHER	hermano, hermanastro	brother	1262	BROTHER
217	HERBACEOUS PLANT	hierba, hoja	herbaceous plant		
218	MAGUEY	maguey	maguey		
219	MAMEY	mamey	mamey		
220	ZAPOTE	zapote	zapote		
221	MUSIC	música	music	642	MUSIC
222	SISTER	hermana, hermanastra	sister	1263	SISTER
223	TROUSERS	pantalón	pants	809	TROUSERS
224	CHICKEN	pollo	chicken	1318	CHICKEN
225	THUNDER	truena	thunder	1150	THUNDER
226	RAT	rata	rat	1490	RAT
227	CLOTHES	ropa	clothes	1895	CLOTHES
228	ZAPOTE (BLACK)	zapote negro	black zapote		
229	FATHER VOCATIVE	padre!, papá!	father vocative		
230	IMPORTANT	importante	important	1285	IMPORTANT
231	LEAF	hoja	leaf	2250	LEAF (LEAFLIKE OBJECT)
232	WEED	mala hierba	weed	3288	WEED
233	FODDER	forraje	fodder	3046	FODDER
234	SLEEPY	sueño	sleepy	3620	SLEEPY
235	CLAY	barro	clay	1399	CLAY
236	LOOSE	flojo (una cosa amarrado)	loose, not fastened	2506	LOOSE
237	MEZZANINE	altillo	a high place in the house, typically to sleep		
238	SHIRT	camisa	shirt	1622	SHIRT
239	COFFIN	ataúd	coffin	2011	COFFIN
240	HOUSE (SMALL)	casita	little house	1252	HOUSE
241	PLANTED FIELD	planted field	planted field		
242	WATTLE	cañizo	wattle		
243	MEADOW FESCUE	cañuela	meadow fescue		
244	CORN HUSK	chala	dry corn husk	3686	CORN HUSK
245	CORN COB	mazorca	corn cob		
246	TADPOLE	renacuajo	tadpole		
247	TOAD	sapo	toad	894	TOAD
248	TUBE	caños	tube, pipe	2956	TUBE
249	POULTRY MANURE	cuita	poultry manure		
250	EAGLE	á́guila	eagle	1905	EAGLE
251	GAVILUCHA	gavilucha	a type of bird, something similar to a hawk but smaller		
252	FALCON	halcón	falcon	3258	FALCON
253	FIELD	campo	field	212	FIELD
254	HILL WITH GRASS	monte	hill or mountain with grass		
255	SUGAR CANE HONEY	miel de caña	sugar cane honey		
256	INSIDE (PERSON)	dentro	inside (of a person)	1606	INSIDE
257	STOMACH	estómago	stomach (inside or outside)	819	STOMACH
258	BRAND	insignia, marca	brand (used on livestock)		
259	HAMMOCK	hamaca	hammock	2019	HAMMOCK
260	BARBECUE	barbacoa	barbecue		
261	SMALLPOX	viruela	smallpox	1054	SMALLPOX
262	LEG	pierna	leg	1297	LEG
263	THICK	espeso	thick	1244	THICK
264	NEUTRAL (TASTE)	neutral	neutral (taste), lacking salt		
265	HORSE SHOE	herradura	horse shoe		
266	SLIPPERY	resbala	slippery	3702	SLIPPERY
267	ALTAR	altar	altar	853	ALTAR
268	SADDLE	montura	saddle	3065	SADDLE
269	BROWN SUGAR LOAF	panela	brown sugar loaf		
270	LUSH	frondoso	lush		
271	LIQUID	líquido	liquid	58	LIQUID
272	FLASH	destello	flash (of lightning)		
273	HERB	hierba	herbaceous plant		
274	BELL	campana	bell	2246	BELL
275	SWEET	dulce	sweet	717	SWEET
