Grapheme	IPA	Class	Status	Comments	Source	Doculect																																																									
án	ã5	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
áàn	ã5ã1	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
áan	ã5ã3	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
áán	ã5ã5	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
è	e1	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
èn	ẽ1	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
èèn	ẽ1ẽ1	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
èen	ẽ1ẽ3	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
èén	ẽ1ẽ5	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
e	e3	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
en	ẽ3	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
eèn	ẽ3ẽ1	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
een	ẽ3ẽ3	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
eén	ẽ3ẽ5	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
é	e5	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
én	ẽ5	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
éèn	ẽ5ẽ1	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
éen	ẽ5ẽ3	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
één	ẽ5ẽ5	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
ì	i1	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
ìn	ĩ1	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
ììn	ĩ1ĩ1	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
ìin	ĩ1ĩ3	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
ìín	ĩ1ĩ5	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
i	i3	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
in	ĩ3	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
iìn	ĩ3ĩ1	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
iin	ĩ3ĩ3	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
iín	ĩ3ĩ5	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
í	i5	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
ín	ĩ5	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
íìn	ĩ5ĩ1	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
íin	ĩ5ĩ3	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
íín	ĩ5ĩ5	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
ò	o1	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
ùn	õ1	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
òòn	õ1õ1	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
òon	õ1õ3	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
òón	õ1õ5	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
o	o3	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
un	õ3	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
oòn	õ3õ1	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
oon	õ3õ3	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
oón	õ3õ5	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
ó	o5	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
ón	õ5	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
óòn	õ5õ1	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
óon	õ5õ3	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
óón	õ5õ5	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
ù	u1	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
òn	ũ1	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
ùùn	ũ1ũ1	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
ùun	ũ1ũ3	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
ùún	ũ1ũ5	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
u	u3	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
on	ũ3	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
uùn	ũ3ũ1	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
uun	ũ3ũ3	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
uún	ũ3ũ5	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
ú	u5	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
ún	ũ5	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
úùn	ũ5ũ1	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
úun	ũ5ũ3	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
úún	ũ5ũ5	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
