Grapheme	IPA	Class	Status	Comments	Source	Doculect																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
s	s	consonant			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
sy	sʲ	consonant			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
sh	ʃ	consonant			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
shy	ʃʲ	consonant			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
t	t	consonant			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ch	t͡ʃ	consonant			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
w	w	consonant			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
h	ʔ	consonant			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
v	β	consonant			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
a	a1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
an	ã1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
aan	ã1ã1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
aān	ã1ã3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
aán	ã1ã5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ā	a3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ān	ã3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
āan	ã3ã1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
āān	ã3ã3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
āán	ã3ã5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
á	a5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
án	ã5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
áan	ã5ã1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
áān	ã5ã3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
áán	ã5ã5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
e	e1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
en	ẽ1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
een	ẽ1ẽ1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
eēn	ẽ1ẽ3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
eén	ẽ1ẽ5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ē	e3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ēn	ẽ3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ēen	ẽ3ẽ1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ēēn	ẽ3ẽ3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ēén	ẽ3ẽ5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
é	e5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
én	ẽ5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
éen	ẽ5ẽ1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
éēn	ẽ5ẽ3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
één	ẽ5ẽ5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
i	i1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
in	ĩ1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
iin	ĩ1ĩ1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
iīn	ĩ1ĩ3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
iín	ĩ1ĩ5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ī	i3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
īn	ĩ3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
īin	ĩ3ĩ1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
īīn	ĩ3ĩ3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
īín	ĩ3ĩ5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
í	i5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ín	ĩ5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
íin	ĩ5ĩ1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
íīn	ĩ5ĩ3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
íín	ĩ5ĩ5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ	ɨ1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨn	ɨ̃1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨɨn	ɨ̃1ɨ̃1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨɨ̄n	ɨ̃1ɨ̃3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨɨ́n	ɨ̃1ɨ̃5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ̄	ɨ3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ̄n	ɨ̃3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ̄ɨn	ɨ̃3ɨ̃1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ̄ɨ̄n	ɨ̃3ɨ̃3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ̄ɨ́n	ɨ̃3ɨ̃5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ́	ɨ5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ́n	ɨ̃5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ́ɨn	ɨ̃5ɨ̃1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ́ɨ̄n	ɨ̃5ɨ̃3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ́ɨ́n	ɨ̃5ɨ̃5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
o	o1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
on	õ1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
oon	õ1õ1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
oōn	õ1õ3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
oón	õ1õ5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ō	o3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ōn	õ3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ōon	õ3õ1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ōōn	õ3õ3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ōón	õ3õ5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ó	o5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ón	õ5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
óon	õ5õ1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
óōn	õ5õ3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
óón	õ5õ5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
u	u1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
un	ũ1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
uun	ũ1ũ1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
uūn	ũ1ũ3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
uún	ũ1ũ5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ū	u3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ūn	ũ3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ūun	ũ3ũ1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ūūn	ũ3ũ3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ūún	ũ3ũ5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ú	u5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ún	ũ5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
úun	ũ5ũ1	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
úūn	ũ5ũ3	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
úún	ũ5ũ5	vowel and tone			farris1992syntactic	yoso11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
