Grapheme	IPA	Class	Status	Comments	Source	Doculect																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
a	a1	vowel and tone		basic tones marked	johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
à	a1	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
an	ã1	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
àn	ã1	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
aan	ã1ã1	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ààn	ã1ã1	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
aān	ã1ã3	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
àān	ã1ã3	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
aán	ã1ã5	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
àán	ã1ã5	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ā	a3	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ān	ã3	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
āan	ã3ã1	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
āàn	ã3ã1	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
āān	ã3ã3	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
āán	ã3ã5	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
á	a5	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
án	ã5	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
áan	ã5ã1	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
áàn	ã5ã1	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
áān	ã5ã3	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
áán	ã5ã5	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
e	e1	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
è	e1	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
en	ẽ1	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
èn	ẽ1	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
een	ẽ1ẽ1	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
èèn	ẽ1ẽ1	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
eēn	ẽ1ẽ3	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
èēn	ẽ1ẽ3	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
eén	ẽ1ẽ5	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
èén	ẽ1ẽ5	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ē	e3	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ēn	ẽ3	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ēen	ẽ3ẽ1	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ēèn	ẽ3ẽ1	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ēēn	ẽ3ẽ3	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ēén	ẽ3ẽ5	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
é	e5	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
én	ẽ5	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
éen	ẽ5ẽ1	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
éèn	ẽ5ẽ1	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
éēn	ẽ5ẽ3	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
één	ẽ5ẽ5	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
i	i1	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ì	i1	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
in	ĩ1	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ìn	ĩ1	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
iin	ĩ1ĩ1	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ììn	ĩ1ĩ1	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
iīn	ĩ1ĩ3	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ìīn	ĩ1ĩ3	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
iín	ĩ1ĩ5	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ìín	ĩ1ĩ5	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ī	i3	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
īn	ĩ3	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
īin	ĩ3ĩ1	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
īìn	ĩ3ĩ1	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
īīn	ĩ3ĩ3	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
īín	ĩ3ĩ5	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
í	i5	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ín	ĩ5	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
íin	ĩ5ĩ1	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
íìn	ĩ5ĩ1	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
íīn	ĩ5ĩ3	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
íín	ĩ5ĩ5	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ	ɨ1	vowel and tone			johnson1988syntactɨc	jamɨ11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ̀	ɨ1	vowel and tone			pensɨnger1974dɨccɨonarɨo	jamɨ11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨn	ɨ̃1	vowel and tone			johnson1988syntactɨc	jamɨ11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ̀n	ɨ̃1	vowel and tone			pensɨnger1974dɨccɨonarɨo	jamɨ11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨɨn	ɨ̃1ɨ̃1	vowel and tone			johnson1988syntactɨc	jamɨ11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ̀ɨ̀n	ɨ̃1ɨ̃1	vowel and tone			pensɨnger1974dɨccɨonarɨo	jamɨ11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨɨ̄n	ɨ̃1ɨ̃3	vowel and tone			johnson1988syntactɨc	jamɨ11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ̀ɨ̄n	ɨ̃1ɨ̃3	vowel and tone			pensɨnger1974dɨccɨonarɨo	jamɨ11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨɨ́n	ɨ̃1ɨ̃5	vowel and tone			johnson1988syntactɨc	jamɨ11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ̀ɨ́n	ɨ̃1ɨ̃5	vowel and tone			pensɨnger1974dɨccɨonarɨo	jamɨ11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ̄	ɨ3	vowel and tone			pensɨnger1974dɨccɨonarɨo, johnson1988syntactɨc	jamɨ11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ̄n	ɨ̃3	vowel and tone			pensɨnger1974dɨccɨonarɨo, johnson1988syntactɨc	jamɨ11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ̄ɨn	ɨ̃3ɨ̃1	vowel and tone			johnson1988syntactɨc	jamɨ11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ̄ɨ̀n	ɨ̃3ɨ̃1	vowel and tone			pensɨnger1974dɨccɨonarɨo	jamɨ11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ̄ɨ̄n	ɨ̃3ɨ̃3	vowel and tone			pensɨnger1974dɨccɨonarɨo, johnson1988syntactɨc	jamɨ11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ̄ɨ́n	ɨ̃3ɨ̃5	vowel and tone			pensɨnger1974dɨccɨonarɨo, johnson1988syntactɨc	jamɨ11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ́	ɨ5	vowel and tone			pensɨnger1974dɨccɨonarɨo, johnson1988syntactɨc	jamɨ11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ́n	ɨ̃5	vowel and tone			pensɨnger1974dɨccɨonarɨo, johnson1988syntactɨc	jamɨ11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ́ɨn	ɨ̃5ɨ̃1	vowel and tone			johnson1988syntactɨc	jamɨ11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ́ɨ̀n	ɨ̃5ɨ̃1	vowel and tone			pensɨnger1974dɨccɨonarɨo	jamɨ11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ́ɨ̄n	ɨ̃5ɨ̃3	vowel and tone			pensɨnger1974dɨccɨonarɨo, johnson1988syntactɨc	jamɨ11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ɨ́ɨ́n	ɨ̃5ɨ̃5	vowel and tone			pensɨnger1974dɨccɨonarɨo, johnson1988syntactɨc	jamɨ11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
o	o1	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ò	o1	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
on	õ1	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
òn	õ1	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
oon	õ1õ1	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
òòn	õ1õ1	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
oōn	õ1õ3	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
òōn	õ1õ3	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
oón	õ1õ5	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
òón	õ1õ5	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ō	o3	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ōn	õ3	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ōon	õ3õ1	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ōòn	õ3õ1	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ōōn	õ3õ3	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ōón	õ3õ5	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ó	o5	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ón	õ5	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
óon	õ5õ1	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
óòn	õ5õ1	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
óōn	õ5õ3	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
óón	õ5õ5	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
u	u1	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ù	u1	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
un	ũ1	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ùn	ũ1	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
uun	ũ1ũ1	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
