Grapheme1	Grapheme2	IPA	Class	Status	Comments	Source	Doculect
ɨ	NA	ɨ³	vowel and tone	NA	NA	alexander1980gramatica	atat11
ɨn	NA	ɨ̃³	vowel and tone	NA	NA	alexander1980gramatica	atat11
ɨɨ̄n	NA	ɨ̃³ɨ̃¹	vowel and tone	NA	NA	alexander1980gramatica	atat11
ɨɨn	NA	ɨ̃³ɨ̃³	vowel and tone	NA	NA	alexander1980gramatica	atat11
ɨɨ́n	NA	ɨ̃³ɨ̃⁵	vowel and tone	NA	NA	alexander1980gramatica	atat11
ɨ́	NA	ɨ⁵	vowel and tone	NA	NA	alexander1980gramatica	atat11
ɨ́n	NA	ɨ̃⁵	vowel and tone	NA	NA	alexander1980gramatica	atat11
ɨ́ɨ̄n	NA	ɨ̃⁵ɨ̃¹	vowel and tone	NA	NA	alexander1980gramatica	atat11
ɨ́ɨn	NA	ɨ̃⁵ɨ̃³	vowel and tone	NA	NA	alexander1980gramatica	atat11
ɨ́ɨ́n	NA	ɨ̃⁵ɨ̃⁵	vowel and tone	NA	NA	alexander1980gramatica	atat11
ō	NA	o¹	vowel and tone	NA	NA	alexander1980gramatica	atat11
ōn	NA	õ¹	vowel and tone	NA	NA	alexander1980gramatica	atat11
ōōn	NA	õ¹õ¹	vowel and tone	NA	NA	alexander1980gramatica	atat11
ōon	NA	õ¹õ³	vowel and tone	NA	NA	alexander1980gramatica	atat11
ōón	NA	õ¹õ⁵	vowel and tone	NA	NA	alexander1980gramatica	atat11
o	NA	o³	vowel and tone	NA	NA	alexander1980gramatica	atat11
on	NA	õ³	vowel and tone	NA	NA	alexander1980gramatica	atat11
oōn	NA	õ³õ¹	vowel and tone	NA	NA	alexander1980gramatica	atat11
oon	NA	õ³õ³	vowel and tone	NA	NA	alexander1980gramatica	atat11
oón	NA	õ³õ⁵	vowel and tone	NA	NA	alexander1980gramatica	atat11
ó	NA	o⁵	vowel and tone	NA	NA	alexander1980gramatica	atat11
ón	NA	õ⁵	vowel and tone	NA	NA	alexander1980gramatica	atat11
óōn	NA	õ⁵õ¹	vowel and tone	NA	NA	alexander1980gramatica	atat11
óon	NA	õ⁵õ³	vowel and tone	NA	NA	alexander1980gramatica	atat11
óón	NA	õ⁵õ⁵	vowel and tone	NA	NA	alexander1980gramatica	atat11
ū	NA	u¹	vowel and tone	NA	NA	alexander1980gramatica	atat11
ūn	NA	ũ¹	vowel and tone	NA	NA	alexander1980gramatica	atat11
ūūn	NA	ũ¹ũ¹	vowel and tone	NA	NA	alexander1980gramatica	atat11
ūun	NA	ũ¹ũ³	vowel and tone	NA	NA	alexander1980gramatica	atat11
ūún	NA	ũ¹ũ⁵	vowel and tone	NA	NA	alexander1980gramatica	atat11
u	NA	u³	vowel and tone	NA	NA	alexander1980gramatica	atat11
un	NA	ũ³	vowel and tone	NA	NA	alexander1980gramatica	atat11
uūn	NA	ũ³ũ¹	vowel and tone	NA	NA	alexander1980gramatica	atat11
uun	NA	ũ³ũ³	vowel and tone	NA	NA	alexander1980gramatica	atat11
uún	NA	ũ³ũ⁵	vowel and tone	NA	NA	alexander1980gramatica	atat11
ú	NA	u⁵	vowel and tone	NA	NA	alexander1980gramatica	atat11
ún	NA	ũ⁵	vowel and tone	NA	NA	alexander1980gramatica	atat11
úūn	NA	ũ⁵ũ¹	vowel and tone	NA	NA	alexander1980gramatica	atat11
úun	NA	ũ⁵ũ³	vowel and tone	NA	NA	alexander1980gramatica	atat11
úún	NA	ũ⁵ũ⁵	vowel and tone	NA	NA	alexander1980gramatica	atat11
