ID,Doculect,Concept,Form,PMCouplet,CogID_Durr,ToneMod,CitForm
969,prog12,chile,žáʔà,HHʔ,12,no,no
208,moli11,woman,ñā̧ʔā̧,HHʔ,13,no,no
341,atat11,woman,ñā̧ʔā̧,HHʔ,13,no,no
441,gran11,woman,ñā̧ʔā̧ (),HHʔ,13,yes,no
611,xaya11,woman,ñā̧ʔà̧,HHʔ,13,no,no
838,cahu11,woman,ñāʔà,HHʔ,13,no,no
912,mixt11,woman,ñā̧ʔá̧,HHʔ,13,no,no
970,prog12,woman,ñá̧ʔà̧,HHʔ,13,no,no
1051,jica11,woman,ñà̧ʔà̧,HHʔ,13,no,no
42,peno11,rope,žòʔò,HHʔ,14,no,no
137,coat11,rope,šòʔò,HHʔ,14,no,no
209,moli11,rope,žōʔō,HHʔ,14,no,no
342,atat11,rope,žōʔō,HHʔ,14,no,no
442,gran11,rope,žōʔō (),HHʔ,14,yes,no
549,caca11,rope,žōʔò,HHʔ,14,no,no
612,xaya11,rope,yōʔò,HHʔ,14,no,no
772,metl11,rope,yōʔó,HHʔ,14,no,no
913,mixt11,rope,yōʔó,HHʔ,14,no,no
971,prog12,rope,žóʔò,HHʔ,14,no,no
1052,jica11,rope,yòʔò,HHʔ,14,no,no
1113,chay11,rope,yōʔō,HHʔ,14,no,no
43,peno11,road,ìčì,HHʔ,15,no,no
210,moli11,road,īčī,HHʔ,15,no,no
278,ocot11,road,īčī,HHʔ,15,no,no
343,atat11,road,īčī,HHʔ,15,no,no
443,gran11,road,īčī (),HHʔ,15,yes,no
773,metl11,road,īčí,HHʔ,15,no,no
839,cahu11,road,yīčī,HHʔ,15,no,no
972,prog12,road,íčì,HHʔ,15,no,no
1053,jica11,road,ìtì,HHʔ,15,no,no
1114,chay11,road,ītʸī,HHʔ,15,no,no
44,peno11,work,čî̧ù̧,HH,16,no,no
138,coat11,work,ȼìñù,HH,16,no,no
211,moli11,work,tī̧ñū̧,HH,16,no,no
279,ocot11,work,tīñū,HH,16,no,no
344,atat11,work,Nīñū,HH,16,no,no
444,gran11,work,tīñū,HH,16,no,no
550,caca11,work,čō̧ō̧,HH,16,no,no
613,xaya11,work,čū̧ū̧,HH,16,no,no
667,ayut11,work,čù̧ù̧,HH,16,no,no
731,alac11,work,čīñō̧,HH,16,no,no
840,cahu11,work,čīñō,HH,16,no,no
914,mixt11,work,čī̧ū̧,HH,16,no,no
973,prog12,work,čū̧ū̧,HH,16,no,no
45,peno11,handspan,tòò,HH,17,no,no
280,ocot11,handspan,tōō,HH,17,no,no
345,atat11,handspan,tōō,HH,17,no,no
445,gran11,handspan,tōō,HH,17,no,no
614,xaya11,handspan,tōō,HH,17,no,no
668,ayut11,handspan,tòò,HH,17,no,no
46,peno11,to come,kìšì,HH,18,no,no
212,moli11,to come,kīī,HH,18,no,no
346,atat11,to come,kīxī,HH,18,no,no
446,gran11,to come,kīī,HH,18,no,no
551,caca11,to come,kīšī,HH,18,no,no
669,ayut11,to come,kìšì,HH,18,no,no
841,cahu11,to come,kísī,HH,18,no,no
1054,jica11,to come,kíčì,HH,18,no,no
47,peno11,to run,kùnù,HH,19,no,no
213,moli11,to run,kūnū,HH,19,no,no
347,atat11,to run,kūnū,HH,19,no,no
447,gran11,to run,kūnū,HH,19,no,no
670,ayut11,to run,kùnù,HH,19,no,no
774,metl11,to run,kūnū,HH,19,no,no
1055,jica11,to run,kúnú,HH,19,no,no
48,peno11,to be,kùù,HH,20,no,no
139,coat11,to be,kùƀì,HH,20,no,no
214,moli11,to be,kūū,HH,20,no,no
348,atat11,to be,kūū,HH,20,no,no
448,gran11,to be,kūū,HH,20,no,no
615,xaya11,to be,kūū,HH,20,no,no
775,metl11,to be,kūƀī,HH,20,no,no
974,prog12,to be,kūū,HH,20,no,no
49,peno11,to sing,kàtà,HH,21,no,no
140,coat11,to sing,kàʔtà,HH,21,no,no
215,moli11,to sing,kātā,HH,21,no,no
281,ocot11,to sing,kātā,HH,21,no,no
349,atat11,to sing,kātā,HH,21,no,no
449,gran11,to sing,kātā,HH,21,no,no
552,caca11,to sing,kātā,HH,21,no,no
776,metl11,to sing,kātā,HH,21,no,no
975,prog12,to sing,kātā,HH,21,no,no
50,peno11,to be born,kàkù,HH,22,no,no
282,ocot11,to be born,kākū,HH,22,no,no
350,atat11,to be born,kākū,HH,22,no,no
450,gran11,to be born,kākū,HH,22,no,no
842,cahu11,to be born,kākū,HH,22,no,no
51,peno11,to burn,kàʔmì,HH,23,no,no
141,coat11,to burn,kàʔmì̧,HH,23,no,no
351,atat11,to burn,kāʔmū,HH,23,no,no
451,gran11,to burn,kāʔmū,HH,23,no,no
553,caca11,to burn,kāʔmā̧,HH,23,no,no
843,cahu11,to burn,kāʔmī,HH,23,no,no
52,peno11,to look,kòtò,HH,24,no,no
142,coat11,to look,kòʔtò,HH,24,no,no
216,moli11,to look,kōtō,HH,24,no,no
352,atat11,to look,kōtō,HH,24,no,no
452,gran11,to look,kōtō,HH,24,no,no
671,ayut11,to look,kòtò,HH,24,no,no
777,metl11,to look,kōtō,HH,24,no,no
53,peno11,to drink,kòʔò,HH,25,no,no
143,coat11,to drink,kòʔò,HH,25,no,no
217,moli11,to drink,kōʔō,HH,25,no,no
353,atat11,to drink,kōʔō,HH,25,no,no
453,gran11,to drink,kōʔō,HH,25,no,no
844,cahu11,to drink,kōʔō,HH,25,no,no
54,peno11,to buy,kʷà̧à̧,HH,26,no,no
144,coat11,to buy,kʷì̧ì̧,HH,26,no,no
218,moli11,to buy,kʷā̧ā̧,HH,26,no,no
354,atat11,to buy,kʷā̧ā̧,HH,26,no,no
454,gran11,to buy,kʷā̧ā̧,HH,26,no,no
976,prog12,to buy,kʷȩ̄ȩ̀,HH,26,no,no
55,peno11,now,ƀìtà̧,HH,27,no,no
219,moli11,now,ƀītā̧,HH,27,no,no
355,atat11,now,ƀīNā,HH,27,no,no
455,gran11,now,ƀīnā,HH,27,no,no
456,gran11,now,ƀītā̧,HH,27,no,no
554,caca11,now,ƀīčī,HH,27,no,no
616,xaya11,now,ƀīčī,HH,27,no,no
672,ayut11,now,wìtì̧,HH,27,no,no
732,alac11,now,ƀītī̧,HH,27,no,no
845,cahu11,now,wītnī,HH,27,no,no
977,prog12,now,ƀītī,HH,27,no,no
1056,jica11,now,ƀìtì̧,HH,27,no,no
1115,chay11,now,ƀītʸī,HH,27,no,no
56,peno11,house,ƀèʔè,HH,28,no,no
145,coat11,house,ƀìʔì,HH,28,no,no
220,moli11,house,ƀēʔē,HH,28,no,no
283,ocot11,house,ƀēʔē,HH,28,no,no
356,atat11,house,ƀēʔē,HH,28,no,no
457,gran11,house,ƀēʔē,HH,28,no,no
555,caca11,house,ƀēʔē,HH,28,no,no
617,xaya11,house,ƀēʔē,HH,28,no,no
673,ayut11,house,wìʔè,HH,28,no,no
733,alac11,house,ƀēʔē,HH,28,no,no
778,metl11,house,ƀēʔē,HH,28,no,no
846,cahu11,house,wēʔē,HH,28,no,no
915,mixt11,house,ƀēʔē,HH,28,no,no
978,prog12,house,ƀēʔē,HH,28,no,no
1057,jica11,house,ƀèʔè,HH,28,no,no
1116,chay11,house,ƀēʔē,HH,28,no,no
57,peno11,yesterday,ìkù,HH,29,no,no
221,moli11,yesterday,īkū,HH,29,no,no
284,ocot11,yesterday,īkū,HH,29,no,no
357,atat11,yesterday,īkū,HH,29,no,no
458,gran11,yesterday,īkū (),HH,29,yes,no
618,xaya11,yesterday,īkū,HH,29,no,no
1058,jica11,yesterday,ìkù,HH,29,no,no
4,diux11,one,ɨ̧̀ɨ̧̀,HH,30,no,no
58,peno11,one,ɨ̧̀ɨ̧̀,HH,30,no,no
222,moli11,one,ī̧ī̧,HH,30,no,no
358,atat11,one,ī̧ī̧,HH,30,no,no
459,gran11,one,ī̧ī̧,HH,30,no,no
556,caca11,one,ī̧ī̧,HH,30,no,no
619,xaya11,one,ī̧ī̧,HH,30,no,no
674,ayut11,one,ì̧ì̧,HH,30,no,no
779,metl11,one,ī̧ī̧,HH,30,no,no
847,cahu11,one,í̧í̧,HH,30,no,no
916,mixt11,one,ī̧ī̧,HH,30,no,no
979,prog12,one,ī̧ī̧,HH,30,no,no
1059,jica11,one,ì̧ì̧,HH,30,no,no
1117,chay11,one,ī̧ī̧,HH,30,no,no
5,diux11,paper,tú'tú,HL,31,no,no
59,peno11,paper,tùtú,HL,31,no,no
146,coat11,paper,túʔtú,HL,31,no,no
223,moli11,paper,tūtù,HL,31,no,no
359,atat11,paper,tūtū,HL,31,no,no
460,gran11,paper,tūtù,HL,31,no,no
557,caca11,paper,tūtù,HL,31,no,no
620,xaya11,paper,tūtū,HL,31,no,no
675,ayut11,paper,tùtù,HL,31,no,no
780,metl11,paper,tūtū,HL,31,no,no
917,mixt11,paper,tūtù,HL,31,no,no
980,prog12,paper,tǖtǖ,HL,31,no,no
1060,jica11,paper,tūtū,HL,31,no,no
1118,chay11,paper,tūtù,HL,31,no,no
