ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Location,SubGroup,Number
xoch11,xoch11,xoch1238,,xta,,17.38134,-98.44988,,Xochapa,Mixtec,152
yolo11,yolo11,taca1257,,xtt,,16.9648,-97.4537,,Santa María Yolotepec,Mixtec,153
yolo12,yolo12,yolo1241,,xty,,16.8059,-98.6293,,Yoloxochitl,Mixtec,154
yoso11,yoso11,yoso1239,,mpm,,16.9042,-97.5018,,Santiago Yosondúa,Mixtec,155
yoso14,yoso14,yoso1238,,xtn,,17.4272,-97.77267,,San Pedro Yosoñama,Mixtec,158
yucu11,yucu11,yucu1250,,mvg,,17.2832,-97.4285,,San Bartolomé Yucuañe,Mixtec,159
yucu12,yucu12,yucu1249,,meh,,17.03036,-97.78237,,Santa María Yucuhiti,Mixtec,160
yucu13,yucu13,yucu1251,,mxb,,17.63409,-97.89151,,Yucuñuti de Benito Juárez,Mixtec,161
yucu14,yucu14,,,,,17.56221,-97.48291,,San Pedro Yucunama,Mixtec,162
yucu15,yucu15,,,,,17.2372,-97.91806,,Santa María Yucunicoco,Mixtec,163
yucu16,yucu16,,,,,17.57853,-97.89014,,Yucuquimi de Ocampo,Mixtec,164
yucu17,yucu17,mixt1425,,mix,,17.300827,-97.893888,,Yucunany,Mixtec,165
yuta11,yuta11,yuta1240,,mab,,17.0311,-97.2293,,Yutanduchi de Guerrero,Mixtec,166
yuta12,yuta12,,,,,17.02228,-97.17054,,San Juan Yuta,Mixtec,167
yuta13,yuta13,,,,,17.60626,-97.89428,,San Andrés Yutatío,Mixtec,168
zaca11,zaca11,sant1436,,mza,,16.7003,-97.9484,,Santa María Zacatepec,Mixtec,169
zapo11,zapo11,,,,,17.88959,-97.82406,,Zapotitlán Palmas,Mixtec,171
