ID,CATEGORY,SPANISH,ENGLISH,CONCEPTICON_ID,CONCEPTICON_GLOSS,ADD_CONCEPT,COVERAGE,ID_EWC,ID_JOSS,ID_DURR,ID_SWME,ID_MAT,ID_PADG,SPANISH_EWC,SPANISH_MAT,SPANISH_JOSS,SPANISH_SWME,SPANISH_PADG,ENGLISH_EWC,ENGLISH_MAT,ENGLISH_JOSS,ENGLISH_DURR,ENGLISH_PADG
176,property,nuevo,new,1231,NEW,NA,4,270,NA,107,NA,137,70,nuevo,nuevo,NA,NA,nuevo,new,new,NA,new,new
177,property,flojo,lazy,1564,LAZY,NA,4,277,17,NA,56,264,NA,flojo,perezoso,flojo,flojo,NA,lazy,lazy,lazy,NA,NA
178,property,feo,ugly,1548,UGLY,NA,2,278,70,NA,NA,NA,NA,feo,NA,feo,NA,NA,ugly,NA,ugly,NA,NA
179,property,celoso,jealous,2821,JEALOUS,NA,2,NA,NA,NA,63,311,NA,NA,celoso,NA,celoso,NA,NA,jealous,NA,NA,NA
180,property,"cerca de, está cerca",near,1942,NEAR,NA,4,NA,10,NA,13,212,24,NA,cerca de,está cerca,cerca,cerca,NA,near,near,NA,nearby
181,property,"está lejos, lejos",far,1406,FAR,NA,3,281,NA,NA,NA,68,57,está lejos,lejos,NA,NA,lejos,far,far,NA,NA,far away
182,property,largo,long,1203,LONG,NA,3,170,NA,97,NA,NA,56,largo,NA,NA,NA,largo,long,NA,NA,long,long
183,property,pesado,heavy,1210,HEAVY,NA,3,255,187,NA,50,NA,NA,pesado,NA,pesado,pesado,NA,heavy,NA,heavy,NA,NA
184,property,crudo,raw,1959,RAW,NA,3,266,NA,NA,54,511,NA,crudo,crudo,NA,crudo,NA,raw,"raw, uncooked",NA,NA,NA
185,property,liso,smooth,1234,SMOOTH,NA,3,318,152,NA,NA,228,NA,liso,liso,liso,NA,NA,smooth,smooth,smooth,NA,NA
186,property,despacio,slow,701,SLOW,NA,3,NA,163,NA,62,147,NA,NA,despacio,despacio,despacio,NA,NA,slowly,slow,NA,NA
187,time,ayer,yesterday,1174,YESTERDAY,NA,5,132,170,29,12,107,NA,ayer,ayer,ayer,ayer,NA,yesterday,yesterday,yesterday,yesterday,NA
188,time,año,year,1226,YEAR,NA,4,117,74,81,NA,500,NA,año,año,año,NA,NA,year,year,year,year,NA
189,time,ahora,now,1376,NOW,NA,4,NA,134,27,17,466,NA,NA,ahora,abora,ahora,NA,NA,now,now,now,NA
190,time,noche,night,1233,NIGHT,NA,3,20,83,NA,NA,NA,68,noche,NA,toda la noche,NA,noche,night,NA,all night,NA,night
191,time,día,day (not night),1225,DAY (NOT NIGHT),NA,3,NA,154,63,NA,71,NA,NA,"día, sol",dia,NA,NA,NA,"day, sun",day,day,NA
192,measure,mitad,"half, middle",816,HALF,NA,3,307,92,NA,NA,359,NA,mitad,mitad,mitad,NA,NA,half,"half, middle",half,NA,NA
193,measure,cuarta de mano,handspan,NA,NA,CUARTA DE MANO,3,308,62,17,NA,NA,NA,cuarta de mano,NA,cuarta,NA,NA,handspan,NA,handspan,handspan,NA
194,abstract,dinero,money,1559,MONEY,NA,2,97,NA,NA,NA,275,NA,dinero,dinero,NA,NA,NA,money,money,NA,NA,NA
195,abstract,trabajo,work,984,WORK (LABOUR),NA,5,109,49,16,15,297,NA,trabajo,trabajo,trabajo,trabajo,NA,NA,work,work,work,NA
196,abstract,palabra,word,1599,WORD,NA,5,18,9,48,49,NA,73,palabra,NA,palabra,palabra,palabra,word,NA,word,word,word
197,abstract,culpa,"fault, blame, sin",NA,NA,CULPA,4,104,20,NA,46,75,NA,culpa,"pecado, culpa",culpa,culpa,NA,"fault, blame","sin, blame",NA,NA,NA
198,abstract,sueño,dream,2374,DREAM,NA,3,327,NA,NA,78,182,NA,sueño,sueño,NA,sueño,NA,dream,dream,NA,NA,NA
199,abstract,cuándo,when,1238,WHEN,NA,3,NA,155,NA,11,8; 190,NA,NA,cuando,cuando,cuándo,NA,NA,when,when,NA,NA
200,abstract,"canción, música","song, music",NA,NA,CANCION O MUSICA,2,NA,NA,NA,20,440,NA,NA,"canción, música",NA,"canción, música",NA,NA,"song, music",NA,NA,NA
