ID,CATEGORY,CONCEPTICON_ID,CONCEPTICON_GLOSS,ADD_CONCEPT,ENGLISH,SPANISH,COVERAGE,ID_EWC,ID_MAT,ID_JOSS,ID_DURR,ID_SWME,ID_PADG,SPANISH_EWC,SPANISH_MAT,SPANISH_JOSS,SPANISH_SWME,SPANISH_PADG,ENGLISH_EWC,ENGLISH_MAT,ENGLISH_JOSS,ENGLISH_DURR,ENGLISH_PADG
083,corn,449,CORN FIELD,NA,cornfield,milpa,3,2,134,169,NA,NA,NA,milpa,milpa,milpa,NA,NA,cornfield,cornfield,cornfield,NA,NA
084,corn,NA,NA,ELOTE,fresh ear of corn,elote,3,57,402,NA,NA,NA,39,elote,elote,NA,NA,elote,fresh ear of corn ,elote,NA,NA,ear of corn
085,corn,NA,NA,NIXTAMAL,NIXTAMAL,NIXTAMAL,2,NA,213,NA,NA,65,NA,NA,nixtamal,NA,nixtamal,NA,NA,nixtamal,NA,NA,NA
086,corn,NA,NA,MASA,cornmeal,masa,2,71,NA,109,NA,NA,NA,masa,NA,masa,NA,NA,corn dough,NA,cornmeal,NA,NA
087,corn,NA,NA,TORTILLA,tortilla,tortilla,5,8,439,15,68,NA,93,tortilla,tortilla,tortilla,NA,tortilla,tortilla,tortilla,tortilla,tortilla,tortilla
088,corn,NA,NA,RASTROJO,cornstalk,rastrojo,2,295,NA,108,NA,NA,NA,rastrojo,NA,rastrojo,NA,NA,cleared field,NA,cornstalk,NA,NA
089,corn,1794,FURROW,NA,furrow,surco,3,296,391,180,NA,NA,NA,surco,"surco, linea",surco,NA,NA,planting row,"groove, furrow, rut, line",furrow,NA,NA
090,corn,NA,NA,ESPIGA,tassel,espiga,2,298,NA,98,NA,NA,NA,espiga,NA,espiga,NA,NA,maize spike ,NA,tassel,NA,NA
091,food,832,BEAN,BEAN,bean,frijol(es),5,6,268,21,3,NA,45,frijol(es),frijol,frijol,NA,frijol,bean(s),bean,bean,beans,bean
092,food,NA,NA,EJOTE,green bean,ejote,3,119,158,91,NA,NA,NA,ejote,ejote,ejote,NA,NA,green bean,string bean,green bean,NA,NA
093,food,919,CHILI PEPPER,NA,chili,chile,5,22,479,NA,12,4,28,chile,chile,NA,chile,chile,chili pepper,chili,NA,chile,chili pepper
094,food,1274,SALT,NA,salt,sal,4,24,490,41,NA,NA,86,sal,sal,sal,NA,sal,salt,salt,salt,NA,salt
095,food,864,PUMPKIN,SQUASH,squash,calabaza,4,26,87,44,NA,NA,17,calabaza,calabaza,calabaza,NA,calabaza,squash,calabash,squash,NA,squash
096,food,NA,NA,CHAYOTE,chayote squash,chayote,3,129,209,NA,NA,NA,27,chayote,chayote,NA,NA,chayote,chayote squash,chayote,NA,NA,chayote
097,food,146,SUGAR CANE,NA,cane,caña,4,79,499,93,67,NA,NA,caña,caña,caña,NA,NA,sugar cane,cane,cane,cane,NA
098,food,942,HONEY,NA,honey,miel,4,89,79,96,NA,NA,64,miel,miel,miel,NA,miel,honey,honey,honey,NA,honey
099,food,1282,FAT (FROM ANIMALS),NA,lard,"grasa, manteca",5,103,145,13,NA,79,62,"grasa, manteca","manteca, grasa",manteca,manteca,manteca,"fat, lard","fat, grease",lard,NA,lard
100,food,744,EGG,NA,egg,"blanquillo, huevo",3,13,NA,37,NA,33,NA,"blanquillo, huevo",NA,blanquillo,huevo,NA,egg,NA,egg,NA,NA
101,food,986,TOMATO,NA,tomato,tomate,3,31,161,90,NA,NA,NA,tomate,"jitomate, tomate",jitomate,NA,NA,tomato,tomato,tomato,NA,NA
102,food,159,SWEET POTATO,NA,sweet potato,camote,3,91,507,NA,NA,21,NA,camote,camote,NA,camote,NA,"tuber, sweet potato",camote,NA,NA,NA
103,food,3725,AVOCADO,NA,avocado,aguacate,2,81,267,NA,NA,NA,NA,aguacate,aguacate,NA,NA,NA,avocado,avocado,NA,NA,NA
104,food,868,BANANA,NA,banana,plátano,2,120,159,NA,NA,NA,NA,plátano,plátano,NA,NA,NA,banana,banana,NA,NA,NA
105,food,NA,NA,NOPAL,prickly pear cactus,nopal,2,123,NA,118,NA,NA,NA,nopal,NA,nopal,NA,NA,pickly pear cactus,NA,prickly pear cactus,NA,NA
106,food,NA,NA,MAMEY,mamey,mamey,2,128,NA,165,NA,NA,NA,mamey,NA,mamey,NA,NA,custard apple,NA,mamey,NA,NA
107,food,641,MUSHROOM,NA,mushroom,hongo,2,150,235,NA,NA,NA,NA,hongo,hongo,NA,NA,NA,mushroom,mushroom,NA,NA,NA
108,food,2615,FLESH OR MEAT,,meat,carne,6,33,180,30,51,76,22,carne,carne,carne,carne,carne,"meat, flesh","meat, flesh",meat,meat,meat
109,cooking,NA,NA,COMAL,griddle,comal,6,43,426,19,70,34,32,comal,comal,comal,comal,comal,griddle,comal,griddle,comal,comal (tortilla griddle)
110,cooking,1462,POT,NA,POT,olla,5,47,261,94,49,45,NA,olla,olla,olla,olla,NA,pot,pot,clay pot,clay pot,NA
111,cooking,1143,OVEN,NA,OVEN,horno,4,116,112,54,NA,43,NA,horno,horno,horno,horno,NA,oven,oven,oven,NA,NA
112,cooking,221,FIRE,NA,FIRE,"lumbre, fuego",2,7,NA,105,NA,NA,NA,"lumbre, fuego",NA,lumbre,NA,NA,fire,NA,fire,NA,NA
113,cooking,646,ASH,NA,ASH,ceniza,2,21,467,NA,NA,NA,NA,ceniza,ceniza,NA,NA,NA,ash,ash,NA,NA,NA
114,cooking,1188,CHARCOAL,NA,CHARCOAL,carbón,2,50,270,NA,NA,NA,NA,carbón,carbón,NA,NA,NA,charcoal,charcoal,NA,NA,NA
115,cooking,778,SMOKE (EXHAUST),NA,SMOKE,humo,4,30,77,101,NA,38,NA,humo,humo,humo,humo,NA,smoke,smoke,smoke,NA,NA
116,cooking,909,GARBAGE,NA,GARBAGE,basura,2,288,NA,116,NA,NA,NA,basura,NA,basura,NA,NA,trash,NA,trash,NA,NA
117,cooking,480,PLATE,NA,PLATE,plato,2,NA,105,NA,NA,NA,78,NA,plato,NA,NA,plato,NA,plate,NA,NA,plate
118,container,411,GOURD,NA,GOURD,jícara,4,108,476,43,NA,5,NA,jícara,jícara,jícara,jícara,NA,gourd,gourd,gourd,NA,NA
119,container,1539,BASKET,NA,BASKET,canasta,3,147,498,NA,NA,NA,20,canasta,tenate,NA,NA,canasta,basket,basket,NA,NA,basket
120,container,3150,BOX OR CHEST,NA,BOX OR CHEST,"caja, cajón",3,319,449,55,NA,NA,NA,"baúl, cajón","caja, cajón",cajón,NA,NA,"trunk, box",box,"box, drawer",NA,NA
121,thing,1161,THREAD,,THREAD,hilo,6,106,512,34,86,37,52,hilo,hilo,hilo,hilo,hilo,thread,thread,thread,thread,string
122,thing,1475,COMB,NA,COMB,peine,5,82,91,172,77,NA,75,peine,peine,peine,NA,peine,comb,comb,comb,comb,comb
123,thing,1218,ROPE,NA,ROPE,"mecate, cuerda",4,44,184,NA,14,6,NA,mecate,"mecate, cuerda",NA,mecate,NA,rope,"rope, cord",NA,rope,NA
124,thing,1667,HOLE,NA,HOLE,hoyo,4,304,514,135,41,NA,NA,agujero,hoyo,agujero,NA,NA,hole,hole,hole,hole,NA
125,thing,2963,NET,NA,NET,red,3,83,174; 316,42,NA,NA,NA,"rede,red",red,red,NA,NA,"net, mesh",net,net bag,NA,NA
126,thing,788,SOAP,NA,SOAP,jabón,3,NA,509,NA,71,NA,54,NA,jabón,NA,NA,jabón,NA,soap,NA,soap,soap
127,thing,1374,RING,NA,RING,anillo,2,NA,278,NA,NA,NA,8,NA,anillo,NA,NA,anillo,NA,ring,NA,NA,ring
128,nature,1313,MOON,,MOON,luna,5,4,465,NA,75,27,60,luna,luna,NA,luna,luna,moon,moon,NA,moon,moon
129,nature,1489,CLOUD,NA,CLOUD,nube,2,68,189,NA,NA,NA,NA,nube,nube,NA,NA,NA,cloud,cloud,NA,NA,NA
130,nature,1654,LIGHTNING,NA,LIGHTNING,"rayo, relámpago",2,17,NA,NA,NA,14,NA,"rayo, relámpago",NA,NA,rayo,NA,lightning,NA,NA,NA,NA
131,nature,948,WATER,NA,WATER,agua,4,5,132,22,4,NA,NA,agua,agua,agua,NA,NA,water,water,water,water,NA
132,nature,658,RAIN (PRECIPITATION),NA,RAIN (PRECIPITATION),lluvia,4,23,108,1,NA,NA,59,lluvia,lluvia,lluvia,NA,lluvia,rain,rain,rain,NA,rain
133,nature,3311,FLOWING BODY OF WATER,,RIVER,río,5,77,NA,23,58,44,83,río,NA,río,río,río,river,NA,river,river,river
134,nature,1977,DEW,NA,DEW,rocío,3,135,NA,178,NA,52,NA,"rocío,sereno",NA,rocio,rocío,NA,dew,NA,dew,NA,NA
135,nature,2118,MOUNTAIN OR HILL,NA,MOUNTAIN OR HILL,cerro,4,34,NA,71,8,NA,25,cerro,NA,cerro,NA,cerro,mountain,NA,hill,mountain,mountain
136,nature,652,PLAIN,NA,PLAIN,llanura,3,126,347,156,NA,NA,NA,llanura,llano,llano,NA,NA,"plain, flatland",plain,plain,NA,NA
137,nature,606,GRASS,NA,GRASS,"zacate, pasto",4,86,442,NA,NA,19,72,"zacate, pasto",pasto,NA,pasto,pasto,grass,pasture,NA,NA,grass
138,nature,857,STONE,NA,STONE,piedra,5,28,495,175,74,28,NA,piedra,piedra,piedra,piedra,NA,rock,stone,stone,stone,NA
139,material,1850,COTTON,NA,COTTON,algodón,5,113,80,50,64,29,NA,algodón,algodón,algodón,algodón,NA,cotton,cotton,cotton,cotton,NA
140,material,2244,METAL,NA,METAL,fierro,4,87,NA,183,50,72,NA,fierro,NA,fierro,metal,NA,metal,NA,brand,metal,NA
141,material,648,PAPER,NA,PAPER,papel,4,88,492,NA,31,25,NA,papel,papel,NA,papel,NA,paper,paper,NA,paper,NA
142,material,2540,LIME (MATERIAL),NA,LIME (MATERIAL),cal,3,56,166,NA,33,NA,NA,cal,cal,NA,NA,NA,(quick)lime,lime,NA,lime,NA
143,material,1931,BEESWAX,NA,BEESWAX,cera,3,95,493,7,NA,NA,NA,cera,cera,cera,NA,NA,wax,wax,wax,NA,NA
144,material,640,MUD,NA,MUD,lodo,3,105,280,24,NA,NA,NA,lodo,lodo,lodo,NA,NA,mud,mud,mud,NA,NA
145,material,1768,FOAM,NA,FOAM,espuma,3,107,472,38,NA,NA,NA,espuma,espuma,espuma,NA,NA,foam,foam,foam,NA,NA
146,material,2,DUST,NA,DUST,polvo,3,124,475,NA,NA,NA,80,polvo,polvo,NA,NA,polvo,"dust, powder","powder, dust",NA,NA,dust
147,color,156,RED,,RED,rojo,6,159,124,31,102,61,85,rojo,rojo,rojo,"rojo, colorado",rojo,red,red,red,red,red
148,color,1425,GREEN,NA,GREEN,verde,5,160,123,NA,100,68,97,verde,verde,NA,verde,verde,green,green,NA,green,green
149,color,1424,YELLOW,NA,YELLOW,amarillo,5,161,NA,78,103,60,5,amarillo,NA,amarillo,amarillo,amarillo,yellow,NA,yellow,yellow,yellow
150,color,163,BLACK,NA,BLACK,negro,4,157,125,NA,95,NA,67,negro,negro,NA,NA,negro,black,black,NA,black,black
151,color,1335,WHITE,NA,WHITE,blanco,4,158,78,NA,99,NA,10,blanco,blanco,NA,NA,blanco,white,white,NA,white,white
152,number,1493,ONE,NA,ONE,uno,3,176,520,NA,30,NA,NA,uno,uno,NA,NA,NA,one,one,NA,one,NA
153,number,1498,TWO,,TWO,dos,6,177,56,138,89,42,37,dos,dos,dos,dos,dos,two,two,two,two,two
154,number,492,THREE,NA,THREE,tres,3,178,50,26,NA,NA,NA,tres,tres,tres,NA,NA,three,three,three,NA,NA
155,number,1500,FOUR,NA,FOUR,cuatro,5,179,86,4,62,NA,36,cuatro,cuatro,cuatro,NA,cuatro,four,four,four,four,four
156,number,493,FIVE,NA,FIVE,cinco,5,180,462,28,90,39,NA,cinco,cinco,cinco,cinco,NA,five,five,five,five,NA
157,number,1703,SIX,NA,SIX,seis,4,181,48,106,NA,35,NA,seis,seis,seis,seis,NA,six,six,six,NA,NA
158,number,1704,SEVEN,NA,SEVEN,siete,4,182,424,33,NA,NA,89,siete,siete,siete,NA,siete,seven,seven,seven,NA,seven
159,number,1705,EIGHT,NA,EIGHT,ocho,3,183,375,89,NA,NA,NA,ocho,ocho,ocho,NA,NA,eight,eight,eight,NA,NA
160,number,1483,NINE,NA,NINE,nueve,4,184,518,NA,88,NA,69,nueve,nueve,NA,NA,nueve,nine,nine,NA,nine,nine
161,number,1515,TEN,NA,TEN,diez,3,185,427,123,NA,NA,NA,diez,diez,diez,NA,NA,ten,ten,ten,NA,NA
162,number,1709,FIFTEEN,NA,FIFTEEN,quince,3,190,318,121,NA,NA,NA,quince,quince,quince,NA,NA,fifteen,fifteen,fifteen,NA,NA
163,number,1710,TWENTY,NA,TWENTY,veinte,2,195,98,NA,NA,NA,NA,veinte,veinte,NA,NA,NA,twenty,twenty,NA,NA,NA
164,property,1674,POOR,,POOR,pobre,6,260,204,137,104,64,79,pobre,pobre,pobre,pobre,pobre,poor,poor,poor,poor,poor
165,property,712,RICH,NA,RICH,rico,2,261,NA,NA,NA,NA,84,rico,NA,NA,NA,rico,rich,NA,NA,NA,rich
166,property,1287,COLD,NA,COLD,frío,5,152,7; 221,124,59,51,NA,frío,estar frio,frio,frio,NA,cold,be cold,cold,cold,NA
167,property,1286,HOT,NA,HOT,está caliente,2,151,NA,84,NA,NA,NA,está caliente,NA,caliente,NA,NA,hot,NA,hot,NA,NA
168,property,1202,BIG,NA,BIG,grande,5,154,307,65,98,58,NA,grande,grande,grande (sg.),grande,NA,big,"big, large",big (sg.),big (sg),NA
169,property,1246,SMALL,NA,SMALL,"pequeño, chico",3,153,NA,153,108,NA,NA,"pequeño, chico",NA,chico,NA,NA,small,NA,little,little,NA
170,property,1035,GOOD,NA,GOOD,bueno,5,155,274,112,60,NA,13,bueno,bueno,bueno,NA,bueno,good,good,good,good,good
171,property,717,SWEET,NA,SWEET,dulce,5,166,404,133,87,NA,38,dulce,dulce,dulce,NA,dulce,sweet,sweet,sweet,sweet,sweet
172,property,1091,SALTY,NA,SALTY,salado,2,168,NA,47,NA,NA,NA,salado,NA,salado,NA,NA,salty,NA,salty,NA,NA
173,property,887,BITTER,NA,BITTER,amargo,2,167,NA,29,NA,NA,NA,amargo,NA,amargo,NA,NA,bitter,NA,bitter,NA,NA
