LEXEME,"('IMPF', 'PFV')","('IMPF', 'IRR')","('PFV', 'IRR')"
V052_kasini,_ ⇌ 1_1 / _5?[1-3]_[1-3]*, ⇌ 1 / [3-5]*_[1-3]*,1 ⇌  / _X+
V053_suva'a, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V054_ntikoo,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V055_kuni,333 ⇌ 11 / _3,33 ⇌  / _3+,11 ⇌ 3 / _X+
V056_kashi,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V057_tashi,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V058_sakuchi, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V059_kuchi,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V060_kunani, ⇌ 11 / 1?_[1-3][3-5], ⇌ 3 / _X+,11 ⇌ 3 / _X+
V061_saka,55 ⇌ 133 / _5*,55 ⇌ 33 / _5*,1 ⇌  / _X+
V062_chikaa,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V063_kutxiya'a,3 ⇌ 111 / _555, ⇌  / X+,111 ⇌ 3 / _555
V064_tava,55 ⇌ 133 / _5*,55 ⇌ 33 / _5*,1 ⇌  / _X+
V065_ntikatxa,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V066_koxoo,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V067_taan,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V068_ntova,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V069_kuñu'un,5 ⇌ 113 / _[3-5],5 ⇌ 33 / _[3-5],11 ⇌ 3 / _X+
V070_yakua,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V071_nuna,55 ⇌ 111 / _,55 ⇌ 11 / _,1 ⇌  / _X+
V072_kuna,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V073_kixa'a,3 ⇌ 11 / _X+,3 ⇌ 5 / [3-5]_5?,11_ ⇌ _5 / _[3-5]_5+
V074_ntantoso,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V075_kuntxi'i,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V076_kotontoso,5 ⇌ 11 / _X+,5 ⇌ 3 / _X+,11 ⇌ 3 / _X+
V077_kumani,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V078_kotoo,_3 ⇌ 1_5 / _[3-5]_5?,3 ⇌ 5 / [3-5]_5?,1 ⇌  / _X+
V079_kasun,55 ⇌ 133 / _5*,55 ⇌ 33 / _5*,1 ⇌  / _X+
V080_sakasun, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V081_kutxaki,55 ⇌ 1133 / _,55 ⇌ 333 / _,11 ⇌ 3 / _X+
V082_koo,5 ⇌ 11 / _X+,5 ⇌ 3 / _X+,11 ⇌ 3 / _X+
V083_txe'i,55 ⇌ 111 / _,55 ⇌ 11 / _,1 ⇌  / _X+
V084_kagua,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V085_ntataka,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V086_santuvi,5 ⇌ 13 / _X+, ⇌  / X+,13 ⇌ 5 / _33
V087_kuchuun, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V088_ntiki,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V089_saka'a,3 ⇌ 11 / _X+,3 ⇌ 1 / _X+,1 ⇌  / _X+
V090_ntika'nu,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V091_kachi,55 ⇌ 133 / _5*,55 ⇌ 33 / _5*,1 ⇌  / _X+
V092_ntachinuu,5_5 ⇌ 13_3 / _3?[3-5]_,5_5 ⇌ 3_3 / _3?[3-5]_,1 ⇌  / _X+
V093_santoko, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V094_kotuntxe'e,5 ⇌ 1133 / _5,5 ⇌ 333 / _5,11 ⇌ 3 / _X+
V095_ntiyaa,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V096_txitxiin,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V097_txiin,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V098_kunti'i,5 ⇌ 11 / _X+,5 ⇌ 3 / _X+,11 ⇌ 3 / _X+
V099_nu'un, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V100_ntake'e,5_5 ⇌ 133_ / _[3-5]+_,5_5 ⇌ 33_ / _[3-5]+_,1 ⇌  / _X+
V101_taan,55 ⇌ 133 / _5*,55 ⇌ 33 / _5*,1 ⇌  / _X+
V102_ku'un,3 ⇌ 1 / _11,3 ⇌  / _11,1 ⇌  / _X+
V103_ntikue'e, ⇌ 13 / _X+, ⇌ 3 / _X+,1 ⇌  / _X+
V104_ntxi'i,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V105_tivi,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V106_ka'mu,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V107_kuixa,5 ⇌ 11 / _X+,5 ⇌ 31 / _[1-3],1 ⇌ 3 / _[1-3]+
V108_kaxi,55 ⇌ 133 / _5*,55 ⇌ 33 / _5*,1 ⇌  / _X+
V109_kee,55 ⇌ 133 / _5*,55 ⇌ 33 / _5*,1 ⇌  / _X+
V110_ke'e,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V111_xani,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V112_kusiiini,5_ ⇌ 1_1 / _3?[1-3]_[1-3]+3*,5_ ⇌ _1 / _[1-3]?1_3*,1 ⇌  / _X+
V113_kotoini,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V114_koto,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V115_nto'o,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V116_ntikua'a, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V117_kotoni'ni,53 ⇌ 111 / _3*,53 ⇌ 11 / _3*,1 ⇌  / _X+
V118_ntakan,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V119_ntakatu'un,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V120_kana,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V121_chintxee,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V122_ki'in, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V123_txatxa,55 ⇌ 113 / _,55 ⇌ 13 / _,1 ⇌  / _X+
V124_nuu,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V125_nuuse'e,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V126_keta,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V127_koyo,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V128_xaa,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V129_satatan, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V130_kini,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V131_ntashita,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V132_kuna,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V133_kukumi,5 ⇌ 113 / _[3-5],5 ⇌ 33 / _[3-5],11 ⇌ 3 / _X+
V134_tavi,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V135_si'vi,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V136_ntava,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V137_kani'i,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V138_chiñu'u, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V139_kataxa'a,3 ⇌ 11 / _X+, ⇌  / X+,11 ⇌ 3 / _X+
V140_ki'vi,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V141_kukii,55 ⇌ 1133 / _,55 ⇌ 333 / _,11 ⇌ 3 / _X+
V142_ntakatxa,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V143_katun,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V144_ntikaxi,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V145_txivintxaa,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V146_ntakoto,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V147_kunu,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V148_chinii,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V149_kutaka,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V150_kataka,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V151_ntata,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V152_kuya'a, ⇌ 13 / _X+, ⇌ 3 / _X+,1 ⇌  / _X+
V153_ntikua'a, ⇌ 13 / _X+, ⇌ 3 / _X+,1 ⇌  / _X+
V154_ntasi,55 ⇌ 1133 / _,55 ⇌ 333 / _,11 ⇌ 3 / _X+
V155_soo,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V156_kuntaa,5 ⇌ 111 / _[1-3],5 ⇌ 31 / _[1-3],11 ⇌ 3 / _X+
V157_kantxaa,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V158_ya'a,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V159_ntixaa,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V160_txaso'o,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V161_ntuta'an,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V162_kutuntxe'e,3 ⇌ 11 / _X+,_5 ⇌ 3_ / 3*_[3-5]_[3-5]*,11_5 ⇌ _33 / _33_
V163_chintoo,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V164_chitivintxaa,_1 ⇌ 1_3 / _33_33,1_ ⇌ _3 / 3*_3+_,1 ⇌  / _X+
V165_koso,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V166_vaxi, ⇌ 3 / 1_3+,1_ ⇌ _3 / 3*_3+_,1 ⇌  / _X+
V167_tanta'a,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V168_ka'an,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V169_sa'antxiva'a, ⇌ 1 / _X+,1 ⇌ 3 / [3-5]+3_1?,1_1 ⇌ _3 / _[3-5]+3_1?
V170_kanii,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V171_kontoo,3 ⇌ 11 / _X+,3 ⇌ 1 / _X+,1 ⇌  / _X+
V172_ntikintxee,5_ ⇌ 1_3 / _[3-5]_X*,5_ ⇌ _3 / _5?3+_X*,1 ⇌  / _X+
V174_tivi,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V175_kata,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V176_ntxikoni'i,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V177_chinuu,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V178_,5 ⇌ 131 / _1,5 ⇌ 31 / _[1-3],1 ⇌  / _X+
V179_sakua'a, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V180_kantakava,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V181_kanta,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V182_xaa, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V183_ntani'i,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V184_ntativi,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V185_kukuiti, ⇌ 1 / _X+,5 ⇌ 3 / _X+,15 ⇌ 3 / _335
V186_sakutxiya'a, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V187_sakukunuo, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V188_koto'va,5 ⇌ 11 / _X+,5 ⇌ 3 / _X+,11 ⇌ 3 / _X+
V189_ntoo,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V190_ntaki'in,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V191_ni'i,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V192_kuka'nu,3 ⇌ 11 / _X+, ⇌  / X+,11 ⇌ 3 / _X+
V193_xaa,_3 ⇌ 1_5 / _[3-5]_5?,3 ⇌ 5 / [3-5]_5?,1 ⇌  / _X+
V194_koko,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V195_tivi,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V196_santxi'i, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V197_tase'e, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V198_kaa,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V199_santoo, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V200_kontoo,5 ⇌ 113 / _[3-5],5 ⇌ 33 / _[3-5],11 ⇌ 3 / _X+
V201_ntañuu,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V202_ntaa,33 ⇌ 1 / _33,33 ⇌  / _3+,1 ⇌  / _X+
V203_xinu,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V204_katxa,55 ⇌ 133 / _5*,55 ⇌ 33 / _5*,1 ⇌  / _X+
V205_kuitxa,5 ⇌ 11 / _X+,5 ⇌ 31 / _[1-3],1 ⇌ 3 / _[1-3]+
V206_yakun,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V207_katei,33 ⇌ 111 / _1,33 ⇌ 11 / _1,1 ⇌  / _X+
V208_nañu,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V209_nuntxa'a,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V210_ntiku'unini,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V211_saya'a, ⇌ 1 / _X+,5 ⇌  / _[1-3]+,15 ⇌  / _[1-3]+
V212_ku'ni,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V213_kaan,55 ⇌ 133 / _5*,55 ⇌ 33 / _5*,1 ⇌  / _X+
V214_yata,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V215_ka'ntxi,55 ⇌ 133 / _5*,55 ⇌ 33 / _5*,1 ⇌  / _X+
V216_xuun,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V217_tuun,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V218_chikava'a,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V219_ntakaa, ⇌ 1 / _X+,5 ⇌  / _[1-3]+,15 ⇌  / _[1-3]+
V220_chikanii, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V221_yivintxaa, ⇌ 3 / 1_3+,1_ ⇌ _3 / 3*_3+_,1 ⇌  / _X+
V222_chikili,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V223_txa'ntxa,55 ⇌ 111 / _,55 ⇌ 11 / _,1 ⇌  / _X+
V224_kuntasi,3 ⇌ 11 / _X+,3 ⇌ 1 / _X+,1 ⇌  / _X+
V225_kuntakaa,53_ ⇌ 11_11 / _3_,5_ ⇌ _11 / _33_,11 ⇌ 3 / _X+
V226_cho'o,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V227_kuva'a,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V228_kee,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V229_kai,3 ⇌ 11 / _X+,3 ⇌ 1 / _X+,1 ⇌  / _X+
V230_ka'a,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V231_sakuachi, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V232_shita,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V233_ntakaxi,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V234_txaa,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V235_sana'a, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V236_ntuva'a,5 ⇌ 11 / _X+,5 ⇌ 3 / _X+,11 ⇌ 3 / _X+
V237_saka,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V238_chita'an,5 ⇌ 11 / _X+,5 ⇌ 3 / _X+,11 ⇌ 3 / _X+
V239_ntakuni,5 ⇌ 11 / _X+,5 ⇌ 3 / _X+,11 ⇌ 3 / _X+
V240_sanuntxa'a, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V241_kununu,5 ⇌ 11 / _X+,5 ⇌ 3 / _X+,11 ⇌ 3 / _X+
V242_kakintxaa, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V243_ta'vi,55 ⇌ 111 / _,55 ⇌ 11 / _,1 ⇌  / _X+
V244_kavanuu,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V245_ntisaka,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V246_saa,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V247_kuntaa, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V248_ntxikokoo,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V249_kukuaan, ⇌ 13 / _X+, ⇌ 3 / _X+,1 ⇌  / _X+
V250_kuxiva'a,_ ⇌ 1_1 / _5?[1-3]_[1-3]*, ⇌ 1 / [3-5]*_[1-3]*,1 ⇌  / _X+
V251_kukuii, ⇌ 13 / _X+, ⇌ 3 / _X+,1 ⇌  / _X+
V252_kuita,_5 ⇌ 13_ / _[3-5]?5_,_5 ⇌ 3_ / 3*_[3-5]_[3-5]*,1 ⇌  / _X+
V253_kuntxee, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V254_shu'un,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V255_sana,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V256_ntatava,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V257_chintxaa,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V258_xixin,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V259_chiko'va,5_5 ⇌ 133_ / _[3-5]+_,5_5 ⇌ _13 / _3_,13_ ⇌ _1 / _3_3
V260_sakee, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V261_sakoyo, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V262_kuntxitxa,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V263_numi,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V264_ntantiki,5_5 ⇌ 133_ / _[3-5]+_,5_5 ⇌ 33_ / _[3-5]+_,1 ⇌  / _X+
V265_sante'i, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V266_ntasaa,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V267_kunte'i, ⇌ 13 / _X+, ⇌ 3 / _X+,1 ⇌  / _X+
V268_tana,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V269_txañu,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V270_txian,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V271_kukuiin, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V272_ntakasi,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V273_sakitxi, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V274_saketa, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V275_ntiko'o,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V276_kuxiva'a, ⇌ 13 / _X+, ⇌ 3 / _X+,1 ⇌  / _X+
