LEXEME,"('IMPF', 'PFV')","('IMPF', 'IRR')","('PFV', 'IRR')"
V072_kuna,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V073_kixa'a,3 ⇌ 11 / _[1-3-5]+ <10>,3 ⇌ 5 / [3-5]_5? <3>,11_ ⇌ _5 / _[3-5]_5+ <2>
V074_ntantoso,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V075_kuntxi'i,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V076_kotontoso,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 3 / _[1-3-5]+ <145>,11 ⇌ 3 / _[1-3-5]+ <28>
V077_kumani,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V078_kotoo,_3 ⇌ 1_5 / _[3-5]_5? <2>,3 ⇌ 5 / [3-5]_5? <3>,1 ⇌  / _[1-3-5]+ <282>
V079_kasun,55 ⇌ 133 / _5* <17>,55 ⇌ 33 / _5* <17>,1 ⇌  / _[1-3-5]+ <282>
V080_sakasun, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V081_kutxaki,55 ⇌ 1133 / _ <4>,55 ⇌ 333 / _ <4>,11 ⇌ 3 / _[1-3-5]+ <28>
V082_koo,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 3 / _[1-3-5]+ <145>,11 ⇌ 3 / _[1-3-5]+ <28>
V083_txe'i,55 ⇌ 111 / _ <5>,55 ⇌ 11 / _ <5>,1 ⇌  / _[1-3-5]+ <282>
V084_kagua,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V085_ntataka,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V086_santuvi,5 ⇌ 13 / _[1-3-5]+ <140>, ⇌  / [1-3-5]+ <46>,13 ⇌ 5 / _33 <1>
V087_kuchuun, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V088_ntiki,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V089_saka'a,3 ⇌ 11 / _[1-3-5]+ <10>,3 ⇌ 1 / _[1-3-5]+ <6>,1 ⇌  / _[1-3-5]+ <282>
V090_ntika'nu,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V091_kachi,55 ⇌ 133 / _5* <17>,55 ⇌ 33 / _5* <17>,1 ⇌  / _[1-3-5]+ <282>
V092_ntachinuu,5_5 ⇌ 13_3 / _3?[3-5]_ <4>,5_5 ⇌ 3_3 / _3?[3-5]_ <3>,1 ⇌  / _[1-3-5]+ <282>
V093_santoko, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V094_kotuntxe'e,5 ⇌ 1133 / _5 <1>,5 ⇌ 333 / _5 <1>,11 ⇌ 3 / _[1-3-5]+ <28>
V095_ntiyaa,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V096_txitxiin,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V097_txiin,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V098_kunti'i,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 3 / _[1-3-5]+ <145>,11 ⇌ 3 / _[1-3-5]+ <28>
V099_nu'un, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V100_ntake'e,5_5 ⇌ 133_ / _[3-5]+_ <5>,5_5 ⇌ 33_ / _[3-5]+_ <4>,1 ⇌  / _[1-3-5]+ <282>
V101_taan,55 ⇌ 133 / _5* <17>,55 ⇌ 33 / _5* <17>,1 ⇌  / _[1-3-5]+ <282>
V102_ku'un,3 ⇌ 1 / _11 <1>,3 ⇌  / _11 <1>,1 ⇌  / _[1-3-5]+ <282>
V103_ntikue'e, ⇌ 13 / _[1-3-5]+ <7>, ⇌ 3 / _[1-3-5]+ <8>,1 ⇌  / _[1-3-5]+ <282>
V104_ntxi'i,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V105_tivi,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V106_ka'mu,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V107_kuixa,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 31 / _[1-3] <6>,1 ⇌ 3 / _[1-3]+ <9>
V108_kaxi,55 ⇌ 133 / _5* <17>,55 ⇌ 33 / _5* <17>,1 ⇌  / _[1-3-5]+ <282>
V109_kee,55 ⇌ 133 / _5* <17>,55 ⇌ 33 / _5* <17>,1 ⇌  / _[1-3-5]+ <282>
V110_ke'e,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V111_xani,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V112_kusiiini,5_ ⇌ 1_1 / _3?[1-3]_[1-3]+3* <6>,5_ ⇌ _1 / _[1-3]?1_3* <26>,1 ⇌  / _[1-3-5]+ <282>
V113_kotoini,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V114_koto,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V115_nto'o,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V116_ntikua'a, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V117_kotoni'ni,53 ⇌ 111 / _3* <3>,53 ⇌ 11 / _3* <3>,1 ⇌  / _[1-3-5]+ <282>
V118_ntakan,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V119_ntakatu'un,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V120_kana,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V121_chintxee,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V122_ki'in, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V123_txatxa,55 ⇌ 113 / _ <2>,55 ⇌ 13 / _ <2>,1 ⇌  / _[1-3-5]+ <282>
V124_nuu,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V125_nuuse'e,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V126_keta,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V127_koyo,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V128_xaa,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V129_satatan, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V130_kini,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V131_ntashita,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V132_kuna,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V133_kukumi,5 ⇌ 113 / _[3-5] <7>,5 ⇌ 33 / _[3-5] <11>,11 ⇌ 3 / _[1-3-5]+ <28>
V134_tavi,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V135_si'vi,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V136_ntava,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V137_kani'i,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V138_chiñu'u, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V139_kataxa'a,3 ⇌ 11 / _[1-3-5]+ <10>, ⇌  / [1-3-5]+ <46>,11 ⇌ 3 / _[1-3-5]+ <28>
V140_ki'vi,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V141_kukii,55 ⇌ 1133 / _ <4>,55 ⇌ 333 / _ <4>,11 ⇌ 3 / _[1-3-5]+ <28>
V142_ntakatxa,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V143_katun,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V144_ntikaxi,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V145_txivintxaa,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V146_ntakoto,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V147_kunu,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V148_chinii,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V149_kutaka,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V150_kataka,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V151_ntata,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V152_kuya'a, ⇌ 13 / _[1-3-5]+ <7>, ⇌ 3 / _[1-3-5]+ <8>,1 ⇌  / _[1-3-5]+ <282>
V153_ntikua'a, ⇌ 13 / _[1-3-5]+ <7>, ⇌ 3 / _[1-3-5]+ <8>,1 ⇌  / _[1-3-5]+ <282>
V154_ntasi,55 ⇌ 1133 / _ <4>,55 ⇌ 333 / _ <4>,11 ⇌ 3 / _[1-3-5]+ <28>
V155_soo,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V156_kuntaa,5 ⇌ 111 / _[1-3] <2>,5 ⇌ 31 / _[1-3] <6>,11 ⇌ 3 / _[1-3-5]+ <28>
V157_kantxaa,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V158_ya'a,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V159_ntixaa,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V160_txaso'o,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V161_ntuta'an,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V162_kutuntxe'e,3 ⇌ 11 / _[1-3-5]+ <10>,_5 ⇌ 3_ / 3*_[3-5]_[3-5]* <34>,11_5 ⇌ _33 / _33_ <1>
V163_chintoo,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V164_chitivintxaa,_1 ⇌ 1_3 / _33_33 <1>,1_ ⇌ _3 / 3*_3+_ <3>,1 ⇌  / _[1-3-5]+ <282>
V165_koso,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V166_vaxi, ⇌ 3 / 1_3+ <2>,1_ ⇌ _3 / 3*_3+_ <3>,1 ⇌  / _[1-3-5]+ <282>
V167_tanta'a,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V168_ka'an,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V169_sa'antxiva'a, ⇌ 1 / _[1-3-5]+ <45>,1 ⇌ 3 / [3-5]+3_1? <2>,1_1 ⇌ _3 / _[3-5]+3_1? <2>
V170_kanii,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V171_kontoo,3 ⇌ 11 / _[1-3-5]+ <10>,3 ⇌ 1 / _[1-3-5]+ <6>,1 ⇌  / _[1-3-5]+ <282>
V172_ntikintxee,5_ ⇌ 1_3 / _[3-5]_[1-3-5]* <97>,5_ ⇌ _3 / _5?3+_[1-3-5]* <97>,1 ⇌  / _[1-3-5]+ <282>
V174_tivi,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V175_kata,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V176_ntxikoni'i,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V177_chinuu,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V178_,5 ⇌ 131 / _1 <1>,5 ⇌ 31 / _[1-3] <6>,1 ⇌  / _[1-3-5]+ <282>
V179_sakua'a, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V180_kantakava,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
