ID	Doculect	Concept	Form	PMCouplet	CogID_Durr	ToneMod	CitForm	IDlist	ID
729	alac11	hand	ⁿdàʔā	HHʔ	5	no	no	27	2212
767	metl11	hand	ⁿdàʔā	HHʔ	5	no	no	27	2213
831	cahu11	hand	ⁿdāʔā	HHʔ	5	no	no	27	2214
907	mixt11	hand	ⁿdāʔá	HHʔ	5	no	no	27	2215
964	prog12	hand	ⁿdáʔà	HHʔ	5	no	no	27	2216
1047	jica11	hand	ⁿdàʔà	HHʔ	5	no	no	27	2217
183	coat11	fingernail	ȼì̧ì̧	MT	91	no	no	28	2218
412	atat11	fingernail	Ní̧í̧	MT	91	no	no	28	2219
520	gran11	fingernail	tíñū	MT	91	no	no	28	2220
595	caca11	fingernail	čí̧ì̧	MT	91	no	no	28	2221
650	xaya11	fingernail	čī̧ī̧	MT	91	no	no	28	2222
755	alac11	fingernail	číì	MT	91	no	no	28	2223
818	metl11	fingernail	čí̧ì̧	MT	91	no	no	28	2224
894	cahu11	fingernail	čī̧ī̧	MT	91	no	no	28	2225
950	mixt11	fingernail	čî̧í̧	MT	91	no	no	28	2226
1029	prog12	fingernail	čí̧ì̧	MT	91	no	no	28	2227
1097	jica11	fingernail	tìñì	MT	91	no	no	28	2228
73	peno11	stomach	šɨ̀tɨ́	LH	46	no	no	30	2229
231	moli11	stomach	čìī	LH	46	no	no	30	2230
294	ocot11	stomach	čìhī	LH	46	no	no	30	2231
370	atat11	stomach	čìhī	LH	46	no	no	30	2232
475	gran11	stomach	čìī	LH	46	no	no	30	2233
566	caca11	stomach	tìšī	LH	46	no	no	30	2234
790	metl11	stomach	tīšī	LH	46	no	no	30	2235
860	cahu11	stomach	tīšī	LH	46	no	no	30	2236
925	mixt11	stomach	tīȼī	LH	46	no	no	30	2237
991	prog12	stomach	tìšī	LH	46	no	no	30	2238
1071	jica11	stomach	tíčí	LH	46	no	no	30	2239
22	diux11	foot	šé’ʔé	LL	84	no	no	32	2240
106	peno11	foot	sáʔá	LL	84	no	no	32	2241
315	ocot11	foot	xèʔè	LL	84	no	no	32	2242
405	atat11	foot	xēʔè	LL	84	no	no	32	2243
513	gran11	foot	xāʔà	LL	84	no	no	32	2244
591	caca11	foot	sàʔà	LL	84	no	no	32	2245
753	alac11	foot	šàʔà	LL	84	no	no	32	2246
816	metl11	foot	šàʔā	LL	84	no	no	32	2247
888	cahu11	foot	šāʔā	LL	84	no	no	32	2248
1023	prog12	foot	šàʔà	LL	84	no	no	32	2249
1141	chay11	foot	šàʔà	LL	84	no	no	32	2250
14	diux11	medicine	tá’tná̧	LLʔ	61	no	no	34	2251
241	moli11	medicine	tàtà̧	LLʔ	61	no	no	34	2252
303	ocot11	medicine	tà̧tà̧	LLʔ	61	no	no	34	2253
384	atat11	medicine	tāNà	LLʔ	61	no	no	34	2254
490	gran11	medicine	tānà	LLʔ	61	no	no	34	2255
575	caca11	medicine	tàtà 	LLʔ	61	yes	no	34	2256
802	metl11	medicine	tàtà̧ 	LLʔ	61	yes	no	34	2257
935	mixt11	medicine	tàtǎ	LLʔ	61	no	no	34	2258
1002	prog12	medicine	tàtà	LLʔ	61	no	no	34	2259
1129	chay11	medicine	tàtà	LLʔ	61	no	no	34	2260
1150	metl11	medicine	tàtā̧ 	LLʔ	61	yes	no	34	2261
134	coat11	clothes	đàʔmà̧	HHʔ	6	no	no	39	2262
203	moli11	clothes	sāʔmā 	HHʔ	6	yes	no	39	2263
273	ocot11	clothes	sāʔmā	HHʔ	6	no	no	39	2264
334	atat11	clothes	sāʔmā	HHʔ	6	no	no	39	2265
