ID	Doculect	Concept	Form	PMCouplet	CogID_Durr
557	caca11	aunt	đīđì	HL	35
558	caca11	bird	tì-lāà	HL	37
559	caca11	wall	nā̧mà̧	HL	38
560	caca11	town	ñō̧ò̧	HL	39
561	caca11	brother	ñāñī̧	HL	40
562	caca11	dog	t-ì̧nā̧	HL	45
563	caca11	stomach	tìšī	LH	46
564	caca11	clay pot	kìđī	LH	49
565	caca11	metal	kàā	LH	50
566	caca11	meat	kò̧ñō̧	LH	51
567	caca11	child	đèʔē	LH	54
568	caca11	ear	đòʔō	LH	56
569	caca11	tooth	nò̧ʔō̧	LH	57
570	caca11	cold	ƀìšī	LH	59
571	caca11	good	ƀàʔā	LH	60
572	caca11	medicine	tàtà (M)	LLʔ	61
573	caca11	four	kòmì̧ (M)	LLʔ	62
574	caca11	cotton	kàčì	LLʔ	64
575	caca11	snake	kòò	LLʔ	65
576	caca11	sandal	ⁿdìsà	LLʔ	66
577	caca11	cane	ⁿdòò (M)	LLʔ	67
578	caca11	tortilla	đìtà (M)	LLʔ	68
579	caca11	head	đìnì (M)	LLʔ	69
580	caca11	comal	šòò (M)	LLʔ	70
581	caca11	soap	nàmà (M)	LLʔ	71
582	caca11	stone	žùù	LLʔ	74
583	caca11	comb	kùkà	LL	77
584	caca11	sister	kùʔù	LL	78
585	caca11	to cut	tèʔⁿdè	LL	79
586	caca11	to speak	kà̧ʔà̧	LL	80
587	caca11	year	kùà	LL	81
588	caca11	foot	sàʔà	LL	84
589	caca11	thread	žùʔà	LL	86
590	caca11	sweet	ƀìđì	LL	87
591	caca11	nine	ì̧ì̧	LL	88
592	caca11	fingernail	čí̧ì̧	MT	91
593	caca11	turkey hen	čò̧ò̧	MT	93
594	caca11	fish	tì-žākā	MT	94
595	caca11	long	kánì̧	MT	97
596	caca11	white	kúší	MT	99
597	caca11	green	kʷíì	MT	100
598	caca11	red	kʷàʔá	MT	102
599	caca11	yellow	kʷà̧á̧	MT	103
600	caca11	to sell	đìkò	MT	105
601	caca11	new	sàà	MT	107
602	caca11	little	līlūū	MT	108
603	caca11	tongue	žáà	MT	110
604	xaya11	animal	kīsì (M)	HHʔ	1
605	xaya11	hand	ⁿdāʔà (M)	HHʔ	5
606	xaya11	clothes	đāʔmà̧ (M)	HHʔ	6
607	xaya11	straw mat	yūì	HHʔ	9
608	xaya11	woman	ñā̧ʔà̧	HHʔ	13
609	xaya11	rope	yōʔò	HHʔ	14
610	xaya11	work	čū̧ū̧	HH	16
611	xaya11	handspan	tōō	HH	17
612	xaya11	to be	kūū	HH	20
613	xaya11	now	ƀīčī	HH	27
614	xaya11	house	ƀēʔē	HH	28
615	xaya11	yesterday	īkū	HH	29
