ID,ID_Durr,Doculect,Concept,Form,PMCouplet
357,29,Ata,yesterday,īkū,HH
358,30,Ata,one,ī̧ī̧,HH
359,31,Ata,paper,tūtū,HL
360,33,Ata,lime,kākā,HL
361,34,Ata,uncle,stōō,HL
362,35,Ata,aunt,sīsī,HL
363,37,Ata,bird,sāā,HL
364,39,Ata,town,ñūū,HL
365,40,Ata,brother,ñānī,HL
366,41,Ata,hole,žāū,HL
367,41,Ata,hole,žāƀū,HL
368,42,Ata,flower,ītā,HL
369,44,Ata,inside,īnī,HL
370,45,Ata,dog,īnā,HL
371,46,Ata,stomach,čìhī,LH
372,47,Ata,man,tèē,LH
373,48,Ata,word,Nù̧ʔū̧,LH
374,49,Ata,clay pot,kɨ̀sɨ̄,LH
375,50,Ata,metal,kàā,LH
376,51,Ata,meat,kùñū,LH
377,52,Ata,cross-sex sibling,kʷàʔā,LH
378,54,Ata,child,sèʔē,LH
379,55,Ata,sibling's wife,xènū,LH
380,56,Ata,ear,sòʔō,LH
381,57,Ata,tooth,Nù̧ʔū̧,LH
382,58,Ata,river,žùtē,LH
383,59,Ata,cold,mìxī̧,LH
384,60,Ata,good,ƀàʔā,LH
385,61,Ata,medicine,tāNà,LLʔ
386,62,Ata,four,kū̧ù̧,LLʔ
387,63,Ata,day,kɨ̄ƀɨ̀,LLʔ
388,65,Ata,snake,kōò,LLʔ
389,66,Ata,sandal,ⁿdīxȩ̀,LLʔ
390,67,Ata,cane,ⁿdōò,LLʔ
391,68,Ata,tortilla,stāà,LLʔ
392,69,Ata,head,šīnì,LLʔ
393,70,Ata,comal,xīžò,LLʔ
394,71,Ata,soap,nāmà,LLʔ
395,72,Ata,face,nūù,LLʔ
396,73,Ata,corn,nūnì,LLʔ
397,74,Ata,stone,žūù,LLʔ
398,75,Ata,moon,žōò,LLʔ
399,76,Ata,to go,kɨ̧̄ʔɨ̧̀,LL
400,77,Ata,comb,kūkà,LL
401,78,Ata,sister,kùʔù,LL
402,79,Ata,to cut,kāʔⁿdè,LL
403,80,Ata,to speak,kā̧ʔà̧,LL
404,82,Ata,niece,šīkù,LL
405,83,Ata,nephew,sāxì̧,LL
406,84,Ata,foot,xēʔè,LL
407,85,Ata,"herb, bush",žūkù,LL
408,86,Ata,thread,žūʔƀà,LL
409,87,Ata,sweet,ƀīšì,LL
410,88,Ata,nine,ɨ̧̄ɨ̧̀,LL
411,89,Ata,two,ūù,LL
412,90,Ata,five,ū̧ʔù̧,LL
413,91,Ata,fingernail,Ní̧í̧,MT
414,92,Ata,rat,Nɨ́ñɨ́,MT
415,93,Ata,turkey hen,čù̧ú̧,MT
416,94,Ata,fish,čàká,MT
417,95,Ata,black,Nú̧ú̧,MT
418,96,Ata,sibling's husband,kàsá,MT
419,97,Ata,long,kánī,MT
420,98,Ata,big (sg),káʔnū,MT
421,99,Ata,white,kʷíxí̧,MT
422,103,Ata,yellow,kʷá̧á̧,MT
423,104,Ata,poor,ⁿdáʔú,MT
424,105,Ata,to sell,šìkó,MT
425,106,Ata,precious metal,šù̧ʔú̧,MT
426,107,Ata,new,xēé,MT
427,108,Ata,little,lùlí,MT
428,109,Ata,people,ñà-žūū,MT
429,110,Ata,tongue,žáá,MT
430,1,SM,animal,kɨ̄tɨ̄ (M),HHʔ
431,2,SM,to eat,kāxī (M),HHʔ
432,3,SM,beans,ⁿdūčī (M),HHʔ
433,4,SM,water,ⁿdūčā (M),HHʔ
434,5,SM,hand,ⁿdāʔā (M),HHʔ
435,6,SM,clothes,sāʔmā (M),HHʔ
436,7,SM,tree,žūnū (M),HHʔ
437,8,SM,mountain,žūkū (M),HHʔ
438,9,SM,straw mat,žūū (M),HHʔ
439,10,SM,mouth,žūʔū (M),HHʔ
440,11,SM,bone,žɨ̄kɨ̄ (M),HHʔ
441,12,SM,chile,žāʔā (M),HHʔ
442,13,SM,woman,ñā̧ʔā̧ (M),HHʔ
443,14,SM,rope,žōʔō (M),HHʔ
444,15,SM,road,īčī (M),HHʔ
445,16,SM,work,tīñū,HH
446,17,SM,handspan,tōō,HH
447,18,SM,to come,kīī,HH
448,19,SM,to run,kūnū,HH
449,20,SM,to be,kūū,HH
450,21,SM,to sing,kātā,HH
451,22,SM,to be born,kākū,HH
452,23,SM,to burn,kāʔmū,HH
453,24,SM,to look,kōtō,HH
454,25,SM,to drink,kōʔō,HH
455,26,SM,to buy,kʷā̧ā̧,HH
