ID	PARAMETER_ID	CONCEPT	DOCULECT	VALUE	FORM	TOKENS	COGIDS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	LANGID	IPA	DUPLICATES
93	1_animal	ANIMAL	SanMiguelElGrandeMixtec_A	kɨtɨ	kɨtɨ	k ɨ ³ t ɨ ³	11	sanm1295	619	17.04688	-97.62248		80	kɨ³tɨ³	0
94	1_animal	ANIMAL	GuadalupeVillahermosaMixtec	kīȼì	kīȼì	k i ³ ts i ¹	11		619	17.75898	-98.01539		20	ki³tsi¹	0
95	1_animal	ANIMAL	SantaMariaHuazolotitlanMixtec	kɨtɨ	kɨtɨ	k ɨ t ɨ	11		619	16.3019	-97.91488		111	kɨtɨ	0
96	1_animal	ANIMAL	SanAntonioHuitepecMixtec	kɨtɨ	kɨtɨ	k ɨ t ɨ	11	huit1252	619	16.9476	-97.1236		38	kɨtɨ	0
97	1_animal	ANIMAL	SantaCruzItundujiaMixtec	kɨtɨ	kɨtɨ	k ɨ t ɨ	11	itun1239	619	16.77876	-97.59753		106	kɨtɨ	0
98	1_animal	ANIMAL	IxpantepecNievesMixtec	kītì	kītì	k i ³ t i ¹	11	sila1250	619	17.50717	-98.04556		21	ki³ti¹	0
99	1_animal	ANIMAL	SantiagoIxtayutlaMixtec	kɨtɨ	kɨtɨ	k ɨ t ɨ	11	ixta1235	619	16.5774	-97.5759		126	kɨtɨ	0
100	1_animal	ANIMAL	SantiagoIxtaltepecMixtec	kiti(tata)	kititata	k i t i + t a t a	11 16		619	17.54171	-97.11437		125	kititata	0
101	1_animal	ANIMAL	SanMiguelIxtapamMixtec	kisi	kisi	k i s i	11		619	18.80685	-100.15039		82	kisi	0
102	1_animal	ANIMAL	SantiagoJamiltepecMixtec_B	kɨtɨ	kɨtɨ	k ɨ t ɨ	11	jami1235	619	16.2279	-97.8417		128	kɨtɨ	1
103	1_animal	ANIMAL	SanFranciscoJaltepetongoMixtec	(-tɨ)	-tɨ	k i t ɨ	11		619	17.38592	-97.26345		46	+tɨ	0
104	1_animal	ANIMAL	SanFranciscoJaltepetongoMixtec	kiti	kiti	k i t i	11		619	17.38592	-97.26345		46	kiti	0
105	1_animal	ANIMAL	SantaMariaJicaltepecMixtec	kiti	kiti	k i t i	11	pino1237	619	16.38086	-98.04128		112	kiti	1
106	1_animal	ANIMAL	SanPedroJicayanMixtec	kiti	kiti	k i t i	11		619	16.45235	-98.0151		89	kiti	0
107	1_animal	ANIMAL	SanPedroJocotipacMixtec	kiti	kiti	k i t i	11		619	17.7687	-97.07983		90	kiti	0
108	1_animal	ANIMAL	SantiagoJuxtlahuacaMixtec	kitʸi	kitʸi	k i tʲ i	11	juxt1235	619	17.3518	-98.0146		129	kitʲi	0
109	1_animal	ANIMAL	SanLorenzoMixtec	kɨtɨ	kɨtɨ	k ɨ t ɨ	11		619	17.66757	-98.11901		67	kɨtɨ	0
110	1_animal	ANIMAL	SantaCatarinaMechoacanMixtec	kɨtɨ	kɨtɨ	k ɨ t ɨ	11	chay1249	619	16.33471	-97.83626		103	kɨtɨ	0
111	1_animal	ANIMAL	MetlatonocMixtec	kītí	kītí	k i ³ t i ⁵	11	metl1238	619	17.1947	-98.3514		25	ki³ti⁵	1
112	1_animal	ANIMAL	ElRosarioMicaltepecMixtec	kisi	kisi	k i s i	11		619	18.04537	-97.85057		19	kisi	0
113	1_animal	ANIMAL	SanJuanMixtepecMixtec	kiti	kiti	k i t i	11	mixt1425	619	17.3317	-97.8791		62	kiti	0
114	1_animal	ANIMAL	SanPedroMolinosMixtec	kiti	kiti	k i t i	11	sanp1259	619	17.10495	-97.54152		91	kiti	1
115	1_animal	ANIMAL	SanSebastianMonteMixtec_B	kiti	kiti	k i t i	11	sila1250	619	17.6793	-98.02259		98	kiti	1
116	1_animal	ANIMAL	SantaLuciaMonteverdeMixtec	kɨtɨ	kɨtɨ	k ɨ t ɨ	11	sant1439	619	16.9969	-97.6277		108	kɨtɨ	0
117	1_animal	ANIMAL	SanLuisMoreliaMixtec	kiti	kiti	k i t i	11	tama1339	619	17.70342	-98.21456		68	kiti	0
118	1_animal	ANIMAL	SanAntonioNduayacoMixtec	kiti	kiti	k i t i	11	apas1235	619	17.68547	-97.14745		39	kiti	0
119	1_animal	ANIMAL	SanJorgeNuchitaMixtec	kiti	kiti	k i t i	11	sila1250	619	17.65569	-98.10499		53	kiti	0
120	1_animal	ANIMAL	SantaCruzNundacoMixtec	kiti	kiti	k i t i	11		619	17.17339	-97.72325		107	kiti	0
121	1_animal	ANIMAL	SantiagoNundicheMixtec	kiti	kiti	k i t i	11	nort2985	619	17.3312	-97.67444		130	kiti	0
122	1_animal	ANIMAL	SantoDomingoNundoMixtec	kiti	kiti	k i t i	11		619	17.60855	-97.68566		139	kiti	0
123	1_animal	ANIMAL	SantaMariaNutioMixtec	kɨtɨ	kɨtɨ	k ɨ t ɨ	11		619	16.48542	-97.90405		113	kɨtɨ	0
124	1_animal	ANIMAL	SantoDomingoNuxaaMixtec	kiti	kiti	k i t i	11		619	17.21663	-97.12285		140	kiti	0
125	1_animal	ANIMAL	SanAndresNuxinoMixtec	ti(kʷi̧ʔna̧)	tikʷi̧ʔna̧	t i + kʷ ĩ ʔ n ã	15 7		619	17.23883	-97.10497		36	tikʷĩʔnã	0
126	1_animal	ANIMAL	SantiagoNuyooMixtec	kitɨ	kitɨ	k i t ɨ	11	nuyo1238	619	17.0147	-97.76674		131	kitɨ	0
