Number	Name	Location	SubGroup	Latitude	Longitude	Glottocode	ISO639P3code	Code
158	SanPedroYosonamaMixtec	San Pedro Yosoñama	Mixtec	17.4272	-97.77267	yoso1238	xtn	yoso14
159	SanBartolomeYucuaneMixtec	San Bartolomé Yucuañe	Mixtec	17.2832	-97.4285	yucu1250	mvg	yucu11
160	SantaMariaYucuhitiMixtec	Santa María Yucuhiti	Mixtec	17.03036	-97.78237	yucu1249	meh	yucu12
161	YucunutiBenitoJuarezMixtec	Yucuñuti de Benito Juárez	Mixtec	17.63409	-97.89151	yucu1251	mxb	yucu13
162	SanPedroYucunamaMixtec	San Pedro Yucunama	Mixtec	17.56221	-97.48291	NA	NA	yucu14
163	SantaMariaYucunicocoMixtec	Santa María Yucunicoco	Mixtec	17.2372	-97.91806	NA	NA	yucu15
164	YucuquimiOcampoMixtec	Yucuquimi de Ocampo	Mixtec	17.57853	-97.89014	NA	NA	yucu16
165	YucunanyMixtec	Yucunany	Mixtec	17.300827	-97.893888	mixt1425	mix	yucu17
166	YutanduchiGuerreroMixtec	Yutanduchi de Guerrero	Mixtec	17.0311	-97.2293	yuta1240	mab	yuta11
167	SanJuanYutaMixtec	San Juan Yuta	Mixtec	17.02228	-97.17054	NA	NA	yuta12
168	SanAndresYutatioMixtec	San Andrés Yutatío	Mixtec	17.60626	-97.89428	NA	NA	yuta13
169	SantaMariaZacatepecMixtec	Santa María Zacatepec	Mixtec	16.7003	-97.9484	sant1436	mza	zaca11
170	SanSimonZahuatlanMixtec	San Simón Zahuatlán	Mixtec	17.8291	-98.00505	sans1274	NA	zahu11
171	ZapotitlanPalmasMixtec	Zapotitlán Palmas	Mixtec	17.88959	-97.82406	NA	NA	zapo11
