Grapheme	IPA	FREQUENCY	CODEPOINTS
r̃	r̃	10	U+0072 U+0303
ⁿz	ⁿz	10	U+207f U+007a
ṣ	ṣ	9	U+1e63
ȼ̣	<?>	8	U+023c U+0323
ž̩	ž̩	8	U+017e U+0329
āā	āā	8	U+0101 U+0101
às	às	8	U+00e0 U+0073
(čitu)	<???>	8	U+0028 U+010d U+0069 U+0074 U+0075 U+0029
u̧̧	u̧̧	8	U+0075 U+0327 U+0327
ɛ	ɛ	7	U+025b
ȩȩ	<?>	7	U+0229 U+0229
īs	īs	7	U+012b U+0073
ȩ̄	<?>	7	U+0229 U+0304
 	NULL	7	U+00a0
(šeʔe)	<???>	7	U+0028 U+0161 U+0065 U+0294 U+0065 U+0029
y̧	y̧	6	U+0079 U+0327
e͂	e͂	6	U+0065 U+0342
üs	üs	6	U+00fc U+0073
ùs	ùs	6	U+00f9 U+0073
_	_	6	U+005f
ǰ	ǰ	6	U+01f0
(čito)	<???>	6	U+0028 U+010d U+0069 U+0074 U+006f U+0029
ɨ̧̀ɨ̧̀	ɨ̧̀ɨ̧̀	6	U+0268 U+0327 U+0300 U+0268 U+0327 U+0300
(ku̧u̧)-sawi	<???>	6	U+0028 U+006b U+0075 U+0327 U+0075 U+0327 U+0029 U+002d U+0073 U+0061 U+0077 U+0069
á̧á̧	á̧á̧	6	U+00e1 U+0327 U+00e1 U+0327
ᵐb	ᵐb	5	U+1d50 U+0062
ȩ̀	<?>	5	U+0229 U+0300
i̧ⁿ	i̧ⁿ	5	U+0069 U+0327 U+207f
š̩	š̩	5	U+0161 U+0329
u̧ⁿ	u̧ⁿ	5	U+0075 U+0327 U+207f
(tiši)	<???>	5	U+0028 U+0074 U+0069 U+0161 U+0069 U+0029
ⁿt	ⁿt	5	U+207f U+0074
úú	úú	5	U+00fa U+00fa
g	g	5	U+0067
ās	ās	5	U+0101 U+0073
(čumi̧)	<???>	5	U+0028 U+010d U+0075 U+006d U+0069 U+0327 U+0029
šʸ	šʸ	5	U+0161 U+02b8
i̧̧	i̧̧	4	U+0069 U+0327 U+0327
ȼʸ	<?>	4	U+023c U+02b8
ǖ	<?>	4	U+01d6
đi̧(ʔ)ni̧	<???>	4	U+0111 U+0069 U+0327 U+0028 U+0294 U+0029 U+006e U+0069 U+0327
ɡ	ɡ	4	U+0261
ⁿr̃	ⁿr̃	4	U+207f U+0072 U+0303
ls	ls	4	U+006c U+0073
ū̧ū̧	ū̧ū̧	4	U+016b U+0327 U+016b U+0327
ǐ	ǐ	4	U+01d0
ʂ	ʂ	4	U+0282
óó	óó	4	U+00f3 U+00f3
o̧ⁿ	o̧ⁿ	4	U+006f U+0327 U+207f
ȩ́	<?>	4	U+0229 U+0301
Ñ	<?>	4	U+00d1
àà	àà	4	U+00e0 U+00e0
(ča̧ʔa̧)	<???>	4	U+0028 U+010d U+0061 U+0327 U+0294 U+0061 U+0327 U+0029
(ku̧u̧)-đawi	<???>	4	U+0028 U+006b U+0075 U+0327 U+0075 U+0327 U+0029 U+002d U+0111 U+0061 U+0077 U+0069
ōs	ōs	4	U+014d U+0073
f	f	4	U+0066
éé	éé	4	U+00e9 U+00e9
kʷee(ni̧)	<???>	4	U+006b U+02b7 U+0065 U+0065 U+0028 U+006e U+0069 U+0327 U+0029
uʰ	uʰ	3	U+0075 U+02b0
ǐ̧	ǐ̧	3	U+01d0 U+0327
ɨ̃	ɨ̃	3	U+0268 U+0303
ǚ	<?>	3	U+01da
kᵑ	kᵑ	3	U+006b U+1d51
u̧ᵑ	u̧ᵑ	3	U+0075 U+0327 U+1d51
c	c	3	U+0063
ⁿř	ⁿř	3	U+207f U+0159
ⁿž	ⁿž	3	U+207f U+017e
i̧ᵑ	i̧ᵑ	3	U+0069 U+0327 U+1d51
ⁿsʸ	ⁿsʸ	3	U+207f U+0073 U+02b8
īʰ	īʰ	3	U+012b U+02b0
?	<?>	3	U+003f
ú̧ú̧	ú̧ú̧	3	U+00fa U+0327 U+00fa U+0327
lʸ	lʸ	3	U+006c U+02b8
a̧ᵑ	a̧ᵑ	3	U+0061 U+0327 U+1d51
kiti(tata)	<???>	3	U+006b U+0069 U+0074 U+0069 U+0028 U+0074 U+0061 U+0074 U+0061 U+0029
ⁿr	ⁿr	3	U+207f U+0072
ř	ř	3	U+0159
b	b	3	U+0062
(mi̧tu)	<???>	3	U+0028 U+006d U+0069 U+0327 U+0074 U+0075 U+0029
(mi̧stu)	<???>	3	U+0028 U+006d U+0069 U+0327 U+0073 U+0074 U+0075 U+0029
ũ̀	ũ̀	3	U+0169 U+0300
ⁿy	ⁿy	3	U+207f U+0079
ìh	ìh	3	U+00ec U+0068
I	<?>	3	U+0049
(ko̧o̧)-sawi	<???>	3	U+0028 U+006b U+006f U+0327 U+006f U+0327 U+0029 U+002d U+0073 U+0061 U+0077 U+0069
(ko̧o̧)-đawi	<???>	3	U+0028 U+006b U+006f U+0327 U+006f U+0327 U+0029 U+002d U+0111 U+0061 U+0077 U+0069
·	·	3	U+00b7
ùw	ùw	3	U+00f9 U+0077
š̯	š̯	3	U+0161 U+032f
a̧̧	a̧̧	2	U+0061 U+0327 U+0327
u̧ʰ	u̧ʰ	2	U+0075 U+0327 U+02b0
ǘ	<?>	2	U+01d8
sa(ʔ)a	<???>	2	U+0073 U+0061 U+0028 U+0294 U+0029 U+0061
j	j	2	U+006a
(đači)đađa	<???>	2	U+0028 U+0111 U+0061 U+010d U+0069 U+0029 U+0111 U+0061 U+0111 U+0061
ⁿd̩	ⁿd̩	2	U+207f U+0064 U+0329
ūū	ūū	2	U+016b U+016b
(ti)-ȼayu	<???>	2	U+0028 U+0074 U+0069 U+0029 U+002d U+023c U+0061 U+0079 U+0075
čʸ	čʸ	2	U+010d U+02b8
ti(tata)	<???>	2	U+0074 U+0069 U+0028 U+0074 U+0061 U+0074 U+0061 U+0029
ìì	ìì	2	U+00ec U+00ec
áá	áá	2	U+00e1 U+00e1
oⁿ	oⁿ	2	U+006f U+207f
θʸ	θʸ	2	U+03b8 U+02b8
â	â	2	U+00e2
iᵑ	iᵑ	2	U+0069 U+1d51
(mi̧to)	<???>	2	U+0028 U+006d U+0069 U+0327 U+0074 U+006f U+0029
(mi̧ču)	<???>	2	U+0028 U+006d U+0069 U+0327 U+010d U+0075 U+0029
(šitu)	<???>	2	U+0028 U+0161 U+0069 U+0074 U+0075 U+0029
(čiti)	<???>	2	U+0028 U+010d U+0069 U+0074 U+0069 U+0029
ũũ	ũũ	2	U+0169 U+0169
ô̧	ô̧	2	U+00f4 U+0327
`	<?>	2	U+0060
ǎ	ǎ	2	U+01ce
w̃	w̃	2	U+0077 U+0303
ɨ̧́ɨ̧́	ɨ̧́ɨ̧́	2	U+0268 U+0327 U+0301 U+0268 U+0327 U+0301
ò̧ò̧	ò̧ò̧	2	U+00f2 U+0327 U+00f2 U+0327
ì̧w	ì̧w	2	U+00ec U+0327 U+0077
(seʔe)	<???>	2	U+0028 U+0073 U+0065 U+0294 U+0065 U+0029
s̯	s̯	2	U+0073 U+032f
āʰ	āʰ	2	U+0101 U+02b0
(ku̧u̧)-θaƀi	<???>	2	U+0028 U+006b U+0075 U+0327 U+0075 U+0327 U+0029 U+002d U+03b8 U+0061 U+0180 U+0069
(ko̠o̠)-sawi	<???>	2	U+0028 U+006b U+006f U+0320 U+006f U+0320 U+0029 U+002d U+0073 U+0061 U+0077 U+0069
(ka-kɨ̧ɨ̧)-đawi	<???>	2	U+0028 U+006b U+0061 U+002d U+006b U+0268 U+0327 U+0268 U+0327 U+0029 U+002d U+0111 U+0061 U+0077 U+0069
(kú̧ū̧)-sàƀì	<???>	2	U+0028 U+006b U+00fa U+0327 U+016b U+0327 U+0029 U+002d U+0073 U+00e0 U+0180 U+00ec
(ku̧u̧)-saƀi	<???>	2	U+0028 U+006b U+0075 U+0327 U+0075 U+0327 U+0029 U+002d U+0073 U+0061 U+0180 U+0069
ǔ	ǔ	2	U+01d4
ⁿȼ	<?>	2	U+207f U+023c
ŏ	ŏ	2	U+014f
°	<?>	2	U+00b0
(tɨ)kʷeʔe	<???>	2	U+0028 U+0074 U+0268 U+0029 U+006b U+02b7 U+0065 U+0294 U+0065
(ku)-uwa	<???>	2	U+0028 U+006b U+0075 U+0029 U+002d U+0075 U+0077 U+0061
ɨ̄ɨ̄	ɨ̄ɨ̄	2	U+0268 U+0304 U+0268 U+0304
kʷee(ni)	<???>	2	U+006b U+02b7 U+0065 U+0065 U+0028 U+006e U+0069 U+0029
īw	īw	2	U+012b U+0077
ȭ	<?>	2	U+022d
ɛ→	ɛ→	1	U+025b U+2192
ša̧ni̧(-ni̧)	<???>	1	U+0161 U+0061 U+0327 U+006e U+0069 U+0327 U+0028 U+002d U+006e U+0069 U+0327 U+0029
ñā̧ñī̧(-ī̧)	<???>	1	U+00f1 U+0101 U+0327 U+00f1 U+012b U+0327 U+0028 U+002d U+012b U+0327 U+0029
iii	iii	1	U+0069 U+0069 U+0069
ȼ̣ʸ	<?>	1	U+023c U+0323 U+02b8
(ta)taa	<???>	1	U+0028 U+0074 U+0061 U+0029 U+0074 U+0061 U+0061
(s)toʔo	<???>	1	U+0028 U+0073 U+0029 U+0074 U+006f U+0294 U+006f
is-tua(ʔa)	<???>	1	U+0069 U+0073 U+002d U+0074 U+0075 U+0061 U+0028 U+0294 U+0061 U+0029
hʷ	hʷ	1	U+0068 U+02b7
n(ī̧)ì̧ī̧	<???>	1	U+006e U+0028 U+012b U+0327 U+0029 U+00ec U+0327 U+012b U+0327
ǹ	<?>	1	U+01f9
ñ̀	ñ̀	1	U+00f1 U+0300
i̧ʰ	i̧ʰ	1	U+0069 U+0327 U+02b0
ĩ	ĩ	1	U+0129
(žu)-šiNni̧	<???>	1	U+0028 U+017e U+0075 U+0029 U+002d U+0161 U+0069 U+004e U+006e U+0069 U+0327
ī̧ī̧	ī̧ī̧	1	U+012b U+0327 U+012b U+0327
(sisi)	<???>	1	U+0028 U+0073 U+0069 U+0073 U+0069 U+0029
itɨ(tà)	<???>	1	U+0069 U+0074 U+0268 U+0028 U+0074 U+00e0 U+0029
(tiči)	<???>	1	U+0028 U+0074 U+0069 U+010d U+0069 U+0029
čaʔa(ʔ)	<???>	1	U+010d U+0061 U+0294 U+0061 U+0028 U+0294 U+0029
é́	é́	1	U+00e9 U+0301
ii-(?)	<???>	1	U+0069 U+0069 U+002d U+0028 U+003f U+0029
ɴ͂	ɴ͂	1	U+0274 U+0342
sh	sh	1	U+0073 U+0068
čaša-(tata)	<???>	1	U+010d U+0061 U+0161 U+0061 U+002d U+0028 U+0074 U+0061 U+0074 U+0061 U+0029
(tata)-čaša	<???>	1	U+0028 U+0074 U+0061 U+0074 U+0061 U+0029 U+002d U+010d U+0061 U+0161 U+0061
ìsʸ	ìsʸ	1	U+00ec U+0073 U+02b8
aʰ	aʰ	1	U+0061 U+02b0
rs	rs	1	U+0072 U+0073
kʸ	kʸ	1	U+006b U+02b8
_ⁿ	_ⁿ	1	U+005f U+207f
u̧̧u̧̧	u̧̧u̧̧	1	U+0075 U+0327 U+0327 U+0075 U+0327 U+0327
vʸ	vʸ	1	U+0076 U+02b8
(tu)-đi̧ʔi̧	<???>	1	U+0028 U+0074 U+0075 U+0029 U+002d U+0111 U+0069 U+0327 U+0294 U+0069 U+0327
(nu̧)-đɨ̧ʔɨ̧	<???>	1	U+0028 U+006e U+0075 U+0327 U+0029 U+002d U+0111 U+0268 U+0327 U+0294 U+0268 U+0327
ɨ̧ᵑ	ɨ̧ᵑ	1	U+0268 U+0327 U+1d51
aʳ	aʳ	1	U+0061 U+02b3
šʰ	šʰ	1	U+0161 U+02b0
(i)što	<???>	1	U+0028 U+0069 U+0029 U+0161 U+0074 U+006f
xīto-(yuu)	<???>	1	U+0078 U+012b U+0074 U+006f U+002d U+0028 U+0079 U+0075 U+0075 U+0029
tʸʰ	tʸʰ	1	U+0074 U+02b8 U+02b0
(či)težu	<???>	1	U+0028 U+010d U+0069 U+0029 U+0074 U+0065 U+017e U+0075
tēyūʔ-(lúlí)	<???>	1	U+0074 U+0113 U+0079 U+016b U+0294 U+002d U+0028 U+006c U+00fa U+006c U+00ed U+0029
(ti)teyu	<???>	1	U+0028 U+0074 U+0069 U+0029 U+0074 U+0065 U+0079 U+0075
(-tɨ)	<???>	1	U+0028 U+002d U+0074 U+0268 U+0029
ti(kʷi̧ʔna̧)	<???>	1	U+0074 U+0069 U+0028 U+006b U+02b7 U+0069 U+0327 U+0294 U+006e U+0061 U+0327 U+0029
kiti-(kuʔu)	<???>	1	U+006b U+0069 U+0074 U+0069 U+002d U+0028 U+006b U+0075 U+0294 U+0075 U+0029
kɨtɨ-(tata)	<???>	1	U+006b U+0268 U+0074 U+0268 U+002d U+0028 U+0074 U+0061 U+0074 U+0061 U+0029
kɨtɨ(xʷi̧ʔna̧)	<???>	1	U+006b U+0268 U+0074 U+0268 U+0028 U+0078 U+02b7 U+0069 U+0327 U+0294 U+006e U+0061 U+0327 U+0029
č(i)-đaa	<???>	1	U+010d U+0028 U+0069 U+0029 U+002d U+0111 U+0061 U+0061
(tɨ)-saā	<???>	1	U+0028 U+0074 U+0268 U+0029 U+002d U+0073 U+0061 U+0101
(si)laa	<???>	1	U+0028 U+0073 U+0069 U+0029 U+006c U+0061 U+0061
ǒ	ǒ	1	U+01d2
(lika)-laʔwa	<???>	1	U+0028 U+006c U+0069 U+006b U+0061 U+0029 U+002d U+006c U+0061 U+0294 U+0077 U+0061
ȼ(i)đaʔwa	<???>	1	U+023c U+0028 U+0069 U+0029 U+0111 U+0061 U+0294 U+0077 U+0061
(ʔisu ki̧ni̧)	<???>	1	U+0028 U+0294 U+0069 U+0073 U+0075 U+0020 U+006b U+0069 U+0327 U+006e U+0069 U+0327 U+0029
ža(ʔ)a	<???>	1	U+017e U+0061 U+0028 U+0294 U+0029 U+0061
tasi̧(ʔi̧)-(yaʔa)	<???>	1	U+0074 U+0061 U+0073 U+0069 U+0327 U+0028 U+0294 U+0069 U+0327 U+0029 U+002d U+0028 U+0079 U+0061 U+0294 U+0061 U+0029
(ti-hʸa̧ʔa̧)	<???>	1	U+0028 U+0074 U+0069 U+002d U+0068 U+02b8 U+0061 U+0327 U+0294 U+0061 U+0327 U+0029
m̧	m̧	1	U+006d U+0327
rr	rr	1	U+0072 U+0072
ti-Nni̧(i̧)	<???>	1	U+0074 U+0069 U+002d U+004e U+006e U+0069 U+0327 U+0028 U+0069 U+0327 U+0029
(či-čii?)	<???>	1	U+0028 U+010d U+0069 U+002d U+010d U+0069 U+0069 U+003f U+0029
A	<?>	1	U+0041
üh	üh	1	U+00fc U+0068
â̧	â̧	1	U+00e2 U+0327
(sumi̧)	<???>	1	U+0028 U+0073 U+0075 U+006d U+0069 U+0327 U+0029
(čito̧	<???>	1	U+0028 U+010d U+0069 U+0074 U+006f U+0327
(mí̧štó)	<???>	1	U+0028 U+006d U+00ed U+0327 U+0161 U+0074 U+00f3 U+0029
čitno̧)	<???>	1	U+010d U+0069 U+0074 U+006e U+006f U+0327 U+0029
(mištu̧)	<???>	1	U+0028 U+006d U+0069 U+0161 U+0074 U+0075 U+0327 U+0029
(čutu)	<???>	1	U+0028 U+010d U+0075 U+0074 U+0075 U+0029
(mī̧šty)	<???>	1	U+0028 U+006d U+012b U+0327 U+0161 U+0074 U+0079 U+0029
(mi̧štno̧)	<???>	1	U+0028 U+006d U+0069 U+0327 U+0161 U+0074 U+006e U+006f U+0327 U+0029
(ti-čütü)	<???>	1	U+0028 U+0074 U+0069 U+002d U+010d U+00fc U+0074 U+00fc U+0029
(mi̧čo̧)	<???>	1	U+0028 U+006d U+0069 U+0327 U+010d U+006f U+0327 U+0029
(mi̧stu̧)	<???>	1	U+0028 U+006d U+0069 U+0327 U+0073 U+0074 U+0075 U+0327 U+0029
(čito	<???>	1	U+0028 U+010d U+0069 U+0074 U+006f
čitu)	<???>	1	U+010d U+0069 U+0074 U+0075 U+0029
(ⁿdi-miči)	<???>	1	U+0028 U+207f U+0064 U+0069 U+002d U+006d U+0069 U+010d U+0069 U+0029
(čītò)	<???>	1	U+0028 U+010d U+012b U+0074 U+00f2 U+0029
(či̧tu)	<???>	1	U+0028 U+010d U+0069 U+0327 U+0074 U+0075 U+0029
(ⁿdi-čito)	<???>	1	U+0028 U+207f U+0064 U+0069 U+002d U+010d U+0069 U+0074 U+006f U+0029
(mištu)	<???>	1	U+0028 U+006d U+0069 U+0161 U+0074 U+0075 U+0029
(miču̧)	<???>	1	U+0028 U+006d U+0069 U+010d U+0075 U+0327 U+0029
(mi̧hta)	<???>	1	U+0028 U+006d U+0069 U+0327 U+0068 U+0074 U+0061 U+0029
(čītū)	<???>	1	U+0028 U+010d U+012b U+0074 U+016b U+0029
(šitʸu)	<???>	1	U+0028 U+0161 U+0069 U+0074 U+02b8 U+0075 U+0029
ɨʰ	ɨʰ	1	U+0268 U+02b0
(s)tu̧mi̧	<???>	1	U+0028 U+0073 U+0029 U+0074 U+0075 U+0327 U+006d U+0069 U+0327
ⁿdo(ʔ)o	<???>	1	U+207f U+0064 U+006f U+0028 U+0294 U+0029 U+006f
su̧(ʔ)ma̧	<???>	1	U+0073 U+0075 U+0327 U+0028 U+0294 U+0029 U+006d U+0061 U+0327
º	<?>	1	U+00ba
žuN(n)u̧	<???>	1	U+017e U+0075 U+004e U+0028 U+006e U+0029 U+0075 U+0327
šaƀi-(ñu̧ʔu̧)	<???>	1	U+0161 U+0061 U+0180 U+0069 U+002d U+0028 U+00f1 U+0075 U+0327 U+0294 U+0075 U+0327 U+0029
aᵍ	aᵍ	1	U+0061 U+1d4d
wi(y)u	<???>	1	U+0077 U+0069 U+0028 U+0079 U+0029 U+0075
ññ	ññ	1	U+00f1 U+00f1
s̩	s̩	1	U+0073 U+0329
ōʰ	ōʰ	1	U+014d U+02b0
(ti)-žoko	<???>	1	U+0028 U+0074 U+0069 U+0029 U+002d U+017e U+006f U+006b U+006f
ti-žoko(ʔiti)	<???>	1	U+0074 U+0069 U+002d U+017e U+006f U+006b U+006f U+0028 U+0294 U+0069 U+0074 U+0069 U+0029
ī̧̀	ī̧̀	1	U+012b U+0327 U+0300
.	NULL	1	U+002e
yɨkɨ-(kʷaʔa)	<???>	1	U+0079 U+0268 U+006b U+0268 U+002d U+0028 U+006b U+02b7 U+0061 U+0294 U+0061 U+0029
ŋ	ŋ	1	U+014b
ž̯	ž̯	1	U+017e U+032f
kⁿ	kⁿ	1	U+006b U+207f
ʔīkí̧-(ʔí̧ñú̧)	<???>	1	U+0294 U+012b U+006b U+00ed U+0327 U+002d U+0028 U+0294 U+00ed U+0327 U+00f1 U+00fa U+0327 U+0029
nᵗ	nᵗ	1	U+006e U+1d57
ti-na̧na̧-(ⁿdèè)	<???>	1	U+0074 U+0069 U+002d U+006e U+0061 U+0327 U+006e U+0061 U+0327 U+002d U+0028 U+207f U+0064 U+00e8 U+00e8 U+0029
ti-na̧na̧-(na̧ʔnu̧)	<???>	1	U+0074 U+0069 U+002d U+006e U+0061 U+0327 U+006e U+0061 U+0327 U+002d U+0028 U+006e U+0061 U+0327 U+0294 U+006e U+0075 U+0327 U+0029
či-na̧na-̧(ⁿčaʔža)	<???>	1	U+010d U+0069 U+002d U+006e U+0061 U+0327 U+006e U+0061 U+002d U+0327 U+0028 U+207f U+010d U+0061 U+0294 U+017e U+0061 U+0029
tɨ-na̧na̧-(kʷeʔe)	<???>	1	U+0074 U+0268 U+002d U+006e U+0061 U+0327 U+006e U+0061 U+0327 U+002d U+0028 U+006b U+02b7 U+0065 U+0294 U+0065 U+0029
(to)-ƀȩʔⁿde	<???>	1	U+0028 U+0074 U+006f U+0029 U+002d U+0180 U+0229 U+0294 U+207f U+0064 U+0065
ⁿdika-(ⁿdažɨ)	<???>	1	U+207f U+0064 U+0069 U+006b U+0061 U+002d U+0028 U+207f U+0064 U+0061 U+017e U+0268 U+0029
ku̧(ñ)u̧	<???>	1	U+006b U+0075 U+0327 U+0028 U+00f1 U+0029 U+0075 U+0327
ṍ	ṍ	1	U+1e4d
č̯	č̯	1	U+010d U+032f
i(y)o	<???>	1	U+0069 U+0028 U+0079 U+0029 U+006f
ʂʸ	ʂʸ	1	U+0282 U+02b8
ṣ̌ʳ	ṣ̌ʳ	1	U+1e63 U+030c U+02b3
čč	čč	1	U+010d U+010d
õ	õ	1	U+00f5
ñó̧(ʔ)ò̧	<???>	1	U+00f1 U+00f3 U+0327 U+0028 U+0294 U+0029 U+00f2 U+0327
ñu̧(ʔ)ma̧	<???>	1	U+00f1 U+0075 U+0327 U+0028 U+0294 U+0029 U+006d U+0061 U+0327
(taka)	<???>	1	U+0028 U+0074 U+0061 U+006b U+0061 U+0029
(šee)	<???>	1	U+0028 U+0161 U+0065 U+0065 U+0029
(kʷayua)	<???>	1	U+0028 U+006b U+02b7 U+0061 U+0079 U+0075 U+0061 U+0029
(čeʔe)	<???>	1	U+0028 U+010d U+0065 U+0294 U+0065 U+0029
(šiʔe)	<???>	1	U+0028 U+0161 U+0069 U+0294 U+0065 U+0029
(sʸèʔè)	<???>	1	U+0028 U+0073 U+02b8 U+00e8 U+0294 U+00e8 U+0029
(žàkā	<???>	1	U+0028 U+017e U+00e0 U+006b U+0101
(ča̧ʔa̧)-ƀiʔƀiʔ	<???>	1	U+0028 U+010d U+0061 U+0327 U+0294 U+0061 U+0327 U+0029 U+002d U+0180 U+0069 U+0294 U+0180 U+0069 U+0294
ȩʰ	<?>	1	U+0229 U+02b0
še(ʔ)Nnu̧	<???>	1	U+0161 U+0065 U+0028 U+0294 U+0029 U+004e U+006e U+0075 U+0327
žüa(ʔa)	<???>	1	U+017e U+00fc U+0061 U+0028 U+0294 U+0061 U+0029
yuʔ(ƀ)a	<???>	1	U+0079 U+0075 U+0294 U+0028 U+0180 U+0029 U+0061
(ti)-ñu̧nu̧	<???>	1	U+0028 U+0074 U+0069 U+0029 U+002d U+00f1 U+0075 U+0327 U+006e U+0075 U+0327
̀n	̀n	1	U+0300 U+006e
(ȼ̣i)-ñu̧nu̧	<???>	1	U+0028 U+023c U+0323 U+0069 U+0029 U+002d U+00f1 U+0075 U+0327 U+006e U+0075 U+0327
(kú̧ú̧)-saƀi	<???>	1	U+0028 U+006b U+00fa U+0327 U+00fa U+0327 U+0029 U+002d U+0073 U+0061 U+0180 U+0069
àw	àw	1	U+00e0 U+0077
(ku̧u̧)-haƀi	<???>	1	U+0028 U+006b U+0075 U+0327 U+0075 U+0327 U+0029 U+002d U+0068 U+0061 U+0180 U+0069
(i̧i̧)-đawi	<???>	1	U+0028 U+0069 U+0327 U+0069 U+0327 U+0029 U+002d U+0111 U+0061 U+0077 U+0069
đawi̧-(ku̧u̧)	<???>	1	U+0111 U+0061 U+0077 U+0069 U+0327 U+002d U+0028 U+006b U+0075 U+0327 U+0075 U+0327 U+0029
(ku̧u̧)-sàƀi	<???>	1	U+0028 U+006b U+0075 U+0327 U+0075 U+0327 U+0029 U+002d U+0073 U+00e0 U+0180 U+0069
(ku̧u̧)-đaƀi	<???>	1	U+0028 U+006b U+0075 U+0327 U+0075 U+0327 U+0029 U+002d U+0111 U+0061 U+0180 U+0069
(ku̧u̧)-đai	<???>	1	U+0028 U+006b U+0075 U+0327 U+0075 U+0327 U+0029 U+002d U+0111 U+0061 U+0069
(ku̧u̧)-saƀii	<???>	1	U+0028 U+006b U+0075 U+0327 U+0075 U+0327 U+0029 U+002d U+0073 U+0061 U+0180 U+0069 U+0069
(kúū)-haƀi	<???>	1	U+0028 U+006b U+00fa U+016b U+0029 U+002d U+0068 U+0061 U+0180 U+0069
