__PK,Language name,Language sub-family,AFFIX (Verb),AFFIX (Lg.),TONE (Verb),TONE (Lg.),STEM (Verb),STEM (Lg.),Citation form,English,Spanish,Transitivity,Stem phonology,Stem alternation,Inflected form (IRR),Inflected form (NEG.IRR),Inflected form (CPL-1),Inflected form (CPL-2),Inflected form (INCPL),Inflected form (Stative),Tone (IRR),Tone (NEG.IRR),Tone (CPL-1) – lexical tone,Tone (CPL-2),Tone (INCPL)
4619,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³-ndi³xi³,get dressed,vestirse,intr,Trimoraic,ku+,ku³-ndi³xi³,ku¹⁴-ndi³xi³,ni¹-ju³-ndi³xi³,ju¹³-ndi³xi³,ju⁴-ndi³xi³,,3–3–3,14–3–3,3–3–3,13–3–3,4–3–3
4320,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³-ndiʔ¹i³,be undetermined,estar no determinado,intr,Bimoraic,ku+,ku³-ndiʔ¹i³,ndiʔ¹⁴i¹³,ni¹-ndiʔ¹i³,ndiʔ¹i³,ndiʔ⁴i¹³,,3–1–3,14–13,1–3,1–3,4–13
4524,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³-ndo³so⁴,be put to boil (liquid),ser puesto a hervir (líquido),intr,Trimoraic,ku+,ku³-ndo³so⁴,ku¹⁴-ndo³so⁴,ni¹-ju³-ndo³so⁴,ju¹³-ndo³so⁴,ju⁴-ndo³so⁴,,3–3–4,14–3–4,3–3–4,13–3–4,4–3–4
4620,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³-ni³ni³,be inserted,quedar insertado,intr,Trimoraic,ku+,ku³-ni³ni³,ku¹⁴-ni³ni³,ni¹-ju³-ni³ni³,ju¹³-ni³ni³,ju⁴-ni³ni³,,3–3–3,14–3–3,3–3–3,13–3–3,4–3–3
4510,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³-niʔ³i³,have in one's hand,tener en la mano,tr,Trimoraic,ku+,ku³-niʔ³i³,ku¹⁴-niʔ³i³,ni¹-ju³-niʔ³i³,ju¹³-niʔ³i³,niʔ⁴i⁴,,3–3–3,14–3–3,3–3–3,13–3–3,4–4
4621,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³-nuʔ³ni²,tie up,amarrarse,intr,Trimoraic,ku+,ku³-nuʔ³ni²,ku¹⁴-nuʔ³ni²,ni¹-ju³-nuʔ³ni²,ju¹³-nuʔ³ni²,ju⁴-nuʔ³ni²,,3–3–2,14–3–2,3–3–2,13–3–2,4–3–2
4512,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³-ñu³u³,drag,arrastrar,tr,Trimoraic,ku+,ku³-ñu³u³,ku¹⁴-ñu³u³,ni¹-ju³-ñu³u³,ju¹³-ñu³u³,ju⁴-ñu³u³,,3–3–3,14–3–3,3–3–3,13–3–3,4–3–3
4513,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³-ñuʔ³u³,be contained,estar contenido,intr,Trimoraic,ku+,ku³-ñuʔ³u³,ku¹⁴-ñuʔ³u³,ni¹-ju³-ñuʔ³u³,ju¹³-ñuʔ³u³,ju⁴-ñuʔ³u³,,3–3–3,14–3–3,3–3–3,13–3–3,4–3–3
4516,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³-so³ko²,be hungry,tener hambre,intr,Trimoraic,ku+,ku³-so³ko²,ku¹⁴-so³ko²,ni¹-ju³-so³ko²,ju¹³-so³ko²,ju⁴-so³ko²,,3–3–2,14–3–2,3–3–2,13–3–2,4–3–2
4623,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³-su⁴ku²⁴,be wrapped with a cloth,estar envuelto con un trapo,intr,Trimoraic,ku+,ku³-su⁴ku²⁴,ku¹⁴-su⁴ku²⁴,ni¹-ju³-su⁴ku²⁴,ju¹³-su⁴ku²⁴,ju⁴-su⁴ku²⁴,,3–4–24,14–4–24,3–4–24,13–4–24,4–4–24
4518,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³-ta³ku²,live,vivir,intr,Trimoraic,ku+,ku³-ta³ku²,ku¹⁴-ta³ku²,ni¹-ju³-ta³ku²,ju¹³-ta³ku²,ju⁴-ta³ku²,,3–3–2,14–3–2,3–3–2,13–3–2,4–3–2
4525,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³-ta³ni³,cling to,colgarse,intr,Trimoraic,ku+,ku³-ta³ni³,ku¹⁴-ta³ni³,ni¹-ju³-ta³ni³,ju¹³-ta³ni³,ju⁴-ta³ni³,,3–3–3,14–3–3,3–3–3,13–3–3,4–3–3
4526,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³-taʔ³nu³,stay in the air,mantenerse en el aire,intr,Trimoraic,ku+,ku³-taʔ³nu³,ku¹⁴-taʔ³nu³,ni¹-ju³-taʔ³nu³,ju¹³-taʔ³nu³,ju⁴-taʔ³nu³,,3–3–3,14–3–3,3–3–3,13–3–3,4–3–3
4520,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³-xi³yo³,step aside,hacerse a un lado,intr,Trimoraic,ku+,ku³-xi³yo³,ku¹⁴-xi³yo³,ni¹-ju³xi³yo³,ju¹³-xi³yo³,ju⁴-xi³yo³,,3–3–3,14–3–3,3–3–3,13–3–3,4–3–3
4519,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³-xiʔ⁴nda²⁴,be stingy,ser tacaño,intr,Trimoraic,ku+,ku³-xiʔ⁴nda²⁴,ku¹⁴-xiʔ⁴nda²⁴,ni¹-ju³-xiʔ⁴nda²⁴,ju¹³-xiʔ⁴nda²⁴,ju⁴-xiʔ⁴nda²⁴,,3–4–24,14–4–24,3–4–24,13–4–24,4–4–24
4624,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³-yaʔ⁴bi³,receive (payment),recibir un pago,intr,Trimoraic,ku+,ku³-yaʔ⁴bi³,ku¹⁴-yaʔ⁴bi³,ni¹-ju³-yaʔ⁴bi³,ju¹³-yaʔ⁴bi³,ju⁴-yaʔ⁴bi³,,3–4–3,14–4–3,3–4–3,13–4–3,4–4–3
4318,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³chi³,bathe,bañarse,intr,Bimoraic,ku+,ku³chi³,ku¹⁴chi³,ni¹-chi³chi³,chi¹³chi³,chi⁴chi³,,3–3,14–3,3–3,13–3,4–3
4504,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³na¹⁴ni³,stalk,acechar,tr,Trimoraic,ku+,ku³na¹⁴ni³,ku¹⁴na¹⁴ni³,ni¹-ju³na¹⁴ni³,ju¹³na¹⁴ni³,ju⁴na¹⁴ni³,,3–14–3,14–14–3,3–14–3,13–14–3,4–14–3
4502,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³naʔ³a²,be founded,fundarse,intr,Trimoraic,ku+,ku³naʔ³a²,ku¹⁴naʔ³a²,ni¹-ju³naʔ³a²,ju¹³naʔ³a²,ju⁴naʔ³a²,,3–3–2,14–3–2,3–3–2,13–3–2,4–3–2
4506,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³nda³si²,cover,taparse,intr,Trimoraic,ku+,ku³nda³si²,ku¹⁴nda³si²,ni¹-ju³nda³si²,ju¹³nda³si²,ju⁴nda³si²,,3–3–2,14–3–2,3–3–2,13–3–2,4–3–2
