__PK,Language name,Language sub-family,AFFIX (Verb),AFFIX (Lg.),TONE (Verb),TONE (Lg.),STEM (Verb),STEM (Lg.),Citation form,English,Spanish,Transitivity,Stem phonology,Stem alternation,Inflected form (IRR),Inflected form (NEG.IRR),Inflected form (CPL-1),Inflected form (CPL-2),Inflected form (INCPL),Inflected form (Stative),Tone (IRR),Tone (NEG.IRR),Tone (CPL-1) – lexical tone,Tone (CPL-2),Tone (INCPL)
4105,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³ba³,be smeared,estar untado,intr,Bimoraic,Invariable,ka³ba³,ka¹⁴ba³,ni¹-ka³ba³,ka¹³ba³,ka⁴ba³,,3–3,14–3,3–3,13–3,4–3
4106,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³ba⁴,spin,girar,tr,Bimoraic,Invariable,ka³ba⁴,ka¹⁴ba⁴,ni¹-ka³ba⁴,ka¹³ba⁴,ka⁴ba⁴,,3–4,14–4,3–4,13–4,4–4
4108,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³chi²,say,decir,tr,Bimoraic,Invariable,ka³chi²,ka¹⁴chi²,ni¹-ka³chi²,ka¹³chi²,ka⁴chi²,,3–2,14–2,3–2,13–2,4–2
4362,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³chiʔ³i³,take water with small container,coger agua con recipiente pequeño,tr,Trimoraic,Invariable,ka³chiʔ³i³,ka¹⁴chiʔ³i³,ni¹-ka³chiʔ³i³,ka¹³chiʔ³i³,ka⁴chiʔ³i³,,3–3–3,14–3–3,3–3–3,13–3–3,4–3–3
4363,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³kiʔ¹i³,bump into,tropezarse,intr,Trimoraic,Invariable,ka³kiʔ¹i³,ka¹⁴kiʔ¹i³,ni¹-ka³kiʔ¹i³,ka¹³kiʔ¹i³,ka⁴kiʔ¹i³,,3–1–3,14–1–3,3–1–3,13–1–3,4–1–3
4109,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³ku³,be born,nacer,intr,Bimoraic,Invariable,ka³ku³,ka¹⁴ku³,ni¹-ka³ku³,ka¹³ku³,ka⁴ku³,,3–3,14–3,3–3,13–3,4–3
4111,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³na³,call someone,llamar a alguien,tr,Bimoraic,Invariable,ka³na³,ka¹⁴na³,ni¹-ka³na³,ka¹³na³,ka⁴na³,,3–3,14–3,3–3,13–3,4–3
4364,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³na³nu³,sprout (magically),brotar mágicamente,intr,Trimoraic,Invariable,ka³na³nu³,ka¹⁴na³nu³,ni¹-ka³na³nu³,ka¹³na³nu³,ka⁴na³nu³,,3–3–3,14–3–3,3–3–3,13–3–3,4–3–3
4365,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³nda²a²,win,ganar,tr,Trimoraic,Invariable,ka³nda²a²,ka¹⁴nda²a²,ni¹-ka³nda²a²,ka¹³nda²a²,ka⁴nda²a²,,3–2–2,14–2–2,3–2–2,13–2–2,4–2–2
4123,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³nda³ba³,fall,caer,intr,Bimoraic,Invariable,ka³nda³ba³,ka¹⁴nda³ba³,ni¹-ka³nda³ba³,ka¹³nda³ba³,ka⁴nda³ba³,,3–3–3,14–3–3,3–3,13–3–3,4–3–3
4366,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³nde³ta³,jump,saltar,intr,Trimoraic,Invariable,ka³nde³ta³,ka¹⁴nde³ta³,ni¹-ka³nde³ta³,ka¹³nde³ta³,ka⁴nde³ta³,,3–3–3,14–3–3,3–3–3,13–3–3,4–3–3
4542,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³ndi³chi²,stop,parar,tr,Trimoraic,Invariable,ka³ndi³chi²,ka¹⁴ndi³chi²,ni¹-ka³ndi³chi²,ka¹³ndi³chi²,ka⁴ndi³chi²,ndi⁴chi²,3–3–2,14–3–2,3–3–2,13–3–2,4–3–2
4626,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³ndi³ko¹o³,achieve,lograr,intr,Quadrimoraic,Invariable,ka³ndi³ko¹o³,ka¹⁴ndi³ko¹o³,ni¹-ka³ndi³ko¹o³,ka¹³ndi³ko¹o³,ka⁴ndi³ko¹o³,,3–3–1–3,14–3–1–3,3–3–1–3,13–3–1–3,4–3–1–3
4544,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³ndi³so³,repair,reparar,intr,Trimoraic,Invariable,ka³ndi³so³,ka¹⁴ndi³so³,ni¹-ka³ndi³so³,ka¹³ndi³so³,ka⁴ndi³so³,,3–3–3,14–3–3,3–3–3,13–3–3,4–3–3
4367,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³ndi⁴xa³,believe in truthfulness,creer en la veracidad,intr,Trimoraic,Invariable,ka³ndi⁴xa³,ka¹⁴ndi⁴xa³,ni¹-ka³ndi⁴xa³,ka¹³ndi⁴xa³,ka⁴ndi⁴xa³,,3–4–3,14–4–3,3–4–3,13–4–3,4–4–3
4543,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³ndiʔ³i³,brood,empollar,intr/tr,Trimoraic,Invariable,ka³ndiʔ³i³,ka¹⁴ndiʔ³i³,ni¹-ka³ndiʔ³i³,ka¹³ndiʔ³i³,ka⁴ndiʔ³i³,,3–3–3,14–3–3,3–3–3,13–3–3,4–3–3
4368,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³ndo³so⁴,boil (liquid),poner a hervir (líquido),intr,Trimoraic,Invariable,ka³ndo³so⁴,ka¹⁴ndo³so⁴,ni¹-ka³ndo³so⁴,ka¹³ndo³so⁴,ka⁴ndo³so⁴,,3–3–4,14–3–4,3–3–4,13–3–4,4–3–4
4545,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³ndo³so⁴,boil (liquid),poner a hervir (líquido),tr,Trimoraic,Invariable,ka³ndo³so⁴,ka¹⁴ndo³so⁴,ni¹-ka³ndo³so⁴,ka¹³ndo³so⁴,ka⁴ndo³so⁴,,3–3–4,14–3–4,3–3–4,13–3–4,4–3–4
4369,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³ndwaʔ¹a³,insult,insultar,intr,Trimoraic,Invariable,ka³ndwaʔ¹a³,----,ni¹-ka³ndwaʔ¹a³,ka¹³ndwaʔ¹a³,ka⁴ndwaʔ¹a³,,3–1–3,,3–1–3,13–1–3,4–1–3
4114,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³ni³,hit,pegar,tr,Bimoraic,Invariable,ka³ni³,ka¹⁴ni³,ni¹-ka³ni³,ka¹³ni³,ka⁴ni³,,3–3,14–3,3–3,13–3,4–3
4371,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³ni⁴nu³,respect,respetar,tr,Trimoraic,Invariable,ka³ni⁴nu³,ka¹⁴ni⁴nu³,ni¹-ka³ni⁴nu³,ka¹³ni⁴nu³,ka⁴ni⁴nu³,ni⁴nu³,3–4–3,14–4–3,3–4–3,13–4–3,4–4–3
4370,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³niʔ¹i³,arrive (in a container),llegar (en contenedor),intr,Trimoraic,Invariable,ka³niʔ¹i³,----,ni¹-ka³niʔ¹i³,ka¹³niʔ¹i³,ka⁴niʔ¹i³,,3–1–3,,3–1–3,13–1–3,4–1–3
4633,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³sa³chiu⁴un⁴,work,trabajar,intr,Quadrimoraic,Invariable,ka³sa³chiu⁴un⁴,ka¹⁴sa³chiu⁴un⁴,ni¹-i³xa³chiu⁴un⁴,i¹³xa³chiu⁴un⁴,i⁴xa³chiu⁴un⁴,,3–3–4–4,14–3–4–4,3–3–4–4,13–3–4–4,4–3–4–4
4676,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³si³kweʔ³e²,get angry,enojarse,intr,Quadrimoraic,Invariable,ka³si³kweʔ³e²,ka¹⁴si³kweʔ³e²,ni¹-xi³kweʔ³e²,xi¹³kweʔ³e²,xi⁴kweʔ¹e¹,,3–3–3–2,14–3–3–2,3–3–2,13–3–2,4–1–1
4116,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³si⁴,get goosebumps,ponerse la piel de gallina,intr,Bimoraic,Invariable,ka³si⁴,ka¹⁴si⁴,ni¹-ka³si⁴,ka¹³si⁴,ka⁴si⁴,,3–4,14–4,3–4,13–4,4–4
4117,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³sun²,be fried,freirse,intr,Bimoraic,Invariable,ka³sun²,ka¹⁴sun²,ni¹-ka³sun²,ka¹³sun²,ka⁴sun²,,3–2,14–2,3–2,13–2,4–2
4372,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³ta¹bi¹,squash without letting go,aplastar sin soltar,tr,Trimoraic,Invariable,ka³ta¹bi¹,ka¹⁴ta¹bi¹,ni¹-ka³ta¹bi¹,ka¹³ta¹bi¹,ka⁴ta¹bi¹,,3–1–1,14–1–1,3–1–1,13–1–1,4–1–1
4118,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³ta⁴,itch,sentir comezón,intr,Bimoraic,Invariable,ka³ta⁴,ka¹⁴ta⁴,ni¹-ka³ta⁴,ka¹³ta⁴,ka⁴ta⁴,,3–4,14–4,3–4,13–4,4–4
4373,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³ti¹in¹,rumble,retumbar,intr,Trimoraic,Invariable,ka³ti¹in¹,ka¹⁴ti¹in¹,ni¹-ka³ti¹in¹,ka¹³ti¹in¹,ka⁴ti¹in¹,,3–1–1,14–1–1,3–1–1,13–1–1,4–1–1
4374,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³ti¹in³,pile up,amontonarse,intr,Trimoraic,Invariable,ka³ti¹in³,ka¹⁴ti¹in³,ni¹-ka³ti¹in³,ka¹³ti¹in³,ka⁴ti¹in³,,3–1–3,14–1–3,3–1–3,13–1–3,4–1–3
4119,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³tu⁴,strike with the palm,golpear con la palma de la mano,tr,Bimoraic,Invariable,ka³tu⁴,ka¹⁴tu⁴,ni¹-ka³tu⁴,ka¹³tu⁴,ka⁴tu⁴,,3–4,14–4,3–4,13–4,4–4
4375,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³xaʔ⁴ni³,put something in abruptly,meter algo bruscamente,tr,Trimoraic,Invariable,ka³xaʔ⁴ni³,ka¹⁴xaʔ⁴ni³,ni¹-ka³xaʔ⁴ni³,ka¹³xaʔ⁴ni³,ka⁴xaʔ⁴ni³,,3–4–3,14–4–3,3–4–3,13–4–3,4–4–3
4376,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³xi⁴ta³,grind,moler,tr,Trimoraic,Invariable,ka³xi⁴ta³,ka¹⁴xi⁴ta³,ni¹-ka³xi⁴ta³,ka¹³xi⁴ta³,ka⁴xi⁴ta³,,3–4–3,14–4–3,3–4–3,13–4–3,4–4–3
4120,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³ya²,collect,recolectar,tr,Bimoraic,Invariable,ka³ya²,ka¹⁴ya²,ni¹-ka³ya²,ka¹³ya²,ka⁴ya²,,3–2,14–2,3–2,13–2,4–2
4086,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,kaʔ¹a¹,suffocate,ahogarse,intr,Bimoraic,Invariable,kaʔ¹a¹,kaʔ¹⁴a¹,ni¹-kaʔ¹a¹,kaʔ¹a¹,kaʔ⁴a¹,,1–1,14–1,1–1,1–1,4–1
4088,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,kaʔ¹an¹,speak,hablar,intr,Bimoraic,Invariable,kaʔ¹an¹,kaʔ¹⁴an¹,ni¹-kaʔ¹an¹,kaʔ¹an¹,kaʔ⁴an²,,1–1,14–1,1–1,1–1,4–2
4096,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,kaʔ¹un³,"smart, burn",arder de dolor,intr,Bimoraic,Invariable,kaʔ¹un³,kaʔ¹⁴un¹³,ni¹-kaʔ¹un³,kaʔ¹un³,kaʔ⁴un¹³,,1–3,14–13,1–3,1–3,4–13
4122,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,kaʔ¹yu¹,be written,ser escrito,intr,Bimoraic,Invariable,kaʔ¹yu¹,kaʔ¹⁴yu¹,ni¹-kaʔ¹yu¹,kaʔ¹yu¹,kaʔ⁴yu¹,,1–1,14–1,1–1,1–1,4–1
4099,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,kaʔ¹yu⁴,grind,rechinarse,intr,Bimoraic,Invariable,kaʔ¹yu⁴,kaʔ¹⁴yu⁴,ni¹-kaʔ¹yu⁴,kaʔ¹yu⁴,kaʔ⁴yu¹⁴,,1–4,14–4,1–4,1–4,4–14
4100,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,kaʔ³a³,sound,sonar,intr,Bimoraic,Invariable,kaʔ³a³,kaʔ¹⁴a⁴,ni¹-kaʔ³a³,kaʔ¹³a³,kaʔ⁴a⁴,,3–3,14–4,3–3,13–3,4–4
4103,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,kaʔ³an⁴,believe,creer,intr,Bimoraic,Invariable,kaʔ³an⁴,kaʔ¹⁴an⁴,ni¹-kaʔ³an⁴,kaʔ¹³an⁴,kaʔ⁴an⁴,,3–4,14–4,3–4,13–4,4–4
4107,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,kaʔ³bi³,count,contar objetos,tr,Bimoraic,Invariable,kaʔ³bi³,kaʔ¹⁴bi³,ni¹-kaʔ³bi³,kaʔ¹³bi³,kaʔ⁴bi³,,3–3,14–3,3–3,13–3,4–3
4110,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,kaʔ³ma³,make sound (dropping something big),sonar (al caer algo grande),intr,Bimoraic,Invariable,kaʔ³ma³,kaʔ¹⁴ma³,ni¹-kaʔ³ma³,kaʔ¹³ma³,kaʔ⁴ma³,,3–3,14–3,3–3,13–3,4–3
4112,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,kaʔ³nda⁴,sound watery,sonar aguado,intr,Bimoraic,Invariable,kaʔ³nda⁴,kaʔ¹⁴nda⁴,ni¹-kaʔ³nda⁴,kaʔ¹³nda⁴,kaʔ⁴nda⁴,,3–4,14–4,3–4,13–4,4–4
4113,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,kaʔ³ndi²,thunder,tronarse,intr,Bimoraic,Invariable,kaʔ³ndi²,kaʔ¹⁴ndi²,ni¹-kaʔ³ndi²,kaʔ¹³ndi²,kaʔ⁴ndi²,,3–2,14–2,3–2,13–2,4–2
4115,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,kaʔ³nu³,spend (time),pasar (tiempo),intr,Bimoraic,Invariable,kaʔ³nu³,----,niʔ¹-kaʔ³nu³,kaʔ¹³nu³,––,,3–3,,3–3,13–3,
4121,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,kaʔ³yu⁴,write,escribir,tr,Bimoraic,Invariable,kaʔ³yu⁴,kaʔ¹⁴yu⁴,ni¹-kaʔ³yu⁴,kaʔ¹³yu⁴,kaʔ⁴yu⁴,,3–4,14–4,3–4,13–4,4–4
4124,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ke¹e³,shit (watery),cagar aguado,intr,Bimoraic,Invariable,ke¹e³,ke¹⁴e¹³,ni¹-ke¹e³,ke¹e³,ke⁴e¹³,,1–3,14–13,1–3,1–3,4–13
4125,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ke¹ndu³²,parade,desfilar,intr,Bimoraic,Invariable,ke¹ndu³²,ke¹⁴ndu³²,ni¹-ke¹ndu³²,ke¹ndu³²,ke⁴ndu³²,,1–32,14–32,1–32,1–32,4–32
4126,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ke¹nu³,wash out (landslide),deslavarse (la tierra),intr,Bimoraic,Invariable,ke¹nu³,ke¹⁴nu³,ni¹-ke¹nu³,ke¹nu³,ke⁴nu³,,1–3,14–3,1–3,1–3,4–3
4132,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ke¹ta³,enter,entrar,intr,Bimoraic,Invariable,ke¹ta³,ke¹⁴ta¹³,ni¹-ke¹ta³,ke¹ta³,ke⁴ta¹³,,1–3,14–13,1–3,1–3,4–13
4127,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ke¹yu⁴,swim,nadar,intr,Bimoraic,Invariable,ke¹yu⁴,ke¹⁴yu¹⁴,ni¹-ke¹yu⁴,ke¹yu⁴,ke⁴yu¹⁴,,1–4,14–14,1–4,1–4,4–14
4377,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ke³-baʔ¹a³,get what you want,conseguir lo deseado,intr,Trimoraic,Invariable,ke³-baʔ¹a³,ke¹⁴-baʔ¹a³,ni¹-ke³-baʔ¹a³,ke¹³-baʔ¹a³,ke⁴-baʔ¹a³,,3–1–3,14–1–3,3–1–3,13–1–3,4–1–3
4128,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ke³e³,leave,salir,intr,Bimoraic,Invariable,ke³e³,ke¹⁴e³,ni¹-ke³e³,ke¹e³,ke⁴e⁴,,3–3,14–3,3–3,1–3,4–4
4129,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ke³e³,be overflowed,estar desbordado,intr,Bimoraic,Invariable,ke³e³,ke¹⁴e³,ni¹-ke³e³,ke¹³e³,ke⁴e⁴,,3–3,14–3,3–3,13–3,4–4
4131,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ke³ta³,leave,salir,intr,Bimoraic,Invariable,ke³ta³,ke¹⁴ta³,ni¹-ke³ta³,ke¹³ta³,ke⁴ta³,,3–3,14–3,3–3,13–3,4–3
4130,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,keʔ³e⁴,stick one's hand in,meter la mano,intr,Bimoraic,Invariable,keʔ³e⁴,keʔ¹⁴e⁴,ni¹-keʔ³e⁴,keʔ¹³e⁴,keʔ⁴e⁴,,3–4,14–4,3–4,13–4,4–4
4133,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ki¹⁴tu³,get light,amanecer,intr,Bimoraic,Invariable,ki¹⁴tu³,kwa¹⁴ ki¹⁴tu³,ni¹-ki¹⁴tu³,ki¹⁴tu³,in⁴ki¹⁴tu³,,14–3,14 –14–3,14–3,14–3,(4)–14–3
4135,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ki¹ku³,sew (by machine or hand),coser a máquina o a mano,tr,Bimoraic,Invariable,ki¹ku³,ki¹⁴ku¹³,ni¹-ki¹ku³,ki¹ku³,ki⁴ku¹³,,1–3,14–13,1–3,1–3,4–13
4136,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ki¹ni⁴,be shot at,ser balaceado,intr,Bimoraic,Invariable,ki¹ni⁴,ki¹⁴ni⁴,ni¹-ki¹ni⁴,ki¹ni⁴,ki⁴ni¹⁴,,1–4,14–4,1–4,1–4,4–14
4527,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ki¹tuʔ⁴un⁴,be torn,ser arrancado,intr,Trimoraic,Invariable,ki¹tuʔ⁴un⁴,ki¹⁴tuʔ⁴un⁴,ni¹-ki¹tuʔ⁴un⁴,ki¹tuʔ⁴un⁴,ki⁴tuʔ⁴un⁴,,1–4–4,14–4–4,1–4–4,1–4–4,4–4–4
4378,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ki³naʔ³a²,borrow,tomar prestado,tr,Trimoraic,Invariable,ki³naʔ³a²,ki¹⁴naʔ³a²,ni¹-ki³naʔ³a²,ki¹³naʔ³a²,ki⁴naʔ³a²,,3–3–2,14–3–2,3–3–2,13–3–2,4–3–2
4137,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ki³ni⁴,shoot,disparar,tr,Bimoraic,Invariable,ki³ni⁴,ki¹⁴ni⁴,ni¹-ki³ni⁴,ki¹³ni⁴,ki⁴ni⁴,,3–4,14–4,3–4,13–4,4–4
4138,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ki³si³,shake,sacudir,tr,Bimoraic,Invariable,ki³si³,ki¹⁴si³,ni¹-ki³si³,ki¹³si³,ki⁴si³,,3–3,14–3,3–3,13–3,4–3
4379,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ki³su⁴bi²⁴,whistle,silbar,intr,Trimoraic,Invariable,ki³su⁴bi²⁴,ki¹⁴su⁴bi²⁴,ni¹-ki³su⁴bi²⁴,ki¹³su⁴bi²⁴,ki⁴su⁴bi²⁴,,3–4–24,14–4–24,3–4–24,13–4–24,4–4–24
4677,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ki³taʔ⁴an⁴,join,juntarse,intr,Quadrimoraic,Invariable,ki³taʔ⁴an⁴,sa¹⁴-ki³taʔ⁴an⁴,ni¹-sa⁴-ki³taʔ⁴an⁴,sa¹⁴-ki³taʔ⁴an⁴,sa⁴-ki³taʔ⁴an⁴,,3–4–4,14–3–4–4,4–3–4–4,14–3–4–4,4–3–4–4
4380,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ki³taʔ⁴ni³,take out,sacar,tr,Trimoraic,Invariable,ki³taʔ⁴ni³,ki¹⁴taʔ⁴ni³,ni¹-ki³taʔ⁴ni³,ki¹³taʔ⁴ni³,ki⁴taʔ⁴ni³,,3–4–3,14–4–3,3–4–3,13–4–3,4–4–3
4548,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ki³tuʔ⁴un⁴,pull up,arrancar,tr,Trimoraic,Invariable,ki³tuʔ⁴un⁴,ki¹⁴tuʔ⁴un⁴,ni¹-ki³tuʔ⁴un⁴,ki¹³tuʔ⁴un⁴,ki⁴tuʔ⁴un⁴,,3–4–4,14–4–4,3–4–4,13–4–4,4–4–4
4381,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ki³xa²a²,arrive back,llegar de regreso,intr,Trimoraic,Invariable,ki³xa²a²,ki¹⁴xa²a²,ni¹-ki³xa²a²,ki¹³xa²a²,ki⁴xa²a²,,3–2–2,14–2–2,3–2–2,13–2–2,4–2–2
4382,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ki³xa³a⁴,start,empezar,intr,Trimoraic,Invariable,ki³xa³a⁴,ki¹⁴xa³a⁴,ni¹-ki³xa³a⁴,ki¹³xa³a⁴,ki⁴xa³a⁴,,3–3–4,14–3–4,3–3–4,13–3–4,4–3–4
4139,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ki³xi³,come,venir,intr,Bimoraic,Invariable,ki³xi³,ki¹⁴xi³,ni¹-ki³xi³,ki¹³xi³,ki⁴xi³,,3–3,14–3,3–3,13–3,4–3
4141,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,kiaʔ³bi¹³,be sold,ser vendido,intr,Bimoraic,Invariable,kiaʔ³bi¹³,kiaʔ¹⁴bi¹³,ni¹-kiaʔ³bi¹³,kiaʔ¹³bi¹³,kiaʔ⁴bi¹³,,3–13,14–13,3–13,13–13,4–13
4134,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,kiʔ¹bi³,enter,entrar,intr,Bimoraic,Invariable,kiʔ¹bi³,kiʔ¹⁴bi¹³,ni¹-kiʔ¹bi³,kiʔ¹bi³,kiʔ⁴bi¹³,,1–3,14–13,1–3,1–3,4–13
4140,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,kiʔ³in³,be punished,castigarse,intr,Bimoraic,Invariable,kiʔ³in³,kiʔ¹⁴in³,ni¹-kiʔ³in³,kiʔ¹³in³,kiʔ⁴in⁴,,3–3,14–3,3–3,13–3,4–4
4150,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ko¹ko³,be plentiful (plants),abundarse (plantas),intr,Bimoraic,Invariable,ko¹ko³,ko¹⁴ko¹³,ni¹-ko¹ko³,ko¹ko³,ko⁴ko¹³,,1–3,14–13,1–3,1–3,4–13
4142,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ko¹so¹,water,regar,tr,Bimoraic,Invariable,ko¹so¹,ko¹⁴so¹,ni¹-ko¹so¹,ko¹so¹,ko⁴so¹,,1–1,14–1,1–1,1–1,4–1
4143,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ko¹yo³,fall,caer,intr,Bimoraic,Invariable,ko¹yo³,ko¹⁴yo¹³,ni¹-ko¹yo³,ko¹yo³,ko⁴yo¹³,,1–3,14–13,1–3,1–3,4–13
4383,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ko³-nde³e⁴,tolerate,aguantar,intr,Trimoraic,Invariable,ko³-nde³e⁴,ko¹⁴-nde³e⁴null,ni¹-ko³nde³e⁴,ko¹³-nde³e⁴null,ko⁴-nde³e⁴null,,3–3–4,14–3–4,3–3–4,13–3–4,4–3–4
4144,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ko³ko⁴,swallow whole,tragar entero,tr,Bimoraic,Invariable,ko³ko⁴,ko¹⁴ko⁴,ni¹-ko³ko⁴,ko¹³ko³,ko⁴ko⁴,,3–4,14–4,3–4,13–3,4–4
4147,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ko³yo³,empty,vaciar,tr,Bimoraic,Invariable,ko³yo³,ko¹⁴yo³,ni¹-ko³yo³,ko¹³yo³,ko⁴yo³,,3–3,14–3,3–3,13–3,4–3
4148,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,koʔ¹ni⁴,be milked,ser ordeñado,intr,Bimoraic,Invariable,koʔ¹ni⁴,koʔ¹⁴ni¹⁴,ni¹-koʔ¹ni⁴,koʔ¹ni⁴,koʔ⁴ni¹⁴,,1–4,14–14,1–4,1–4,4–14
