__PK,Language name,Language sub-family,AFFIX (Verb),AFFIX (Lg.),TONE (Verb),TONE (Lg.),STEM (Verb),STEM (Lg.),Citation form,English,Spanish,Transitivity,Stem phonology,Inflected form (IRR),Inflected form (CPL),Inflected form (INCPL),Prefix (IRR),Prefix (CPL),Prefix (INCPL),Tone (IRR),Tone (CPL),Tone (INCPL),Inflectional class by affixation,Stem alternation
3759,Xochapa Mixtec,Amuzgo-Mixtecan,True,True,True,,False,True,ndo⁴o⁴,be,estar,intr,Bimoraic,ku³ndo³o³,xi¹ndo²o²,ndo⁴o⁴,ku³,xi¹,,33,22,44,II,Invariant
3760,Xochapa Mixtec,Amuzgo-Mixtecan,True,True,False,,False,True,ndo⁴so⁴,be on top,estar encima,intr,Bimoraic,ku³ndo⁴so⁴,xi¹ndo⁴so⁴,ndo⁴so⁴,ku³,xi¹,,44,44,44,II,Invariant
3761,Xochapa Mixtec,Amuzgo-Mixtecan,True,True,True,,False,True,i⁴ndu⁴ʔu⁴,be (sitting or lying),estar (sentado o acostado),intr,Bimoraic,ku³ndu⁴ʔu⁴,xi¹ndu²ʔu⁴,i⁴ndu⁴ʔu⁴,ku³,xi¹,i⁴,44,24,44,III,Invariant
3763,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,xi⁴ni⁴,see,ver,tr,Bimoraic,ku³ni³,xi²ni²,xi⁴ni⁴,,,,33,22,44,I.a,ku+
3765,Xochapa Mixtec,Amuzgo-Mixtecan,True,True,True,,False,True,ni⁴ʔi⁴,load,cargar,tr,Bimoraic,ku³ni³ʔi³,xi¹ni²ʔi²,ni⁴ʔi⁴,ku³,xi¹,,33,22,44,II,Invariant
3766,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,xi⁴nu⁴,run,correr,intr,Bimoraic,ku³nu³,xi²nu²,xi⁴nu⁴,,,,33,22,44,I.a,ku+
3767,Xochapa Mixtec,Amuzgo-Mixtecan,True,True,True,,False,True,i⁴nu⁴u⁴,be on top,estar encima,intr,Bimoraic,ku³nu⁴u⁴,xi¹nu²u²,i⁴nu⁴u⁴,ku³,xi¹,i⁴,44,22,44,III,Invariant
3770,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,chu⁴tu⁴,fill,llenarse,intr,Bimoraic,ku³tu⁴,chu²tu⁴,chu⁴tu⁴,,,,34,24,44,I.a,ku+
3771,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ku⁴u⁴,be,ser,intr,Bimoraic,ku³u³,ku²u²,ku⁴u⁴,,,,33,22,44,I.a,Invariant
3772,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ku⁴un⁴,produce,producir,intr,Bimoraic,ku³un³,ku²un²,ku⁴un⁴,,,,33,22,44,I.a,Invariant
3777,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,xi⁴xi⁴,eat,comer,intr/tr,Bimoraic,ku³xi³,xi²xi²,xi⁴xi⁴,,,,33,22,44,I.a,ku+
