Code,VarietyLocation,Group,Sources,JosserandGroup
peno11,Santa María Peñoles,Mixtec,\citelalt{josserand1983mixtec},NA
peno11,Santa María Peñoles,Mixtec,\citelalt{josserand1983mixtec},Eastern Alta
peno11,Santa María Peñoles,Mixtec,\citelalt{durr1987preliminary},NA
peno11,Santa María Peñoles,Mixtec,\citelalt{durr1987preliminary},Eastern Alta
peno11,Santa María Peñoles,Mixtec,\citelalt{daly1977mixteco},NA
peno11,Santa María Peñoles,Mixtec,\citelalt{daly1977mixteco},Eastern Alta
pera11,San Martín Peras,Mixtec,\citelalt{josserand1983mixtec},Southern Baja
pied11,San Miguel Piedras,Mixtec,\citelalt{josserand1983mixtec},Eastern Alta
pied12,Piedra Azul,Mixtec,\citelalt{mendoza2020piedra},NA
pino11,Santiago Pinotepa Nacional,Mixtec,\citelalt{josserand1983mixtec},Coast
pino12,Pinotepa de Don Luis,Mixtec,\citelalt{josserand1983mixtec},Coast
prog11,San Miguel Progreso,Mixtec,\citelalt{josserand1983mixtec},Western Alta
prog12,San Jerónimo Progreso,Mixtec,\citelalt{josserand1983mixtec},Southern Baja
prog12,San Jerónimo Progreso,Mixtec,\citelalt{durr1987preliminary},Southern Baja
prom01,Proto-Mixtec,Mixtec,\citelalt{josserand1983mixtec},NA
prom01,Proto-Mixtec,Mixtec,\citelalt{durr1987preliminary},NA
prom01,Proto-Mixtec,Mixtec,\citelalt{swanton2020observaciones},NA
prom01,Proto-Mixtec,Mixtec,\citelalt{longacre1957proto-mixtecan},NA
prot01,Proto-Trique,Mixtec,\citelalt{longacre1957proto-mixtecan},NA
reye11,Santos Reyes Tepejillo,Mixtec,\citelalt{josserand1983mixtec},Southern Baja
sayu11,San Francisco Sayultepec,Mixtec,\citelalt{josserand1983mixtec},Coast
sind11,San Mateo Sindihui,Mixtec,\citelalt{josserand1983mixtec},Eastern Alta
sini11,San José (San José Sinicahua),Mixtec,\citelalt{josserand1983mixtec},Western Alta
soso11,San Jerónimo Sosola,Mixtec,\citelalt{josserand1983mixtec},Northeastern Alta
soya11,San Bartolo Soyaltepec,Mixtec,\citelalt{josserand1983mixtec},Northeastern Alta
tama11,San Juan Tamazola,Mixtec,\citelalt{josserand1983mixtec},Eastern Alta
tama12,Santiago Tamazola,Mixtec,\citelalt{josserand1983mixtec},Western Baja
tata11,Santa María Tataltepec,Mixtec,\citelalt{josserand1983mixtec},Western Alta
teco11,San Sebastián Tecomaxtlahuaca,Mixtec,\citelalt{josserand1983mixtec},Southern Baja
teit11,San Juan Teita,Mixtec,\citelalt{josserand1983mixtec},Western Alta
tejo11,Los Tejocotes,Mixtec,\citelalt{josserand1983mixtec},Mixtepec
tepe03,San Juan Tepeuxila 1900,Mixtec,\citelalt{belmar1902el-cuicateco},NA
tepe11,Tepejillo,Mixtec,\citelalt{josserand1983mixtec},Northern Baja
tepe12,San Antonio Tepetlapa,Mixtec,\citelalt{josserand1983mixtec},Coast
tepo01,San Pedro y San Pablo Teposcolula 1600,Mixtec,\citelalt{josserand1983mixtec},Eastern Alta
tepo01,San Pedro y San Pablo Teposcolula 1600,Mixtec,\citelalt{reyes1890arte},Eastern Alta
tepo01,San Pedro y San Pablo Teposcolula 1600,Mixtec,\citelalt{alvarado1593vocabulario},Eastern Alta
tepo11,San Pedro y San Pablo Teposcolula,Mixtec,\citelalt{josserand1983mixtec},Eastern Alta
tida11,San Pedro Tidaá,Mixtec,\citelalt{josserand1983mixtec},Eastern Alta
tila11,Santiago Tilantongo,Mixtec,\citelalt{josserand1983mixtec},Eastern Alta
tlac11,San Agustín Tlacotepec,Mixtec,\citelalt{josserand1983mixtec},Western Alta
tlac12,San Miguel Tlacotepec,Mixtec,\citelalt{josserand1983mixtec},Southern Baja
tlah11,Tlahuapa,Mixtec,\citelalt{reyes-basurto2020tlahuapa},NA
tlal11,Santa Catarina Tlaltempan,Mixtec,\citelalt{josserand1983mixtec},Northern Baja
tlaz11,Santiago Tlazoyaltepec,Mixtec,\citelalt{josserand1983mixtec},Eastern Alta
tlaz11,Santiago Tlazoyaltepec,Mixtec,\citelalt{josserand1983mixtec},NA
tona11,Santa María Tonahuixtla,Mixtec,\citelalt{josserand1983mixtec},Northern Baja
toto12,Totoltepec de Guerrero,Mixtec,\citelalt{josserand1983mixtec},Northern Baja
tutu11,Villa de Tututepec de Melchor Ocampo,Mixtec,\citelalt{josserand1983mixtec},Coast
xaya11,San Jerónimo Xayacatlán,Mixtec,\citelalt{josserand1983mixtec},Northern Baja
xaya11,San Jerónimo Xayacatlán,Mixtec,\citelalt{durr1987preliminary},Northern Baja
xaya12,Xayacatlán de Bravo,Mixtec,\citelalt{josserand1983mixtec},Northern Baja
xoch11,Xochapa,Mixtec,\citelalt{gonzalez-de-guzman2013diccionario},NA
yolo11,Santa María Yolotepec,Mixtec,\citelalt{josserand1983mixtec},Western Alta
yolo11,Santa María Yolotepec,Mixtec,\citelalt{amith2020yoloxochitl},Western Alta
yolo12,Yoloxochitl,Mixtec,\citelalt{josserand1983mixtec},Guerrero
yoso11,Santiago Yosondúa,Mixtec,\citelalt{josserand1983mixtec},Western Alta
yoso11,Santiago Yosondúa,Mixtec,\citelalt{farris2012diccionario},Western Alta
yucu11,San Bartolomé Yucuañe,Mixtec,\citelalt{josserand1983mixtec},Western Alta
yucu12,Santa María Yucuhiti,Mixtec,\citelalt{josserand1983mixtec},Western Alta
yucu13,Yucuñuti de Benito Juárez,Mixtec,\citelalt{josserand1983mixtec},Tezoatlan
yucu14,San Pedro Yucunama,Mixtec,\citelalt{josserand1983mixtec},Eastern Alta
yucu15,Santa María Yucunicoco,Mixtec,\citelalt{josserand1983mixtec},Mixtepec
yucu16,Yucuquimi de Ocampo,Mixtec,\citelalt{josserand1983mixtec},Tezoatlan
yuta11,Yutanduchi de Guerrero,Mixtec,\citelalt{josserand1983mixtec},Eastern Alta
yuta12,San Juan Yuta,Mixtec,\citelalt{josserand1983mixtec},Eastern Alta
yuta13,San Andrés Yutatío,Mixtec,\citelalt{williams2007gramatica},NA
yuta13,San Andrés Yutatío,Mixtec,\citelalt{williams2017diccionario},NA
zaca11,Santa María Zacatepec,Mixtec,\citelalt{josserand1983mixtec},Coast
zaca11,Santa María Zacatepec,Mixtec,\citelalt{towne2011gramatica},Coast
zapo11,Zapotitlán Palmas,Mixtec,\citelalt{josserand1983mixtec},Northern Baja
