Code,VarietyLocation,Group,JosserandGroup,Sources
zapo11,Zapotitlán Palmas,Mixtec,Northern Baja,\citealt{josserand1983mixtec}
ayut11,Ayutla de los Libres,Mixtec,Southern Baja,"\citealt{campos2004diccionario}, \citealt{josserand1983mixtec}, \citealt{durr1987preliminary}"
chay12,San Pedro Chayuco,Mixtec,Southern Baja,\citealt{josserand1983mixtec}
coic11,Coicoyán de las Flores,Mixtec,Southern Baja,\citealt{josserand1983mixtec}
dura11,San Martín Duraznos,Mixtec,Southern Baja,"\citealt{hernandez2020san-martin}, \citealt{josserand1983mixtec}"
ixpa11,Ixpantepec Nieves,Mixtec,Southern Baja,\citealt{josserand1983mixtec}
juxt11,Santiago Juxtlahuaca,Mixtec,Southern Baja,\citealt{josserand1983mixtec}
metl11,Metlatónoc,Mixtec,Southern Baja,"\citealt{josserand1983mixtec}, \citealt{durr1987preliminary}"
pera11,San Martín Peras,Mixtec,Southern Baja,\citealt{josserand1983mixtec}
prog12,San Jerónimo Progreso,Mixtec,Southern Baja,"\citealt{josserand1983mixtec}, \citealt{durr1987preliminary}"
reye11,Santos Reyes Tepejillo,Mixtec,Southern Baja,\citealt{josserand1983mixtec}
teco11,San Sebastián Tecomaxtlahuaca,Mixtec,Southern Baja,\citealt{josserand1983mixtec}
tlac12,San Miguel Tlacotepec,Mixtec,Southern Baja,\citealt{josserand1983mixtec}
asun11,Santa María Asunción,Mixtec,Southern Baja*,\citealt{carrasco2020santa}
flor12,San Marcos de la Flor,Mixtec,Southern Baja*,pending
pied12,Piedra Azul,Mixtec,Southern Baja*,\citealt{mendoza2020piedra}
caca11,Santiago Cacaloxtepec,Mixtec,Tezoatlan,"\citealt{josserand1983mixtec}, \citealt{durr1987preliminary}"
yucu13,Yucuñuti de Benito Juárez,Mixtec,Tezoatlan,\citealt{josserand1983mixtec}
yucu16,Yucuquimi de Ocampo,Mixtec,Tezoatlan,\citealt{josserand1983mixtec}
yuta13,San Andrés Yutatío,Mixtec,Tezoatlan*,"\citealt{williams2007gramatica}, \citealt{williams2017diccionario}"
achi11,San Miguel Achiutla,Mixtec,Western Alta,\citealt{josserand1983mixtec}
