"doc_id","citekey","code","branch","lex_est","lex_type","tones_marked","med_type","status","permission","digitized"
"D55","durr1987preliminary","diux11","Mixtec",100,,"yes","cognate_set",,,"yes"
"D56","josserand1983mixtec","diux11","Mixtec",150,,"no","cognate_set",,,"yes"
"D57","josserand1983mixtec","dura11","Mixtec",150,,"no","cognate_set",,,"yes"
"D58","hernandez2020verb","dura11","Mixtec",337,"verbs","yes","paradigms","unpublished","yes","yes"
"D59","hernandez2020san-martin","dura11","Mixtec",834,"non-v","yes","dictionary","unpublished","yes","yes"
"D6","josserand1983mixtec","ahue11","Mixtec",150,,"no","cognate_set",,,"yes"
"D60","josserand1983mixtec","esta11","Mixtec",150,,"no","cognate_set",,,"yes"
"D61","josserand1983mixtec","este11","Mixtec",150,,"no","cognate_set",,,"yes"
"D62","josserand1983mixtec","flor11","Mixtec",150,,"no","cognate_set",,,"yes"
"D63",,"flor12","Mixtec",89,"verbs","yes","paradigms",,,"yes"
"D64",,"flor12","Mixtec",826,"non-v","yes","dictionary","unpublished","pending","yes"
"D65","durr1987preliminary","gran11","Mixtec",100,,"yes","cognate_set",,,"yes"
"D66","josserand1983mixtec","gran11","Mixtec",150,,"no","cognate_set",,,"yes"
"D67","dyk1951vocabulario","gran11","Mixtec",3400,,"yes","dictionary",,,"no"
"D68","josserand1983mixtec","guad11","Mixtec",150,,"no","cognate_set",,,"yes"
"D69","josserand1983mixtec","huaz11","Mixtec",150,,"no","cognate_set",,,"yes"
"D7","anderson2001vocabulario","alac11","Mixtec",70,,"yes","dictionary_minimal",,,"no"
"D70","josserand1983mixtec","huit11","Mixtec",150,,"no","cognate_set",,,"yes"
"D71","josserand1983mixtec","itun11","Mixtec",150,,"no","cognate_set",,,"yes"
"D72","matsukawa2005preliminary","itun12","Triqui",200,,"yes","cognate_set",,,"no"
"D73","josserand1983mixtec","ixpa11","Mixtec",150,,"no","cognate_set",,,"yes"
"D74","josserand1983mixtec","ixta11","Mixtec",150,,"no","cognate_set",,,"yes"
"D75","josserand1983mixtec","ixta12","Mixtec",150,,"no","cognate_set",,,"yes"
"D76","josserand1983mixtec","ixta13","Mixtec",150,,"no","cognate_set",,,"yes"
"D77","josserand1983mixtec","jami11","Mixtec",150,,"no","cognate_set",,,"yes"
"D78","josserand1983mixtec","jate11","Mixtec",150,,"no","cognate_set",,,"yes"
"D79","durr1987preliminary","jica11","Mixtec",100,,"yes","cognate_set",,,"yes"
"D8","durr1987preliminary","alac11","Mixtec",100,,"yes","cognate_set",,,"yes"
"D80","josserand1983mixtec","jica11","Mixtec",150,,"no","cognate_set",,,"yes"
"D81","josserand1983mixtec","jica12","Mixtec",150,,"no","cognate_set",,,"yes"
"D82","josserand1983mixtec","joco11","Mixtec",150,,"no","cognate_set",,,"yes"
"D83","josserand1983mixtec","juxt11","Mixtec",150,,"no","cognate_set",,,"yes"
"D84","josserand1983mixtec","lore11","Mixtec",150,,"no","cognate_set",,,"yes"
"D85","josserand1983mixtec","mech11","Mixtec",150,,"no","cognate_set",,,"yes"
"D86","durr1987preliminary","metl11","Mixtec",100,,"yes","cognate_set",,,"yes"
"D87","josserand1983mixtec","metl11","Mixtec",150,,"no","cognate_set",,,"yes"
"D88","josserand1983mixtec","mica11","Mixtec",150,,"no","cognate_set",,,"yes"
"D89",,"mixt11","Mixtec",61,"verbs","yes","paradigms",,,"yes"
"D9","josserand1983mixtec","alac11","Mixtec",150,,"no","cognate_set",,,"yes"
"D90","durr1987preliminary","mixt11","Mixtec",100,,"yes","cognate_set",,,"yes"
"D91","josserand1983mixtec","mixt11","Mixtec",150,,"no","cognate_set",,,"yes"
"D92",,"mixt11","Mixtec",378,"non-v","yes","dictionary","unpublished","waiting for Yésica’s reply","yes"
"D93","durr1987preliminary","moli11","Mixtec",100,,"yes","cognate_set",,,"yes"
"D94","josserand1983mixtec","moli11","Mixtec",150,,"no","cognate_set",,,"yes"
"D95","josserand1983mixtec","mont12","Mixtec",150,,"no","cognate_set",,,"yes"
"D96",,"mont12","Mixtec",280,"verbs","yes","paradigms",,,"yes"
"D97","solano2020san-sebastian","mont12","Mixtec",436,"non-v","yes","dictionary","unpublished","yes","yes"
"D98",,"mont13","Mixtec",120,,"no","dictionary_minimal",,,"no"
"D99","josserand1983mixtec","mont13","Mixtec",150,,"no","cognate_set",,,"yes"
,"alexander1988syntactic","ocot11","Mixtec",0,,,"grammar_sketch",,,
,"bradley1970a-linguistic","jica11","Mixtec",0,,,"grammar_sketch",,,
,"farris1992syntactic","yoso11","Mixtec",0,,,"grammar_sketch",,,
,"gittlen2016gramatica","numi11","Mixtec",0,,,"pedagogical_grammar_sketch",,,
,"hills1990syntactic","ayut11","Mixtec",0,,,"grammar_sketch",,,
,"hollenbach1992syntactic","copa11","Triqui",0,,,"grammar_sketch",,,
,"hollenbach2013gramatica","pena11","Mixtec",0,,,"grammar/pedagogical grammar",,,
,"johnson1988syntactic","jami11","Mixtec",0,,,"grammar_sketch",,,
,"kuiper1991syntactic","tila11~diux11","Mixtec",0,,,"grammar_sketch",,,
,"leon-pasquel1988noun","coat12","Mixtec",,,,"specific_topic",,,
,"mckendry2013tonal","GROUP","Mixtec",0,,,"grammar_sketch, specific_topic",,,
,"north1976gramatica","sila11","Mixtec",0,,,"pedagogical_grammar_sketch",,,
,"perez-jimenez1988sain","chal11","Mixtec",,,,"specific_topic","unavailable",,
,"reyes1890arte","tepo01","Mixtec","NA","all","no","dictionary",,,
,"shields1970grammatical","sila11","Mixtec",,,,"grammar_sketch","restricted access, request sent",,
,"shields1988syntactic","sila11","Mixtec",0,,,"grammar_sketch",,,
,"small1990syntactic","coat11","Mixtec",0,,,"grammar_sketch",,,
,"towne2011gramatica","zaca11","Mixtec",0,,,"pedagogical_grammar",,,
,"williams2007gramatica","yuta13","Mixtec",0,,,"pedagogical_grammar",,,
,"zylstra1991syntactic","alac11","Mixtec",0,,,"grammar_sketch",,,
,"zylstra2012gramatica","alac11","Mixtec",0,,,"pedagogical_grammar",,,
,,"?","Triqui",,,,"grammar_sketch",,,
,,"?","Triqui",,,,"pedagogical_material",,,
,,"?","Triqui",,,,"pedagogical_material",,,
,,"?","Cuicatec",,,,"pedagogical_material",,,
,,"?","Cuicatec",,,,"pedagogical_material",,,
,,"?","Triqui",,,,"specific_topic",,,
,,"?","Triqui",,,,"specific_topic",,,
,,"?","Cuicatec",,,,"specific_topic",,,
,,"?","Cuicatec",,,,"specific_topic",,,
,,"?","Triqui",,,,"specific_topic",,,
,,"?","Triqui",,,,"specific_topic",,,
,,"?","Triqui",,,,"specific_topic",,,
,,"?","Triqui",,,,"specific_topic",,,
,,"?","Triqui",,,,"specific_topic",,,
,,"?","Cuicatec",,,,"specific_topic",,,
,,"?","Triqui",,,,"specific_topic",,,
,,"?","Cuicatec",,,,,"unavailable",,
,,"?","Cuicatec",,,,,"unavailable",,
,,"alac11","Mixtec",,,,"specific_topic",,,
,,"alac11","Mixtec",,,,"specific_topic",,,
,,"amol11~mont13~atat11~ocot11~gran11~chay11~alac11~pino13~caca11~ayut11~coat11~colo11~sila11~yoso11~tezo11~jami11~metl11~alco11~teit11~pena11~","Mixtec",,,,"specific_topic",,,
