ID	Name	Location	Branch	Latitude	Longitude	Glottocode	ISO639P3code
131	tezo11	Tezoatlán de Segura y Luna	Mixtec	17.65084	-97.80972	tezo1239	mxb
132	ticu11	Santa Catarina Ticuá	Mixtec	17.07332	-97.53638	sant1443	mig
133	tida11	San Pedro Tidaá	Mixtec	17.4142	-97.3333	tida1235	mtx
134	tija11	San Pablo Tijaltepec	Mixtec	17.1539	-97.4578	tija1235	xtl
135	tila11	Santiago Tilantongo	Mixtec	17.3596	-97.3861	diux1236	xtd
136	tind11	Santa María Tindú	Mixtec	17.48954	-97.93558	NA	NA
137	tlac11	San Agustín Tlacotepec	Mixtec	17.20365	-97.51853	sana1284	xtm
138	tlac12	San Miguel Tlacotepec	Mixtec	17.45511	-98.00552	NA	NA
139	tlah11	Tlahuapa	Mixtec	17.37553	-98.33826	alco1235	xta
140	tlal11	Santa Catarina Tlaltempan	Mixtec	18.61485	-98.08867	NA	NA
141	tlaz11	Santiago Tlazoyaltepec	Mixtec	17.0274	-96.99583	sant1446	mqh
142	tlaz11	Santiago Tlazoyaltepec	Mixtec	17.02704	-96.9783	tlaz1235	mqh
143	tona11	Santa María Tonahuixtla	Mixtec	18.20057	-97.89437	NA	NA
144	toto11	Tototepec	Mixtec	17.43238	-98.58289	toto1307	mim
145	toto12	Totoltepec de Guerrero	Mixtec	18.22581	-97.85526	chaz1235	xtb
146	tutu11	Villa de Tututepec de Melchor Ocampo	Mixtec	16.12968	-97.60452	tutu1243	mtu
147	tutu12	San Pedro Tututepec	Mixtec	16.12987	-97.6085	tutu1243	mtu
148	xaya11	San Jerónimo Xayacatlán	Mixtec	18.22159	-97.91563	south3001	mit
149	xaya12	Xayacatlán de Bravo	Mixtec	18.2353	-97.97435	south3001	mit
150	xoch11	Xochapa	Mixtec	17.38134	-98.44988	xoch1238	xta
151	yolo11	Santa María Yolotepec	Mixtec	16.9648	-97.4537	taca1257	xtt
152	yolo12	Yoloxochitl	Mixtec	16.8059	-98.6293	yolo1241	xty
153	yoso11	Santiago Yosondúa	Mixtec	16.9042	-97.5018	yoso1239	mpm
154	yoso12	Santa María Yosoyúa	Mixtec	17.11985	-97.51553	sant1442	NA
155	yoso13	Santa Catarina Yosonotú	Mixtec	17.02073	-97.66201	sant1438	NA
156	yoso14	San Pedro Yosoñama	Mixtec	17.4272	-97.77267	yoso1238	xtn
157	yucu11	San Bartolomé Yucuañe	Mixtec	17.2832	-97.4285	yucu1250	mvg
158	yucu12	Santa María Yucuhiti	Mixtec	17.03036	-97.78237	yucu1249	meh
159	yucu13	Yucuñuti de Benito Juárez	Mixtec	17.63409	-97.89151	yucu1251	mxb
160	yucu14	San Pedro Yucunama	Mixtec	17.56221	-97.48291	NA	NA
161	yucu15	Santa María Yucunicoco	Mixtec	17.2372	-97.91806	NA	NA
162	yucu16	Yucuquimi de Ocampo	Mixtec	17.57853	-97.89014	NA	NA
163	yuta11	Yutanduchi de Guerrero	Mixtec	17.0311	-97.2293	yuta1240	mab
164	yuta12	San Juan Yuta	Mixtec	17.02228	-97.17054	NA	NA
165	yuta13	San Andrés Yutatío	Mixtec	17.60626	-97.89428	NA	NA
166	zaca11	Santa María Zacatepec	Mixtec	16.7003	-97.9484	sant1436	mza
167	zahu11	San Simón Zahuatlán	Mixtec	17.8291	-98.00505	sans1274	NA
168	zapo11	Zapotitlán Palmas	Mixtec	17.88959	-97.82406	NA	NA
