Grapheme1,Grapheme2,IPA,Class,Status,Comments,Source,Doculect
ăà̢,NA,ã35ã1,VT,NA,NA,daly1977mixteco,peno11
ăa̢,NA,ã35ã3,VT,NA,NA,daly1977mixteco,peno11
ăă̢,NA,ã35ã35,VT,NA,NA,daly1977mixteco,peno11
ăá̢,NA,ã35ã5,VT,NA,NA,daly1977mixteco,peno11
aàn,NA,ã3ã1,VT,NA,NA,galindo-sanchez2009vocabulario,abas11
āan,NA,ã3ã1,VT,NA,NA,zylstra1991syntactic,alac11
aān,NA,ã3ã1,VT,NA,NA,alexander1980gramatica,atat11
āan,NA,ã3ã1,VT,NA,NA,hills1990syntactic,ayut11
aàn,NA,ã3ã1,VT,NA,NA,oxnard2020,bate11
āàn,NA,ã3ã1,VT,NA,NA,pensinger1974diccionario,chay11
āan,NA,ã3ã1,VT,NA,NA,kuiper1991syntactic,diux11
aàn,NA,ã3ã1,VT,NA,NA,hernandez2020san-martin,dura11
aàn,NA,ã3ã1,VT,NA,NA,oxnard2020,flor12
aān,NA,ã3ã1,VT,NA,NA,dyk1965vocabulario,gran11
āan,NA,ã3ã1,VT,NA,NA,johnson1988syntactic,jami11
aàn,NA,ã3ã1,VT,NA,NA,oxnard2020,mont12
āan,NA,ã3ã1,VT,NA,NA,alexander1988syntactic,ocot11
aà̢,NA,ã3ã1,VT,NA,NA,daly1977mixteco,peno11
aàn,NA,ã3ã1,CVC,NA,NA,oxnard2020,pied12
aa̱n,NA,ã3ã1,VT,NA,NA,north1976gramatica,prog12
āan,NA,ã3ã1,VT,NA,NA,shields1988syntactic,prog12
aàn,NA,ã3ã1,VT,NA,NA,oxnard2020,tlah11
āan,NA,ã3ã1,VT,NA,NA,farris1992syntactic,yoso11
aǎn,NA,ã3ã15,VT,NA,NA,oxnard2020,bate11
aǎn,NA,ã3ã15,VT,NA,NA,oxnard2020,flor12
aǎn,NA,ã3ã15,CVC,NA,NA,oxnard2020,pied12
aan,NA,ã3ã3,VT,NA,NA,galindo-sanchez2009vocabulario,abas11
āān,NA,ã3ã3,VT,NA,NA,zylstra1991syntactic,alac11
aan,NA,ã3ã3,VT,NA,NA,alexander1980gramatica,atat11
āān,NA,ã3ã3,VT,NA,NA,hills1990syntactic,ayut11
aan,NA,ã3ã3,VT,NA,NA,oxnard2020,bate11
āān,NA,ã3ã3,VT,NA,NA,pensinger1974diccionario,chay11
āān,NA,ã3ã3,VT,NA,NA,kuiper1991syntactic,diux11
aan,NA,ã3ã3,VT,NA,NA,hernandez2020san-martin,dura11
aan,NA,ã3ã3,VT,NA,NA,oxnard2020,flor12
aan,NA,ã3ã3,VT,NA,NA,dyk1965vocabulario,gran11
āān,NA,ã3ã3,VT,NA,NA,johnson1988syntactic,jami11
aan,NA,ã3ã3,VT,NA,NA,oxnard2020,mont12
āān,NA,ã3ã3,VT,NA,NA,alexander1988syntactic,ocot11
aa̢,NA,ã3ã3,VT,NA,NA,daly1977mixteco,peno11
aan,NA,ã3ã3,CVC,NA,NA,oxnard2020,pied12
aan,NA,ã3ã3,VT,NA,NA,north1976gramatica,prog12
āān,NA,ã3ã3,VT,NA,NA,shields1988syntactic,prog12
aan,NA,ã3ã3,VT,NA,NA,oxnard2020,tlah11
āān,NA,ã3ã3,VT,NA,NA,farris1992syntactic,yoso11
aă̢,NA,ã3ã35,VT,NA,NA,daly1977mixteco,peno11
aán,NA,ã3ã5,VT,NA,NA,galindo-sanchez2009vocabulario,abas11
āán,NA,ã3ã5,VT,NA,NA,zylstra1991syntactic,alac11
aán,NA,ã3ã5,VT,NA,NA,alexander1980gramatica,atat11
āán,NA,ã3ã5,VT,NA,NA,hills1990syntactic,ayut11
aán,NA,ã3ã5,VT,NA,NA,oxnard2020,bate11
āán,NA,ã3ã5,VT,NA,NA,pensinger1974diccionario,chay11
āán,NA,ã3ã5,VT,NA,NA,kuiper1991syntactic,diux11
aán,NA,ã3ã5,VT,NA,NA,hernandez2020san-martin,dura11
aán,NA,ã3ã5,VT,NA,NA,oxnard2020,flor12
aán,NA,ã3ã5,VT,NA,NA,dyk1965vocabulario,gran11
āán,NA,ã3ã5,VT,NA,NA,johnson1988syntactic,jami11
aán,NA,ã3ã5,VT,NA,NA,oxnard2020,mont12
āán,NA,ã3ã5,VT,NA,NA,alexander1988syntactic,ocot11
aá̢,NA,ã3ã5,VT,NA,NA,daly1977mixteco,peno11
aán,NA,ã3ã5,CVC,NA,NA,oxnard2020,pied12
aán,NA,ã3ã5,VT,NA,NA,north1976gramatica,prog12
āán,NA,ã3ã5,VT,NA,NA,shields1988syntactic,prog12
aán,NA,ã3ã5,VT,NA,NA,oxnard2020,tlah11
āán,NA,ã3ã5,VT,NA,NA,farris1992syntactic,yoso11
aân,NA,ã3ã51,VT,NA,NA,oxnard2020,bate11
āân,NA,ã3ã51,VT,NA,NA,kuiper1991syntactic,diux11
aân,NA,ã3ã51,VT,NA,NA,oxnard2020,flor12
aân,NA,ã3ã51,CVC,NA,NA,oxnard2020,pied12
á,NA,a5,VT,NA,NA,galindo-sanchez2009vocabulario,abas11
á,NA,a5,V,NA,NA,"josserand1983mixtec, , zylstra1991syntactic",alac11
á,NA,a5,VT,NA,NA,alexander1980gramatica,atat11
á,NA,a5,VT,NA,NA,hills1990syntactic,ayut11
á,NA,a5,VT,NA,NA,oxnard2020,bate11
á,NA,a5,VT,NA,NA,pensinger1974diccionario,chay11
á,NA,a5,VT,NA,NA,"pike1974downstepping, small1990syntactic",coat11
á,NA,a5,VT,NA,NA,bradley1991preliminary,conc11
á,NA,a5,VT,NA,NA,"pike1976stress, kuiper1991syntactic",diux11
á,NA,a5,VT,NA,NA,hernandez2020san-martin,dura11
á,NA,a5,VT,NA,NA,oxnard2020,flor12
á,NA,a5,VT,NA,NA,dyk1965vocabulario,gran11
á,NA,a5,VT,NA,NA,johnson1988syntactic,jami11
á,NA,a5,VT,NA,NA,bradley1970a-linguistic,jica11
á,NA,a5,VT,NA,NA,overholt1961tonemic,metl11
á,NA,a5,VT,NA,NA,oxnard2020,mont12
á,NA,a5,VT,NA,NA,alexander1988syntactic,ocot11
á,NA,a5,VT,NA,NA,daly1977mixteco,peno11
á,NA,a5,CVC,NA,NA,oxnard2020,pied12
á,NA,a5,VT,NA,NA,"north1976gramatica, shields1988syntactic",prog12
á,NA,a5,VT,NA,NA,oxnard2020,tlah11
á,NA,a5,VT,NA,NA,farris1992syntactic,yoso11
á,NA,a5,VT,NA,NA,NA,NA
á,NA,a5,V,NA,NA,NA,NA
án$,NA,ã5,VT,NA,NA,galindo-sanchez2009vocabulario,abas11
á̧,NA,ã5,V,NA,NA,"josserand1983mixtec,",alac11
