LEXEME,IMPF,PFV,IRR
V088_ntiki,ⁿdiki,iⁿdiki,ⁿdiki
V089_saka'a,sakaʔa,isakaʔa,sakaʔa
V090_ntika'nu,ⁿdikaʔnu,iⁿdikaʔnu,ⁿdikaʔnu
V091_kachi,kat͡ʃi,ikat͡ʃi,kat͡ʃi
V092_ntachinuu,ⁿdat͡ʃinuu,iⁿdat͡ʃinuu,ⁿdat͡ʃinuu
V093_santoko,saⁿdoko,isaⁿdoko,saⁿdoko
V094_kotuntxe'e,ⁿd͡ʑeʔe,iɕituⁿd͡ʑeʔe,kotuⁿd͡ʑeʔe
V095_ntiyaa,ⁿdiʒaa,iⁿdiʒaa,ⁿdiʒaa
V096_txitxiin,t͡ɕit͡ɕĩĩ,it͡ɕit͡ɕĩĩ,t͡ɕit͡ɕĩĩ
V097_txiin,t͡ɕĩĩ,it͡ɕĩĩ,t͡ɕĩĩ
V098_kunti'i,iⁿdiʔi,iɕiⁿdiʔi,kuⁿdiʔi
V099_nu'un,nuʔũ,inuʔũ,nuʔũ
V100_ntake'e,ⁿdakeʔe,iⁿdakeʔe,ⁿdakeʔe
V101_taan,tãã,itãã,tãã
V102_ku'un,kuaʔã,iɕaʔã,kuʔũ
V103_ntikue'e,kueʔe,iⁿdikueʔe,ⁿdikueʔe
V104_ntxi'i,ⁿd͡ʑiʔi,iⁿd͡ʑiʔi,ⁿd͡ʑiʔi
V105_tivi,tiβi,itiβi,tiβi
V106_ka'mu,kaʔmu,ikaʔmu,kaʔmu
V107_kuixa,ɕiɕa,iɕiɕa,kuiɕa
V108_kaxi,ɕaɕi,iɕaɕi,kaɕi
V109_kee,ɕee,iɕee,kee
V110_ke'e,keʔe,ikeʔe,keʔe
V111_xani,ɕani,iɕani,ɕani
V112_kusiiini,kusiiini,ikusiiini,kusiiini
V113_kotoini,ɕitoini,iɕitoini,kotoini
V114_koto,ɕito,iɕito,koto
V115_nto'o,ⁿdoʔo,iⁿdoʔo,ⁿdoʔo
V116_ntikua'a,ⁿdikuaʔa,iⁿdikuaʔa,ⁿdikuaʔa
V117_kotoni'ni,ɕitoniʔni,iɕitoniʔni,kotoniʔni
V118_ntakan,ⁿdakã,iⁿdakã,ⁿdakã
V119_ntakatu'un,ⁿdakatuʔũ,iⁿdakatuʔũ,ⁿdakatuʔũ
V120_kana,kana,ikana,kana
V121_chintxee,t͡ʃiⁿd͡ʑee,it͡ʃiⁿd͡ʑee,t͡ʃiⁿd͡ʑee
V122_ki'in,kiʔĩ,ikiʔĩ,kiʔĩ
V123_txatxa,t͡ɕat͡ɕa,it͡ɕat͡ɕa,t͡ɕat͡ɕa
V124_nuu,nuu,inuu,nuu
V125_nuuse'e,nuuseʔe,inuuseʔe,nuuseʔe
V126_keta,keta,iketa,keta
V127_koyo,koʒo,ikoʒo,koʒo
V128_xaa,ɕaa,iɕaa,ɕaa
V129_satatan,satatã,isatatã,satatã
V130_kini,kini,ikini,kini
V131_ntashita,ⁿdaʃita,iⁿdaʃita,ⁿdaʃita
V132_kuna,ɕuna,iɕuna,kuna
V133_kukumi,kumi,iɕikumi,kukumi
V134_tavi,taβi,itaβi,taβi
V135_si'vi,siʔβi,isiʔβi,siʔβi
V136_ntava,ⁿdaβa,iⁿdaβa,ⁿdaβa
V137_kani'i,kaniʔi,ikaniʔi,kaniʔi
V138_chiñu'u,t͡ʃiɲuʔũ,it͡ʃiɲuʔũ,t͡ʃiɲuʔũ
V139_kataxa'a,ɕitaɕaʔa,iɕitaɕaʔa,kataɕaʔa
V140_ki'vi,kiʔβi,ikiʔβi,kiʔβi
V141_kukii,kii,iɕikii,kukii
V142_ntakatxa,ⁿdakat͡ɕa,iⁿdakat͡ɕa,ⁿdakat͡ɕa
V143_katun,katũ,ikatũ,katũ
V144_ntikaxi,ⁿdikaɕi,iⁿdikaɕi,ⁿdikaɕi
V145_txivintxaa,t͡ɕiβiⁿd͡ʑaa,it͡ɕiβiⁿd͡ʑaa,t͡ɕiβiⁿd͡ʑaa
V146_ntakoto,ⁿdakoto,iⁿdakoto,ⁿdakoto
V147_kunu,ɕinu,iɕinu,kunu
V148_chinii,t͡ʃinii,it͡ʃinii,t͡ʃinii
V149_kutaka,itaka,iɕitaka,kutaka
V150_kataka,kataka,ikataka,kataka
V151_ntata,ⁿdata,iⁿdata,ⁿdata
V152_kuya'a,ʒaʔa,ikuʒaʔa,kuʒaʔa
V153_ntikua'a,kuaʔa,iⁿdikuaʔa,ⁿdikuaʔa
V154_ntasi,ⁿdasi,iɕiⁿdasi,kuⁿdasi
V155_soo,soo,isoo,soo
V156_kuntaa,ⁿdaa,iɕiⁿdaa,kuⁿdaa
V157_kantxaa,kaⁿd͡ʑaa,ikaⁿd͡ʑaa,kaⁿd͡ʑaa
V158_ya'a,ʒaʔa,iʒaʔa,ʒaʔa
V159_ntixaa,ⁿdiɕaa,iⁿdiɕaa,ⁿdiɕaa
V160_txaso'o,t͡ɕasoʔo,it͡ɕasoʔo,t͡ɕasoʔo
