LEXEME,microclasses,IMPF,PFV,IRR,SegClass,ToneClass
V025_kitxi,2,ki5t͡ɕi1,i1ki1t͡ɕi1,ki1t͡ɕi1,A,1
V035_nte'e,2,ⁿde5ʔe1,i1ⁿde1ʔe1,ⁿde1ʔe1,A,1
V042_kukuachiini,2,ku5kʷa1t͡ʃi5i3ni3,i1ku1kʷa1t͡ʃi5i3ni3,ku1kʷa1t͡ʃi5i3ni3,A,1
V050_ichi,2,i5t͡ʃi1,i1i1t͡ʃi1,i1t͡ʃi1,A,1
V057_tashi,2,ta5ʃi1,i1ta1ʃi1,ta1ʃi1,A,1
V067_taan,2,tã5ã3,i1tã1ã3,tã1ã3,A,1
V068_ntova,2,ⁿdo5βa1,i1ⁿdo1βa1,ⁿdo1βa1,A,1
V070_yakua,2,ʒa5kʷa1,i1ʒa1kʷa1,ʒa1kʷa1,A,1
V084_kagua,2,ka5wa1,i1ka1wa1,ka1wa1,A,1
V095_ntiyaa,2,ⁿdi5ʒa1a1,i1ⁿdi1ʒa1a1,ⁿdi1ʒa1a1,A,1
V097_txiin,2,t͡ɕĩ5ĩ3,i1t͡ɕĩ1ĩ3,t͡ɕĩ1ĩ3,A,1
V105_tivi,2,ti5βi3,i1ti1βi3,ti1βi3,A,1
V106_ka'mu,2,ka5ʔmu3,i1ka1ʔmu3,ka1ʔmu3,A,1
V111_xani,2,ɕa5ni5,i1ɕa1ni5,ɕa1ni5,A,1
V121_chintxee,2,t͡ʃi5ⁿd͡ʑe3e5,i1t͡ʃi1ⁿd͡ʑe3e5,t͡ʃi1ⁿd͡ʑe3e5,A,1
V126_keta,2,ke5ta3,i1ke1ta3,ke1ta3,A,1
V128_xaa,2,ɕa5a1,i1ɕa1a1,ɕa1a1,A,1
V140_ki'vi,2,ki5ʔβi3,i1ki1ʔβi3,ki1ʔβi3,A,1
V143_katun,2,ka5tũ1,i1ka1tũ1,ka1tũ1,A,1
V203_xinu,2,ɕi5nu3,i1ɕi1nu3,ɕi1nu3,A,1
V216_xuun,2,ɕũ5ũ5,i1ɕũ1ũ5,ɕũ1ũ5,A,1
V217_tuun,2,tũ5ũ1,i1tũ1ũ1,tũ1ũ1,A,1
V226_cho'o,2,t͡ʃo5ʔo1,i1t͡ʃo1ʔo1,t͡ʃo1ʔo1,A,1
V228_kee,2,ke5e3,i1ke1e3,ke1e3,A,1
V232_shita,2,ʃi5ta5,i1ʃi1ta5,ʃi1ta5,A,1
V237_saka,2,sa5ka1,i1sa1ka1,sa1ka1,A,1
V246_saa,2,sa5a1,i1sa1a1,sa1a1,A,1
V254_shu'un,2,ʃu5ʔũ5,i1ʃu1ʔũ5,ʃu1ʔũ5,A,1
V270_txian,2,t͡ɕi5ã3,i1t͡ɕi1ã3,t͡ɕi1ã3,A,1
V277_ni'i,2,ni5ʔi1,i1ni1ʔi1,ni1ʔi1,A,1
V279_ntxiko,2,ⁿd͡ʑi5ko3,i1ⁿd͡ʑi1ko3,ⁿd͡ʑi1ko3,A,1
V287_ntaka'nu,2,ⁿda5ka1ʔnu1,i1ⁿda1ka1ʔnu1,ⁿda1ka1ʔnu1,A,1
V299_kaan,2,kã5ã3,i1kã1ã3,kã1ã3,A,1
V310_sama,2,sa5ma3,i1sa1ma3,sa1ma3,A,1
V317_ta'ni,2,ta5ʔni1,i1ta1ʔni1,ta1ʔni1,A,1
V320_xini,2,ɕi5ni1,i1ɕi1ni1,ɕi1ni1,A,1
V327_xi'in,2,ɕi5ʔĩ3,i1ɕi1ʔĩ3,ɕi1ʔĩ3,A,1
V335_ntxee,2,ⁿd͡ʑe5e3,i1ⁿd͡ʑe1e3,ⁿd͡ʑe1e3,A,1
V336_shiko,2,ʃi5ko5,i1ʃi1ko5,ʃi1ko5,A,1
V112_kusiiini,re-assign,ku5si3i1i3ni3,i1ku3si1i1i3ni3,ku3si1i1i3ni3,A,1
V172_ntikintxee,V172_ntikintxee,ⁿdi5ki5ⁿd͡ʑe3e5,i1ⁿdi5ki3ⁿd͡ʑe3e5,ⁿdi5ki3ⁿd͡ʑe3e5,A,1
V291_kutatxi,V291_kutatxi,ku3ta1t͡ɕi5i3ni3,i1ku3ta1t͡ɕi5i3ni3,ku3ta5t͡ɕi5i3ni3,A,1
V292_takue'e,V292_takue'e,ta3kʷe1ʔe1,i1ta3kʷe1ʔe1,ta3kʷe3ʔe1,A,1
V307_kokonii,4,ko5ko5ni5i5,i1ko3ko3ni5i5,ko3ko3ni5i5,A,2
V308_kokona'na,4,ko5ko5na5ʔna5,i1ko3ko3na5ʔna5,ko3ko3na5ʔna5,A,2
V016_txivi,4,t͡ɕi5βi5,i1t͡ɕi3βi3,t͡ɕi3βi3,A,2
V061_saka,4,sa5ka5,i1sa3ka3,sa3ka3,A,2
V064_tava,4,ta5βa5,i1ta3βa3,ta3βa3,A,2
V079_kasun,4,ka5sũ5,i1ka3sũ3,ka3sũ3,A,2
V091_kachi,4,ka5t͡ʃi5,i1ka3t͡ʃi3,ka3t͡ʃi3,A,2
V101_taan,4,tã5ã5,i1tã3ã3,tã3ã3,A,2
V213_kaan,4,kã5ã5,i1kã3ã3,kã3ã3,A,2
V215_ka'ntxi,4,ka5ʔⁿd͡ʑi5,i1ka3ʔⁿd͡ʑi3,ka3ʔⁿd͡ʑi3,A,2
V314_xaxan,4,ɕa5ɕã5,i1ɕa3ɕã3,ɕa3ɕã3,A,2
V071_nuna,7,nu5na5,i1nu1na1,nu1na1,A,2
V083_txe'i,7,t͡ɕe5ʔi5,i1t͡ɕe1ʔi1,t͡ɕe1ʔi1,A,2
V223_txa'ntxa,7,t͡ɕa5ʔⁿd͡ʑa5,i1t͡ɕa1ʔⁿd͡ʑa1,t͡ɕa1ʔⁿd͡ʑa1,A,2
