LEXEME,microclasses,IMPF,PFV,IRR,SegClass,ToneClass
V059_kuchi,V059_kuchi,ʃi5t͡ʃi3,i1ʃi3t͡ʃi3,ku3t͡ʃi3,D,1
V117_kotoni'ni,V117_kotoni'ni,ɕi5to3ni3ʔni3,i1ɕi1to1ni3ʔni3,ko1to1ni3ʔni3,D,1
V165_koso,V165_koso,si5so3,i1ɕi3so3,ko3so3,D,1
V175_kata,V175_kata,ɕi5ta3,i1ɕi3ta3,ka3ta3,D,1
V241_kununu,V241_kununu,ɕi5ka3nu3,i1ɕi1ka3nu3,ku3nu3nu3,D,1
V076_kotontoso,V076_kotontoso,ɕi5to3ⁿdo3so3,i1ɕi1to3ⁿdo3so3,ko3to3ⁿdo3so3,D,3
V271_kukuiin,V271_kukuiin,ɕi3ku3ĩ1ĩ1,i1ɕi3ku3ĩ1ĩ1,ku3ku3ĩ1ĩ1,D,4
V333_kakanuu,V333_kakanuu,ɕi5ka3nu1u1,i1ɕi1ka3nu3u3,ka3ka3nu3u3,D,0
V139_kataxa'a,V139_kataxa'a,ɕi3ta3ɕa5ʔa5,i1ɕi1ta3ɕa5ʔa5,ka3ta3ɕa5ʔa5,D,0
V162_kutuntxe'e,V162_kutuntxe'e,ɕi3tu3ⁿd͡ʑe3ʔe5,i1ɕi1tu3ⁿd͡ʑe3ʔe5,ku3tu3ⁿd͡ʑe3ʔe3,D,0
V010_kuntxati,8,ⁿd͡ʑa5ti3,i1ɕi1ⁿd͡ʑa3ti3,ku3ⁿd͡ʑa3ti3,E,1
V069_kuñu'un,8,ɲu5ʔũ3,i1ɕi1ɲu3ʔũ3,ku3ɲu3ʔũ3,E,1
V133_kukumi,8,ku5mi5,i1ɕi1ku3mi5,ku3ku3mi5,E,1
V200_kontoo,8,ⁿdo5o3,i1ɕi1ⁿdo3o3,ko3ⁿdo3o3,E,1
V334_kuntxaka,8,ⁿd͡ʑa5ka3,i1ɕi1ⁿd͡ʑa3ka3,ku3ⁿd͡ʑa3ka3,E,1
V156_kuntaa,19,ⁿda5a3,i1ɕi1ⁿda1a3,ku3ⁿda1a3,E,1
V283_kuna'a,19,na5ʔa1,i1ɕi1na1ʔa1,ku3na1ʔa1,E,1
V094_kotuntxe'e,V094_kotuntxe'e,ⁿd͡ʑe5ʔe5,i1ɕi1tu3ⁿd͡ʑe3ʔe5,ko3tu3ⁿd͡ʑe3ʔe5,E,1
V178_,V178_,ʒi5ʔβi1,i1ɕi3ʒi1ʔβi1,ku3ʒi1ʔβi1,E,1
V173_kuxini,,ɕi5ni1,#DEF#,ku3ɕi3ni1,E,1
V044_kuntxaa,9,ⁿd͡ʑa5a5,i1ɕi1ⁿd͡ʑa3a3,ku3ⁿd͡ʑa3a3,E,2
V081_kutxaki,9,t͡ɕa5ki5,i1ɕi1t͡ɕa3ki3,ku3t͡ɕa3ki3,E,2
V141_kukii,9,ki5i5,i1ɕi1ki3i3,ku3ki3i3,E,2
V154_ntasi,9,ⁿda5si5,i1ɕi1ⁿda3si3,ku3ⁿda3si3,E,2
V060_kunani,V060_kunani,na3ni5,i1ɕi1na3ni5,ku3na3ni5,E,4
V098_kunti'i,V098_kunti'i,i5ⁿdi3ʔi1,i1ɕi1ⁿdi3ʔi1,ku3ⁿdi3ʔi1,E,4
V225_kuntakaa,V225_kuntakaa,ⁿda5ka3a3,i1ɕi1ⁿda3ka1a1,ku3ⁿda3ka1a1,E,6
V332_kunii,V332_kunii,ni1i3,i1ɕi3ni3i3,ku3ni3i3,E,7
V331_yoso,V331_yoso,ʒo5so5,i1ko1ʒo3so5,ko1ʒo3so5,F,1
V152_kuya'a,14,ʒa5ʔa5,i1ku3ʒa5ʔa5,ku3ʒa5ʔa5,F,4
V249_kukuaan,14,ku3ã3ã5,i1ku3ku3ã3ã5,ku3ku3ã3ã5,F,4
V251_kukuii,14,kʷi5i5,i1ku3kʷi5i5,ku3kʷi5i5,F,4
V267_kunte'i,14,ⁿde5ʔi5,i1ku3ⁿde5ʔi5,ku3ⁿde5ʔi5,F,4
V103_ntikue'e,21,kʷe1ʔe1,i1ⁿdi3kʷe1ʔe1,ⁿdi3kʷe1ʔe1,G,4
V153_ntikua'a,21,kʷa5ʔa5,i1ⁿdi3kʷa5ʔa5,ⁿdi3kʷa5ʔa5,G,4
V219_ntakaa,re-assign,sa5ⁿda3ka1a1,i1sa5ⁿda3ka1a1,ⁿda3ka1a1,G,4
V211_saya'a,re-check,sa5ʒa3ʔa3,i1sa5ʒa3ʔa3,ʒa3ʔa3,G,4
V007_koso,V007_koso,ⁿd͡ʑi5so3,i1ɕi1ⁿd͡ʑi3so3,ko3so3,H,1
V020_kusiki,V020_kusiki,si5si5ki5,i1si3si5ki5,ku3si5ki5,I,1
V046_kuniñu'u,V046_kuniñu'u,ɕi5ni5ɲu5ʔu5,i1ɕi1ni5ɲu5ʔu5,ku5ni5ɲu5ʔu5,I,1
V052_kasini,V052_kasini,si5sĩ3,i1si5si3ni1,ka5si3ni1,I,4
V063_kutxiya'a,V063_kutxiya'a,ku3t͡ɕi5ʒa5ʔa5,i1ɕi1ku1t͡ɕi5ʒa5ʔa5,ku3t͡ɕi5ʒa5ʔa5,J,4
V192_kuka'nu,V192_kuka'nu,ku3ka5ʔnu3,i1ɕi1ka5ʔnu3,ku3ka5ʔnu3,J,4
V149_kutaka,V149_kutaka,i5ta3ka3,i1ɕi3ta3ka3,ku3ta3ka3,K,1
V185_kukuiti,V185_kukuiti,sa5kʷi3ti5,i1sa5kʷi3ti5,ku3kʷi3ti5,L,0
V202_ntaa,V202_ntaa,kʷa3ⁿda3a3,i1ⁿda3a3,ⁿda3a3,M,4
V250_kuxiva'a,V250_kuxiva'a,ɕu1βa1ʔa3,i1ku1ɕi1βa1ʔa3,ku1ɕi1βa1ʔa3,N,4
V276_kuxiva'a,V276_kuxiva'a,ɕi1βa1ʔa3,i1ki3ɕi1βa1ʔa3,ki3ɕi1βa1ʔa3,N,4
V278_kuntxita,V278_kuntxita,t͡ʃi5ⁿd͡ʑi3ta3,i1t͡ʃi3ⁿd͡ʑi3ta3,ku3ⁿd͡ʑi3ta3,O,1
V328_kuntaya,V328_kuntaya,ⁿda5ʔʒa3,i1ⁿda3ʔʒa3,ku3ⁿda3ʔʒa3,P,1
V005_kusi,V005_kusi,ki5ʃi1,i1ki1ʃi1,ku1si1,S,1
V029_kivi,V029_kivi,ɕi5ʔi1,i1ɕi1ʔi1,ki3βi3,S,3
V049_koan,V049_koan,ki3βi3,i1ki3βi3,ko3ã3,S,4
V166_vaxi,V166_vaxi,βa1ɕi3,i1ki3ɕi3,ki3ɕi3,S,7
V082_koo,V082_koo,ĩ5ĩ3,i1ɕo1o3,ko3o3,T,3
V102_ku'un,V102_ku'un,kʷa1ʔã1,i1ɕa1ʔã1,ku1ʔũ1,T,4
V055_kuni,V055_kuni,ɕi3tu3ⁿd͡ʑe3ʔe3,i1ɕi1ni3,ku3ni3,T,0
