"LEXEME","IMPF","PFV","IRR"
"171","V171_kontoo","313","1113","113"
"172","V172_ntikintxee","5535","15335","5335"
"173","V173_kuxini","51","","331"
"174","V174_tivi","55","135","35"
"175","V175_kata","53","133","33"
"176","V176_ntxikoni'i","5533","13533","3533"
"177","V177_chinuu","553","1353","353"
"178","V178_","51","1311","311"
"179","V179_sakua'a","5333","15333","5333"
"180","V180_kantakava","5333","13333","3333"
"181","V181_kanta","55","135","35"
"182","V182_xaa","11","111","11"
"183","V183_ntani'i","533","1333","333"
"184","V184_ntativi","533","1333","333"
"185","V185_kukuiti","5335","15335","3335"
"186","V186_sakutxiya'a","53555","153555","53555"
"187","V187_sakukunuo","33333","133333","33333"
"188","V188_koto'va","513","1113","313"
"189","V189_ntoo","53","133","33"
"190","V190_ntaki'in","533","1333","333"
"191","V191_ni'i","53","133","33"
"192","V192_kuka'nu","353","1153","353"
"193","V193_xaa","53","155","55"
"194","V194_koko","55","135","35"
"195","V195_tivi","53","133","33"
"196","V196_santxi'i","533","1533","533"
"197","V197_tase'e","333","1333","333"
"198","V198_kaa","53","133","33"
"199","V199_santoo","533","1533","533"
"200","V200_kontoo","53","1133","333"
"201","V201_ntañuu","533","1333","333"
"202","V202_ntaa","3333","133","33"
"203","V203_xinu","53","113","13"
"204","V204_katxa","55","133","33"
"205","V205_kuitxa","51","111","311"
"206","V206_yakun","55","135","35"
"207","V207_katei","331","1111","111"
"208","V208_nañu","53","133","33"
"209","V209_nuntxa'a","533","1333","333"
"210","V210_ntiku'unini","53333","133333","33333"
"211","V211_saya'a","533","1533","33"
"212","V212_ku'ni","55","135","35"
"213","V213_kaan","55","133","33"
"214","V214_yata","53","133","33"
"215","V215_ka'ntxi","55","133","33"
"216","V216_xuun","55","115","15"
"217","V217_tuun","51","111","11"
"218","V218_chikava'a","5113","13113","3113"
"219","V219_ntakaa","5311","15311","311"
"220","V220_chikanii","5333","15333","5333"
"221","V221_yivintxaa","1333","13333","3333"
"222","V222_chikili","515","1315","315"
"223","V223_txa'ntxa","55","111","11"
"224","V224_kuntasi","335","1135","135"
"225","V225_kuntakaa","533","11311","3311"
"226","V226_cho'o","51","111","11"
"227","V227_kuva'a","513","1313","313"
"228","V228_kee","53","113","13"
"229","V229_kai","31","111","11"
"230","V230_ka'a","53","133","33"
"231","V231_sakuachi","5333","15333","5333"
"232","V232_shita","55","115","15"
"233","V233_ntakaxi","513","1313","313"
"234","V234_txaa","53","133","33"
"235","V235_sana'a","511","1511","511"
"236","V236_ntuva'a","513","1113","313"
"237","V237_saka","51","111","11"
"238","V238_chita'an","553","1153","353"
"239","V239_ntakuni","533","1133","333"
"240","V240_sanuntxa'a","5333","15333","5333"
"241","V241_kununu","533","1133","333"
"242","V242_kakintxaa","3333","13333","3333"
"243","V243_ta'vi","55","111","11"
"244","V244_kavanuu","5355","13355","3355"
"245","V245_ntisaka","533","1333","333"
"246","V246_saa","51","111","11"
"247","V247_kuntaa","31133","131133","31133"
"248","V248_ntxikokoo","5313","13313","3313"
"249","V249_kukuaan","335","13335","3335"
"250","V250_kuxiva'a","113","11113","1113"
"251","V251_kukuii","355","13355","3355"
"252","V252_kuita","355","1335","335"
"253","V253_kuntxee","335","1335","335"
"254","V254_shu'un","55","115","15"
"255","V255_sana","53","133","33"
"256","V256_ntatava","533","1333","333"
"257","V257_chintxaa","533","1333","333"
"258","V258_xixin","53","133","33"
"259","V259_chiko'va","535","1333","313"
"260","V260_sakee","533","1533","533"
"261","V261_sakoyo","535","1535","535"
"262","V262_kuntxitxa","531","1331","331"
"263","V263_numi","53","133","33"
"264","V264_ntantiki","535","1333","333"
"265","V265_sante'i","533","1533","533"
"266","V266_ntasaa","511","1311","311"
"267","V267_kunte'i","55","1355","355"
"268","V268_tana","53","133","33"
"269","V269_txañu","53","133","33"
"270","V270_txian","53","113","13"
"271","V271_kukuiin","3311","13311","3311"
"272","V272_ntakasi","533","1333","333"
"273","V273_sakitxi","511","1511","511"
"274","V274_saketa","533","1533","533"
"275","V275_ntiko'o","533","1333","333"
"276","V276_kuxiva'a","113","13113","3113"
"277","V277_ni'i","51","111","11"
"278","V278_kuntxita","533","1333","333"
"279","V279_ntxiko","53","113","13"
"280","V280_santxiko","513","1513","513"
"281","V281_ntachikaa","5311","13311","3311"
"282","V282_nta'ava","533","1333","333"
"283","V283_kuna'a","51","1111","311"
"284","V284_ntikua'a","5313","13313","3313"
"285","V285_kunaa","533","1333","333"
"286","V286_ñani","55","135","35"
"287","V287_ntaka'nu","511","1111","111"
"288","V288_koso","51","111","11"
"289","V289_titi","55","135","35"
"290","V290_ka'nu","51","111","11"
"291","V291_kutatxi","31533","131533","35533"
"292","V292_takue'e","3311","13311","3331"
"293","V293_kutatan","355","1351","355"
"294","V294_shatxa","55","135","35"
"295","V295_chichi","55","135","35"
"296","V296_ntaxin","53","133","33"
"297","V297_ñu'ma","55","111","11"
"298","V298_kava","53","111","11"
"299","V299_kaan","53","113","13"
"300","V300_kaya","53","111","11"
"301","V301_kantxaa","355","1155","155"
"302","V302_ka'vi","53","133","33"
"303","V303_kata","55","135","35"
"304","V304_kuun","53","133","33"
"305","V305_kisi","53","133","33"
"306","V306_kuya'vi","313","1113","113"
"307","V307_kokonii","5555","13355","3355"
"308","V308_kokona'na","5555","13355","3355"
"309","V309_kuchuun","533","1333","333"
"310","V310_sama","53","113","13"
"311","V311_ntasama","133","1113","113"
"312","V312_nana","53","133","33"
"313","V313_nta'a","33","133","33"
"314","V314_xaxan","55","133","33"
"315","V315_ntxitxa","53","133","33"
"316","V316_sayaa","531","1311","311"
"317","V317_ta'ni","51","111","11"
"318","V318_kuyatxi","533","1333","333"
"319","V319_xo'o","33","133","33"
"320","V320_xini","51","111","11"
"321","V321_kasi","55","153","53"
"322","V322_katxa","53","133","33"
"323","V323_kuchishi","555","1355","355"
"324","V324_ntichishi","555","1355","355"
"325","V325_ntxii","33","133","33"
"326","V326_kukiniini","53333","133333","33333"
"327","V327_xi'in","53","113","13"
"328","V328_kuntaya","53","133","333"
"329","V329_sakua'na","5333","15333","5333"
"330","V330_xiti","53","133","333"
"331","V331_yoso","55","1135","135"
"332","V332_kunii","13","1333","333"
"333","V333_kakanuu","5311","11333","3333"
"334","V334_kuntxaka","53","1133","333"
"335","V335_ntxee","53","113","13"
"336","V336_shiko","55","115","15"
