IMPF,"('PFV', 'IRR')",Class
t͡ʃi3ɲu5ʔũ5,i1 ⇌  / _X*[+syll][1-3-5],1
ki5ʔβi3,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿda5ka3t͡ɕa3,i1 ⇌  / _X*[+syll][1-3-5],1
ka5tũ1,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿdi5ka5ɕi5,i1 ⇌  / _X*[+syll][1-3-5],1
t͡ɕi5βi3ⁿd͡ʑa3a3,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿda5ko3to3,i1 ⇌  / _X*[+syll][1-3-5],1
t͡ʃi5ni3i3,i1 ⇌  / _X*[+syll][1-3-5],1
ka5ta3ka3,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿda5ta5,i1 ⇌  / _X*[+syll][1-3-5],1
ʒa5ʔa5,i1 ⇌  / _X*[+syll][1-3-5],1
kʷa5ʔa5,i1 ⇌  / _X*[+syll][1-3-5],1
so5o3,i1 ⇌  / _X*[+syll][1-3-5],1
ka5ⁿd͡ʑa3a3,i1 ⇌  / _X*[+syll][1-3-5],1
ʒa5ʔa3,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿdi5ɕa1a5,i1 ⇌  / _X*[+syll][1-3-5],1
t͡ɕa5so1ʔo3,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿdu5ta3ʔã3,i1 ⇌  / _X*[+syll][1-3-5],1
t͡ʃi5ⁿdo3o3,i1 ⇌  / _X*[+syll][1-3-5],1
t͡ʃi3ti3βi1ⁿd͡ʑa3a3,i1 ⇌  / _X*[+syll][1-3-5],1
βa1ɕi3,i1 ⇌  / _X*[+syll][1-3-5],1
ta5ⁿda3ʔa1,i1 ⇌  / _X*[+syll][1-3-5],1
ka5ʔã5,i1 ⇌  / _X*[+syll][1-3-5],1
ka5ni3i3,i1 ⇌  / _X*[+syll][1-3-5],1
ko3ⁿdo1o3,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿdi5ki5ⁿd͡ʑe3e5,i1 ⇌  / _X*[+syll][1-3-5],1
ti5βi5,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿd͡ʑi5ko5ni3ʔi3,i1 ⇌  / _X*[+syll][1-3-5],1
t͡ʃi5nu5u3,i1 ⇌  / _X*[+syll][1-3-5],1
sa5kʷa3ʔa3,i1 ⇌  / _X*[+syll][1-3-5],1
ka5ⁿda3ka3βa3,i1 ⇌  / _X*[+syll][1-3-5],1
ka5ⁿda5,i1 ⇌  / _X*[+syll][1-3-5],1
ɕa1a1,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿda5ni3ʔi3,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿda5ti3βi3,i1 ⇌  / _X*[+syll][1-3-5],1
sa5ku3t͡ɕi5ʒa5ʔa5,i1 ⇌  / _X*[+syll][1-3-5],1
sa3ku3ku3nu3o3,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿdo5o3,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿda5ki3ʔĩ3,i1 ⇌  / _X*[+syll][1-3-5],1
ni5ʔi3,i1 ⇌  / _X*[+syll][1-3-5],1
ɕa5a3,i1 ⇌  / _X*[+syll][1-3-5],1
ti5βi3_2,i1 ⇌  / _X*[+syll][1-3-5],1
sa5ⁿd͡ʑi3ʔi3,i1 ⇌  / _X*[+syll][1-3-5],1
ta3se3ʔe3,i1 ⇌  / _X*[+syll][1-3-5],1
ka5a3,i1 ⇌  / _X*[+syll][1-3-5],1
sa5ⁿdo3o3,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿda5ɲu3u3,i1 ⇌  / _X*[+syll][1-3-5],1
kʷa3ⁿda3a3,i1 ⇌  / _X*[+syll][1-3-5],1
ɕi5nu3_2,i1 ⇌  / _X*[+syll][1-3-5],1
ʒa5kũ5,i1 ⇌  / _X*[+syll][1-3-5],1
ka3te3i1,i1 ⇌  / _X*[+syll][1-3-5],1
na5ɲu3,i1 ⇌  / _X*[+syll][1-3-5],1
nu5ⁿd͡ʑa3ʔa3,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿdi5ku3ʔu3ni3ni3,i1 ⇌  / _X*[+syll][1-3-5],1
kã5ã5,i1 ⇌  / _X*[+syll][1-3-5],1
ʒa5ta3,i1 ⇌  / _X*[+syll][1-3-5],1
ka5ʔⁿd͡ʑi5,i1 ⇌  / _X*[+syll][1-3-5],1
ɕũ5ũ5,i1 ⇌  / _X*[+syll][1-3-5],1
tũ5ũ1,i1 ⇌  / _X*[+syll][1-3-5],1
t͡ʃi5ka1βa1ʔa3,i1 ⇌  / _X*[+syll][1-3-5],1
t͡ʃi5ka3ni3i3,i1 ⇌  / _X*[+syll][1-3-5],1
ʒi1βi3ⁿd͡ʑa3a3,i1 ⇌  / _X*[+syll][1-3-5],1
t͡ʃi5ki1li5,i1 ⇌  / _X*[+syll][1-3-5],1
t͡ɕa5ʔⁿd͡ʑa5,i1 ⇌  / _X*[+syll][1-3-5],1
ku3ⁿda3si5,i1 ⇌  / _X*[+syll][1-3-5],1
t͡ʃo5ʔo1,i1 ⇌  / _X*[+syll][1-3-5],1
ku5βa1ʔa3,i1 ⇌  / _X*[+syll][1-3-5],1
ke5e3,i1 ⇌  / _X*[+syll][1-3-5],1
ka3i1,i1 ⇌  / _X*[+syll][1-3-5],1
ka5ʔa3,i1 ⇌  / _X*[+syll][1-3-5],1
sa5kʷa3t͡ʃi3,i1 ⇌  / _X*[+syll][1-3-5],1
ʃi5ta5,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿda5ka1ɕi3,i1 ⇌  / _X*[+syll][1-3-5],1
t͡ɕa5a3,i1 ⇌  / _X*[+syll][1-3-5],1
sa5na1ʔa1,i1 ⇌  / _X*[+syll][1-3-5],1
sa5ka1,i1 ⇌  / _X*[+syll][1-3-5],1
sa5nu3ⁿd͡ʑa3ʔa3,i1 ⇌  / _X*[+syll][1-3-5],1
ta5ʔβi5,i1 ⇌  / _X*[+syll][1-3-5],1
ka5βa3nu5u5,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿdi5sa3ka3,i1 ⇌  / _X*[+syll][1-3-5],1
sa5a1,i1 ⇌  / _X*[+syll][1-3-5],1
ku3ⁿda1a1i3ni3,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿd͡ʑi5ko3ko1o3,i1 ⇌  / _X*[+syll][1-3-5],1
ku3ã3ã5,i1 ⇌  / _X*[+syll][1-3-5],1
ɕu1βa1ʔa3,i1 ⇌  / _X*[+syll][1-3-5],1
kʷi5i5,i1 ⇌  / _X*[+syll][1-3-5],1
kʷi5ta5,i1 ⇌  / _X*[+syll][1-3-5],1
ku3ⁿd͡ʑe3e5,i1 ⇌  / _X*[+syll][1-3-5],1
ʃu5ʔũ5,i1 ⇌  / _X*[+syll][1-3-5],1
sa5na3,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿda5ta3βa3,i1 ⇌  / _X*[+syll][1-3-5],1
t͡ʃi5ⁿd͡ʑa3a3,i1 ⇌  / _X*[+syll][1-3-5],1
ɕi5ɕĩ3,i1 ⇌  / _X*[+syll][1-3-5],1
sa5ke3e3,i1 ⇌  / _X*[+syll][1-3-5],1
sa5ko3ʒo5,i1 ⇌  / _X*[+syll][1-3-5],1
ku5ⁿd͡ʑi3t͡ɕa1,i1 ⇌  / _X*[+syll][1-3-5],1
nu5mi3,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿda5ⁿdi3ki5,i1 ⇌  / _X*[+syll][1-3-5],1
sa5ⁿde3ʔi3,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿda5sa1a1,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿde5ʔi5,i1 ⇌  / _X*[+syll][1-3-5],1
ta5na3,i1 ⇌  / _X*[+syll][1-3-5],1
t͡ɕa5ɲu3,i1 ⇌  / _X*[+syll][1-3-5],1
t͡ɕi5ã3,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿda5ka3si3,i1 ⇌  / _X*[+syll][1-3-5],1
sa5ki1t͡ɕi1,i1 ⇌  / _X*[+syll][1-3-5],1
sa5ke3ta3,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿdi5ko3ʔo3,i1 ⇌  / _X*[+syll][1-3-5],1
ɕi1βa1ʔa3,i1 ⇌  / _X*[+syll][1-3-5],1
ni5ʔi1,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿd͡ʑi5ko3_2,i1 ⇌  / _X*[+syll][1-3-5],1
sa5ⁿd͡ʑi1ko3,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿda5t͡ʃi3ka1a1,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿda5ʔa3βa3,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿdi5kʷa1ʔa3,i1 ⇌  / _X*[+syll][1-3-5],1
ku5na3a3,i1 ⇌  / _X*[+syll][1-3-5],1
ɲa5ni5,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿda5ka1ʔnu1,i1 ⇌  / _X*[+syll][1-3-5],1
ti5ti5,i1 ⇌  / _X*[+syll][1-3-5],1
ʃa5t͡ɕa5,i1 ⇌  / _X*[+syll][1-3-5],1
t͡ʃi5t͡ʃi5,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿda5ɕĩ3,i1 ⇌  / _X*[+syll][1-3-5],1
ɲu5ʔma5,i1 ⇌  / _X*[+syll][1-3-5],1
ka5βa3,i1 ⇌  / _X*[+syll][1-3-5],1
kã5ã3,i1 ⇌  / _X*[+syll][1-3-5],1
ka5ʒa3,i1 ⇌  / _X*[+syll][1-3-5],1
ka3ⁿd͡ʑa5a5,i1 ⇌  / _X*[+syll][1-3-5],1
ka5ʔβi3,i1 ⇌  / _X*[+syll][1-3-5],1
ka5ta5,i1 ⇌  / _X*[+syll][1-3-5],1
kũ5ũ3,i1 ⇌  / _X*[+syll][1-3-5],1
ki5si3,i1 ⇌  / _X*[+syll][1-3-5],1
ku3ʒa1ʔβi3,i1 ⇌  / _X*[+syll][1-3-5],1
ko5ko5ni5i5,i1 ⇌  / _X*[+syll][1-3-5],1
ko5ko5na5ʔna5,i1 ⇌  / _X*[+syll][1-3-5],1
ku5t͡ʃũ3ũ3,i1 ⇌  / _X*[+syll][1-3-5],1
sa5ma3,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿda1sa3ma3,i1 ⇌  / _X*[+syll][1-3-5],1
na5na3,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿda3ʔa3,i1 ⇌  / _X*[+syll][1-3-5],1
ɕa5ɕã5,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿd͡ʑi5t͡ɕa3,i1 ⇌  / _X*[+syll][1-3-5],1
sa5ʒa3a1,i1 ⇌  / _X*[+syll][1-3-5],1
ta5ʔni1,i1 ⇌  / _X*[+syll][1-3-5],1
ku5ʒa3t͡ɕi3,i1 ⇌  / _X*[+syll][1-3-5],1
ɕo3ʔo3,i1 ⇌  / _X*[+syll][1-3-5],1
ɕi5ni1,i1 ⇌  / _X*[+syll][1-3-5],1
ku5t͡ʃi5ʃi5,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿdi5t͡ʃi5ʃi5,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿd͡ʑi3i3,i1 ⇌  / _X*[+syll][1-3-5],1
ku5ki3ni3i3ni3,i1 ⇌  / _X*[+syll][1-3-5],1
ɕi5ʔĩ3,i1 ⇌  / _X*[+syll][1-3-5],1
sa5kʷa3ʔna3,i1 ⇌  / _X*[+syll][1-3-5],1
ʒo5so5,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿd͡ʑe5e3,i1 ⇌  / _X*[+syll][1-3-5],1
ʃi5ko5,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿda5ʔʒa3,i1 ⇌ ko3 / _ⁿda3ʔʒa3,2
sa5ʔa3ⁿd͡ʑi5βa3ʔa1,i1_1 ⇌ _3 / _sa5ʔa3ⁿd͡ʑi5βa3ʔa_,3
ko5to1ʔβa3,i1_1 ⇌ _3 / _X*[g-k-p-t-ð-t͡ʃ-ⁿd-ⁿd͡ʑ-ⁿd͡ʒ-kʷ-t͡ɕ][a-e-i-o]_[f-g-k-p-t-ð-ɕ-ʒ-ʔ-β-kʷ-t͡ɕ][a-e-o][1-3-5]X*,4
ⁿdu5βa1ʔa3,i1_1 ⇌ _3 / _X*[g-k-p-t-ð-t͡ʃ-ⁿd-ⁿd͡ʑ-ⁿd͡ʒ-kʷ-t͡ɕ][a-e-i-o]_[f-g-k-p-t-ð-ɕ-ʒ-ʔ-β-kʷ-t͡ɕ][a-e-o][1-3-5]X*,4
t͡ʃi5ta5ʔã3,i1_1 ⇌ _3 / _X*[g-k-p-t-ð-t͡ʃ-ⁿd-ⁿd͡ʑ-ⁿd͡ʒ-kʷ-t͡ɕ][a-e-i-o]_[f-g-k-p-t-ð-ɕ-ʒ-ʔ-β-kʷ-t͡ɕ][a-e-o][1-3-5]X*,4
ⁿda5ku3ni3,i1_1 ⇌ _3 / _X*[g-k-p-t-ð-t͡ʃ-ⁿd-ⁿd͡ʑ-ⁿd͡ʒ-kʷ-t͡ɕ][a-e-i-o]_[f-g-k-p-t-ð-ɕ-ʒ-ʔ-β-kʷ-t͡ɕ][a-e-o][1-3-5]X*,4
ta3kʷe1ʔe1,i1_1 ⇌ _3 / _X*[g-k-p-t-ð-t͡ʃ-ⁿd-ⁿd͡ʑ-ⁿd͡ʒ-kʷ-t͡ɕ][a-e-i-o]_[f-g-k-p-t-ð-ɕ-ʒ-ʔ-β-kʷ-t͡ɕ][a-e-o][1-3-5]X*,4
ku3ta1t͡ɕi5i3ni3,i1_1 ⇌ _5 / _X*[k-p-t-kʷ][a-e-o][3-5]t[a-ã]_X*,5
ku3ta5tã5,i1_1 ⇌ _5 / _X*[k-p-t-kʷ][a-e-o][3-5]t[a-ã]_X*,5
ki3ɕa3ʔa5,i1_1_3 ⇌ _3_5 / _ki_ɕa_ʔa5,6
t͡ʃi5ko3ʔβa5,i1_3 ⇌ _1 / _t͡ʃi3ko_ʔβa3,7
sa5ⁿdu3βi3,i1_3 ⇌ _5 / _sa_ⁿdo3βi3,8
sa5ku3si5βi5,i1_3_3 ⇌ _5_5 / _sa5ko3si_βi_,9
ki5ʃi1,i1_i_ʃ ⇌ _o_s / _k_1_i1,10
ki3βi3,i1_i_βi ⇌ _o_ã / _k_3_3,11
ɕa5ʔⁿd͡ʑa5,i1ɕ ⇌ k / _X*[-cons +son][-syll]*[a-e-i-o][1-3-5],12
ɕa5ki5,i1ɕ ⇌ k / _X*[-cons +son][-syll]*[a-e-i-o][1-3-5],12
ɕa5ʔmi3,i1ɕ ⇌ k / _X*[-cons +son][-syll]*[a-e-i-o][1-3-5],12
ɕa5ʔni5,i1ɕ ⇌ k / _X*[-cons +son][-syll]*[a-e-i-o][1-3-5],12
ɕu5na5,i1ɕ ⇌ k / _X*[-cons +son][-syll]*[a-e-i-o][1-3-5],12
ɕa5ɕi5,i1ɕ ⇌ k / _X*[-cons +son][-syll]*[a-e-i-o][1-3-5],12
ɕe5e5,i1ɕ ⇌ k / _X*[-cons +son][-syll]*[a-e-i-o][1-3-5],12
ɕu5na1,i1ɕ ⇌ k / _X*[-cons +son][-syll]*[a-e-i-o][1-3-5],12
ɕa5t͡ɕa5,i1ɕ ⇌ k / _X*[-cons +son][-syll]*[a-e-i-o][1-3-5],12
ɕu5ʔni5,i1ɕ ⇌ k / _X*[-cons +son][-syll]*[a-e-i-o][1-3-5],12
ɕa3ki3ⁿd͡ʑa3a3,i1ɕ ⇌ k / _X*[-cons +son][-syll]*[a-e-i-o][1-3-5],12
ɕa5ʔnu1,i1ɕ ⇌ k / _X*[-cons +son][-syll]*[a-e-i-o][1-3-5],12
ɕa5t͡ɕa3,i1ɕ ⇌ k / _X*[-cons +son][-syll]*[a-e-i-o][1-3-5],13
ɕĩ5ĩ3,i1ɕ ⇌ ko3 / _ĩ3ĩ3,14
ɕa5ki1,i1ɕ ⇌ kʷ / _[a-e-i][1-3][-syll -strid -lat -long]*[a-e-i-o][1-3],14
ɕa5ti3,i1ɕ ⇌ kʷ / _[a-e-i][1-3][-syll -strid -lat -long]*[a-e-i-o][1-3],14
ɕa5ʔa3,i1ɕ ⇌ kʷ / _[a-e-i][1-3][-syll -strid -lat -long]*[a-e-i-o][1-3],14
ɕa5ʔnu3,i1ɕ ⇌ kʷ / _[a-e-i][1-3][-syll -strid -lat -long]*[a-e-i-o][1-3],14
